,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
0,1,1,Chris Riley,68.5,822,12
1,2,2,Ryan Palmer,68.71,962,14
2,3,3,Matt Kuchar,68.86,1515,22
3,4,4,James Driscoll,68.92,827,12
4,5,5,Mark Wilson,69.13,1037,15
5,6,6,Michael Sim,69.25,831,12
6,7,7,Ben Crane,69.28,1247,18
7,8,8,Retief Goosen,69.41,1180,17
8,9,9,Webb Simpson,69.47,1181,17
9,10,10,Charles Howell III,69.48,1598,23
10,11,11,Jeff Quinney,69.56,1113,16
11,12,12,Cameron Beckman,69.57,487,7
12,13,13,Freddie Jacobson,69.63,1114,16
13,14,14,Dean Wilson,69.67,627,9
14,15,15,Jonathan Byrd,69.69,1115,16
15,16,16,Rory McIlroy,69.73,767,11
16,17,17,Paul Casey,69.77,907,13
17,18,18,Justin Rose,69.81,1117,16
18,19,19,Bob Estes,69.83,838,12
19,T20,T20,Pat Perez,69.89,1258,18
20,T20,T20,David Toms,69.89,1258,18
21,22,22,Marc Leishman,69.94,1189,17
22,T23,T23,Briny Baird,70.07,1051,15
23,T23,T23,Graham DeLaet,70.07,1051,15
24,25,25,Rory Sabbatini,70.08,911,13
25,26,26,Paul Stankowski,70.15,912,13
26,T27,T27,D.J. Trahan,70.17,1263,18
27,T27,T27,Bo Van Pelt,70.17,1614,23
28,29,29,Kevin Streelman,70.18,1193,17
29,30,30,Bubba Watson,70.19,1123,16
30,31,31,Chris Couch,70.2,702,10
31,T32,T32,Brian Gay,70.21,1334,19
32,T32,T32,John Rollins,70.21,983,14
33,T34,T34,Jarrod Lyle,70.22,632,9
34,T34,T34,Steve Stricker,70.22,1264,18
35,T36,T36,Bryce Molder,70.25,1124,16
36,T36,T36,Jimmy Walker,70.25,843,12
37,38,38,Garrett Willis,70.27,1054,15
38,39,39,Tom Gillis,70.29,1476,21
39,40,40,Jeev Milkha Singh,70.3,703,10
40,41,41,Chris Stroud,70.31,1125,16
41,42,42,Kevin Na,70.35,1407,20
42,T43,T43,Stephen Ames,70.38,1126,16
43,T43,T43,Ernie Els,70.38,1126,16
44,45,45,J.J. Henry,70.39,1267,18
45,T46,T46,Aaron Baddeley,70.4,1408,20
46,T46,T46,Cameron Tringale,70.4,352,5
47,48,48,Vaughn Taylor,70.41,1197,17
48,49,49,Tim Petrovic,70.42,1338,19
49,T50,T50,Stewart Cink,70.44,1268,18
50,T50,T50,Jason Dufner,70.44,1268,18
51,52,52,Charles Warren,70.45,775,11
52,53,53,Mathew Goggin,70.46,916,13
53,54,54,Troy Matteson,70.5,987,14
54,55,55,Robert Allenby,70.53,1199,17
55,56,56,Aron Price,70.54,917,13
56,57,57,Chad Collins,70.56,1129,16
57,58,58,Charley Hoffman,70.59,1200,17
58,T59,T59,Kris Blanks,70.6,1059,15
59,T59,T59,Scott Piercy,70.6,1059,15
60,61,61,Rickie Fowler,70.65,1413,20
61,T62,T62,Andres Romero,70.67,1060,15
62,T62,T62,Kevin Stadler,70.67,1060,15
63,64,64,Bill Lunde,70.7,707,10
64,T65,T65,Ben Curtis,70.71,990,14
65,T65,T65,Richard Johnson,70.71,1202,17
66,T67,T67,Ricky Barnes,70.73,1556,22
67,T67,T67,Vijay Singh,70.73,1061,15
68,T67,T67,Brett Wetterich,70.73,778,11
