,Early_Par_3_Scoring_Average_RANK THIS WEEK,Early_Par_3_Scoring_Average_RANK LAST WEEK,Early_Par_3_Scoring_Average_PLAYER NAME,Early_Par_3_Scoring_Average_ROUNDS,Early_Par_3_Scoring_Average_AVG,Early_Par_3_Scoring_Average_TOTAL STROKES,Early_Par_3_Scoring_Average_TOTAL HOLES
0,T1,T1,Jason Day,82,2.91,431,148
1,T1,T1,Paul Stankowski,62,2.91,411,141
2,T3,T3,John Mallinger,78,2.93,381,130
3,T3,T3,Shaun Micheel,70,2.93,363,124
4,T5,T5,David Duval,71,2.94,459,156
5,T5,T5,Michael Letzig,84,2.94,550,187
6,T5,T5,Chris Tidland,77,2.94,509,173
7,T8,T8,Chad Campbell,94,2.96,628,212
8,T8,T8,Tom Gillis,97,2.96,601,203
9,T8,T8,Dustin Johnson,83,2.96,400,135
10,T8,T8,Hunter Mahan,85,2.96,447,151
11,T8,T8,Dean Wilson,54,2.96,346,117
12,T13,T13,Chad Collins,87,2.97,531,179
13,T13,T13,Luke Donald,71,2.97,294,99
14,T13,T13,Padraig Harrington,57,2.97,282,95
15,T13,T13,Freddie Jacobson,83,2.97,588,198
16,T13,T13,Spencer Levin,110,2.97,678,228
17,T13,T13,Steve Marino,81,2.97,431,145
18,T13,T13,Bryce Molder,84,2.97,464,156
19,T13,T13,Pat Perez,90,2.97,589,198
20,T13,T13,Heath Slocum,97,2.97,592,199
21,T13,T13,Boo Weekley,88,2.97,538,181
22,T13,T13,Mark Wilson,87,2.97,550,185
23,T24,T24,Michael Bradley,77,2.98,567,190
24,T24,T24,Paul Casey,64,2.98,253,85
25,T24,T24,Zach Johnson,93,2.98,528,177
26,T24,T24,Phil Mickelson,76,2.98,361,121
27,T24,T24,Jeff Quinney,91,2.98,604,203
28,T29,T29,Stephen Ames,75,2.99,467,156
29,T29,T29,K.J. Choi,82,2.99,467,156
30,T29,T29,Nathan Green,86,2.99,520,174
31,T29,T29,Matt Jones,89,2.99,539,180
32,T29,T29,Jerry Kelly,99,2.99,568,190
33,T29,T29,Matt Kuchar,97,2.99,476,159
34,T29,T29,Derek Lamely,81,2.99,548,183
35,T29,T29,Jeff Maggert,76,2.99,484,162
36,T29,T29,Alex Prugh,88,2.99,524,175
37,T29,T29,Josh Teater,101,2.99,625,209
38,T29,T29,Vance Veazey,58,2.99,401,134
39,T40,T40,Tim Clark,88,3.0,507,169
40,T40,T40,Rickie Fowler,98,3.0,540,180
41,T40,T40,Charles Howell III,103,3.0,717,239
42,T40,T40,Kevin Sutherland,86,3.0,519,173
43,T44,T44,Woody Austin,93,3.01,606,201
44,T44,T44,Jason Bohn,84,3.01,547,182
45,T44,T44,Greg Chalmers,93,3.01,609,202
46,T44,T44,J.P. Hayes,79,3.01,518,172
47,T44,T44,Ryuji Imada,90,3.01,574,191
48,T44,T44,Lee Janzen,77,3.01,494,164
49,T44,T44,Bill Lunde,79,3.01,535,178
50,T44,T44,Troy Merritt,86,3.01,563,187
51,T44,T44,Cameron Percy,73,3.01,425,141
52,T44,T44,Tom Pernice Jr.,74,3.01,442,147
53,T44,T44,Ian Poulter,55,3.01,310,103
54,T44,T44,Michael Sim,64,3.01,307,102
55,T44,T44,Jeev Milkha Singh,59,3.01,410,136
56,T44,T44,Jay Williamson,76,3.01,527,175
57,T58,T58,Robert Allenby,76,3.02,381,126
58,T58,T58,Briny Baird,87,3.02,562,186
59,T58,T58,Cameron Beckman,68,3.02,381,126
60,T58,T58,Brendon de Jonge,114,3.02,631,209
61,T58,T58,Graham DeLaet,88,3.02,541,179
62,T58,T58,Chris DiMarco,88,3.02,598,198
63,T58,T58,Steve Elkington,74,3.02,453,150
64,T58,T58,Charley Hoffman,85,3.02,504,167
65,T58,T58,Justin Leonard,89,3.02,534,177
66,T58,T58,Kevin Na,94,3.02,534,177
67,T58,T58,Jeff Overton,89,3.02,510,169
68,T58,T58,Rod Pampling,77,3.02,555,184
69,T58,T58,Aron Price,70,3.02,353,117
70,T58,T58,Justin Rose,78,3.02,495,164
71,T58,T58,Charles Warren,64,3.02,390,129
72,T58,T58,Charlie Wi,95,3.02,611,202
73,T74,T74,Brian Davis,101,3.03,639,211
74,T74,T74,Jim Furyk,76,3.03,376,124
75,T74,T74,Brian Gay,101,3.03,639,211
76,T74,T74,Marc Leishman,87,3.03,575,190
77,T74,T74,Davis Love III,79,3.03,443,146
78,T74,T74,George McNeill,79,3.03,485,160
79,T74,T74,Sean O'Hair,84,3.03,415,137
80,T74,T74,Scott Piercy,88,3.03,588,194
81,T74,T74,Brandt Snedeker,89,3.03,557,184
82,T74,T74,Roger Tambellini,77,3.03,466,154
83,T74,T74,David Toms,86,3.03,522,172
84,T74,T74,Mike Weir,59,3.03,355,117
85,T74,T74,Garrett Willis,82,3.03,569,188
86,T87,T87,David Lutterus,69,3.04,493,162
87,T87,T87,Scott McCarron,90,3.04,578,190
88,T87,T87,Rocco Mediate,71,3.04,501,165
89,T87,T87,John Merrick,109,3.04,758,249
90,T87,T87,Ryan Palmer,84,3.04,551,181
