,Rounds_in_the_60s_RANK THIS WEEK,Rounds_in_the_60s_RANK LAST WEEK,Rounds_in_the_60s_PLAYER NAME,Rounds_in_the_60s_EVENTS,Rounds_in_the_60s_TOTAL RNDS
0,1,1,Spencer Levin,31,52
1,T2,T2,Brendon de Jonge,32,49
2,T2,T2,Matt Kuchar,26,49
3,4,4,Bo Van Pelt,28,48
4,5,5,Charlie Wi,27,47
5,6,6,Charles Howell III,28,46
6,T7,T7,J.B. Holmes,26,44
7,T7,T7,Kevin Na,26,44
8,T7,T7,John Senden,30,44
9,T10,T10,Chad Collins,26,43
10,T10,T10,D.J. Trahan,27,43
11,12,12,Pat Perez,27,42
12,T13,T13,Graham DeLaet,28,40
13,T13,T13,Tom Gillis,27,40
14,T13,T13,Tim Petrovic,32,40
15,T13,T13,Webb Simpson,31,40
16,T17,T17,Ricky Barnes,28,39
17,T17,T17,Brandt Snedeker,26,39
18,T17,T17,Josh Teater,31,39
19,T20,T20,Jason Bohn,25,38
20,T20,T20,Jeff Quinney,29,38
21,T22,T22,Greg Chalmers,27,37
22,T22,T22,Brian Gay,30,37
23,T22,T22,Charley Hoffman,24,37
24,T22,T22,James Nitties,30,37
25,T22,T22,Jeff Overton,26,37
26,T22,T22,Ryan Palmer,27,37
27,T22,T22,Kevin Sutherland,25,37
28,T22,T22,Nick Watney,24,37
29,T22,T22,Boo Weekley,27,37
30,T31,T31,Aaron Baddeley,26,36
31,T31,T31,Rickie Fowler,28,36
32,T31,T31,John Merrick,31,36
33,T31,T31,Carl Pettersson,29,36
34,T31,T31,Alex Prugh,28,36
35,T31,T31,Heath Slocum,25,36
36,T37,T37,Woody Austin,29,35
37,T37,T37,Chad Campbell,28,35
38,T37,T37,K.J. Choi,22,35
39,T37,T37,Michael Connell,25,35
40,T37,T37,Ben Crane,24,35
41,T37,T37,Chris DiMarco,25,35
42,T37,T37,J.J. Henry,27,35
43,T37,T37,Freddie Jacobson,24,35
44,T37,T37,Zach Johnson,25,35
45,T37,T37,Scott McCarron,29,35
46,T37,T37,Joe Ogilvie,32,35
47,T37,T37,Brett Quigley,29,35
48,T37,T37,Kevin Stadler,28,35
49,T37,T37,Kevin Streelman,28,35
50,T51,T51,Jonathan Byrd,26,34
51,T51,T51,Jason Dufner,25,34
52,T51,T51,Jim Furyk,21,34
53,T51,T51,Bill Haas,25,34
54,T51,T51,Richard Johnson,27,34
55,T51,T51,Justin Leonard,27,34
56,T51,T51,Garrett Willis,24,34
57,T58,T58,Paul Casey,17,33
58,T58,T58,Ryuji Imada,28,33
59,T58,T58,Matt Jones,27,33
60,T58,T58,Martin Laird,26,33
61,T58,T58,Vaughn Taylor,26,33
62,T58,T58,Mark Wilson,28,33
63,T64,T64,Blake Adams,26,32
64,T64,T64,Dustin Johnson,23,32
65,T64,T64,Michael Letzig,27,32
66,T64,T64,Ryan Moore,24,32
67,T64,T64,Chris Riley,24,32
68,T64,T64,Andres Romero,21,32
69,T64,T64,Steve Stricker,19,32
70,T64,T64,Chris Stroud,27,32
71,T64,T64,David Toms,25,32
72,T73,T73,Briny Baird,28,31
73,T73,T73,Matt Bettencourt,32,31
74,T73,T73,Kris Blanks,30,31
75,T73,T73,Stewart Cink,23,31
76,T73,T73,Brian Davis,32,31
77,T73,T73,Jerry Kelly,29,31
78,T73,T73,Phil Mickelson,20,31
79,T73,T73,Bryce Molder,26,31
80,T73,T73,Tom Pernice Jr.,22,31
81,T73,T73,Scott Piercy,28,31
82,T73,T73,John Rollins,26,31
83,T84,T84,Stephen Ames,23,30
84,T84,T84,Tim Clark,24,30
85,T84,T84,Jason Day,24,30
86,T84,T84,Joe Durant,19,30
87,T84,T84,Steve Elkington,22,30
88,T84,T84,Retief Goosen,19,30
89,T84,T84,Paul Goydos,25,30
90,T84,T84,J.P. Hayes,25,30
91,T84,T84,George McNeill,28,30
92,T84,T84,Troy Merritt,29,30
93,T84,T84,Bubba Watson,22,30
94,T95,T95,Luke Donald,20,29
95,T95,T95,Bob Estes,26,29
96,T95,T95,Mathew Goggin,28,29
97,T95,T95,Davis Love III,24,29
98,T95,T95,Paul Stankowski,18,29
99,T95,T95,Johnson Wagner,28,29
100,T95,T95,Jimmy Walker,27,29
101,T102,T102,Cameron Beckman,25,28
102,T102,T102,Michael Bradley,24,28
103,T102,T102,James Driscoll,26,28
104,T102,T102,Ernie Els,20,28
105,T102,T102,Billy Mayfair,26,28
106,T102,T102,Justin Rose,22,28
107,T102,T102,Nicholas Thompson,29,28
108,T109,T109,Stuart Appleby,31,27
109,T109,T109,Ben Curtis,24,27
110,T109,T109,Robert Garrigus,22,27
111,T109,T109,Nathan Green,27,27
112,T109,T109,Marc Leishman,26,27
113,T109,T109,Steve Marino,24,27
114,T109,T109,Michael Sim,20,27
115,T109,T109,Vijay Singh,24,27
116,T109,T109,Brian Stuard,28,27
117,T118,T118,Robert Allenby,22,26
118,T118,T118,Cameron Percy,25,26
119,T120,T120,Chris Couch,23,25
120,T120,T120,David Duval,24,25
121,T120,T120,Matt Every,18,25
122,T120,T120,Will MacKenzie,23,25
123,T120,T120,Hunter Mahan,25,25
124,T120,T120,Shaun Micheel,21,25
125,T120,T120,Aron Price,22,25
126,T120,T120,Rory Sabbatini,26,25
127,T120,T120,Camilo Villegas,20,25
128,T120,T120,Charles Warren,21,25
129,T120,T120,Jay Williamson,24,25
130,T120,T120,Dean Wilson,18,25
131,T132,T132,Alex Cejka,28,24
132,T132,T132,Lee Janzen,26,24
133,T132,T132,Derek Lamely,28,24
134,T132,T132,John Mallinger,29,24
135,T132,T132,Troy Matteson,28,24
136,T132,T132,Chris Tidland,24,24
137,T138,T138,Bill Lunde,28,23
138,T138,T138,Jeff Maggert,28,23
139,T138,T138,Kenny Perry,20,23
140,T138,T138,D.A. Points,29,23
141,T138,T138,Jeev Milkha Singh,19,23
142,T138,T138,Roger Tambellini,26,23
143,T138,T138,Scott Verplank,22,23
144,T145,T145,John Daly,20,22
145,T145,T145,Lucas Glover,23,22
146,T145,T145,Tim Herron,24,22
147,T145,T145,Rory McIlroy,16,22
148,T145,T145,Sean O'Hair,25,22
149,T145,T145,Geoff Ogilvy,19,22
150,T145,T145,Ted Purdy,30,22
151,T145,T145,Y.E. Yang,21,22
152,T153,T153,Arjun Atwal,13,21
153,T153,T153,Ángel Cabrera,19,21
154,T153,T153,Martin Flores,26,21
155,T153,T153,Rocco Mediate,25,21
156,T153,T153,Omar Uresti,27,21
157,T153,T153,Brett Wetterich,16,21
158,T159,T159,Brent Delahoussaye,21,20
159,T159,T159,Roland Thatcher,26,20
160,T159,T159,Steve Wheatcroft,27,20
161,T162,T162,Daniel Chopra,28,19
162,T162,T162,Padraig Harrington,18,19
163,T162,T162,Adam Scott,20,19
164,T165,T165,Rich Barcelo,25,18
165,T165,T165,Henrik Bjornstad,26,18
166,T165,T165,Trevor Immelman,19,18
167,T165,T165,Greg Owen,27,18
168,T165,T165,Rod Pampling,26,18
169,T165,T165,Kirk Triplett,11,18
170,T171,T171,Steve Flesch,25,17
171,T171,T171,Mathias Grönberg,22,17
172,T171,T171,Skip Kendall,18,17
173,T171,T171,Anthony Kim,14,17
174,T171,T171,Steve Lowery,25,17
175,T171,T171,Brenden Pappas,24,17
176,T171,T171,Mike Weir,19,17
177,178,178,Garth Mulroy,19,16
178,T179,T179,Glen Day,13,15
179,T179,T179,Sergio Garcia,15,15
180,T179,T179,Todd Hamilton,20,15
181,T179,T179,Jarrod Lyle,18,15
182,T179,T179,Corey Pavin,8,15
183,T179,T179,Lee Westwood,11,15
184,T185,T185,Michael Allen,17,14
185,T185,T185,Craig Bowden,20,14
186,T185,T185,Cliff Kresge,17,14
187,T185,T185,Cameron Tringale,22,14
188,189,189,Jerod Turner,21,13
189,T190,T190,Mark Calcavecchia,16,12
190,T190,T190,Marco Dawson,10,12
191,T190,T190,Henrik Stenson,15,12
192,T190,T190,Tiger Woods,12,12
193,T194,T194,Justin Bolli,23,11
194,T194,T194,Jeff Gove,22,11
195,T194,T194,Mark Hensby,12,11
196,T194,T194,Kent Jones,9,11
197,T194,T194,Jeff Klauk,13,11
198,T194,T194,David Lutterus,25,11
199,T194,T194,Andrew McLardy,21,11
200,T194,T194,Ian Poulter,15,11
201,T194,T194,Chris Wilson,26,11
202,T203,T203,Brad Faxon,23,10
203,T203,T203,Nick O'Hern,11,10
204,T203,T203,Vance Veazey,23,10
205,T203,T203,Matt Weibring,10,10
206,T207,T207,Craig Barlow,10,9
207,T207,T207,Kevin Johnson,26,9
208,T207,T207,Martin Kaymer,10,9
209,T207,T207,Tom Lehman,9,9
210,T207,T207,Graeme McDowell,10,9
211,T207,T207,Charl Schwartzel,11,9
212,T213,T213,Rich Beem,11,8
213,T213,T213,Mark Brooks,14,8
214,T213,T213,Fred Couples,7,8
215,T213,T213,Jason Gore,10,8
216,T213,T213,John Huston,13,8
217,T213,T213,Robert Karlsson,11,8
218,T213,T213,Greg Kraft,22,8
219,T213,T213,Alvaro Quiros,9,8
220,T221,T221,Frank Lickliter II,6,7
221,T221,T221,Tim Wilkinson,15,7
222,T223,T223,Erik Compton,7,6
223,T223,T223,Ken Duke,5,6
224,T223,T223,Ross Fisher,10,6
225,T223,T223,Harrison Frazar,17,6
226,T223,T223,Peter Hanson,7,6
227,T223,T223,Bob Heintz,3,6
228,T223,T223,Francesco Molinari,8,6
229,T223,T223,Chez Reavie,15,6
230,T223,T223,Sam Saunders,7,6
231,T223,T223,Marc Turnesa,7,6
232,T223,T223,Gary Woodland,8,6
233,T234,T234,Shane Bertsch,4,5
234,T234,T234,Billy Horschel,4,5
235,T234,T234,Yuta Ikeda,11,5
236,T234,T234,Jonathan Kaye,6,5
237,T234,T234,WC Liang,4,5
238,T234,T234,Jamie Lovemark,4,5
239,T234,T234,Parker McLachlin,20,5
240,T234,T234,Louis Oosthuizen,5,5
241,T234,T234,Fran Quinn,7,5
242,T234,T234,Oliver Wilson,9,5
243,T244,T244,Guy Boros,6,4
244,T244,T244,Alex Hamilton,2,4
245,T244,T244,Ryo Ishikawa,10,4
246,T244,T244,Miguel Angel Jiménez,7,4
247,T244,T244,Chris Kirk,1,4
248,T244,T244,Jesper Parnevik,5,4
249,T244,T244,Jordan Spieth,2,4
250,T244,T244,Drew Weaver,2,4
251,T252,T252,Brad Adamonis,4,3
252,T252,T252,Alejandro Cañizares,2,3
253,T252,T252,Kevin Chappell,2,3
254,T252,T252,Robert Gamez,8,3
255,T252,T252,Brock Mackenzie,1,3
256,T252,T252,Shigeki Maruyama,4,3
257,T252,T252,Ross McGowan,6,3
258,T252,T252,Edoardo Molinari,8,3
259,T252,T252,Dicky Pride,5,3
260,T252,T252,"Jerry Richardson, Jr.",1,3
261,T252,T252,Robert Rock,1,3
262,T252,T252,Jason Schultz,1,3
263,T252,T252,Mike Small,8,3
264,T252,T252,Kyle Stanley,3,3
265,T252,T252,Jhonattan Vegas,1,3
266,T267,T267,Steve Allan,2,2
267,T267,T267,Tommy Armour III,5,2
268,T267,T267,Paul Azinger,1,2
269,T267,T267,Daniel Barbetti,1,2
270,T267,T267,Notah Begay III,9,2
271,T267,T267,Jim Carter,5,2
272,T267,T267,Michael Clark II,6,2
273,T267,T267,Simon Dyson,8,2
274,T267,T267,John Ellis,1,2
275,T267,T267,Benjamin Fox,3,2
276,T267,T267,Carlos Franco,11,2
277,T267,T267,Fred Funk,6,2
278,T267,T267,Rob Grube,1,2
279,T267,T267,Peter Gustafsson,1,2
280,T267,T267,Adam Hadwin,1,2
281,T267,T267,Soren Hansen,7,2
282,T267,T267,Matt Hill,5,2
283,T267,T267,Brandt Jobe,1,2
284,T267,T267,Simon Khan,4,2
285,T267,T267,Søren Kjeldsen,7,2
286,T267,T267,Thomas Levet,2,2
287,T267,T267,J.L. Lewis,4,2
288,T267,T267,Jon Mills,1,2
289,T267,T267,Patrick Moore,4,2
290,T267,T267,Seung-Yul Noh,5,2
291,T267,T267,Alex Noren,3,2
292,T267,T267,Mark O'Meara,3,2
293,T267,T267,Michael O'Neal,2,2
294,T267,T267,Ryuichi Oda,2,2
295,T267,T267,Warren Schutte,1,2
296,T267,T267,Chris Smith,10,2
297,T267,T267,Phil Tataurangi,4,2
298,T267,T267,Manuel Villegas,2,2
299,T300,T300,Joe Affrunti,1,1
300,T300,T300,Byeong Hun An,8,1
301,T300,T300,Fredrik Andersson Hed,2,1
302,T300,T300,Eric Axley,6,1
303,T300,T300,Jonathan Bartlett,1,1
304,T300,T300,Chris Baryla,7,1
305,T300,T300,Brian Bateman,4,1
306,T300,T300,Brad Benjamin,2,1
307,T300,T300,Ronnie Black,1,1
308,T300,T300,Grégory Bourdy,2,1
309,T300,T300,Ted Brown,1,1
310,T300,T300,Jason Caron,1,1
311,T300,T300,Danny Chia,1,1
312,T300,T300,Wil Collins,1,1
313,T300,T300,Andrew Coltart,1,1
314,T300,T300,Robert Damron,4,1
315,T300,T300,Rhys Davies,4,1
316,T300,T300,Jay Delsing,4,1
317,T300,T300,Nick Dougherty,1,1
318,T300,T300,Bradley Dredge,1,1
319,T300,T300,Brian Duncan,1,1
320,T300,T300,Gonzalo Fernandez-Castaño,3,1
321,T300,T300,Todd Fischer,1,1
322,T300,T300,Trevor Fisher Jr,1,1
323,T300,T300,Philip Francis,1,1
324,T300,T300,Marcus Fraser,1,1
325,T300,T300,Stephen Gallacher,2,1
326,T300,T300,"Jim Gallagher, Jr.",3,1
327,T300,T300,Ignacio Garrido,1,1
328,T300,T300,Brendan Gielow,1,1
329,T300,T300,Derek Gillespie,1,1
330,T300,T300,Anders Hansen,6,1
331,T300,T300,Brian Harman,1,1
332,T300,T300,Grégory Havret,2,1
333,T300,T300,Kevin Hayashi,1,1
334,T300,T300,Jim Herman,1,1
335,T300,T300,David Horsey,2,1
336,T300,T300,Billy Hurley III,1,1
337,T300,T300,Raphael Jacquelin,1,1
338,T300,T300,Thongchai Jaidee,8,1
339,T300,T300,Jin Jeong,1,1
340,T300,T300,James Kingston,1,1
341,T300,T300,Colt Knost,1,1
342,T300,T300,T.J. Kua,1,1
343,T300,T300,Scott Langley,1,1
344,T300,T300,Paul Lawrie,1,1
345,T300,T300,Danny Lee,2,1
346,T300,T300,Beonyeong Lee,1,1
347,T300,T300,Luke List,1,1
348,T300,T300,Shane Lowry,2,1
349,T300,T300,Santiago Luna,1,1
350,T300,T300,Sandy Lyle,3,1
