,Birdie_or_Better_Percentage_-_200_yards_RANK THIS WEEK,Birdie_or_Better_Percentage_-_200_yards_RANK LAST WEEK,Birdie_or_Better_Percentage_-_200_yards_PLAYER NAME,Birdie_or_Better_Percentage_-_200_yards_ROUNDS,Birdie_or_Better_Percentage_-_200_yards_%,Birdie_or_Better_Percentage_-_200_yards_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_200_yards_TOTAL HOLES
0,1,1,Paul Stankowski,62,41.49,78,188
1,2,2,Martin Flores,75,38.37,99,258
2,3,3,Davis Love III,79,38.04,97,255
3,4,4,Rory Sabbatini,79,37.36,102,273
4,5,5,John Daly,63,37.29,66,177
5,6,6,Charles Warren,64,37.14,78,210
6,7,7,Phil Mickelson,76,37.04,100,270
7,8,8,Charley Hoffman,85,36.14,116,321
8,9,9,Pat Perez,90,35.95,119,331
9,10,10,Alex Prugh,88,35.91,107,298
10,11,11,Bo Van Pelt,104,35.8,126,352
11,12,12,J.B. Holmes,100,35.77,132,369
12,13,13,Martin Laird,91,35.67,117,328
13,14,14,James Driscoll,78,35.62,109,306
14,15,15,Troy Merritt,86,35.5,109,307
15,16,16,Graham DeLaet,88,35.49,104,293
16,17,17,Marc Leishman,87,35.32,95,269
17,18,18,Aaron Baddeley,94,35.2,132,375
18,19,19,Chris Couch,66,35.0,91,260
19,20,20,Tom Gillis,97,34.93,124,355
20,21,21,Paul Casey,64,34.86,61,175
21,22,22,Bill Haas,87,34.85,107,307
22,23,23,Steve Wheatcroft,74,34.38,77,224
23,24,24,Sergio Garcia,58,34.31,47,137
24,25,25,Brett Wetterich,54,34.18,67,196
25,26,26,John Merrick,109,34.01,118,347
26,27,27,D.J. Trahan,92,33.93,114,336
27,28,28,Camilo Villegas,78,33.86,85,251
28,29,29,Brett Quigley,96,33.82,115,340
29,30,30,Rory McIlroy,54,33.52,59,176
30,31,31,Retief Goosen,75,33.47,79,236
31,32,32,Daniel Chopra,74,33.46,85,254
32,33,33,Matt Jones,89,33.44,106,317
33,34,34,Josh Teater,101,33.43,113,338
34,35,35,Bubba Watson,77,33.33,92,276
35,36,36,Garth Mulroy,53,33.12,52,157
36,37,37,Dustin Johnson,83,33.09,89,269
37,38,38,Henrik Bjornstad,72,32.91,77,234
38,39,39,Charles Howell III,103,32.65,111,340
39,40,40,Robert Garrigus,71,32.6,74,227
40,41,41,Steve Marino,81,32.54,82,252
41,42,42,Scott Piercy,88,32.53,108,332
42,43,43,Ted Purdy,86,32.36,100,309
43,44,44,Steve Stricker,73,32.34,76,235
44,45,45,Jonathan Byrd,85,32.26,100,310
45,46,46,Joe Ogilvie,99,32.13,107,333
46,47,47,Jason Day,82,32.06,92,287
47,48,48,Matt Every,60,32.04,66,206
48,49,49,John Senden,103,31.9,111,348
49,50,50,Vaughn Taylor,87,31.75,100,315
50,51,51,Chris Tidland,77,31.54,82,260
51,52,52,Michael Letzig,84,31.51,98,311
52,T53,T53,Lucas Glover,75,31.45,78,248
53,T53,T53,Justin Rose,78,31.45,89,283
54,55,55,John Rollins,81,31.37,96,306
55,56,56,Ángel Cabrera,64,31.33,73,233
56,57,57,John Mallinger,78,31.28,71,227
57,58,58,Matt Bettencourt,91,31.23,84,269
58,59,59,Chris Stroud,90,31.21,88,282
59,60,60,Stewart Cink,84,31.2,78,250
60,61,61,Cameron Percy,73,31.17,72,231
61,62,62,Matt Kuchar,97,31.13,99,318
62,63,63,Nick Watney,91,31.09,97,312
63,64,64,Jason Bohn,84,31.06,91,293
64,T65,T65,Bill Lunde,79,31.05,77,248
65,T65,T65,George McNeill,79,31.05,86,277
66,67,67,Cameron Tringale,55,31.03,54,174
67,68,68,Mathias Grönberg,61,30.98,57,184
68,69,69,Andrew McLardy,52,30.97,48,155
69,70,70,Kevin Stadler,86,30.92,94,304
70,71,71,Kevin Streelman,90,30.91,98,317
