,Final_Round_Performance_RANK THIS WEEK,Final_Round_Performance_RANK LAST WEEK,Final_Round_Performance_PLAYER NAME,Final_Round_Performance_EVENTS,Final_Round_Performance_%
0,1,1,Retief Goosen,19,94.12
1,2,2,Paul Casey,17,92.31
2,3,3,Ben Crane,24,88.89
3,T4,T4,James Driscoll,26,83.33
4,T4,T4,Chris Riley,24,83.33
5,T4,T4,D.J. Trahan,27,83.33
6,7,7,Robert Allenby,22,82.35
7,8,8,Matt Kuchar,26,81.82
8,9,9,Ryan Palmer,27,78.57
9,10,10,Charles Howell III,28,78.26
10,T11,T11,Rich Barcelo,25,77.78
11,T11,T11,Jarrod Lyle,18,77.78
12,T11,T11,Steve Stricker,19,77.78
13,T11,T11,Dean Wilson,18,77.78
14,T15,T15,Jonathan Byrd,26,75.0
15,T15,T15,Freddie Jacobson,24,75.0
16,T15,T15,Michael Sim,20,75.0
17,T15,T15,Jimmy Walker,27,75.0
18,19,19,Josh Teater,31,73.68
19,T20,T20,Ryan Moore,24,73.33
20,T20,T20,Vijay Singh,24,73.33
21,T20,T20,Garrett Willis,24,73.33
22,T20,T20,Mark Wilson,28,73.33
23,T24,T24,Rory McIlroy,16,72.73
24,T24,T24,Charles Warren,21,72.73
25,26,26,Jason Dufner,25,72.22
26,27,27,Webb Simpson,31,70.59
27,28,28,Jeev Milkha Singh,19,70.0
28,T29,T29,Billy Mayfair,26,69.23
29,T29,T29,Rory Sabbatini,26,69.23
30,T31,T31,Ernie Els,20,68.75
31,T31,T31,Sean O'Hair,25,68.75
32,T31,T31,Jeff Quinney,29,68.75
33,T31,T31,Justin Rose,22,68.75
34,T31,T31,Chris Stroud,27,68.75
35,T36,T36,Kris Blanks,30,66.67
36,T36,T36,Luke Donald,20,66.67
37,T36,T36,Steve Elkington,22,66.67
38,T36,T36,Bob Estes,26,66.67
39,T36,T36,Martin Laird,26,66.67
40,T36,T36,David Toms,25,66.67
41,T36,T36,Scott Verplank,22,66.67
42,T36,T36,Steve Wheatcroft,27,66.67
43,44,44,Bo Van Pelt,28,65.22
44,45,45,Rickie Fowler,28,65.0
45,T46,T46,Marc Leishman,26,64.71
46,T46,T46,Kevin Streelman,28,64.71
47,T46,T46,Vaughn Taylor,26,64.71
48,T49,T49,Troy Matteson,28,64.29
49,T49,T49,Shaun Micheel,21,64.29
50,51,51,Ricky Barnes,28,63.64
51,52,52,Michael Connell,25,63.16
52,T53,T53,Mathias Grönberg,22,62.5
53,T53,T53,David Lutterus,25,62.5
54,T53,T53,Bryce Molder,26,62.5
55,T53,T53,Bubba Watson,22,62.5
56,57,57,Nick Watney,24,61.9
57,T58,T58,Steve Flesch,25,61.54
58,T58,T58,Nicholas Thompson,29,61.54
59,T60,T60,Stewart Cink,23,61.11
60,T60,T60,Pat Perez,27,61.11
61,T62,T62,Blake Adams,26,60.0
62,T62,T62,Aaron Baddeley,26,60.0
63,T62,T62,Briny Baird,28,60.0
64,T62,T62,Chris Couch,23,60.0
65,T62,T62,Graham DeLaet,28,60.0
66,T62,T62,Bill Lunde,28,60.0
67,T62,T62,Andres Romero,21,60.0
68,T62,T62,Adam Scott,20,60.0
69,T62,T62,Cameron Tringale,22,60.0
70,T62,T62,Y.E. Yang,21,60.0
71,T72,T72,Jim Furyk,21,58.82
72,T72,T72,Steve Marino,24,58.82
73,T74,T74,J.B. Holmes,26,58.33
74,T74,T74,George McNeill,28,58.33
75,T74,T74,Ted Purdy,30,58.33
76,T77,T77,Chad Campbell,28,57.89
77,T77,T77,K.J. Choi,22,57.89
78,T77,T77,Tim Clark,24,57.89
79,T77,T77,Brian Gay,30,57.89
80,T77,T77,Tim Petrovic,32,57.89
81,T77,T77,Brett Quigley,29,57.89
82,T83,T83,Ben Curtis,24,57.14
83,T83,T83,J.P. Hayes,25,57.14
84,T83,T83,Jerod Turner,21,57.14
85,T86,T86,Stephen Ames,23,56.25
86,T86,T86,Jason Bohn,25,56.25
87,T86,T86,Joe Ogilvie,32,56.25
88,T89,T89,Henrik Bjornstad,26,55.56
89,T89,T89,Brian Davis,32,55.56
90,T89,T89,Phil Mickelson,20,55.56
91,T92,T92,Matt Every,18,54.55
92,T92,T92,Padraig Harrington,18,54.55
93,T92,T92,Brian Stuard,28,54.55
94,T95,T95,Tim Herron,24,53.33
95,T95,T95,Kenny Perry,20,53.33
96,T95,T95,D.A. Points,29,53.33
97,T95,T95,Kevin Stadler,28,53.33
98,T99,T99,Richard Johnson,27,52.94
99,T99,T99,Camilo Villegas,20,52.94
100,101,101,Dustin Johnson,23,52.63
101,T102,T102,Tom Gillis,27,52.38
102,T102,T102,Zach Johnson,25,52.38
103,104,104,Heath Slocum,25,52.17
104,T105,T105,Craig Bowden,20,50.0
105,T105,T105,Michael Bradley,24,50.0
106,T105,T105,Alex Cejka,28,50.0
107,T105,T105,Daniel Chopra,28,50.0
108,T105,T105,Jason Day,24,50.0
109,T105,T105,David Duval,24,50.0
110,T105,T105,J.J. Henry,27,50.0
111,T105,T105,Derek Lamely,28,50.0
112,T105,T105,Steve Lowery,25,50.0
113,T105,T105,John Mallinger,29,50.0
114,T105,T105,Kevin Na,26,50.0
115,T105,T105,Jeff Overton,26,50.0
116,T105,T105,Carl Pettersson,29,50.0
117,T105,T105,Ian Poulter,15,50.0
118,T105,T105,Roland Thatcher,26,50.0
119,T105,T105,Mike Weir,19,50.0
120,T121,T121,Jerry Kelly,29,47.62
121,T121,T121,John Senden,30,47.62
122,123,123,Greg Chalmers,27,47.37
123,T124,T124,Charley Hoffman,24,47.06
124,T124,T124,Kevin Sutherland,25,47.06
125,126,126,Scott McCarron,29,46.67
126,T127,T127,Matt Bettencourt,32,46.15
127,T127,T127,Ángel Cabrera,19,46.15
128,T127,T127,Mathew Goggin,28,46.15
129,T127,T127,Paul Stankowski,18,46.15
130,T127,T127,Johnson Wagner,28,46.15
131,T127,T127,Jay Williamson,24,46.15
132,133,133,Charlie Wi,27,45.0
133,T134,T134,Bill Haas,25,44.44
134,T134,T134,Hunter Mahan,25,44.44
135,T136,T136,Chad Collins,26,43.75
136,T136,T136,Michael Letzig,27,43.75
137,138,138,John Merrick,31,43.48
138,T139,T139,Cameron Beckman,25,42.86
139,T139,T139,Paul Goydos,25,42.86
140,T139,T139,Chris Tidland,24,42.86
141,142,142,Stuart Appleby,31,42.11
142,T143,T143,Brendon de Jonge,32,41.67
143,T143,T143,Geoff Ogilvy,19,41.67
144,T143,T143,Rod Pampling,26,41.67
145,146,146,Matt Jones,27,41.18
146,T147,T147,John Daly,20,40.0
147,T147,T147,Davis Love III,24,40.0
148,T147,T147,Andrew McLardy,21,40.0
149,T147,T147,James Nitties,30,40.0
150,T147,T147,Scott Piercy,28,40.0
151,152,152,Brandt Snedeker,26,38.89
152,T153,T153,Will MacKenzie,23,38.46
153,T153,T153,Aron Price,22,38.46
154,T155,T155,Mark Calcavecchia,16,37.5
155,T155,T155,Ryuji Imada,28,37.5
156,T155,T155,Cliff Kresge,17,37.5
157,T155,T155,Spencer Levin,31,37.5
158,T155,T155,Boo Weekley,27,37.5
159,T160,T160,Martin Flores,26,36.36
160,T160,T160,Lee Janzen,26,36.36
161,T160,T160,Brett Wetterich,16,36.36
162,163,163,John Rollins,26,35.71
163,164,164,Justin Leonard,27,35.29
164,T165,T165,Justin Bolli,23,33.33
165,T165,T165,Sergio Garcia,15,33.33
166,T165,T165,Lucas Glover,23,33.33
167,T165,T165,Greg Kraft,22,33.33
168,T165,T165,Troy Merritt,29,33.33
169,T165,T165,Garth Mulroy,19,33.33
170,T165,T165,Roger Tambellini,26,33.33
171,T165,T165,Omar Uresti,27,33.33
172,T165,T165,Vance Veazey,23,33.33
173,T165,T165,Chris Wilson,26,33.33
174,175,175,Woody Austin,29,31.25
175,176,176,Rocco Mediate,25,30.0
176,T177,T177,Brent Delahoussaye,21,28.57
177,T177,T177,Joe Durant,19,28.57
178,T177,T177,Robert Garrigus,22,28.57
179,T177,T177,Tom Pernice Jr.,22,28.57
180,T181,T181,Jeff Maggert,28,27.27
181,T181,T181,Cameron Percy,25,27.27
182,183,183,Alex Prugh,28,26.67
183,184,184,Chris DiMarco,25,26.32
184,T185,T185,Nathan Green,27,25.0
185,T185,T185,Trevor Immelman,19,25.0
186,T185,T185,Kevin Johnson,26,25.0
187,T185,T185,Brenden Pappas,24,25.0
188,T189,T189,Brad Faxon,23,20.0
189,T189,T189,Jeff Gove,22,20.0
190,191,191,Skip Kendall,18,18.18
191,192,192,Greg Owen,27,11.11
