,Birdie_to_Bogey_Ratio_RANK THIS WEEK,Birdie_to_Bogey_Ratio_RANK LAST WEEK,Birdie_to_Bogey_Ratio_PLAYER NAME,Birdie_to_Bogey_Ratio_ROUNDS,Birdie_to_Bogey_Ratio_BIRDIE TO BOGEY RATIO,Birdie_to_Bogey_Ratio_TOTAL BIRDIES AND BETTER,Birdie_to_Bogey_Ratio_TOTAL BOGEYS AND WORSE
0,1,1,Matt Kuchar,97,1.81,386,213
1,2,2,Steve Stricker,73,1.68,285,170
2,3,3,Dean Wilson,54,1.64,193,118
3,4,4,Charles Howell III,103,1.62,373,230
4,T5,T5,Paul Casey,64,1.58,232,147
5,T5,T5,Retief Goosen,75,1.58,270,171
6,7,7,Steve Elkington,74,1.56,259,166
7,8,8,Pat Perez,90,1.53,355,232
8,T9,T9,Paul Stankowski,62,1.52,252,166
9,T9,T9,Kevin Sutherland,86,1.52,306,201
10,T11,T11,Kevin Na,94,1.51,354,235
11,T11,T11,Bo Van Pelt,104,1.51,407,270
12,13,13,Justin Rose,78,1.5,304,202
13,T14,T14,Charley Hoffman,85,1.48,346,233
14,T14,T14,Charlie Wi,95,1.48,348,235
15,T16,T16,Graham DeLaet,88,1.47,345,235
16,T16,T16,Luke Donald,71,1.47,242,165
17,T16,T16,Joe Durant,67,1.47,247,168
18,T19,T19,Ernie Els,72,1.46,268,184
19,T19,T19,Freddie Jacobson,83,1.46,306,210
20,T21,T21,Jonathan Byrd,85,1.45,317,219
21,T21,T21,Jim Furyk,76,1.45,272,188
22,T21,T21,Spencer Levin,110,1.45,408,281
23,T24,T24,Brendon de Jonge,114,1.44,440,306
24,T24,T24,Phil Mickelson,76,1.44,308,214
25,T26,T26,Greg Chalmers,93,1.43,334,233
26,T26,T26,Chad Collins,87,1.43,310,217
27,T28,T28,K.J. Choi,82,1.42,303,213
28,T28,T28,David Toms,86,1.42,322,226
29,T28,T28,Nick Watney,91,1.42,363,255
30,T31,T31,Tim Clark,88,1.41,304,216
31,T31,T31,Tom Gillis,97,1.41,403,286
32,T31,T31,J.B. Holmes,100,1.41,395,281
33,T31,T31,Chris Riley,73,1.41,250,177
34,T31,T31,Bubba Watson,77,1.41,316,224
35,T36,T36,Rickie Fowler,98,1.4,364,260
36,T36,T36,John Senden,103,1.4,371,265
37,T38,T38,Brian Gay,101,1.39,338,244
38,T38,T38,Bill Haas,87,1.39,332,239
39,T38,T38,Tom Pernice Jr.,74,1.39,258,186
40,T38,T38,Aron Price,70,1.39,264,190
41,T42,T42,Matt Jones,89,1.38,340,246
42,T42,T42,Heath Slocum,97,1.38,342,247
43,T44,T44,Chris Couch,66,1.37,272,199
44,T44,T44,Carl Pettersson,99,1.37,360,263
45,T46,T46,Ben Crane,85,1.36,319,235
46,T46,T46,Zach Johnson,93,1.36,347,256
47,T46,T46,Ryan Moore,80,1.36,296,218
48,T46,T46,Kevin Streelman,90,1.36,360,265
49,T46,T46,Vaughn Taylor,87,1.36,331,244
50,T51,T51,Dustin Johnson,83,1.35,339,251
51,T51,T51,D.J. Trahan,92,1.35,361,267
52,T51,T51,Mark Wilson,87,1.35,296,220
53,T54,T54,Chris DiMarco,88,1.34,296,221
54,T54,T54,Bryce Molder,84,1.34,312,232
55,T54,T54,Jeff Overton,89,1.34,344,256
56,T54,T54,Michael Sim,64,1.34,226,169
57,T54,T54,Webb Simpson,98,1.34,369,276
