,Proximity_to_Hole_from_30_yards_RANK THIS WEEK,Proximity_to_Hole_from_30_yards_RANK LAST WEEK,Proximity_to_Hole_from_30_yards_PLAYER NAME,Proximity_to_Hole_from_30_yards_ROUNDS,Proximity_to_Hole_from_30_yards_AVG DTP,Proximity_to_Hole_from_30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_30_yards_# OF SHOTS,Proximity_to_Hole_from_30_yards_SCRAMBLING RANK
0,1,1,Padraig Harrington,54,"8' 5""",377.25,45,64
1,2,2,Scott Stallings,74,"8' 9""",427.75,49,103
2,3,3,Billy Hurley III,66,"9' 3""",332.083,36,32
3,T4,T4,James Hahn,85,"9' 7""",413.5,43,150
4,T4,T4,Vaughn Taylor,72,"9' 7""",420.083,44,163
5,6,6,Vijay Singh,72,"9' 8""",647.5,67,135
6,7,7,Jamie Lovemark,91,"9' 9""",896.0,92,36
7,T8,T8,Luke Guthrie,57,"9' 11""",416.0,42,50
8,T8,T8,Shawn Stefani,91,"9' 11""",694.5,70,49
9,T10,T10,Charles Howell III,91,"10' 1""",736.0830000000001,73,44
10,T10,T10,Brandt Snedeker,93,"10' 1""",573.3330000000001,57,16
11,T12,T12,Jordan Spieth,80,"10' 2""",489.417,48,9
12,T12,T12,Steve Stricker,53,"10' 2""",407.167,40,1
13,T14,T14,Branden Grace,63,"10' 3""",286.66700000000003,28,82
14,T14,T14,J.B. Holmes,77,"10' 3""",615.0,60,130
15,T16,T16,Jason Day,76,"10' 4""",537.0,52,26
16,T16,T16,Dustin Johnson,87,"10' 4""",494.583,48,70
17,T16,T16,Jimmy Walker,85,"10' 4""",774.9169999999999,75,112
18,19,19,Tyler Aldridge,83,"10' 5""",521.5,50,105
19,T20,T20,Si Woo Kim,113,"10' 6""",1085.0,103,20
20,T20,T20,Robert Streb,87,"10' 6""",513.0830000000001,49,149
21,T22,T22,Graeme McDowell,63,"10' 7""",360.083,34,86
22,T22,T22,Louis Oosthuizen,63,"10' 7""",284.75,27,167
23,T24,T24,Adam Hadwin,93,"10' 8""",813.6669999999999,76,97
24,T24,T24,Tyrone Van Aswegen,105,"10' 8""",745.8330000000001,70,47
25,26,26,Troy Merritt,77,"10' 9""",645.8330000000001,60,107
26,27,27,Russell Knox,92,"10' 11""",459.0,42,28
27,28,28,Luke List,79,"11' 0""",626.5830000000001,57,44
28,T29,T29,Tom Hoge,81,"11' 1""",497.417,45,91
29,T29,T29,Smylie Kaufman,91,"11' 1""",740.4169999999999,67,159
30,T29,T29,Marc Leishman,89,"11' 1""",610.25,55,56
31,T29,T29,Kevin Na,96,"11' 1""",588.0830000000001,53,89
32,T29,T29,Jeff Overton,69,"11' 1""",776.8330000000001,70,11
33,T34,T34,Blayne Barber,84,"11' 2""",672.0,60,115
34,T34,T34,Ken Duke,58,"11' 2""",378.5,34,177
35,T34,T34,Jason Kokrak,89,"11' 2""",514.25,46,92
36,T34,T34,Martin Laird,82,"11' 2""",567.8330000000001,51,92
37,T34,T34,Scott Langley,65,"11' 2""",615.8330000000001,55,19
38,T34,T34,Charl Schwartzel,73,"11' 2""",502.083,45,69
39,T34,T34,Brendon Todd,66,"11' 2""",668.5830000000001,60,35
40,T41,T41,Phil Mickelson,75,"11' 3""",651.3330000000001,58,4
41,T41,T41,Ryan Moore,86,"11' 3""",697.5830000000001,62,61
42,T41,T41,Rod Pampling,54,"11' 3""",292.25,26,30
43,T41,T41,Brendan Steele,88,"11' 3""",551.5,49,162
44,T45,T45,Abraham Ancer,51,"11' 4""",374.0,33,131
45,T45,T45,Kevin Chappell,93,"11' 4""",545.4169999999999,48,79
46,T45,T45,Erik Compton,65,"11' 4""",464.833,41,128
47,T45,T45,Jim Furyk,52,"11' 4""",284.08299999999997,25,119
48,T45,T45,Robert Garrigus,69,"11' 4""",475.167,42,172
49,T50,T50,Aaron Baddeley,93,"11' 5""",842.75,74,5
50,T50,T50,Sergio Garcia,54,"11' 5""",341.417,30,113
51,T50,T50,Lucas Glover,75,"11' 5""",546.9169999999999,48,123
52,T50,T50,Patrick Reed,105,"11' 5""",729.8330000000001,64,8
53,T50,T50,Kyle Reifers,115,"11' 5""",706.0830000000001,62,147
54,T55,T55,Bill Haas,86,"11' 6""",599.3330000000001,52,12
55,T55,T55,Brian Harman,104,"11' 6""",865.0,75,38
56,T55,T55,Charley Hoffman,91,"11' 6""",436.75,38,111
57,T55,T55,Zach Johnson,90,"11' 6""",669.25,58,24
58,T55,T55,David Toms,62,"11' 6""",460.833,40,43
59,T55,T55,Steve Wheatcroft,85,"11' 6""",642.0830000000001,56,54
60,T61,T61,Ricky Barnes,97,"11' 7""",810.5830000000001,70,66
61,T61,T61,Billy Horschel,73,"11' 7""",543.0830000000001,47,166
62,T61,T61,Willy Wilcox,67,"11' 7""",473.667,41,100
63,T64,T64,Stuart Appleby,71,"11' 8""",465.5,40,14
64,T64,T64,Tony Finau,95,"11' 8""",852.8330000000001,73,105
65,T64,T64,Jim Herman,93,"11' 8""",561.0830000000001,48,85
66,T64,T64,Seung-Yul Noh,85,"11' 8""",872.6669999999999,75,118
67,T64,T64,Justin Thomas,99,"11' 8""",745.5830000000001,64,151
68,T69,T69,Steven Bowditch,71,"11' 9""",728.0830000000001,62,185
69,T69,T69,Chesson Hadley,81,"11' 9""",726.6669999999999,62,168
70,T69,T69,Hiroshi Iwata,85,"11' 9""",597.5830000000001,51,77
71,T69,T69,Webb Simpson,70,"11' 9""",423.667,36,75
72,T73,T73,Keegan Bradley,82,"11' 10""",439.167,37,165
73,T73,T73,Chad Collins,73,"11' 10""",794.9169999999999,67,51
74,T73,T73,Rickie Fowler,80,"11' 10""",651.8330000000001,55,21
75,T76,T76,Brian Stuard,66,"11' 11""",394.0,33,23
76,T76,T76,Jhonattan Vegas,97,"11' 11""",919.5,77,84
77,T78,T78,Derek Ernst,59,"12' 0""",455.417,38,52
78,T78,T78,John Huh,86,"12' 0""",790.0,66,25
79,T80,T80,Jason Dufner,105,"12' 1""",710.9169999999999,59,139
80,T80,T80,Morgan Hoffmann,71,"12' 1""",750.5830000000001,62,99
81,T80,T80,Kelly Kraft,63,"12' 1""",409.5,34,145
82,T80,T80,Hideki Matsuyama,76,"12' 1""",470.667,39,46
83,T84,T84,Freddie Jacobson,86,"12' 2""",691.9169999999999,57,58
84,T84,T84,Jerry Kelly,76,"12' 2""",364.833,30,7
85,T84,T84,Brooks Koepka,75,"12' 2""",557.75,46,152
86,T84,T84,Danny Lee,93,"12' 2""",585.9169999999999,48,122
87,T84,T84,Adam Scott,79,"12' 2""",473.667,39,74
88,T89,T89,Roberto Castro,97,"12' 3""",808.9169999999999,66,62
89,T89,T89,Ernie Els,66,"12' 3""",711.0830000000001,58,163
90,T89,T89,Fabián Gómez,82,"12' 3""",843.5830000000001,69,132
91,T89,T89,Matt Kuchar,100,"12' 3""",638.4169999999999,52,34
92,T89,T89,David Lingmerth,84,"12' 3""",600.3330000000001,49,71
93,T89,T89,Andrew Loupe,75,"12' 3""",819.9169999999999,67,175
94,T89,T89,Michael Thompson,71,"12' 3""",417.667,34,116
95,T96,T96,Luke Donald,81,"12' 4""",469.75,38,6
96,T96,T96,Rob Oppenheim,67,"12' 4""",455.333,37,72
97,T96,T96,Rory Sabbatini,57,"12' 4""",577.8330000000001,47,137
98,T99,T99,Daniel Berger,92,"12' 5""",720.1669999999999,58,127
99,T99,T99,Jason Bohn,67,"12' 5""",560.1669999999999,45,144
100,T99,T99,Alex Cejka,71,"12' 5""",572.5,46,3
101,T99,T99,Sean O'Hair,89,"12' 5""",1027.583,83,110
102,T99,T99,Sam Saunders,69,"12' 5""",520.75,42,132
103,T99,T99,Johnson Wagner,86,"12' 5""",758.25,61,109
104,T105,T105,Bronson Burgoon,83,"12' 6""",574.8330000000001,46,94
105,T105,T105,Harris English,97,"12' 6""",600.5830000000001,48,63
106,T105,T105,Andres Gonzales,80,"12' 6""",711.1669999999999,57,148
107,T105,T105,Sung Kang,89,"12' 6""",812.4169999999999,65,68
108,T105,T105,Chris Kirk,90,"12' 6""",612.0,49,16
109,T110,T110,Jon Curran,99,"12' 7""",730.1669999999999,58,13
110,T110,T110,Carlos Ortiz,79,"12' 7""",805.1669999999999,64,184
111,T110,T110,Chris Stroud,82,"12' 7""",790.25,63,126
112,T110,T110,Gary Woodland,95,"12' 7""",782.1669999999999,62,59
113,114,114,Camilo Villegas,83,"12' 8""",707.75,56,73
114,T115,T115,Matt Jones,83,"12' 9""",830.1669999999999,65,140
115,T115,T115,Tim Wilkinson,72,"12' 9""",445.917,35,10
116,T117,T117,Ben Crane,80,"12' 10""",730.75,57,31
117,T117,T117,Emiliano Grillo,93,"12' 10""",703.6669999999999,55,156
118,T117,T117,David Hearn,95,"12' 10""",512.1669999999999,40,40
119,T117,T117,Bryce Molder,80,"12' 10""",617.5830000000001,48,2
120,T117,T117,Geoff Ogilvy,63,"12' 10""",460.583,36,142
121,T117,T117,Ryan Palmer,86,"12' 10""",627.0,49,114
122,T117,T117,Wes Roach,59,"12' 10""",435.25,34,146
123,T117,T117,Nick Taylor,83,"12' 10""",730.5,57,78
124,T125,T125,Scott Brown,88,"12' 11""",722.9169999999999,56,83
125,T125,T125,Derek Fathauer,94,"12' 11""",978.5830000000001,76,81
126,T125,T125,Justin Rose,65,"12' 11""",786.9169999999999,61,102
127,T125,T125,Cameron Tringale,81,"12' 11""",984.6669999999999,76,124
128,129,129,Peter Malnati,85,"13' 0""",857.5830000000001,66,87
129,T130,T130,Robert Allenby,51,"13' 1""",392.5,30,182
130,T130,T130,Zac Blair,99,"13' 1""",666.3330000000001,51,16
131,T130,T130,Ben Martin,92,"13' 1""",731.4169999999999,56,160
132,T130,T130,William McGirt,98,"13' 1""",879.0,67,48
133,T130,T130,Francesco Molinari,64,"13' 1""",563.1669999999999,43,53
134,T130,T130,Scott Piercy,87,"13' 1""",798.6669999999999,61,117
135,T130,T130,Cameron Smith,73,"13' 1""",549.6669999999999,42,153
136,T130,T130,Brett Stegmaier,87,"13' 1""",616.75,47,97
137,T138,T138,D.H. Lee,61,"13' 2""",473.75,36,183
138,T138,T138,Daniel Summerhays,99,"13' 2""",1121.083,85,121
139,T138,T138,Bubba Watson,72,"13' 2""",592.25,45,176
140,T141,T141,Thomas Aiken,70,"13' 3""",423.0,32,143
141,T141,T141,Spencer Levin,104,"13' 3""",756.0,57,76
142,T141,T141,Henrik Norlander,71,"13' 3""",557.3330000000001,42,57
143,T141,T141,Scott Pinckney,87,"13' 3""",757.4169999999999,57,177
144,T145,T145,Chad Campbell,90,"13' 4""",824.9169999999999,62,21
145,T145,T145,Will MacKenzie,84,"13' 4""",785.3330000000001,59,120
146,T145,T145,Greg Owen,85,"13' 4""",801.5,60,181
147,T148,T148,Rhein Gibson,58,"13' 5""",523.5,39,160
148,T148,T148,Colt Knost,90,"13' 5""",659.1669999999999,49,27
149,T148,T148,Steve Marino,72,"13' 5""",683.0,51,125
150,T148,T148,John Senden,88,"13' 5""",923.75,69,80
151,T148,T148,Hudson Swafford,104,"13' 5""",885.3330000000001,66,158
152,T148,T148,Boo Weekley,83,"13' 5""",642.4169999999999,48,94
153,T154,T154,Retief Goosen,55,"13' 6""",729.8330000000001,54,59
154,T154,T154,Martin Piller,59,"13' 6""",445.833,33,90
155,T154,T154,Dawie van der Walt,72,"13' 6""",703.5830000000001,52,180
156,T157,T157,Kevin Kisner,97,"13' 8""",805.8330000000001,59,129
157,T157,T157,Kevin Streelman,82,"13' 8""",683.5830000000001,50,174
158,T157,T157,Harold Varner III,92,"13' 8""",999.5830000000001,73,134
159,160,160,Patton Kizzire,93,"13' 9""",923.5830000000001,67,141
160,161,161,Jonas Blixt,79,"13' 10""",898.4169999999999,65,42
161,162,162,Rory McIlroy,69,"13' 11""",515.9169999999999,37,88
162,T163,T163,Stewart Cink,61,"14' 0""",517.1669999999999,37,170
163,T163,T163,Whee Kim,82,"14' 0""",1051.25,75,104
164,T163,T163,Mark Wilson,66,"14' 0""",449.25,32,54
165,T166,T166,Hunter Mahan,61,"14' 1""",786.75,56,154
166,T166,T166,Patrick Rodgers,89,"14' 1""",931.6669999999999,66,101
167,T168,T168,J.J. Henry,68,"14' 2""",750.1669999999999,53,173
168,T168,T168,D.A. Points,55,"14' 2""",438.333,31,108
169,T170,T170,Graham DeLaet,70,"14' 4""",716.6669999999999,50,179
170,T170,T170,Shane Lowry,57,"14' 4""",415.0,29,169
171,T170,T170,Kyle Stanley,92,"14' 4""",918.3330000000001,64,155
172,173,173,Anirban Lahiri,72,"14' 5""",792.6669999999999,55,138
173,T174,T174,Paul Casey,77,"14' 6""",639.25,44,36
174,T174,T174,Dicky Pride,55,"14' 6""",449.417,31,67
175,176,176,George McNeill,51,"14' 9""",575.9169999999999,39,171
176,177,177,Mark Hubbard,101,"15' 0""",1003.8330000000001,67,65
177,178,178,Russell Henley,76,"15' 5""",662.0830000000001,43,41
178,179,179,Brendon de Jonge,83,"15' 6""",1054.25,68,136
179,180,180,Michael Kim,100,"15' 8""",941.6669999999999,60,39
180,181,181,K.J. Choi,73,"15' 10""",793.0830000000001,50,33
181,182,182,Ángel Cabrera,62,"16' 2""",887.1669999999999,55,156
182,183,183,Jason Gore,78,"16' 3""",439.667,27,96
183,184,184,Chez Reavie,90,"16' 4""",720.0,44,15
184,185,185,Andrew Landry,53,"16' 5""",377.583,23,28
