,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
0,1,1,Sean O'Hair,89,62.42,93,149,29.0
1,2,2,Jason Day,76,62.26,66,106,23.0
2,3,3,Phil Mickelson,75,61.54,80,130,29.0
3,4,4,Jonas Blixt,79,61.29,95,155,31.0
4,5,5,Aaron Baddeley,93,61.07,91,149,29.0
5,6,6,Jon Curran,99,61.05,116,190,64.0
6,7,7,Brendon Todd,66,59.48,69,116,40.0
7,8,8,John Huh,86,59.44,85,143,33.0
8,9,9,Robert Allenby,51,59.15,42,71,24.0
9,10,10,Tyrone Van Aswegen,105,58.96,102,173,51.0
10,11,11,Bryce Molder,80,58.27,81,139,37.0
11,12,12,Martin Piller,59,58.23,46,79,37.0
12,T13,T13,Sergio Garcia,54,57.83,48,83,14.0
13,T13,T13,Padraig Harrington,54,57.83,48,83,23.0
14,T13,T13,Michael Kim,100,57.83,96,166,50.0
15,16,16,David Toms,62,57.47,50,87,37.0
16,17,17,Steven Bowditch,71,57.43,85,148,58.0
17,18,18,Chris Kirk,90,57.42,89,155,51.0
18,19,19,Stuart Appleby,71,57.27,63,110,33.0
19,20,20,Brandt Snedeker,93,57.14,80,140,32.0
20,T21,T21,Russell Henley,76,56.8,71,125,32.0
21,T21,T21,Danny Lee,93,56.8,96,169,59.0
22,23,23,Patrick Reed,105,56.71,93,164,36.0
23,24,24,Ben Crane,80,56.59,73,129,35.0
24,25,25,Dicky Pride,55,56.57,56,99,28.0
25,26,26,Kyle Reifers,115,56.5,100,177,28.0
26,27,27,K.J. Choi,73,56.25,81,144,49.0
27,28,28,Luke Donald,81,56.16,82,146,34.0
28,29,29,Tim Wilkinson,72,56.1,46,82,23.0
29,30,30,Brendan Steele,88,55.96,61,109,24.0
30,31,31,Justin Rose,65,55.46,66,119,34.0
31,32,32,Hiroshi Iwata,85,55.41,87,157,60.0
32,33,33,Cameron Smith,73,55.34,57,103,46.0
33,T34,T34,Chad Campbell,90,55.32,78,141,38.0
34,T34,T34,Marc Leishman,89,55.32,78,141,38.0
35,36,36,Brian Harman,104,55.26,105,190,58.0
36,T37,T37,Freddie Jacobson,86,55.0,77,140,59.0
37,T37,T37,Mark Wilson,66,55.0,44,80,26.0
38,39,39,Adam Hadwin,93,54.78,86,157,43.0
39,40,40,Jordan Spieth,80,54.7,64,117,39.0
40,41,41,Matt Kuchar,100,54.61,83,152,46.0
41,42,42,Fabián Gómez,82,54.55,78,143,37.0
42,43,43,Luke List,79,54.4,68,125,40.0
43,44,44,Brian Stuard,66,54.35,50,92,34.0
44,45,45,Alex Cejka,71,54.32,44,81,16.0
45,46,46,Steve Stricker,53,54.26,51,94,33.0
46,47,47,J.B. Holmes,77,53.91,69,128,39.0
47,48,48,Jerry Kelly,76,53.85,63,117,47.0
48,49,49,David Hearn,95,53.73,72,134,52.0
49,50,50,Mark Hubbard,101,53.72,101,188,57.0
50,51,51,Zach Johnson,90,53.68,73,136,44.0
51,T52,T52,Troy Merritt,77,53.44,70,131,55.0
52,T52,T52,Webb Simpson,70,53.44,70,131,40.0
53,54,54,Chez Reavie,90,53.24,74,139,40.0
54,55,55,Tyler Aldridge,83,53.21,58,109,38.0
55,56,56,Retief Goosen,55,53.19,50,94,28.0
56,57,57,Louis Oosthuizen,63,53.0,53,100,28.0
57,58,58,Hideki Matsuyama,76,52.99,62,117,30.0
58,59,59,Seung-Yul Noh,85,52.94,72,136,53.0
59,60,60,Smylie Kaufman,91,52.87,83,157,51.0
60,61,61,Scott Langley,65,52.73,58,110,32.0
61,62,62,Brendon de Jonge,83,52.71,68,129,37.0
62,63,63,Scott Piercy,87,52.63,80,152,41.0
63,64,64,Erik Compton,65,52.59,61,116,38.0
64,65,65,Hunter Mahan,61,52.58,51,97,35.0
65,66,66,Michael Thompson,71,52.44,43,82,27.0
66,67,67,Chad Collins,73,52.42,65,124,51.0
67,68,68,Ricky Barnes,97,52.38,77,147,43.0
68,T69,T69,Jamie Lovemark,91,52.23,82,157,43.0
69,T69,T69,Justin Thomas,99,52.23,82,157,48.0
70,71,71,Rickie Fowler,80,52.03,64,123,35.0
71,72,72,Brooks Koepka,75,51.75,59,114,39.0
72,73,73,Shawn Stefani,91,51.49,69,134,40.0
73,74,74,Blayne Barber,84,51.46,53,103,38.0
74,75,75,Morgan Hoffmann,71,51.43,54,105,39.0
75,76,76,Sung Kang,89,51.41,73,142,38.0
76,77,77,Peter Malnati,85,51.39,74,144,54.0
77,78,78,Charl Schwartzel,73,51.16,66,129,36.0
78,79,79,Colt Knost,90,51.06,72,141,66.0
79,80,80,Adam Scott,79,50.94,54,106,29.0
80,81,81,Martin Laird,82,50.91,56,110,27.0
81,82,82,Ryan Moore,86,50.83,61,120,44.0
82,83,83,Si Woo Kim,113,50.79,96,189,49.0
83,84,84,Matt Jones,83,50.75,68,134,37.0
84,85,85,Roberto Castro,97,50.67,76,150,44.0
85,86,86,Luke Guthrie,57,50.65,39,77,24.0
86,87,87,Paul Casey,77,50.44,57,113,33.0
87,88,88,Vaughn Taylor,72,50.42,60,119,44.0
88,89,89,Charles Howell III,91,50.41,62,123,42.0
89,90,90,Bill Haas,86,50.35,72,143,44.0
90,T91,T91,Scott Brown,88,50.0,83,166,66.0
91,T91,T91,Tom Hoge,81,50.0,53,106,35.0
92,T91,T91,Russell Knox,92,50.0,66,132,44.0
93,T91,T91,Henrik Norlander,71,50.0,47,94,34.0
94,95,95,Steve Marino,72,49.56,56,113,36.0
95,96,96,Billy Horschel,73,49.55,55,111,30.0
96,97,97,George McNeill,51,49.47,47,95,39.0
97,98,98,Branden Grace,63,49.45,45,91,35.0
98,99,99,Harris English,97,49.32,73,148,59.0
99,100,100,Hudson Swafford,104,49.09,81,165,55.0
100,101,101,Graeme McDowell,63,49.04,51,104,35.0
101,102,102,Rod Pampling,54,48.91,45,92,29.0
102,103,103,Gary Woodland,95,48.85,64,131,41.0
103,104,104,Jason Kokrak,89,48.7,56,115,39.0
104,105,105,Andres Gonzales,80,48.65,54,111,49.0
105,106,106,Rory Sabbatini,57,48.6,52,107,47.0
106,107,107,Cameron Tringale,81,48.57,68,140,46.0
107,108,108,Derek Ernst,59,48.42,46,95,33.0
108,T109,T109,Zac Blair,99,48.37,89,184,74.0
109,T109,T109,Jim Herman,93,48.37,74,153,60.0
110,111,111,John Senden,88,48.15,65,135,55.0
111,112,112,Charley Hoffman,91,47.97,71,148,44.0
112,113,113,Sam Saunders,69,47.93,58,121,32.0
113,114,114,Kelly Kraft,63,47.92,46,96,26.0
114,115,115,William McGirt,98,47.85,89,186,55.0
115,116,116,Emiliano Grillo,93,47.74,74,155,46.0
116,117,117,J.J. Henry,68,47.73,42,88,28.0
117,118,118,Bronson Burgoon,83,47.71,52,109,32.0
118,119,119,Rory McIlroy,69,47.52,48,101,34.0
119,120,120,Bubba Watson,72,47.32,53,112,39.0
120,121,121,Shane Lowry,57,47.19,42,89,33.0
121,122,122,Chesson Hadley,81,47.14,66,140,54.0
122,123,123,Rhein Gibson,58,46.97,31,66,25.0
123,124,124,Billy Hurley III,66,46.88,45,96,40.0
124,125,125,Jimmy Walker,85,46.76,65,139,44.0
125,126,126,Abraham Ancer,51,46.75,36,77,37.0
126,T127,T127,Tony Finau,95,46.43,78,168,52.0
127,T127,T127,Jhonattan Vegas,97,46.43,65,140,31.0
128,129,129,Will MacKenzie,84,46.4,58,125,46.0
129,130,130,Spencer Levin,104,46.36,70,151,51.0
130,131,131,Derek Fathauer,94,46.07,82,178,73.0
131,132,132,Ryan Palmer,86,45.98,80,174,47.0
132,T133,T133,David Lingmerth,84,45.97,57,124,57.0
133,T133,T133,Johnson Wagner,86,45.97,57,124,47.0
134,135,135,Jim Furyk,52,45.95,34,74,31.0
135,136,136,Robert Streb,87,45.93,62,135,51.0
136,T137,T137,Daniel Berger,92,45.86,72,157,36.0
137,T137,T137,Kevin Na,96,45.86,72,157,66.0
138,139,139,Rob Oppenheim,67,45.61,52,114,49.0
139,140,140,Geoff Ogilvy,63,45.54,46,101,43.0
140,141,141,Camilo Villegas,83,45.32,63,139,59.0
141,142,142,Andrew Loupe,75,45.3,53,117,37.0
142,143,143,Jason Dufner,105,45.28,72,159,66.0
143,144,144,Dustin Johnson,87,45.24,57,126,46.0
144,145,145,Nick Taylor,83,45.19,61,135,46.0
145,146,146,Patton Kizzire,93,44.96,58,129,48.0
146,147,147,Kevin Chappell,93,44.94,71,158,47.0
147,148,148,Ken Duke,58,44.72,55,123,46.0
148,149,149,Francesco Molinari,64,44.68,42,94,35.0
149,150,150,Daniel Summerhays,99,44.51,81,182,68.0
150,151,151,Andrew Landry,53,44.44,36,81,34.0
151,152,152,Kevin Kisner,97,44.3,66,149,55.0
152,153,153,Graham DeLaet,70,44.26,54,122,46.0
153,154,154,Thomas Aiken,70,44.05,37,84,30.0
154,155,155,Stewart Cink,61,43.82,39,89,33.0
155,156,156,Jeff Overton,69,43.7,52,119,48.0
156,157,157,Wes Roach,59,43.68,38,87,45.0
157,158,158,Anirban Lahiri,72,43.55,54,124,45.0
158,159,159,Steve Wheatcroft,85,43.38,59,136,64.0
159,160,160,Harold Varner III,92,43.08,56,130,48.0
160,161,161,D.A. Points,55,43.04,34,79,28.0
161,162,162,Vijay Singh,72,42.97,55,128,51.0
162,T163,T163,Ángel Cabrera,62,42.86,42,98,48.0
163,T163,T163,Willy Wilcox,67,42.86,54,126,56.0
164,165,165,Jason Gore,78,42.61,49,115,53.0
165,166,166,Lucas Glover,75,42.59,46,108,43.0
166,167,167,Boo Weekley,83,42.52,54,127,50.0
167,168,168,D.H. Lee,61,42.42,42,99,49.0
168,T169,T169,Jason Bohn,67,42.15,51,121,57.0
169,T169,T169,Patrick Rodgers,89,42.15,51,121,46.0
170,171,171,Whee Kim,82,41.98,55,131,49.0
171,172,172,Ernie Els,66,41.86,54,129,43.0
172,173,173,Kyle Stanley,92,41.73,58,139,46.0
173,174,174,Ben Martin,92,41.67,55,132,59.0
174,175,175,Brett Stegmaier,87,41.18,42,102,46.0
175,176,176,Keegan Bradley,82,40.98,50,122,44.0
176,177,177,James Hahn,85,40.97,59,144,69.0
