,Proximity_to_Hole_from__10_yards_RANK THIS WEEK,Proximity_to_Hole_from__10_yards_RANK LAST WEEK,Proximity_to_Hole_from__10_yards_PLAYER NAME,Proximity_to_Hole_from__10_yards_ROUNDS,Proximity_to_Hole_from__10_yards_AVG DTP,Proximity_to_Hole_from__10_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from__10_yards_# OF SHOTS,Proximity_to_Hole_from__10_yards_SCRAMBLING RANK
108,T100,T100,Bubba Watson,72,"3' 7""",241.083,68,176
109,T110,T110,Aaron Baddeley,93,"3' 8""",377.75,103,5
110,T110,T110,Zac Blair,99,"3' 8""",488.667,133,16
111,T110,T110,Steven Bowditch,71,"3' 8""",351.5,95,185
112,T110,T110,Graham DeLaet,70,"3' 8""",322.41700000000003,88,179
113,T110,T110,Derek Fathauer,94,"3' 8""",520.25,141,81
114,T110,T110,Chesson Hadley,81,"3' 8""",420.583,115,168
115,T110,T110,Russell Henley,76,"3' 8""",325.33299999999997,89,41
116,T110,T110,Tom Hoge,81,"3' 8""",458.25,126,91
117,T110,T110,Colt Knost,90,"3' 8""",411.25,111,27
118,T110,T110,Kelly Kraft,63,"3' 8""",243.083,67,145
119,T110,T110,Anirban Lahiri,72,"3' 8""",279.83299999999997,76,138
120,T110,T110,Andrew Landry,53,"3' 8""",204.917,56,28
121,T110,T110,Scott Langley,65,"3' 8""",288.66700000000003,79,19
122,T110,T110,D.H. Lee,61,"3' 8""",267.16700000000003,73,183
123,T110,T110,Brendan Steele,88,"3' 8""",377.25,103,162
124,T125,T125,Scott Brown,88,"3' 9""",382.5,101,83
125,T125,T125,K.J. Choi,73,"3' 9""",392.25,104,33
126,T125,T125,Sergio Garcia,54,"3' 9""",180.667,48,113
127,T125,T125,James Hahn,85,"3' 9""",406.917,109,150
128,T125,T125,Danny Lee,93,"3' 9""",420.25,113,122
129,T125,T125,Marc Leishman,89,"3' 9""",393.083,105,56
130,T125,T125,David Lingmerth,84,"3' 9""",464.0,124,71
131,T125,T125,Luke List,79,"3' 9""",478.0,127,44
132,T125,T125,Ben Martin,92,"3' 9""",431.0,116,160
133,T125,T125,Henrik Norlander,71,"3' 9""",318.25,85,57
134,T135,T135,Rickie Fowler,80,"3' 10""",400.75,104,21
135,T135,T135,Jim Furyk,52,"3' 10""",216.667,57,119
136,T135,T135,Russell Knox,92,"3' 10""",423.917,110,28
137,T135,T135,Spencer Levin,104,"3' 10""",498.25,130,76
138,T135,T135,Jamie Lovemark,91,"3' 10""",472.417,123,36
139,T135,T135,Rory McIlroy,69,"3' 10""",350.25,92,88
140,T135,T135,Chez Reavie,90,"3' 10""",524.6669999999999,137,15
141,T142,T142,Robert Allenby,51,"3' 11""",235.75,60,182
142,T142,T142,Andres Gonzales,80,"3' 11""",337.667,87,148
143,T142,T142,Billy Horschel,73,"3' 11""",306.0,78,166
144,T142,T142,Steve Marino,72,"3' 11""",348.167,88,125
145,T142,T142,Phil Mickelson,75,"3' 11""",351.583,89,4
146,T142,T142,Brandt Snedeker,93,"3' 11""",480.25,122,16
147,T142,T142,Vaughn Taylor,72,"3' 11""",506.083,128,163
148,T142,T142,Boo Weekley,83,"3' 11""",491.667,125,94
149,T142,T142,Willy Wilcox,67,"3' 11""",434.583,110,100
150,T151,T151,Jason Bohn,67,"4' 0""",434.0,108,144
151,T151,T151,Jason Dufner,105,"4' 0""",398.5,100,139
152,T151,T151,Padraig Harrington,54,"4' 0""",301.91700000000003,75,64
153,T151,T151,Billy Hurley III,66,"4' 0""",452.417,112,32
154,T151,T151,Kevin Kisner,97,"4' 0""",510.417,127,129
155,T151,T151,Jason Kokrak,89,"4' 0""",510.333,127,92
156,T151,T151,Ryan Palmer,86,"4' 0""",581.8330000000001,146,114
157,T151,T151,Chris Stroud,82,"4' 0""",426.417,107,126
158,T151,T151,Dawie van der Walt,72,"4' 0""",316.83299999999997,80,180
159,T151,T151,Johnson Wagner,86,"4' 0""",448.0,112,109
160,T161,T161,Emiliano Grillo,93,"4' 1""",427.75,105,156
161,T161,T161,Freddie Jacobson,86,"4' 1""",460.0,112,58
162,T161,T161,Smylie Kaufman,91,"4' 1""",457.25,112,159
163,T161,T161,Brooks Koepka,75,"4' 1""",440.417,107,152
164,T161,T161,Carlos Ortiz,79,"4' 1""",331.667,82,184
165,T161,T161,Brendon Todd,66,"4' 1""",364.583,90,35
166,167,167,Jonas Blixt,79,"4' 2""",454.417,109,42
167,T168,T168,Bronson Burgoon,83,"4' 3""",553.1669999999999,129,94
168,T168,T168,Ken Duke,58,"4' 3""",440.917,104,177
169,T168,T168,Troy Merritt,77,"4' 3""",507.833,119,107
170,T168,T168,Geoff Ogilvy,63,"4' 3""",343.0,81,142
171,T172,T172,Shane Lowry,57,"4' 4""",270.91700000000003,62,169
172,T172,T172,Hunter Mahan,61,"4' 4""",300.66700000000003,69,154
173,T172,T172,Jhonattan Vegas,97,"4' 4""",555.6669999999999,128,84
174,T175,T175,Hiroshi Iwata,85,"4' 5""",539.6669999999999,123,77
175,T175,T175,Scott Pinckney,87,"4' 5""",420.25,96,177
176,T175,T175,Brian Stuard,66,"4' 5""",437.083,99,23
177,178,178,Cameron Smith,73,"4' 6""",272.91700000000003,61,153
178,T179,T179,William McGirt,98,"4' 7""",641.0,140,48
179,T179,T179,Rory Sabbatini,57,"4' 7""",275.58299999999997,60,137
180,T179,T179,Hudson Swafford,104,"4' 7""",672.0830000000001,146,158
181,182,182,Justin Thomas,99,"4' 8""",561.8330000000001,121,151
182,T183,T183,Jerry Kelly,76,"4' 10""",458.333,95,7
183,T183,T183,George McNeill,51,"4' 10""",309.83299999999997,64,171
184,185,185,Branden Grace,63,"5' 2""",407.25,79,82
