,Scrambling_from__30_yards_RANK THIS WEEK,Scrambling_from__30_yards_RANK LAST WEEK,Scrambling_from__30_yards_PLAYER NAME,Scrambling_from__30_yards_ROUNDS,Scrambling_from__30_yards_%,Scrambling_from__30_yards_SUCCESSES,Scrambling_from__30_yards_ATTEMPTS
0,1,1,Brandt Snedeker,93,47.5,38,80
1,2,2,Sung Kang,89,41.38,24,58
2,3,3,Shawn Stefani,91,41.03,32,78
3,4,4,Tony Finau,95,39.76,33,83
4,5,5,William McGirt,98,39.71,27,68
5,6,6,Jason Day,76,39.34,24,61
6,7,7,Jordan Spieth,80,39.06,25,64
7,8,8,Colt Knost,90,38.03,27,71
8,9,9,Ernie Els,66,37.66,29,77
9,10,10,Ben Crane,80,37.31,25,67
10,11,11,Rory McIlroy,69,37.04,10,27
11,T12,T12,Brett Stegmaier,87,36.84,28,76
12,T12,T12,Brian Stuard,66,36.84,21,57
13,14,14,Stuart Appleby,71,36.62,26,71
14,15,15,Tim Wilkinson,72,36.21,21,58
15,T16,T16,Ryan Moore,86,36.11,26,72
16,T16,T16,Rod Pampling,54,36.11,13,36
17,18,18,John Senden,88,36.0,27,75
18,19,19,Tom Hoge,81,35.9,28,78
19,T20,T20,Charl Schwartzel,73,35.85,19,53
20,T20,T20,Steve Stricker,53,35.85,19,53
21,22,22,David Toms,62,35.59,21,59
22,23,23,Kelly Kraft,63,35.56,16,45
23,24,24,Tyrone Van Aswegen,105,35.43,45,127
24,25,25,Marc Leishman,89,35.38,23,65
25,26,26,Jeff Overton,69,35.14,26,74
26,27,27,Henrik Norlander,71,34.55,19,55
27,T28,T28,Thomas Aiken,70,34.38,11,32
28,T28,T28,Anirban Lahiri,72,34.38,22,64
29,30,30,Robert Streb,87,34.33,23,67
30,31,31,Ben Martin,92,34.25,25,73
31,32,32,Chad Campbell,90,34.21,26,76
32,33,33,Jerry Kelly,76,34.0,17,50
33,34,34,Jon Curran,99,33.96,36,106
34,35,35,Alex Cejka,71,33.93,19,56
35,36,36,Vijay Singh,72,33.78,25,74
36,T37,T37,Aaron Baddeley,93,33.33,35,105
37,T37,T37,Branden Grace,63,33.33,13,39
38,T37,T37,Padraig Harrington,54,33.33,19,57
39,T37,T37,Hideki Matsuyama,76,33.33,14,42
40,T37,T37,Troy Merritt,77,33.33,26,78
41,T37,T37,Justin Rose,65,33.33,14,42
42,T37,T37,Webb Simpson,70,33.33,13,39
43,44,44,Chris Kirk,90,32.73,18,55
44,45,45,Patton Kizzire,93,32.69,34,104
45,46,46,Geoff Ogilvy,63,32.65,16,49
46,47,47,Paul Casey,77,32.61,15,46
47,48,48,Matt Kuchar,100,32.26,20,62
48,49,49,Billy Hurley III,66,32.2,19,59
49,50,50,Chad Collins,73,32.18,28,87
50,T51,T51,Ken Duke,58,32.14,18,56
51,T51,T51,Michael Thompson,71,32.14,18,56
52,53,53,Tyler Aldridge,83,32.05,25,78
53,54,54,Phil Mickelson,75,31.94,23,72
54,T55,T55,Luke Guthrie,57,31.88,22,69
55,T55,T55,Whee Kim,82,31.88,22,69
56,T57,T57,Graeme McDowell,63,31.71,13,41
57,T57,T57,Louis Oosthuizen,63,31.71,13,41
58,T57,T57,Steve Wheatcroft,85,31.71,26,82
59,60,60,Roberto Castro,97,31.65,25,79
60,61,61,Gary Woodland,95,31.51,23,73
61,62,62,Brendon Todd,66,31.37,32,102
62,63,63,Dustin Johnson,87,31.34,21,67
63,64,64,Chez Reavie,90,31.25,20,64
64,65,65,Michael Kim,100,31.18,29,93
65,66,66,Kevin Na,96,31.15,19,61
66,67,67,Robert Garrigus,69,31.11,14,45
67,68,68,Brooks Koepka,75,30.91,17,55
68,69,69,Jamie Lovemark,91,30.85,29,94
69,70,70,Si Woo Kim,113,30.83,37,120
70,71,71,Billy Horschel,73,30.77,16,52
71,72,72,Jimmy Walker,85,30.68,27,88
72,73,73,Scott Piercy,87,30.65,19,62
73,T74,T74,Stewart Cink,61,30.51,18,59
74,T74,T74,Derek Fathauer,94,30.51,36,118
75,T76,T76,James Hahn,85,30.43,21,69
76,T76,T76,Scott Langley,65,30.43,14,46
77,T76,T76,Andrew Loupe,75,30.43,35,115
78,79,79,Daniel Berger,92,30.3,20,66
79,T80,T80,David Lingmerth,84,30.19,16,53
80,T80,T80,Adam Scott,79,30.19,16,53
81,82,82,Carlos Ortiz,79,30.12,25,83
82,T83,T83,Hiroshi Iwata,85,30.0,21,70
83,T83,T83,D.A. Points,55,30.0,15,50
84,85,85,Cameron Smith,73,29.82,17,57
85,86,86,Brian Harman,104,29.7,30,101
86,87,87,John Huh,86,29.69,19,64
87,T88,T88,Sergio Garcia,54,29.63,8,27
88,T88,T88,Peter Malnati,85,29.63,32,108
89,T90,T90,Kevin Kisner,97,29.49,23,78
90,T90,T90,Hunter Mahan,61,29.49,23,78
91,92,92,Fabián Gómez,82,29.47,28,95
92,T93,T93,Derek Ernst,59,29.41,10,34
93,T93,T93,Rob Oppenheim,67,29.41,20,68
94,95,95,Lucas Glover,75,29.09,16,55
95,96,96,Camilo Villegas,83,28.97,31,107
96,97,97,K.J. Choi,73,28.75,23,80
97,T98,T98,Scott Brown,88,28.57,18,63
98,T98,T98,Bill Haas,86,28.57,18,63
99,T98,T98,Charles Howell III,91,28.57,26,91
100,T98,T98,Martin Piller,59,28.57,14,49
101,102,102,Smylie Kaufman,91,28.41,25,88
102,103,103,Bronson Burgoon,83,28.38,21,74
103,104,104,Seung-Yul Noh,85,28.3,30,106
104,105,105,Jim Furyk,52,28.26,13,46
105,106,106,Blayne Barber,84,28.13,27,96
106,107,107,Luke Donald,81,28.07,16,57
107,108,108,Rhein Gibson,58,27.91,12,43
108,109,109,Zach Johnson,90,27.84,27,97
109,110,110,Matt Jones,83,27.59,24,87
110,111,111,Retief Goosen,55,27.54,19,69
111,112,112,David Hearn,95,27.5,22,80
112,T113,T113,Cameron Tringale,81,27.27,27,99
113,T113,T113,Willy Wilcox,67,27.27,15,55
114,115,115,Chris Stroud,82,27.14,19,70
115,116,116,Francesco Molinari,64,27.12,16,59
116,117,117,Jason Dufner,105,26.88,25,93
117,118,118,Spencer Levin,104,26.87,18,67
118,119,119,Martin Laird,82,26.74,23,86
119,T120,T120,Rickie Fowler,80,26.67,16,60
120,T120,T120,Patrick Reed,105,26.67,20,75
121,T120,T120,Mark Wilson,66,26.67,16,60
122,123,123,Jonas Blixt,79,26.51,22,83
123,T124,T124,Zac Blair,99,26.47,18,68
124,T124,T124,Will MacKenzie,84,26.47,18,68
125,T126,T126,Adam Hadwin,93,26.37,24,91
126,T126,T126,Daniel Summerhays,99,26.37,24,91
127,T126,T126,Harold Varner III,92,26.37,24,91
128,T129,T129,Abraham Ancer,51,26.32,10,38
129,T129,T129,Mark Hubbard,101,26.32,25,95
130,131,131,Russell Knox,92,26.23,16,61
131,132,132,Kevin Chappell,93,25.93,14,54
132,133,133,Freddie Jacobson,86,25.84,23,89
133,134,134,Jhonattan Vegas,97,25.71,18,70
134,135,135,Rory Sabbatini,57,25.53,12,47
