,Scrambling_Fringe_RTP_Score_RANK THIS WEEK,Scrambling_Fringe_RTP_Score_RANK LAST WEEK,Scrambling_Fringe_RTP_Score_PLAYER NAME,Scrambling_Fringe_RTP_Score_ROUNDS,Scrambling_Fringe_RTP_Score_AVG RTP,Scrambling_Fringe_RTP_Score_TOTAL HOLES,Scrambling_Fringe_RTP_Score_TOTAL RTP
0,1,1,Francesco Molinari,64,-.109,46,-5.00
1,2,2,Jonas Blixt,79,-.089,56,-5.00
2,3,3,David Toms,62,-.085,47,-4.00
3,T4,T4,Rickie Fowler,80,-.071,28,-2.00
4,T4,T4,Jim Furyk,52,-.071,28,-2.00
5,6,6,D.H. Lee,61,-.070,43,-3.00
6,7,7,Justin Thomas,99,-.065,46,-3.00
7,8,8,Jordan Spieth,80,-.061,49,-3.00
8,9,9,Daniel Berger,92,-.058,52,-3.00
9,10,10,Brian Harman,104,-.057,70,-4.00
10,11,11,Jamie Lovemark,91,-.051,59,-3.00
11,T12,T12,Aaron Baddeley,93,-.050,60,-3.00
12,T12,T12,Jason Day,76,-.050,40,-2.00
13,14,14,Patrick Reed,105,-.049,61,-3.00
14,T15,T15,Jason Bohn,67,-.048,42,-2.00
15,T15,T15,Brooks Koepka,75,-.048,42,-2.00
16,T17,T17,Robert Garrigus,69,-.043,47,-2.00
17,T17,T17,Vaughn Taylor,72,-.043,47,-2.00
18,19,19,Scott Pinckney,87,-.042,48,-2.00
19,T20,T20,Jason Gore,78,-.038,53,-2.00
20,T20,T20,Chris Kirk,90,-.038,52,-2.00
21,T20,T20,Harold Varner III,92,-.038,52,-2.00
22,23,23,Chad Collins,73,-.036,56,-2.00
23,24,24,Erik Compton,65,-.035,57,-2.00
24,25,25,Padraig Harrington,54,-.033,30,-1.00
25,26,26,Paul Casey,77,-.029,35,-1.00
26,27,27,Derek Fathauer,94,-.028,72,-2.00
27,28,28,Chez Reavie,90,-.027,74,-2.00
28,T29,T29,Mark Hubbard,101,-.026,78,-2.00
29,T29,T29,Michael Kim,100,-.026,77,-2.00
30,31,31,Alex Cejka,71,-.022,46,-1.00
31,T32,T32,Emiliano Grillo,93,-.021,48,-1.00
32,T32,T32,Ryan Moore,86,-.021,47,-1.00
33,34,34,Andrew Loupe,75,-.020,51,-1.00
34,T35,T35,Kevin Kisner,97,-.019,53,-1.00
35,T35,T35,Troy Merritt,77,-.019,54,-1.00
36,T35,T35,Jeff Overton,69,-.019,53,-1.00
37,38,38,Ryan Palmer,86,-.018,56,-1.00
38,T39,T39,Matt Kuchar,100,-.017,60,-1.00
39,T39,T39,Camilo Villegas,83,-.017,60,-1.00
40,41,41,William McGirt,98,-.016,64,-1.00
41,42,42,Michael Thompson,71,-.015,66,-1.00
42,T43,T43,Tyler Aldridge,83,E,73,E
43,T43,T43,Stuart Appleby,71,E,65,E
44,T43,T43,Blayne Barber,84,E,63,E
45,T43,T43,Zac Blair,99,E,83,E
46,T43,T43,Roberto Castro,97,E,77,E
47,T43,T43,Kevin Chappell,93,E,58,E
48,T43,T43,Brendon de Jonge,83,E,52,E
