,Scrambling_Average_Distance_to_Hole_RANK THIS WEEK,Scrambling_Average_Distance_to_Hole_RANK LAST WEEK,Scrambling_Average_Distance_to_Hole_PLAYER NAME,Scrambling_Average_Distance_to_Hole_ROUNDS,Scrambling_Average_Distance_to_Hole_AVG DTP,Scrambling_Average_Distance_to_Hole_TOTAL DISTANCE (FEET),Scrambling_Average_Distance_to_Hole_ATTEMPTS
0,1,1,Luke Donald,81,"6' 7""",2203.5,336
1,2,2,Steve Stricker,53,"6' 8""",1708.8329999999999,257
2,3,3,Alex Cejka,71,"6' 10""",1735.5829999999999,255
3,4,4,Rickie Fowler,80,"6' 11""",1954.0829999999999,283
4,5,5,Bill Haas,86,"7' 0""",2264.25,325
5,T6,T6,Chad Campbell,90,"7' 1""",2936.667,415
6,T6,T6,Justin Rose,65,"7' 1""",1870.25,263
7,T6,T6,Webb Simpson,70,"7' 1""",2040.9170000000001,289
8,T9,T9,Retief Goosen,55,"7' 2""",1994.3329999999999,277
9,T9,T9,Bryce Molder,80,"7' 2""",3002.75,421
10,T9,T9,Mark Wilson,66,"7' 2""",2232.0,311
11,12,12,Si Woo Kim,113,"7' 3""",4004.167,553
12,T13,T13,Charles Howell III,91,"7' 4""",2931.167,399
13,T13,T13,Rory McIlroy,69,"7' 4""",1699.1670000000001,233
14,T15,T15,Paul Casey,77,"7' 5""",1972.1670000000001,266
15,T15,T15,Patrick Rodgers,89,"7' 5""",2460.25,331
16,T15,T15,Adam Scott,79,"7' 5""",1742.6670000000001,236
17,T18,T18,Patrick Reed,105,"7' 6""",3358.0,447
18,T18,T18,Brandt Snedeker,93,"7' 6""",2945.5,392
19,T18,T18,Shawn Stefani,91,"7' 6""",3187.333,424
20,T21,T21,David Hearn,95,"7' 7""",3114.333,409
21,T21,T21,Phil Mickelson,75,"7' 7""",2339.0,310
22,T21,T21,Francesco Molinari,64,"7' 7""",2493.083,330
23,T21,T21,Rod Pampling,54,"7' 7""",1696.6670000000001,224
24,T25,T25,Keegan Bradley,82,"7' 8""",2267.75,295
25,T25,T25,Kevin Chappell,93,"7' 8""",3311.25,431
26,T25,T25,Jason Day,76,"7' 8""",2036.3329999999999,267
27,T25,T25,Harris English,97,"7' 8""",2875.333,375
28,T25,T25,Padraig Harrington,54,"7' 8""",1980.0829999999999,259
29,T25,T25,John Huh,86,"7' 8""",3315.75,431
30,T25,T25,Zach Johnson,90,"7' 8""",2964.667,388
31,T25,T25,Will MacKenzie,84,"7' 8""",2751.583,358
32,T25,T25,Sean O'Hair,89,"7' 8""",3299.583,431
33,T34,T34,Matt Jones,83,"7' 9""",2698.25,349
34,T34,T34,Russell Knox,92,"7' 9""",2459.25,318
35,T34,T34,Kevin Na,96,"7' 9""",2809.25,363
36,T34,T34,Charl Schwartzel,73,"7' 9""",2184.083,281
37,T34,T34,Vijay Singh,72,"7' 9""",2913.417,376
38,T34,T34,Tyrone Van Aswegen,105,"7' 9""",3683.5,475
39,T40,T40,Stuart Appleby,71,"7' 10""",3220.917,411
40,T40,T40,Aaron Baddeley,93,"7' 10""",3311.167,423
41,T40,T40,Matt Kuchar,100,"7' 10""",3168.917,405
42,T40,T40,Scott Langley,65,"7' 10""",2557.333,325
43,T40,T40,Brendon Todd,66,"7' 10""",2962.333,379
44,T40,T40,David Toms,62,"7' 10""",2451.75,312
45,T40,T40,Tim Wilkinson,72,"7' 10""",2128.0,273
