,Scrambling_Rough_RTP_Score_RANK THIS WEEK,Scrambling_Rough_RTP_Score_RANK LAST WEEK,Scrambling_Rough_RTP_Score_PLAYER NAME,Scrambling_Rough_RTP_Score_ROUNDS,Scrambling_Rough_RTP_Score_AVG RTP,Scrambling_Rough_RTP_Score_TOTAL HOLES,Scrambling_Rough_RTP_Score_TOTAL RTP
0,1,1,D.A. Points,55,0.316,114,36.0
1,2,2,Jerry Kelly,76,0.317,145,46.0
2,3,3,Steve Stricker,53,0.319,116,37.0
3,4,4,Ryan Moore,86,0.327,150,49.0
4,5,5,Adam Scott,79,0.34,100,34.0
5,6,6,Kevin Chappell,93,0.348,201,70.0
6,7,7,Ryan Palmer,86,0.364,154,56.0
7,8,8,Billy Hurley III,66,0.365,192,70.0
8,9,9,Brandt Snedeker,93,0.368,182,67.0
9,10,10,Rory McIlroy,69,0.37,108,40.0
10,T11,T11,Alex Cejka,71,0.371,143,53.0
11,T11,T11,Rickie Fowler,80,0.371,143,53.0
12,T13,T13,James Hahn,85,0.376,173,65.0
13,T13,T13,Andrew Landry,53,0.376,101,38.0
14,T13,T13,Patrick Reed,105,0.376,218,82.0
15,16,16,Bryce Molder,80,0.377,183,69.0
16,17,17,Russell Knox,92,0.37799999999999995,164,62.0
17,T18,T18,Branden Grace,63,0.38299999999999995,115,44.0
18,T18,T18,Spencer Levin,104,0.38299999999999995,175,67.0
19,20,20,Jimmy Walker,85,0.387,191,74.0
20,21,21,Steve Wheatcroft,85,0.39,205,80.0
21,22,22,Chris Kirk,90,0.392,166,65.0
22,23,23,Charles Howell III,91,0.39399999999999996,175,69.0
23,24,24,Jordan Spieth,80,0.396,169,67.0
24,25,25,Nick Taylor,83,0.39899999999999997,153,61.0
25,26,26,Chad Collins,73,0.4,170,68.0
26,27,27,Bill Haas,86,0.401,152,61.0
27,28,28,Jason Bohn,67,0.40299999999999997,134,54.0
28,29,29,Tim Wilkinson,72,0.40399999999999997,146,59.0
29,T30,T30,K.J. Choi,73,0.40700000000000003,150,61.0
30,T30,T30,Scott Stallings,74,0.40700000000000003,145,59.0
31,32,32,Phil Mickelson,75,0.408,147,60.0
32,33,33,Tom Hoge,81,0.409,186,76.0
33,T34,T34,Scott Langley,65,0.41,139,57.0
34,T34,T34,Brendon Todd,66,0.41,188,77.0
35,T36,T36,Sergio Garcia,54,0.41100000000000003,73,30.0
36,T36,T36,David Lingmerth,84,0.41100000000000003,180,74.0
37,T38,T38,Roberto Castro,97,0.41200000000000003,177,73.0
38,T38,T38,David Hearn,95,0.41200000000000003,153,63.0
39,T40,T40,Abraham Ancer,51,0.413,109,45.0
40,T40,T40,Brett Stegmaier,87,0.413,172,71.0
41,42,42,Thomas Aiken,70,0.415,118,49.0
42,T43,T43,Henrik Norlander,71,0.41600000000000004,125,52.0
43,T43,T43,Kevin Streelman,82,0.41600000000000004,149,62.0
44,45,45,Harris English,97,0.41700000000000004,163,68.0
45,46,46,Charley Hoffman,91,0.419,167,70.0
46,T47,T47,Jonas Blixt,79,0.42,193,81.0
47,T47,T47,Matt Kuchar,100,0.42,188,79.0
48,T49,T49,Zach Johnson,90,0.424,170,72.0
49,T49,T49,Si Woo Kim,113,0.424,236,100.0
50,51,51,Jason Kokrak,89,0.425,179,76.0
51,52,52,Francesco Molinari,64,0.42700000000000005,124,53.0
52,53,53,Aaron Baddeley,93,0.428,236,101.0
53,T54,T54,Martin Piller,59,0.429,126,54.0
54,T54,T54,Mark Wilson,66,0.429,140,60.0
55,T56,T56,Zac Blair,99,0.43,221,95.0
56,T56,T56,Jim Furyk,52,0.43,93,40.0
57,T56,T56,Gary Woodland,95,0.43,172,74.0
58,T59,T59,Luke Donald,81,0.431,130,56.0
59,T59,T59,Peter Malnati,85,0.431,209,90.0
60,T59,T59,Daniel Summerhays,99,0.431,216,93.0
61,62,62,Seung-Yul Noh,85,0.433,180,78.0
62,T63,T63,Paul Casey,77,0.434,122,53.0
