,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
0,1,1,Phil Mickelson,75,69.41,59,85
1,2,2,Jason Day,76,69.35,43,62
2,3,3,Justin Rose,65,65.71,46,70
3,4,4,Jonas Blixt,79,63.96,71,111
4,5,5,Russell Henley,76,63.33,57,90
5,6,6,Danny Lee,93,63.06,70,111
6,7,7,Aaron Baddeley,93,62.83,71,113
7,8,8,Padraig Harrington,54,62.71,37,59
8,9,9,Michael Kim,100,62.12,82,132
9,10,10,David Toms,62,61.84,47,76
10,11,11,John Huh,86,61.82,68,110
11,12,12,Sean O'Hair,89,61.68,66,107
12,13,13,Tyrone Van Aswegen,105,61.42,78,127
13,14,14,Tim Wilkinson,72,61.4,35,57
14,15,15,Hideki Matsuyama,76,61.19,41,67
15,16,16,Brian Harman,104,61.11,88,144
16,17,17,Jon Curran,99,61.07,91,149
17,18,18,Webb Simpson,70,60.76,48,79
18,19,19,K.J. Choi,73,60.68,71,117
19,20,20,Steven Bowditch,71,60.67,54,89
20,21,21,Brendan Steele,88,60.29,41,68
21,22,22,J.B. Holmes,77,60.26,47,78
22,23,23,Patrick Reed,105,60.19,62,103
23,24,24,Brian Stuard,66,60.0,45,75
24,T25,T25,Bryce Molder,80,59.82,67,112
25,T25,T25,Kyle Reifers,115,59.82,67,112
26,27,27,Adam Scott,79,59.62,31,52
27,28,28,Brendon Todd,66,59.57,56,94
28,29,29,Luke Donald,81,59.34,54,91
29,30,30,Retief Goosen,55,58.82,40,68
30,31,31,Marc Leishman,89,58.23,46,79
31,32,32,Chad Campbell,90,58.16,57,98
32,33,33,Alex Cejka,71,58.0,29,50
33,34,34,Peter Malnati,85,57.94,62,107
34,35,35,Brandt Snedeker,93,57.89,55,95
35,36,36,Luke List,79,57.83,48,83
36,37,37,Cameron Smith,73,57.69,45,78
37,38,38,Dicky Pride,55,57.53,42,73
38,39,39,Mark Wilson,66,57.38,35,61
39,40,40,Morgan Hoffmann,71,57.35,39,68
40,41,41,Chris Kirk,90,57.27,63,110
41,T42,T42,Sergio Garcia,54,57.14,20,35
42,T42,T42,Smylie Kaufman,91,57.14,56,98
43,44,44,Ben Crane,80,56.7,55,97
44,45,45,Tyler Aldridge,83,56.63,47,83
45,46,46,Matt Kuchar,100,56.52,52,92
46,47,47,Rhein Gibson,58,56.41,22,39
47,48,48,Mark Hubbard,101,56.08,83,148
48,T49,T49,Bill Haas,86,55.56,50,90
49,T49,T49,Adam Hadwin,93,55.56,65,117
50,T49,T49,Louis Oosthuizen,63,55.56,30,54
51,52,52,Ricky Barnes,97,55.45,56,101
