,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
0,1,1,Jerry Kelly,76,68.97,100,145
1,2,2,Steve Stricker,53,68.1,79,116
2,3,3,Adam Scott,79,66.0,66,100
3,4,4,D.A. Points,55,65.79,75,114
4,5,5,Rickie Fowler,80,65.73,94,143
5,6,6,Andrew Landry,53,65.35,66,101
6,7,7,Ryan Palmer,86,64.94,100,154
7,8,8,Brandt Snedeker,93,64.84,118,182
8,9,9,Rory McIlroy,69,64.81,70,108
9,10,10,Steve Wheatcroft,85,64.39,132,205
10,11,11,Bryce Molder,80,63.93,117,183
11,12,12,Bill Haas,86,63.82,97,152
12,13,13,Kevin Chappell,93,63.68,128,201
13,14,14,Russell Knox,92,63.41,104,164
14,15,15,Ryan Moore,86,63.33,95,150
15,16,16,Paul Casey,77,63.11,77,122
16,17,17,Billy Hurley III,66,63.02,121,192
17,18,18,Alex Cejka,71,62.94,90,143
18,19,19,Patrick Reed,105,62.39,136,218
19,20,20,Brendon Todd,66,62.23,117,188
20,21,21,Jason Bohn,67,61.94,83,134
21,22,22,Spencer Levin,104,61.71,108,175
22,23,23,Tim Wilkinson,72,61.64,90,146
23,24,24,Chris Kirk,90,61.45,102,166
24,25,25,James Hahn,85,61.27,106,173
25,26,26,Matt Kuchar,100,61.17,115,188
26,27,27,Branden Grace,63,60.87,70,115
27,28,28,Henrik Norlander,71,60.8,76,125
28,29,29,Dicky Pride,55,60.75,65,107
29,30,30,Jimmy Walker,85,60.73,116,191
30,31,31,Jeff Overton,69,60.69,88,145
31,32,32,K.J. Choi,73,60.67,91,150
32,33,33,Sung Kang,89,60.62,117,193
33,T34,T34,Chad Collins,73,60.59,103,170
34,T34,T34,Si Woo Kim,113,60.59,143,236
35,36,36,Phil Mickelson,75,60.54,89,147
36,37,37,Gary Woodland,95,60.47,104,172
37,38,38,Roberto Castro,97,60.45,107,177
38,39,39,Kevin Streelman,82,60.4,90,149
39,40,40,Martin Piller,59,60.32,76,126
40,41,41,Sergio Garcia,54,60.27,44,73
41,42,42,Zac Blair,99,60.18,133,221
42,43,43,Jason Gore,78,60.12,98,163
43,T44,T44,Luke Donald,81,60.0,78,130
44,T44,T44,Zach Johnson,90,60.0,102,170
45,T44,T44,David Lingmerth,84,60.0,108,180
46,T44,T44,Seung-Yul Noh,85,60.0,108,180
47,T44,T44,Scott Stallings,74,60.0,87,145
48,49,49,Jordan Spieth,80,59.76,101,169
49,50,50,Aaron Baddeley,93,59.75,141,236
50,51,51,Daniel Summerhays,99,59.72,129,216
51,52,52,Tom Hoge,81,59.68,111,186
52,T53,T53,John Huh,86,59.52,100,168
53,T53,T53,Hideki Matsuyama,76,59.52,75,126
54,55,55,Nick Taylor,83,59.48,91,153
55,56,56,Charles Howell III,91,59.43,104,175
56,57,57,Jhonattan Vegas,97,59.39,117,197
57,58,58,Graeme McDowell,63,59.35,73,123
58,59,59,Thomas Aiken,70,59.32,70,118
59,60,60,Charley Hoffman,91,59.28,99,167
60,61,61,Jason Kokrak,89,59.22,106,179
61,62,62,Ben Crane,80,59.17,100,169
62,63,63,Martin Laird,82,58.93,99,168
63,64,64,Charl Schwartzel,73,58.91,76,129
64,65,65,Harris English,97,58.9,96,163
65,66,66,Willy Wilcox,67,58.82,80,136
66,T67,T67,Kevin Na,96,58.79,97,165
67,T67,T67,Shawn Stefani,91,58.79,107,182
68,T69,T69,Jamie Lovemark,91,58.76,114,194
69,T69,T69,Chez Reavie,90,58.76,104,177
70,T71,T71,Jim Herman,93,58.72,101,172
71,T71,T71,Brett Stegmaier,87,58.72,101,172
72,73,73,Colt Knost,90,58.71,91,155
73,74,74,Chris Stroud,82,58.68,98,167
74,75,75,Jonas Blixt,79,58.55,113,193
75,76,76,Ricky Barnes,97,58.37,122,209
76,77,77,Scott Langley,65,58.27,81,139
77,78,78,Lucas Glover,75,58.26,67,115
78,79,79,David Hearn,95,58.17,89,153
79,80,80,Scott Brown,88,58.02,94,162
80,81,81,Marc Leishman,89,57.99,98,169
81,T82,T82,Retief Goosen,55,57.89,66,114
82,T82,T82,Luke Guthrie,57,57.89,77,133
83,T82,T82,Peter Malnati,85,57.89,121,209
84,85,85,Mark Wilson,66,57.86,81,140
85,86,86,Louis Oosthuizen,63,57.83,48,83
86,87,87,Will MacKenzie,84,57.56,99,172
87,88,88,Tyrone Van Aswegen,105,57.42,120,209
88,89,89,Francesco Molinari,64,57.26,71,124
89,T90,T90,Dustin Johnson,87,57.23,95,166
90,T90,T90,Brian Stuard,66,57.23,99,173
91,T92,T92,Chad Campbell,90,57.22,103,180
92,T92,T92,Jon Curran,99,57.22,111,194
93,94,94,Adam Hadwin,93,57.14,112,196
94,95,95,Derek Ernst,59,56.76,63,111
95,T96,T96,Rob Oppenheim,67,56.69,72,127
96,T96,T96,Justin Rose,65,56.69,72,127
97,T96,T96,Boo Weekley,83,56.69,89,157
98,99,99,Tony Finau,95,56.59,116,205
99,100,100,Fabián Gómez,82,56.45,105,186
100,101,101,Jason Day,76,56.35,71,126
101,102,102,Scott Piercy,87,56.29,85,151
102,103,103,Camilo Villegas,83,56.22,113,201
103,104,104,Michael Kim,100,56.19,127,226
104,105,105,Harold Varner III,92,56.18,100,178
105,106,106,Mark Hubbard,101,55.91,123,220
106,107,107,Vijay Singh,72,55.86,81,145
107,108,108,Luke List,79,55.84,86,154
108,109,109,Derek Fathauer,94,55.79,135,242
109,110,110,Daniel Berger,92,55.77,87,156
110,111,111,William McGirt,98,55.75,97,174
111,112,112,Brian Harman,104,55.7,127,228
112,113,113,Tyler Aldridge,83,55.25,100,181
113,114,114,Webb Simpson,70,55.24,58,105
114,115,115,Abraham Ancer,51,55.05,60,109
115,116,116,Andres Gonzales,80,55.0,99,180
116,117,117,Troy Merritt,77,54.82,91,166
117,118,118,Kevin Kisner,97,54.66,88,161
118,119,119,Ben Martin,92,54.64,100,183
119,120,120,Anirban Lahiri,72,54.62,71,130
120,T121,T121,Russell Henley,76,54.61,77,141
121,T121,T121,J.B. Holmes,77,54.61,83,152
122,123,123,Freddie Jacobson,86,54.4,99,182
123,124,124,Jason Dufner,105,54.38,87,160
124,125,125,Stuart Appleby,71,54.24,96,177
