,Proximity_to_Hole_from_Rough_RANK THIS WEEK,Proximity_to_Hole_from_Rough_RANK LAST WEEK,Proximity_to_Hole_from_Rough_PLAYER NAME,Proximity_to_Hole_from_Rough_ROUNDS,Proximity_to_Hole_from_Rough_AVG DTP,Proximity_to_Hole_from_Rough_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Rough_# OF SHOTS,Proximity_to_Hole_from_Rough_SCRAMBLING RANK
0,1,1,Luke List,79,"6' 3""",1006.3330000000001,160,44
1,2,2,Billy Hurley III,66,"6' 5""",1176.5,184,32
2,T3,T3,Jon Curran,99,"6' 6""",1103.5,170,13
3,T3,T3,Bill Haas,86,"6' 6""",984.3330000000001,152,12
4,T3,T3,Zach Johnson,90,"6' 6""",1013.6669999999999,155,24
5,6,6,Steve Stricker,53,"6' 8""",736.1669999999999,111,1
6,T7,T7,Rickie Fowler,80,"6' 9""",1141.583,170,21
7,T7,T7,Shawn Stefani,91,"6' 9""",1242.75,183,49
8,T9,T9,Ben Crane,80,"6' 10""",1171.833,172,31
9,T9,T9,Dustin Johnson,87,"6' 10""",1261.083,185,70
10,T9,T9,Andrew Landry,53,"6' 10""",578.25,85,28
11,T9,T9,Seung-Yul Noh,85,"6' 10""",1115.25,163,118
12,T9,T9,Brandt Snedeker,93,"6' 10""",1343.9170000000001,196,16
13,T14,T14,Padraig Harrington,54,"6' 11""",837.25,121,64
14,T14,T14,Jerry Kelly,76,"6' 11""",967.1669999999999,140,7
15,T14,T14,Chris Kirk,90,"6' 11""",1335.75,194,16
16,T14,T14,Ryan Moore,86,"6' 11""",1149.667,166,61
17,T14,T14,D.A. Points,55,"6' 11""",707.6669999999999,102,108
18,T19,T19,Jason Bohn,67,"7' 0""",1024.417,146,144
19,T19,T19,Si Woo Kim,113,"7' 0""",1764.25,252,20
20,T19,T19,Kevin Na,96,"7' 0""",1274.0,181,89
21,T19,T19,Chez Reavie,90,"7' 0""",1239.667,177,15
22,T19,T19,Tim Wilkinson,72,"7' 0""",744.75,106,10
23,T24,T24,Luke Donald,81,"7' 1""",854.5,120,6
24,T24,T24,Derek Ernst,59,"7' 1""",668.4169999999999,94,52
25,T26,T26,Stuart Appleby,71,"7' 2""",1239.25,173,14
26,T26,T26,Tom Hoge,81,"7' 2""",1301.583,181,91
27,T26,T26,John Huh,86,"7' 2""",1340.4170000000001,188,25
28,T26,T26,Bryce Molder,80,"7' 2""",1226.417,172,2
29,T26,T26,Boo Weekley,83,"7' 2""",1174.833,163,94
30,T31,T31,Jason Gore,78,"7' 3""",1112.583,153,96
31,T31,T31,Jordan Spieth,80,"7' 3""",1330.3329999999999,184,9
32,T33,T33,Mark Hubbard,101,"7' 4""",1607.0829999999999,218,65
33,T33,T33,Peter Malnati,85,"7' 4""",1445.6670000000001,197,87
34,T33,T33,Patrick Reed,105,"7' 4""",1822.5829999999999,249,8
35,T33,T33,Charl Schwartzel,73,"7' 4""",1074.417,147,69
36,T37,T37,Paul Casey,77,"7' 5""",1056.75,143,36
37,T37,T37,Kevin Chappell,93,"7' 5""",1830.9170000000001,246,79
38,T37,T37,Jason Day,76,"7' 5""",1213.333,163,26
39,T37,T37,Geoff Ogilvy,63,"7' 5""",1029.5,139,142
40,T37,T37,Scott Piercy,87,"7' 5""",1234.833,166,117
41,T37,T37,Vijay Singh,72,"7' 5""",1241.917,168,135
42,T37,T37,Scott Stallings,74,"7' 5""",1129.083,152,103
43,T37,T37,Kevin Streelman,82,"7' 5""",1136.917,154,174
44,T45,T45,Ricky Barnes,97,"7' 6""",1458.0,195,66
45,T45,T45,Roberto Castro,97,"7' 6""",1455.5,194,62
