,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
0,1,1,Charl Schwartzel,73,71.62,53,74
1,2,2,Jeff Overton,69,70.0,91,130
2,3,3,Chris Kirk,90,69.78,97,139
3,4,4,William McGirt,98,69.01,118,171
4,5,5,Scott Langley,65,68.99,89,129
5,6,6,Stuart Appleby,71,68.75,99,144
6,7,7,Rod Pampling,54,68.48,63,92
7,8,8,Luke Donald,81,67.48,83,123
8,9,9,Paul Casey,77,67.47,56,83
9,10,10,Aaron Baddeley,93,66.86,113,169
10,T11,T11,Chad Campbell,90,66.67,102,153
11,T11,T11,Colt Knost,90,66.67,110,165
12,T11,T11,Rory McIlroy,69,66.67,36,54
13,T14,T14,Zac Blair,99,66.45,103,155
14,T14,T14,Whee Kim,82,66.45,103,155
15,16,16,Branden Grace,63,66.18,45,68
16,17,17,David Lingmerth,84,66.0,66,100
17,18,18,Jordan Spieth,80,65.96,62,94
18,19,19,Bryce Molder,80,65.85,108,164
19,20,20,Scott Stallings,74,65.71,92,140
20,21,21,Shane Lowry,57,65.67,44,67
21,22,22,Steve Stricker,53,65.59,61,93
22,23,23,Phil Mickelson,75,65.45,72,110
23,24,24,Freddie Jacobson,86,65.29,111,170
24,25,25,Kevin Kisner,97,65.08,82,126
25,26,26,Tim Wilkinson,72,65.0,91,140
26,T27,T27,Marc Leishman,89,64.75,79,122
27,T27,T27,Brandt Snedeker,93,64.75,90,139
28,29,29,Brian Stuard,66,64.66,86,133
29,30,30,Tony Finau,95,64.58,93,144
30,31,31,Bill Haas,86,64.55,71,110
31,32,32,Jamie Lovemark,91,64.44,116,180
32,33,33,Rickie Fowler,80,64.37,56,87
33,T34,T34,Charles Howell III,91,64.15,102,159
34,T34,T34,Andrew Landry,53,64.15,68,106
35,36,36,Hiroshi Iwata,85,64.07,107,167
36,37,37,Camilo Villegas,83,63.8,104,163
37,38,38,Rob Oppenheim,67,63.64,77,121
38,39,39,Francesco Molinari,64,63.5,87,137
39,T40,T40,Billy Hurley III,66,63.46,66,104
40,T40,T40,Johnson Wagner,86,63.46,99,156
41,42,42,Russell Henley,76,63.36,83,131
42,43,43,Padraig Harrington,54,63.22,55,87
43,44,44,Jon Curran,99,63.08,123,195
44,45,45,Ryan Moore,86,63.03,75,119
45,46,46,Patrick Reed,105,62.96,85,135
46,47,47,Derek Ernst,59,62.62,67,107
47,48,48,Bronson Burgoon,83,62.59,87,139
48,49,49,Alex Cejka,71,62.5,75,120
49,50,50,Dicky Pride,55,62.39,73,117
50,51,51,Hideki Matsuyama,76,62.35,53,85
51,52,52,Geoff Ogilvy,63,62.26,66,106
52,53,53,David Hearn,95,61.83,115,186
53,54,54,Keegan Bradley,82,61.79,76,123
54,55,55,Brendon Todd,66,61.73,100,162
55,56,56,Si Woo Kim,113,61.61,138,224
56,T57,T57,Ernie Els,66,61.54,72,117
57,T57,T57,Jerry Kelly,76,61.54,80,130
58,59,59,Matt Kuchar,100,61.43,86,140
59,60,60,John Senden,88,61.39,97,158
60,61,61,Jason Day,76,61.36,54,88
61,62,62,Harris English,97,61.31,103,168
62,63,63,Gary Woodland,95,61.16,74,121
63,64,64,Spencer Levin,104,61.14,107,175
64,65,65,Brooks Koepka,75,61.11,66,108
65,66,66,Zach Johnson,90,61.07,80,131
66,67,67,Patton Kizzire,93,61.04,94,154
67,68,68,David Toms,62,60.98,75,123
68,69,69,Webb Simpson,70,60.64,57,94
69,70,70,Luke List,79,60.54,89,147
70,T71,T71,Lucas Glover,75,60.34,70,116
71,T71,T71,Mark Hubbard,101,60.34,105,174
72,73,73,Chez Reavie,90,60.29,82,136
73,74,74,Rory Sabbatini,57,60.23,53,88
74,75,75,Ricky Barnes,97,60.2,121,201
75,76,76,Derek Fathauer,94,60.12,98,163
76,T77,T77,Sung Kang,89,60.0,96,160
77,T77,T77,Brett Stegmaier,87,60.0,111,185
78,T77,T77,Steve Wheatcroft,85,60.0,96,160
79,80,80,Kevin Na,96,59.79,58,97
80,81,81,Shawn Stefani,91,59.76,101,169
81,82,82,Retief Goosen,55,59.69,77,129
82,83,83,Daniel Berger,92,59.52,75,126
83,84,84,Ben Martin,92,59.38,95,160
84,85,85,Brian Harman,104,59.34,108,182
85,86,86,Morgan Hoffmann,71,59.29,83,140
86,87,87,Jim Herman,93,59.23,77,130
87,88,88,Harold Varner III,92,59.18,116,196
88,89,89,Ben Crane,80,58.9,86,146
89,90,90,Chad Collins,73,58.86,93,158
90,91,91,Fabián Gómez,82,58.82,80,136
91,92,92,Matt Jones,83,58.62,85,145
92,93,93,Luke Guthrie,57,58.47,69,118
93,94,94,Dustin Johnson,87,58.42,59,101
94,T95,T95,Boo Weekley,83,58.27,81,139
95,T95,T95,Mark Wilson,66,58.27,81,139
96,97,97,Sean O'Hair,89,58.24,99,170
97,98,98,Vijay Singh,72,58.22,85,146
