,Proximity_to_Hole_from_Other_Locations_RANK THIS WEEK,Proximity_to_Hole_from_Other_Locations_RANK LAST WEEK,Proximity_to_Hole_from_Other_Locations_PLAYER NAME,Proximity_to_Hole_from_Other_Locations_ROUNDS,Proximity_to_Hole_from_Other_Locations_AVG DTP,Proximity_to_Hole_from_Other_Locations_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Other_Locations_# OF SHOTS,Proximity_to_Hole_from_Other_Locations_SCRAMBLING RANK
0,T1,T1,Branden Grace,63,"5' 2""",4.428999999999999,71,82
1,T1,T1,Francesco Molinari,64,"5' 2""",8.236,133,53
2,T1,T1,Steve Stricker,53,"5' 2""",5.041,81,1
3,T4,T4,Keegan Bradley,82,"5' 5""",8.212,127,165
4,T4,T4,Rory McIlroy,69,"5' 5""",4.4,68,88
5,T4,T4,Scott Stallings,74,"5' 5""",9.362,145,103
6,7,7,Chris Stroud,82,"5' 6""",8.101,122,126
7,8,8,Harris English,97,"5' 7""",9.81,146,63
8,T9,T9,Ricky Barnes,97,"5' 8""",11.443,168,66
9,T9,T9,David Hearn,95,"5' 8""",10.429,153,40
10,T9,T9,Bryce Molder,80,"5' 8""",10.674000000000001,156,2
11,T9,T9,Jeff Overton,69,"5' 8""",9.683,142,11
12,T13,T13,Retief Goosen,55,"5' 9""",8.177,118,59
13,T13,T13,Russell Knox,92,"5' 9""",5.985,87,28
14,T15,T15,Lucas Glover,75,"5' 10""",9.085,129,123
15,T15,T15,Padraig Harrington,54,"5' 10""",6.939,99,64
16,T15,T15,Charles Howell III,91,"5' 10""",11.325999999999999,161,44
17,T15,T15,Charl Schwartzel,73,"5' 10""",5.882000000000001,84,69
18,T19,T19,Chris Kirk,90,"5' 11""",10.365,147,16
19,T19,T19,Phil Mickelson,75,"5' 11""",7.4,104,4
20,T19,T19,Steve Wheatcroft,85,"5' 11""",10.408,146,54
21,T22,T22,Luke Donald,81,"6' 0""",7.869,110,6
22,T22,T22,Jim Furyk,52,"6' 0""",4.192,58,119
23,T22,T22,James Hahn,85,"6' 0""",8.251,115,150
24,T22,T22,Billy Hurley III,66,"6' 0""",7.2860000000000005,101,32
25,T22,T22,Smylie Kaufman,91,"6' 0""",8.527000000000001,118,159
26,T22,T22,Matt Kuchar,100,"6' 0""",8.877,123,34
27,T22,T22,Scott Langley,65,"6' 0""",9.587,133,19
28,T22,T22,Patrick Reed,105,"6' 0""",9.599,134,8
29,T30,T30,Stuart Appleby,71,"6' 1""",10.243,140,14
30,T30,T30,Jason Day,76,"6' 1""",7.436,102,26
31,T30,T30,Luke Guthrie,57,"6' 1""",6.905,95,50
32,T30,T30,Luke List,79,"6' 1""",11.799000000000001,161,44
33,T30,T30,Brendon Todd,66,"6' 1""",9.757,134,35
34,T30,T30,Gary Woodland,95,"6' 1""",9.337,128,59
35,T36,T36,Paul Casey,77,"6' 2""",6.539,88,36
36,T36,T36,Jordan Spieth,80,"6' 2""",7.882999999999999,106,9
37,T36,T36,Vaughn Taylor,72,"6' 2""",9.821,132,163
38,T36,T36,Jimmy Walker,85,"6' 2""",8.805,119,112
39,T40,T40,Aaron Baddeley,93,"6' 3""",12.347000000000001,165,5
40,T40,T40,Kevin Chappell,93,"6' 3""",9.841000000000001,131,79
41,T40,T40,Jerry Kelly,76,"6' 3""",8.109,108,7
42,T40,T40,Jason Kokrak,89,"6' 3""",11.168,148,92
43,T40,T40,Spencer Levin,104,"6' 3""",12.357000000000001,165,76
44,T40,T40,Jamie Lovemark,91,"6' 3""",14.350999999999999,191,36
45,T40,T40,Wes Roach,59,"6' 3""",7.76,104,146
46,T47,T47,Daniel Berger,92,"6' 4""",9.684,127,127
47,T47,T47,Derek Fathauer,94,"6' 4""",9.809,129,81
48,T47,T47,Si Woo Kim,113,"6' 4""",16.543,217,20
49,T47,T47,Colt Knost,90,"6' 4""",11.443,150,27
50,T47,T47,Webb Simpson,70,"6' 4""",7.71,101,75
51,T47,T47,Robert Streb,87,"6' 4""",8.405,111,149
52,T47,T47,Brian Stuard,66,"6' 4""",9.087,120,23
53,T47,T47,David Toms,62,"6' 4""",8.692,115,43
54,T55,T55,Abraham Ancer,51,"6' 5""",6.912999999999999,90,131
55,T55,T55,Zac Blair,99,"6' 5""",11.328,148,16
56,T55,T55,Chad Campbell,90,"6' 5""",11.913,155,21
57,T55,T55,Tom Hoge,81,"6' 5""",10.952,143,91
58,T55,T55,Zach Johnson,90,"6' 5""",10.214,132,24
59,T55,T55,Brooks Koepka,75,"6' 5""",9.655,126,152
60,T55,T55,Anirban Lahiri,72,"6' 5""",6.571000000000001,85,138
61,T55,T55,Will MacKenzie,84,"6' 5""",9.408999999999999,122,120
62,T55,T55,Graeme McDowell,63,"6' 5""",5.183,67,86
63,T55,T55,Rob Oppenheim,67,"6' 5""",8.191,106,72
64,T55,T55,Rod Pampling,54,"6' 5""",7.051,91,30
65,T55,T55,Shawn Stefani,91,"6' 5""",12.255999999999998,159,49
66,T55,T55,Brett Stegmaier,87,"6' 5""",13.469000000000001,175,97
67,T55,T55,Camilo Villegas,83,"6' 5""",10.744000000000002,139,73
68,T69,T69,Erik Compton,65,"6' 6""",8.514,109,128
69,T69,T69,Bill Haas,86,"6' 6""",8.677,111,12
70,T69,T69,Billy Horschel,73,"6' 6""",9.326,120,166
71,T69,T69,Shane Lowry,57,"6' 6""",5.081,65,169
72,T69,T69,Hideki Matsuyama,76,"6' 6""",7.138999999999999,91,46
73,T69,T69,Tyrone Van Aswegen,105,"6' 6""",14.16,182,47
74,T75,T75,Brian Harman,104,"6' 7""",13.193,168,38
75,T75,T75,Dicky Pride,55,"6' 7""",7.997000000000001,101,67
76,T75,T75,Chez Reavie,90,"6' 7""",10.984000000000002,139,15
77,T75,T75,Willy Wilcox,67,"6' 7""",10.885,137,100
78,T75,T75,Tim Wilkinson,72,"6' 7""",8.525,108,10
79,T80,T80,Chad Collins,73,"6' 8""",12.59,157,51
80,T80,T80,Rickie Fowler,80,"6' 8""",8.814,110,21
81,T80,T80,Robert Garrigus,69,"6' 8""",8.371,104,172
82,T80,T80,Jim Herman,93,"6' 8""",9.863999999999999,124,85
83,T80,T80,Kelly Kraft,63,"6' 8""",7.1579999999999995,89,145
84,T80,T80,Marc Leishman,89,"6' 8""",10.334000000000001,129,56
85,T80,T80,Ryan Palmer,86,"6' 8""",9.863999999999999,124,114
86,T80,T80,Boo Weekley,83,"6' 8""",11.306,142,94
87,T88,T88,Greg Owen,85,"6' 9""",11.865,146,181
88,T88,T88,Rory Sabbatini,57,"6' 9""",6.404,79,137
