,Scrambling_RANK THIS WEEK,Scrambling_RANK LAST WEEK,Scrambling_PLAYER NAME,Scrambling_ROUNDS,Scrambling_%,Scrambling_PAR OR BETTER,Scrambling_MISSED GIR
0,1,1,Steve Stricker,53,66.01,233,353
1,2,2,Bryce Molder,80,65.38,355,543
2,3,3,Alex Cejka,71,65.03,251,386
3,4,4,Phil Mickelson,75,64.32,283,440
4,5,5,Aaron Baddeley,93,64.3,380,591
5,6,6,Luke Donald,81,64.15,331,516
6,7,7,Jerry Kelly,76,64.04,292,456
7,8,8,Patrick Reed,105,63.97,403,630
8,9,9,Jordan Spieth,80,63.93,319,499
9,10,10,Tim Wilkinson,72,63.66,275,432
10,11,11,Jeff Overton,69,63.59,269,423
11,12,12,Bill Haas,86,63.3,307,485
12,13,13,Jon Curran,99,63.28,417,659
13,14,14,Stuart Appleby,71,63.26,303,479
14,15,15,Chez Reavie,90,62.75,310,494
15,T16,T16,Zac Blair,99,62.73,404,644
16,T16,T16,Chris Kirk,90,62.73,345,550
17,T16,T16,Brandt Snedeker,93,62.73,345,550
18,19,19,Scott Langley,65,62.35,255,409
19,20,20,Si Woo Kim,113,62.32,430,690
20,T21,T21,Chad Campbell,90,62.21,321,516
21,T21,T21,Rickie Fowler,80,62.21,265,426
22,23,23,Brian Stuard,66,62.16,271,436
23,24,24,Zach Johnson,90,62.11,341,549
24,25,25,John Huh,86,62.09,321,517
25,26,26,Jason Day,76,61.92,252,407
26,27,27,Colt Knost,90,61.9,333,538
27,T28,T28,Russell Knox,92,61.86,300,485
28,T28,T28,Andrew Landry,53,61.86,193,312
29,30,30,Rod Pampling,54,61.73,200,324
30,31,31,Ben Crane,80,61.65,307,498
31,32,32,Billy Hurley III,66,61.63,273,443
32,33,33,K.J. Choi,73,61.54,280,455
33,34,34,Matt Kuchar,100,61.51,342,556
34,35,35,Brendon Todd,66,61.46,319,519
35,T36,T36,Paul Casey,77,61.44,239,389
36,T36,T36,Jamie Lovemark,91,61.44,349,568
37,38,38,Brian Harman,104,61.4,404,658
38,39,39,Michael Kim,100,61.25,392,640
39,40,40,David Hearn,95,61.14,332,543
40,41,41,Russell Henley,76,61.06,265,434
41,42,42,Jonas Blixt,79,61.05,326,534
42,43,43,David Toms,62,61.04,235,385
43,T44,T44,Charles Howell III,91,60.88,319,524
44,T44,T44,Luke List,79,60.88,277,455
45,46,46,Hideki Matsuyama,76,60.86,255,419
46,47,47,Tyrone Van Aswegen,105,60.84,393,646
47,48,48,William McGirt,98,60.76,350,576
48,49,49,Shawn Stefani,91,60.57,318,525
49,50,50,Luke Guthrie,57,60.55,221,365
50,51,51,Chad Collins,73,60.53,299,494
51,52,52,Derek Ernst,59,60.52,210,347
52,53,53,Francesco Molinari,64,60.4,244,404
53,T54,T54,Steve Wheatcroft,85,60.36,335,555
54,T54,T54,Mark Wilson,66,60.36,236,391
55,56,56,Marc Leishman,89,60.34,324,537
56,57,57,Henrik Norlander,71,60.31,231,383
57,58,58,Freddie Jacobson,86,60.29,328,544
58,T59,T59,Retief Goosen,55,60.16,222,369
59,T59,T59,Gary Woodland,95,60.16,308,512
60,61,61,Ryan Moore,86,60.12,300,499
61,62,62,Roberto Castro,97,60.11,324,539
62,63,63,Harris English,97,60.1,369,614
63,64,64,Padraig Harrington,54,60.0,216,360
64,65,65,Mark Hubbard,101,59.97,382,637
65,66,66,Ricky Barnes,97,59.86,343,573
66,67,67,Dicky Pride,55,59.79,223,373
67,68,68,Sung Kang,89,59.74,325,544
68,69,69,Charl Schwartzel,73,59.64,235,394
