,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
0,T1,T1,Jonas Blixt,79,100.0,56,56
1,T1,T1,Rickie Fowler,80,100.0,28,28
2,3,3,Brian Harman,104,98.57,69,70
3,4,4,Scott Pinckney,87,97.92,47,48
4,5,5,D.H. Lee,61,97.67,42,43
5,T6,T6,Matt Kuchar,100,96.67,58,60
6,T6,T6,Camilo Villegas,83,96.67,58,60
7,T8,T8,Chad Collins,73,96.43,54,56
8,T8,T8,Jim Furyk,52,96.43,27,28
9,10,10,Rod Pampling,54,96.0,24,25
10,11,11,Chez Reavie,90,95.95,71,74
11,12,12,Jordan Spieth,80,95.92,47,49
12,13,13,Derek Fathauer,94,95.83,69,72
13,T14,T14,Alex Cejka,71,95.65,44,46
14,T14,T14,Martin Piller,59,95.65,44,46
15,T14,T14,Justin Thomas,99,95.65,44,46
16,17,17,Patrick Reed,105,95.08,58,61
17,18,18,Jason Day,76,95.0,38,40
18,19,19,Billy Horschel,73,94.87,37,39
19,T20,T20,Erik Compton,65,94.74,54,57
20,T20,T20,Bill Haas,86,94.74,36,38
21,T20,T20,Freddie Jacobson,86,94.74,54,57
22,23,23,Troy Merritt,77,94.44,51,54
23,T24,T24,Jason Gore,78,94.34,50,53
24,T24,T24,Jeff Overton,69,94.34,50,53
25,T26,T26,John Senden,88,93.94,62,66
26,T26,T26,Steve Stricker,53,93.94,31,33
27,28,28,Si Woo Kim,113,93.75,75,80
28,T29,T29,Billy Hurley III,66,93.62,44,47
29,T29,T29,Ryan Moore,86,93.62,44,47
30,T29,T29,Vaughn Taylor,72,93.62,44,47
31,T29,T29,David Toms,62,93.62,44,47
32,33,33,Michael Kim,100,93.51,72,77
33,T34,T34,Luke Guthrie,57,93.48,43,46
34,T34,T34,Francesco Molinari,64,93.48,43,46
35,36,36,Jamie Lovemark,91,93.22,55,59
36,T37,T37,Morgan Hoffmann,71,93.02,40,43
37,T37,T37,Cameron Smith,73,93.02,40,43
38,39,39,Colt Knost,90,92.98,53,57
39,T40,T40,Jason Bohn,67,92.86,39,42
40,T40,T40,Ryan Palmer,86,92.86,52,56
41,42,42,Zac Blair,99,92.77,77,83
42,43,43,Matt Jones,83,92.73,51,55
43,44,44,Andrew Landry,53,92.59,25,27
44,45,45,Kevin Kisner,97,92.45,49,53
45,46,46,Jon Curran,99,92.41,73,79
46,T47,T47,Stuart Appleby,71,92.31,60,65
47,T47,T47,Daniel Berger,92,92.31,48,52
48,T47,T47,Brendon de Jonge,83,92.31,48,52
49,T47,T47,Dustin Johnson,87,92.31,36,39
50,T47,T47,Phil Mickelson,75,92.31,36,39
51,T47,T47,Hudson Swafford,104,92.31,60,65
52,T47,T47,Tyrone Van Aswegen,105,92.31,72,78
53,54,54,Tony Finau,95,92.19,59,64
54,T55,T55,Russell Knox,92,92.16,47,51
55,T55,T55,Andrew Loupe,75,92.16,47,51
56,T55,T55,Willy Wilcox,67,92.16,47,51
57,58,58,Keegan Bradley,82,92.11,35,38
58,59,59,Blayne Barber,84,92.06,58,63
59,60,60,James Hahn,85,92.0,46,50
60,61,61,Retief Goosen,55,91.89,34,37
61,T62,T62,Aaron Baddeley,93,91.67,55,60
62,T62,T62,Emiliano Grillo,93,91.67,44,48
63,T62,T62,Hideki Matsuyama,76,91.67,33,36
64,T65,T65,Robert Garrigus,69,91.49,43,47
65,T65,T65,Scott Piercy,87,91.49,43,47
66,T65,T65,Robert Streb,87,91.49,43,47
67,68,68,Paul Casey,77,91.43,32,35
68,69,69,Ángel Cabrera,62,91.3,42,46
69,70,70,Daniel Summerhays,99,91.23,52,57
70,71,71,Rory McIlroy,69,91.18,31,34
71,72,72,Ben Crane,80,91.07,51,56
72,73,73,David Hearn,95,91.04,61,67
73,74,74,Mark Hubbard,101,91.03,71,78
74,T75,T75,Anirban Lahiri,72,90.91,30,33
75,T75,T75,Adam Scott,79,90.91,30,33
76,T75,T75,Michael Thompson,71,90.91,60,66
77,78,78,Whee Kim,82,90.74,49,54
78,T79,T79,William McGirt,98,90.63,58,64
79,T79,T79,Shawn Stefani,91,90.63,58,64
80,T81,T81,Sergio Garcia,54,90.48,19,21
81,T81,T81,Fabián Gómez,82,90.48,38,42
82,T81,T81,Graeme McDowell,63,90.48,38,42
83,T84,T84,Tyler Aldridge,83,90.41,66,73
84,T84,T84,Scott Brown,88,90.41,66,73
85,86,86,Abraham Ancer,51,90.24,37,41
86,87,87,K.J. Choi,73,90.2,46,51
87,T88,T88,Jason Dufner,105,89.83,53,59
88,T88,T88,Harris English,97,89.83,53,59
89,90,90,Brendan Steele,88,89.8,44,49
90,91,91,Nick Taylor,83,89.71,61,68
91,92,92,Ben Martin,92,89.66,52,58
92,93,93,Roberto Castro,97,89.61,69,77
93,94,94,Rob Oppenheim,67,89.58,43,48
94,95,95,Boo Weekley,83,89.47,68,76
95,96,96,Zach Johnson,90,89.39,59,66
96,97,97,Tim Wilkinson,72,89.36,42,47
97,T98,T98,Jerry Kelly,76,89.29,50,56
98,T98,T98,Louis Oosthuizen,63,89.29,25,28
99,T100,T100,Bronson Burgoon,83,89.23,58,65
100,T100,T100,Luke Donald,81,89.23,58,65
101,102,102,Andres Gonzales,80,89.13,41,46
102,103,103,Tom Hoge,81,89.09,49,55
103,104,104,Patrick Rodgers,89,89.04,65,73
104,105,105,Spencer Levin,104,89.02,73,82
105,T106,T106,Chesson Hadley,81,88.89,56,63
106,T106,T106,David Lingmerth,84,88.89,48,54
107,T106,T106,Justin Rose,65,88.89,32,36
108,T106,T106,Kevin Streelman,82,88.89,40,45
109,T106,T106,Brian Stuard,66,88.89,40,45
110,T106,T106,Jimmy Walker,85,88.89,48,54
111,T112,T112,Charley Hoffman,91,88.73,63,71
112,T112,T112,Bryce Molder,80,88.73,63,71
113,114,114,Greg Owen,85,88.68,47,53
114,115,115,Mark Wilson,66,88.64,39,44
115,T116,T116,Chris Kirk,90,88.46,46,52
116,T116,T116,Harold Varner III,92,88.46,46,52
117,T116,T116,Johnson Wagner,86,88.46,69,78
118,119,119,John Huh,86,88.41,61,69
119,120,120,Geoff Ogilvy,63,88.37,38,43
120,121,121,Sung Kang,89,88.33,53,60
121,T122,T122,Danny Lee,93,88.24,45,51
122,T122,T122,Hunter Mahan,61,88.24,30,34
