,Proximity_to_Hole_from_Sand_RANK THIS WEEK,Proximity_to_Hole_from_Sand_RANK LAST WEEK,Proximity_to_Hole_from_Sand_PLAYER NAME,Proximity_to_Hole_from_Sand_ROUNDS,Proximity_to_Hole_from_Sand_AVG DTP,Proximity_to_Hole_from_Sand_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Sand_# OF SHOTS,Proximity_to_Hole_from_Sand_SCRAMBLING RANK
0,1,1,Padraig Harrington,54,"6' 0""",411.833,69,64
1,2,2,Jason Day,76,"7' 0""",541.25,77,26
2,3,3,Webb Simpson,70,"7' 3""",692.5830000000001,95,75
3,T4,T4,Chad Campbell,90,"7' 4""",846.0,115,21
4,T4,T4,John Huh,86,"7' 4""",895.3330000000001,122,25
5,6,6,Justin Rose,65,"7' 6""",641.4169999999999,86,102
6,T7,T7,Danny Lee,93,"7' 8""",967.0830000000001,126,122
7,T7,T7,Jordan Spieth,80,"7' 8""",622.6669999999999,81,9
8,T9,T9,Robert Allenby,51,"7' 9""",455.0,59,182
9,T9,T9,Jamie Lovemark,91,"7' 9""",972.8330000000001,126,36
10,T11,T11,Aaron Baddeley,93,"7' 11""",942.4169999999999,119,5
11,T11,T11,Sergio Garcia,54,"7' 11""",402.333,51,113
12,T11,T11,Freddie Jacobson,86,"7' 11""",834.3330000000001,105,58
13,T14,T14,Charley Hoffman,91,"8' 1""",844.5830000000001,104,111
14,T14,T14,Tyrone Van Aswegen,105,"8' 1""",1031.5,127,47
15,T16,T16,Smylie Kaufman,91,"8' 2""",937.3330000000001,115,159
16,T16,T16,Sean O'Hair,89,"8' 2""",1026.583,126,110
17,T18,T18,Luke Donald,81,"8' 3""",836.9169999999999,101,6
18,T18,T18,George McNeill,51,"8' 3""",667.25,81,171
19,T18,T18,Brandt Snedeker,93,"8' 3""",968.5830000000001,118,16
20,T21,T21,Steven Bowditch,71,"8' 4""",938.5830000000001,113,185
21,T21,T21,Patrick Reed,105,"8' 4""",995.0830000000001,120,8
22,T23,T23,Si Woo Kim,113,"8' 5""",1393.0829999999999,165,20
23,T23,T23,Scott Langley,65,"8' 5""",723.4169999999999,86,19
24,T23,T23,Luke List,79,"8' 5""",843.5,100,44
25,T23,T23,Rod Pampling,54,"8' 5""",537.25,64,30
26,T27,T27,Chad Collins,73,"8' 6""",873.9169999999999,103,51
27,T27,T27,Jon Curran,99,"8' 6""",1281.0,150,13
28,T27,T27,Retief Goosen,55,"8' 6""",645.6669999999999,76,59
29,T27,T27,Phil Mickelson,75,"8' 6""",821.9169999999999,97,4
30,T31,T31,Marc Leishman,89,"8' 7""",870.8330000000001,101,56
31,T31,T31,Charl Schwartzel,73,"8' 7""",874.5,102,69
32,T31,T31,Brendon Todd,66,"8' 7""",823.3330000000001,96,35
33,T34,T34,Hiroshi Iwata,85,"8' 8""",1032.833,119,77
34,T34,T34,Zach Johnson,90,"8' 8""",1013.3330000000001,117,24
35,T34,T34,Matt Kuchar,100,"8' 8""",1067.583,123,34
36,T34,T34,Bryce Molder,80,"8' 8""",940.6669999999999,109,2
37,T34,T34,Henrik Norlander,71,"8' 8""",570.75,66,57
38,T34,T34,Rory Sabbatini,57,"8' 8""",612.6669999999999,71,137
39,T40,T40,Erik Compton,65,"8' 9""",731.9169999999999,84,128
