,Back_9_Lowest_Round_RANK THIS WEEK,Back_9_Lowest_Round_RANK LAST WEEK,Back_9_Lowest_Round_PLAYER NAME,Back_9_Lowest_Round_ROUNDS,Back_9_Lowest_Round_LOW RND
0,T1,T1,Harrison Frazar,72,29
1,T1,T1,Paul Goydos,99,29
2,T1,T1,Brian Henninger,93,29
3,T1,T1,Tim Herron,96,29
4,T1,T1,Carl Paulson,105,29
5,T1,T1,Chris Perry,109,29
6,T1,T1,Jay Williamson,105,29
7,T8,T8,Robert Allenby,98,30
8,T8,T8,Paul Azinger,73,30
9,T8,T8,Craig Barlow,98,30
10,T8,T8,Doug Barron,85,30
11,T8,T8,Jay Don Blake,95,30
12,T8,T8,Tom Byrum,91,30
13,T8,T8,K.J. Choi,92,30
14,T8,T8,Michael Clark II,84,30
15,T8,T8,David Duval,73,30
16,T8,T8,Brad Faxon,98,30
17,T8,T8,Jim Furyk,98,30
18,T8,T8,Sergio Garcia,59,30
19,T8,T8,Brent Geiberger,79,30
20,T8,T8,Bill Glasson,93,30
21,T8,T8,Matt Gogel,86,30
22,T8,T8,Gabriel Hjertstedt,86,30
23,T8,T8,John Huston,81,30
24,T8,T8,Jonathan Kaye,115,30
25,T8,T8,Skip Kendall,114,30
26,T8,T8,Franklin Langham,95,30
27,T8,T8,Davis Love III,98,30
28,T8,T8,Bob May,95,30
29,T8,T8,Blaine McCallister,104,30
30,T8,T8,Scott McCarron,100,30
31,T8,T8,Shaun Micheel,94,30
32,T8,T8,Phil Mickelson,85,30
33,T8,T8,Gary Nicklaus,84,30
34,T8,T8,Frank Nobilo,98,30
35,T8,T8,Corey Pavin,74,30
36,T8,T8,David Peoples,99,30
37,T8,T8,Loren Roberts,87,30
38,T8,T8,Rory Sabbatini,85,30
39,T8,T8,Tommy Tolles,60,30
40,T8,T8,Kirk Triplett,101,30
41,T8,T8,Grant Waite,85,30
42,T8,T8,Mike Weir,102,30
43,T44,T44,Stephen Ames,99,31
44,T44,T44,Billy Andrade,89,31
45,T44,T44,Stuart Appleby,86,31
46,T44,T44,Tommy Armour III,91,31
47,T44,T44,Woody Austin,104,31
48,T44,T44,Ben Bates,107,31
49,T44,T44,Cameron Beckman,81,31
50,T44,T44,Rich Beem,84,31
51,T44,T44,Ronnie Black,82,31
52,T44,T44,Michael Bradley,73,31
53,T44,T44,Mark Brooks,91,31
54,T44,T44,Bart Bryant,73,31
55,T44,T44,Jason Buha,82,31
