,Par_Breakers_RANK THIS WEEK,Par_Breakers_RANK LAST WEEK,Par_Breakers_PLAYER NAME,Par_Breakers_ROUNDS,Par_Breakers_%,Par_Breakers_# BIRDIES/EAGLES,Par_Breakers_# HOLES
0,1,1,Tiger Woods,82,28.73,393,1368
1,2,2,Phil Mickelson,85,24.65,355,1440
2,3,3,Davis Love III,98,24.4,404,1656
3,4,4,David Duval,73,24.05,290,1206
4,5,5,Steve Flesch,123,23.37,509,2178
5,6,6,Paul Stankowski,77,23.06,303,1314
6,7,7,Mark Calcavecchia,99,22.83,378,1656
7,8,8,Fred Couples,71,22.78,287,1260
8,9,9,Greg Chalmers,96,22.77,377,1656
9,10,10,Rory Sabbatini,85,22.76,340,1494
10,11,11,Brad Faxon,98,22.74,393,1728
11,12,12,Kenny Perry,76,22.73,311,1368
12,13,13,Jesper Parnevik,71,22.63,277,1224
13,14,14,Paul Azinger,73,22.61,293,1296
14,15,15,Grant Waite,85,22.55,345,1530
15,16,16,David Toms,113,22.48,441,1962
16,17,17,Vijay Singh,97,22.46,372,1656
17,T18,T18,Sergio Garcia,59,22.44,210,936
18,T18,T18,Steve Lowery,107,22.44,420,1872
19,20,20,Nick Price,63,22.4,250,1116
20,21,21,Skip Kendall,114,22.17,447,2016
21,22,22,Kirk Triplett,101,22.16,387,1746
22,23,23,Stephen Ames,99,22.11,378,1710
23,24,24,Jonathan Kaye,115,22.07,445,2016
24,25,25,Franklin Langham,95,21.98,360,1638
25,26,26,Hal Sutton,93,21.97,352,1602
26,27,27,Mike Weir,102,21.93,379,1728
27,28,28,Scott McCarron,100,21.88,386,1764
28,29,29,Ernie Els,74,21.81,267,1224
29,30,30,Carlos Franco,85,21.69,328,1512
30,31,31,John Huston,81,21.6,311,1440
31,32,32,Chris DiMarco,118,21.59,443,2052
32,33,33,Scott Hoch,108,21.53,403,1872
33,34,34,Robert Allenby,98,21.34,361,1692
34,35,35,Stuart Appleby,86,21.33,311,1458
35,36,36,Glen Day,93,21.26,352,1656
36,T37,T37,Stewart Cink,98,21.17,362,1710
37,T37,T37,Scott Dunlap,106,21.17,404,1908
38,T37,T37,Scott Verplank,106,21.17,404,1908
39,T40,T40,Brian Henninger,93,21.16,339,1602
40,T40,T40,Chris Perry,109,21.16,400,1890
41,42,42,Brandel Chamblee,72,21.03,265,1260
42,43,43,David Peoples,99,20.99,374,1782
43,44,44,Bob May,95,20.94,343,1638
44,45,45,Bill Glasson,93,20.91,350,1674
45,46,46,Carl Paulson,105,20.87,387,1854
46,47,47,J.L. Lewis,104,20.86,383,1836
47,48,48,Frank Lickliter II,107,20.85,394,1890
48,49,49,Jeff Sluman,113,20.82,416,1998
49,T50,T50,Billy Andrade,89,20.67,320,1548
50,T50,T50,Brent Geiberger,79,20.67,279,1350
51,T50,T50,Blaine McCallister,104,20.67,387,1872
52,53,53,Robert Damron,93,20.63,338,1638
53,T54,T54,Tim Herron,96,20.57,348,1692
54,T54,T54,Lee Janzen,92,20.57,337,1638
55,56,56,Craig Stadler,70,20.54,244,1188
56,57,57,Joe Durant,94,20.51,347,1692
57,T58,T58,Harrison Frazar,72,20.48,258,1260
58,T58,T58,Jay Williamson,105,20.48,376,1836
59,60,60,Bob Burns,91,20.47,328,1602
60,61,61,Tommy Tolles,60,20.46,221,1080
61,62,62,Loren Roberts,87,20.41,316,1548
62,T63,T63,Robert Gamez,76,20.39,279,1368
63,T63,T63,Kevin Sutherland,98,20.39,345,1692
64,T65,T65,Jeff Maggert,86,20.33,300,1476
65,T65,T65,Chris Riley,98,20.33,344,1692
66,67,67,Barry Cheesman,96,20.31,340,1674
67,T68,T68,Woody Austin,104,20.3,369,1818
68,T68,T68,Duffy Waldorf,80,20.3,274,1350
69,T70,T70,Jay Don Blake,95,20.25,339,1674
70,T70,T70,Brad Elder,110,20.25,401,1980
71,72,72,Jim Furyk,98,20.23,346,1710
72,73,73,Brandt Jobe,91,20.2,320,1584
73,T74,T74,Russ Cochran,71,20.19,258,1278
74,T74,T74,Justin Leonard,98,20.19,338,1674
75,T76,T76,J.P. Hayes,91,20.16,323,1602
76,T76,T76,Mike Springer,83,20.16,294,1458
77,T78,T78,Gabriel Hjertstedt,86,20.15,301,1494
78,T78,T78,Shaun Micheel,94,20.15,330,1638
79,80,80,Jim McGovern,55,20.13,192,954
80,81,81,Bob Tway,91,20.04,321,1602
81,82,82,Jerry Kelly,111,20.02,400,1998
82,83,83,Mathew Goggin,91,19.98,320,1602
83,T84,T84,Tom Pernice Jr.,98,19.97,345,1728
84,T84,T84,David Sutherland,109,19.97,381,1908
85,86,86,Fred Funk,110,19.93,391,1962
86,87,87,Tom Scherrer,104,19.91,362,1818
87,88,88,Joe Ogilvie,95,19.9,326,1638
88,89,89,Dudley Hart,74,19.86,261,1314
89,90,90,Craig Barlow,98,19.85,343,1728
90,91,91,Cameron Beckman,81,19.82,289,1458
91,92,92,Joel Edwards,99,19.81,353,1782
92,93,93,Steve Gotsche,91,19.79,317,1602
93,94,94,Paul Goydos,99,19.76,345,1746
94,95,95,Tom Byrum,91,19.73,316,1602
95,96,96,John Daly,71,19.72,252,1278
96,97,97,Doug Barron,85,19.65,290,1476
97,98,98,Brian Gay,101,19.64,350,1782
98,99,99,Rich Beem,84,19.62,286,1458
99,100,100,Michael Clark II,84,19.58,282,1440
100,101,101,Jean Van de Velde,70,19.57,236,1206
101,102,102,Shigeki Maruyama,88,19.48,298,1530
102,103,103,David Morland IV,88,19.44,301,1548
103,104,104,Edward Fryatt,101,19.42,339,1746
104,105,105,Charles Raulerson,98,19.39,342,1764
105,106,106,Tom Lehman,71,19.32,240,1242
106,T107,T107,Doug Dunakey,83,19.31,278,1440
107,T107,T107,Joey Sindelar,88,19.31,292,1512
108,109,109,Olin Browne,103,19.3,344,1782
109,110,110,Larry Mize,71,19.24,239,1242
110,111,111,Rocco Mediate,79,19.23,263,1368
111,112,112,Jim Carter,96,19.21,325,1692
112,113,113,Dan Forsman,88,19.19,304,1584
113,114,114,Jason Buha,82,19.17,283,1476
114,115,115,Greg Kraft,106,19.13,365,1908
115,116,116,Andrew Magee,78,19.1,251,1314
116,117,117,K.J. Choi,92,19.04,305,1602
117,118,118,Frank Nobilo,98,19.01,325,1710
118,T119,T119,Casey Martin,90,19.0,301,1584
119,T119,T119,Craig Parry,73,19.0,236,1242
120,121,121,Steve Elkington,59,18.97,198,1044
121,122,122,Pete Jordan,102,18.9,347,1836
122,123,123,Mark Brooks,91,18.88,299,1584
123,124,124,Brett Quigley,63,18.87,214,1134
124,125,125,Matt Gogel,86,18.85,285,1512
125,126,126,Bradley Hughes,93,18.77,304,1620
126,127,127,Dennis Paulson,82,18.72,273,1458
127,T128,T128,Rick Fehr,73,18.7,239,1278
128,T128,T128,Glen Hnatiuk,94,18.7,303,1620
129,130,130,Billy Mayfair,93,18.69,296,1584
130,131,131,Steve Jones,75,18.62,238,1278
131,132,132,Robin Freeman,98,18.59,328,1764
132,133,133,"Dave Stockton, Jr.",89,18.58,291,1566
133,134,134,Ronnie Black,82,18.57,264,1422
134,135,135,Bob Estes,68,18.52,210,1134
135,136,136,Brad Fabel,88,18.5,293,1584
136,137,137,Mark Wiebe,95,18.48,306,1656
137,138,138,Perry Moss,53,18.45,176,954
138,139,139,Sean Murphy,102,18.44,332,1800
139,140,140,Michael Bradley,73,18.42,242,1314
140,141,141,Jimmy Green,85,18.41,275,1494
141,142,142,Kevin Wentworth,83,18.4,265,1440
