,Birdie_to_Bogey_Ratio_RANK THIS WEEK,Birdie_to_Bogey_Ratio_RANK LAST WEEK,Birdie_to_Bogey_Ratio_PLAYER NAME,Birdie_to_Bogey_Ratio_ROUNDS,Birdie_to_Bogey_Ratio_BIRDIE TO BOGEY RATIO,Birdie_to_Bogey_Ratio_TOTAL BIRDIES AND BETTER,Birdie_to_Bogey_Ratio_TOTAL BOGEYS AND WORSE
0,1,1,Tiger Woods,82,2.93,393,134
1,2,2,Phil Mickelson,85,1.97,355,180
2,3,3,Steve Flesch,123,1.86,509,274
3,4,4,Kenny Perry,76,1.73,311,180
4,5,5,Ernie Els,74,1.72,268,156
5,6,6,David Duval,73,1.71,290,170
6,7,7,Scott Verplank,106,1.66,404,243
7,8,8,Stewart Cink,98,1.61,362,225
8,9,9,Paul Azinger,73,1.6,293,183
9,T10,T10,Stuart Appleby,86,1.58,311,197
10,T10,T10,Davis Love III,98,1.58,404,255
11,T10,T10,Steve Lowery,107,1.58,420,265
12,13,13,Mark Calcavecchia,99,1.57,378,241
13,14,14,Paul Stankowski,77,1.56,303,194
14,15,15,Chris Perry,109,1.54,400,260
15,T16,T16,Greg Chalmers,96,1.53,377,246
16,T16,T16,Fred Couples,71,1.53,287,188
17,T16,T16,Hal Sutton,93,1.53,352,230
18,T19,T19,Nick Price,63,1.52,250,165
19,T19,T19,Kirk Triplett,101,1.52,387,254
20,T19,T19,Mike Weir,102,1.52,379,249
21,T22,T22,Jim Furyk,98,1.5,346,230
22,T22,T22,Scott Hoch,108,1.5,403,269
23,T24,T24,Bill Glasson,93,1.49,351,235
24,T24,T24,Vijay Singh,97,1.49,372,250
25,T26,T26,Joel Edwards,99,1.48,353,239
26,T26,T26,David Toms,113,1.48,441,298
27,T26,T26,Grant Waite,85,1.48,345,233
28,T29,T29,Bob May,95,1.47,343,234
29,T29,T29,Jesper Parnevik,71,1.47,277,188
30,T29,T29,Kevin Sutherland,98,1.47,345,234
31,T32,T32,Stephen Ames,99,1.46,378,259
32,T32,T32,Blaine McCallister,104,1.46,387,265
33,T34,T34,Chris DiMarco,118,1.45,443,305
34,T34,T34,Joe Durant,94,1.45,347,240
35,T36,T36,Jonathan Kaye,115,1.44,445,308
36,T36,T36,Franklin Langham,95,1.44,360,250
37,T38,T38,Robert Allenby,98,1.43,361,252
38,T38,T38,Brad Faxon,98,1.43,393,275
39,T38,T38,David Peoples,99,1.43,374,262
40,T41,T41,Justin Leonard,98,1.42,338,238
41,T41,T41,Jeff Sluman,113,1.42,416,292
42,T43,T43,Greg Kraft,106,1.41,365,259
43,T43,T43,Loren Roberts,87,1.41,316,224
44,T45,T45,Brent Geiberger,79,1.39,279,201
45,T45,T45,Frank Lickliter II,107,1.39,395,285
46,T47,T47,Scott Dunlap,106,1.38,404,292
47,T47,T47,Dudley Hart,74,1.38,261,189
48,T47,T47,Jerry Kelly,111,1.38,400,290
49,T47,T47,Skip Kendall,114,1.38,447,325
50,51,51,John Huston,81,1.36,311,229
51,T52,T52,Lee Janzen,92,1.35,337,250
52,T52,T52,Tom Lehman,71,1.35,240,178
53,T54,T54,Fred Funk,110,1.34,391,292
54,T54,T54,Len Mattiace,107,1.34,340,254
55,T54,T54,Carl Paulson,105,1.34,387,289
56,T57,T57,John Cook,90,1.33,284,214
57,T57,T57,Glen Day,93,1.33,352,264
58,T59,T59,Russ Cochran,71,1.32,258,195
59,T59,T59,Glen Hnatiuk,94,1.32,303,230
60,T59,T59,J.L. Lewis,104,1.32,383,290
61,T59,T59,Jean Van de Velde,70,1.32,236,179
62,63,63,Chris Riley,98,1.31,344,262
63,T64,T64,Tom Byrum,91,1.3,316,243
64,T64,T64,Brandel Chamblee,72,1.3,265,204
65,T64,T64,Dan Forsman,88,1.3,304,233
66,T64,T64,Brian Gay,101,1.3,350,270
67,T64,T64,Tim Herron,96,1.3,348,267
68,T64,T64,Scott McCarron,100,1.3,386,297
69,T64,T64,Jay Williamson,105,1.3,376,289
70,T71,T71,Sergio Garcia,59,1.29,210,163
71,T71,T71,Tom Scherrer,104,1.29,362,280
72,T71,T71,Bob Tway,91,1.29,321,248
73,T74,T74,Rocco Mediate,79,1.28,263,205
74,T74,T74,Duffy Waldorf,80,1.28,274,214
75,T76,T76,Olin Browne,103,1.27,344,271
76,T76,T76,Rory Sabbatini,85,1.27,340,268
77,T76,T76,Esteban Toledo,113,1.27,354,278
78,T79,T79,Harrison Frazar,72,1.26,258,205
79,T79,T79,Shigeki Maruyama,88,1.26,298,236
80,T79,T79,Larry Mize,71,1.26,239,190
81,T82,T82,Craig Barlow,98,1.25,343,275
82,T82,T82,Brad Elder,110,1.25,401,322
83,T82,T82,Paul Goydos,99,1.25,345,277
84,T82,T82,J.P. Hayes,91,1.25,323,258
85,T86,T86,Robert Damron,93,1.24,338,273
86,T86,T86,Shaun Micheel,94,1.24,330,267
87,T86,T86,Joe Ogilvie,95,1.24,326,262
88,T86,T86,Jerry Smith,104,1.24,317,255
89,T90,T90,K.J. Choi,92,1.23,305,248
90,T90,T90,Pete Jordan,102,1.23,347,281
91,T92,T92,Jay Don Blake,95,1.22,339,278
92,T92,T92,Brian Henninger,93,1.22,339,277
93,T92,T92,Jeff Maggert,86,1.22,300,245
94,T92,T92,Mike Reid,76,1.22,230,188
95,T92,T92,David Sutherland,109,1.22,382,314
96,T97,T97,Doug Barron,85,1.21,290,239
97,T97,T97,Robert Gamez,76,1.21,279,231
98,T97,T97,Andrew Magee,78,1.21,251,208
99,T97,T97,Jim McGovern,55,1.21,192,159
100,T97,T97,Craig Parry,73,1.21,236,195
101,T97,T97,Tom Pernice Jr.,98,1.21,345,284
102,T103,T103,Billy Andrade,89,1.2,320,267
103,T103,T103,Rick Fehr,73,1.2,239,200
104,T103,T103,Mathew Goggin,91,1.2,320,266
105,T103,T103,Peter Jacobsen,65,1.2,213,178
106,107,107,Woody Austin,104,1.19,369,311
107,T108,T108,Bob Estes,68,1.18,210,178
108,T108,T108,Carlos Franco,85,1.18,328,277
109,T110,T110,Cameron Beckman,81,1.17,289,246
110,T110,T110,Michael Clark II,84,1.17,282,242
111,T110,T110,Neal Lancaster,99,1.17,311,266
112,T110,T110,Frank Nobilo,98,1.17,325,278
113,T114,T114,Mark Brooks,91,1.16,299,257
114,T114,T114,Sean Murphy,102,1.16,332,285
115,T114,T114,Steve Pate,97,1.16,297,256
116,117,117,Michael Bradley,73,1.15,242,210
117,T118,T118,Edward Fryatt,101,1.14,339,298
118,T118,T118,Mike Springer,83,1.14,294,258
119,120,120,Mark Wiebe,95,1.13,306,272
120,T121,T121,Ronnie Black,82,1.12,264,235
121,T121,T121,Jim Carter,96,1.12,325,291
122,T121,T121,Robin Freeman,98,1.12,328,293
123,T121,T121,Steve Gotsche,91,1.12,317,284
124,T121,T121,Mike Sposa,73,1.12,236,211
125,T126,T126,Tommy Armour III,91,1.11,288,260
126,T126,T126,Doug Dunakey,83,1.11,278,250
127,T126,T126,Gabriel Hjertstedt,86,1.11,301,272
128,T126,T126,Brandt Jobe,91,1.11,320,287
129,T126,T126,Casey Martin,90,1.11,301,271
130,T126,T126,Brett Quigley,63,1.11,214,193
131,T126,T126,Joey Sindelar,88,1.11,292,264
132,T126,T126,"Dave Stockton, Jr.",89,1.11,291,261
133,T134,T134,Jimmy Green,85,1.1,275,250
134,T134,T134,Craig Stadler,70,1.1,245,222
135,T136,T136,Notah Begay III,82,1.09,256,234
136,T136,T136,Steve Jones,75,1.09,238,219
137,T136,T136,Dennis Paulson,82,1.09,273,250
138,T136,T136,Tommy Tolles,60,1.09,221,203
139,T140,T140,Billy Mayfair,93,1.08,296,274
140,T140,T140,Joe Ozaki,55,1.08,167,155
141,T140,T140,Brian Watts,89,1.08,285,264
142,T143,T143,Matt Gogel,86,1.07,285,267
143,T143,T143,David Morland IV,88,1.07,301,282
144,T143,T143,Craig Perks,82,1.07,267,249
145,T146,T146,Bob Burns,91,1.06,328,310
146,T146,T146,Steve Elkington,59,1.06,198,186
147,T148,T148,Bradley Hughes,93,1.05,304,289
148,T148,T148,Omar Uresti,94,1.05,299,284
149,T150,T150,Ben Bates,107,1.04,336,322
150,T150,T150,Bob Friend,96,1.04,293,281
151,T150,T150,Perry Moss,53,1.04,176,169
152,T153,T153,Rich Beem,84,1.03,286,279
153,T153,T153,Jason Buha,82,1.03,283,274
154,T155,T155,Fulton Allem,77,1.02,228,223
155,T155,T155,Barry Cheesman,96,1.02,340,334
156,T155,T155,John Maginnes,99,1.02,309,303
157,158,158,Jeff Gove,86,1.01,266,263
158,T159,T159,Trevor Dodds,86,1.0,278,279
159,T159,T159,Kelly Gibson,84,1.0,264,265
160,T161,T161,Mike Brisky,89,0.99,270,272
161,T161,T161,Mark O'Meara,61,0.99,181,182
162,T163,T163,Brad Fabel,88,0.98,293,299
163,T163,T163,Tom Purtzer,58,0.98,184,187
164,T163,T163,Charles Raulerson,98,0.98,342,348
165,T166,T166,Jay Delsing,97,0.97,292,302
166,T166,T166,Nick Faldo,51,0.97,151,156
167,T166,T166,Jay Haas,80,0.97,246,253
168,T166,T166,Gary Nicklaus,84,0.97,271,278
169,T166,T166,Kevin Wentworth,83,0.97,265,273
170,T171,T171,Emlyn Aubrey,68,0.96,194,203
171,T171,T171,Bob Heintz,87,0.96,276,288
172,T171,T171,Steve Stricker,63,0.96,194,203
173,174,174,Paul Curry,64,0.95,189,198
174,T175,T175,P.H. Horgan III,65,0.94,193,206
175,T175,T175,Craig Spence,89,0.94,270,288
176,T177,T177,Chip Beck,51,0.92,158,172
177,T177,T177,Bart Bryant,73,0.92,219,237
178,T177,T177,Bobby Cochran,78,0.92,242,264
179,T177,T177,Dicky Pride,98,0.92,293,317
180,T177,T177,Ted Tryba,112,0.92,355,385
181,182,182,John Daly,71,0.91,252,276
182,T183,T183,David Frost,65,0.9,191,213
183,T183,T183,Scott Gump,108,0.9,289,322
184,185,185,Corey Pavin,74,0.89,234,263
185,186,186,Ryan Howison,83,0.87,236,270
186,T187,T187,Eric Booker,87,0.86,261,304
187,T187,T187,Keith Nolan,57,0.86,161,188
188,T187,T187,John Rollins,72,0.86,228,264
189,190,190,Jason Caron,77,0.83,216,260
190,191,191,Aaron Bengoechea,75,0.81,223,275
191,T192,T192,Steve Hart,72,0.79,185,235
192,T192,T192,Mike Hulbert,82,0.79,226,287
193,194,194,Nolan Henke,79,0.72,217,303
194,195,195,Craig Bowden,54,0.7,149,213
