,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
0,1,1,Perry Moss,68.33,410,6
1,2,2,Tiger Woods,68.42,1300,19
2,3,3,Nick Price,69.14,968,14
3,4,4,Franklin Langham,69.24,1177,17
4,5,5,Jay Don Blake,69.28,1247,18
5,6,6,Stewart Cink,69.29,1455,21
6,T7,T7,Brett Quigley,69.4,694,10
7,T7,T7,Kirk Triplett,69.4,1388,20
8,9,9,Michael Clark II,69.42,833,12
9,10,10,Greg Chalmers,69.44,1250,18
10,11,11,Paul Azinger,69.47,1181,17
11,12,12,Tom Purtzer,69.63,557,8
12,13,13,Billy Andrade,69.73,767,11
13,14,14,Carl Paulson,69.74,1325,19
14,15,15,Esteban Toledo,69.75,1395,20
15,16,16,Chris DiMarco,69.83,1676,24
16,17,17,Stuart Appleby,69.94,1259,18
17,18,18,Scott Verplank,69.96,1679,24
18,T19,T19,John Cook,70.0,1050,15
19,T19,T19,Mathew Goggin,70.0,840,12
20,T19,T19,Hal Sutton,70.0,1330,19
21,22,22,Chris Perry,70.04,1611,23
22,23,23,Phil Mickelson,70.06,1261,18
23,24,24,Russ Cochran,70.1,701,10
24,T25,T25,Tom Lehman,70.13,1122,16
25,T25,T25,Jeff Maggert,70.13,1052,15
26,T27,T27,Justin Leonard,70.15,1403,20
27,T27,T27,Kevin Sutherland,70.15,1403,20
28,T29,T29,Ernie Els,70.18,1193,17
29,T29,T29,Brian Gay,70.18,1193,17
30,31,31,Jim McGovern,70.22,632,9
31,T32,T32,Davis Love III,70.24,1475,21
32,T32,T32,David Peoples,70.24,1475,21
33,T34,T34,Fred Couples,70.25,1124,16
34,T34,T34,Sergio Garcia,70.25,843,12
35,36,36,Mark Calcavecchia,70.26,1335,19
36,T37,T37,Jesper Parnevik,70.27,1054,15
37,T37,T37,Bob Tway,70.27,1054,15
38,39,39,Loren Roberts,70.3,1406,20
39,T40,T40,Rick Fehr,70.33,844,12
40,T40,T40,Andrew Magee,70.33,844,12
41,42,42,Bob May,70.35,1407,20
42,43,43,Dudley Hart,70.36,985,14
43,44,44,Pete Jordan,70.37,1337,19
44,45,45,Mike Springer,70.38,915,13
45,46,46,Glen Day,70.39,1267,18
46,T47,T47,Doug Barron,70.4,1056,15
47,T47,T47,Paul Stankowski,70.4,1056,15
48,T47,T47,David Toms,70.4,1760,25
49,50,50,Jim Carter,70.41,1197,17
50,51,51,Brad Faxon,70.45,1409,20
51,52,52,Joel Edwards,70.47,1339,19
52,T53,T53,Steve Flesch,70.48,2044,29
53,T53,T53,Scott Hoch,70.48,1621,23
54,T55,T55,Jeff Gove,70.5,705,10
55,T55,T55,Vijay Singh,70.5,1551,22
56,T55,T55,Duffy Waldorf,70.5,1128,16
57,58,58,Mike Weir,70.52,1481,21
58,59,59,Glen Hnatiuk,70.53,1058,15
59,T60,T60,David Duval,70.56,1129,16
60,T60,T60,Edward Fryatt,70.56,1129,16
61,T60,T60,Grant Waite,70.56,1270,18
62,63,63,P.H. Horgan III,70.57,494,7
63,T64,T64,Jason Buha,70.58,847,12
64,T64,T64,David Morland IV,70.58,847,12
65,66,66,Kenny Perry,70.61,1271,18
66,T67,T67,Lee Janzen,70.63,1342,19
67,T67,T67,Chris Riley,70.63,1342,19
68,69,69,Dan Forsman,70.71,1202,17
69,T70,T70,Robert Allenby,70.76,1486,21
70,T70,T70,Blaine McCallister,70.76,1486,21
71,72,72,Mike Reid,70.77,920,13
72,73,73,Craig Barlow,70.78,1274,18
73,T74,T74,Michael Bradley,70.8,708,10
74,T74,T74,Brad Elder,70.8,1416,20
75,T74,T74,Peter Jacobsen,70.8,708,10
76,T74,T74,Sean Murphy,70.8,1062,15
77,T78,T78,Bob Burns,70.81,1133,16
78,T78,T78,Joe Ogilvie,70.81,1133,16
79,T80,T80,Mike Brisky,70.82,779,11
80,T80,T80,Bob Estes,70.82,779,11
81,T82,T82,Scott Dunlap,70.83,1629,23
82,T82,T82,John Huston,70.83,1275,18
83,T82,T82,Tom Scherrer,70.83,1275,18
84,T85,T85,Steve Lowery,70.86,1559,22
85,T85,T85,Craig Parry,70.86,992,14
86,87,87,Jim Furyk,70.87,1630,23
87,88,88,Skip Kendall,70.88,1701,24
88,T89,T89,Joe Durant,70.89,1276,18
89,T89,T89,Carlos Franco,70.89,1347,19
90,T89,T89,Tim Herron,70.89,1347,19
91,T92,T92,Bill Glasson,70.9,1418,20
92,T92,T92,Joe Ozaki,70.9,709,10
93,T94,T94,Robert Gamez,70.91,780,11
94,T94,T94,Jerry Kelly,70.91,1631,23
95,T94,T94,Len Mattiace,70.91,1560,22
96,T94,T94,Mike Sposa,70.91,780,11
97,98,98,Brent Geiberger,70.93,1064,15
98,99,99,Robert Damron,70.94,1206,17
99,100,100,J.L. Lewis,70.95,1490,21
100,101,101,Greg Kraft,70.96,1632,23
101,T102,T102,Doug Dunakey,71.0,923,13
102,T102,T102,Bob Friend,71.0,994,14
103,T102,T102,Fred Funk,71.0,1633,23
104,T102,T102,Jonathan Kaye,71.0,1633,23
105,T102,T102,Tom Pernice Jr.,71.0,1136,16
106,T102,T102,Steve Stricker,71.0,710,10
107,T108,T108,Brian Henninger,71.07,1066,15
108,T108,T108,Billy Mayfair,71.07,1066,15
109,110,110,Harrison Frazar,71.09,782,11
110,T111,T111,Tom Byrum,71.11,1280,18
111,T111,T111,Paul Goydos,71.11,1351,19
112,T111,T111,Bob Heintz,71.11,640,9
113,T111,T111,Jay Williamson,71.11,1351,19
114,115,115,Brandel Chamblee,71.14,996,14
115,116,116,Gabriel Hjertstedt,71.15,925,13
116,117,117,Shigeki Maruyama,71.17,1281,18
117,118,118,K.J. Choi,71.2,1068,15
118,119,119,Scott McCarron,71.21,1353,19
119,120,120,Bobby Cochran,71.22,641,9
120,T121,T121,Steve Gotsche,71.31,927,13
121,T121,T121,Brandt Jobe,71.31,927,13
122,T121,T121,Rocco Mediate,71.31,1141,16
123,124,124,Tommy Tolles,71.33,642,9
124,T125,T125,Steve Jones,71.4,1071,15
125,T125,T125,Keith Nolan,71.4,357,5
126,T127,T127,Barry Cheesman,71.42,857,12
127,T127,T127,Jerry Smith,71.42,1357,19
128,129,129,Cameron Beckman,71.43,1000,14
129,T130,T130,Notah Begay III,71.44,1143,16
130,T130,T130,Jimmy Green,71.44,1143,16
131,T132,T132,Nick Faldo,71.45,786,11
132,T132,T132,Kelly Gibson,71.45,786,11
133,T132,T132,Ryan Howison,71.45,786,11
134,T135,T135,Olin Browne,71.47,1358,19
135,T135,T135,Steve Pate,71.47,1358,19
136,137,137,Bart Bryant,71.55,787,11
137,T138,T138,Neal Lancaster,71.56,1288,18
138,T138,T138,Rory Sabbatini,71.56,1145,16
139,T140,T140,Tommy Armour III,71.57,1002,14
140,T140,T140,Paul Curry,71.57,501,7
141,142,142,Jay Haas,71.58,859,12
142,143,143,David Sutherland,71.71,1506,21
143,T144,T144,Frank Lickliter II,71.73,1578,22
144,T144,T144,Craig Spence,71.73,789,11
145,T146,T146,Ronnie Black,71.75,861,12
146,T146,T146,Brad Fabel,71.75,861,12
147,T146,T146,"Dave Stockton, Jr.",71.75,861,12
148,T146,T146,Jean Van de Velde,71.75,861,12
149,150,150,Charles Raulerson,71.76,1220,17
150,T151,T151,Larry Mize,71.8,1077,15
151,T151,T151,Mark O'Meara,71.8,718,10
152,153,153,Craig Perks,71.83,862,12
153,154,154,Steve Hart,71.86,503,7
154,155,155,Kevin Wentworth,71.88,575,8
155,156,156,Rich Beem,71.91,791,11
156,157,157,Jeff Sluman,71.92,1726,24
157,T158,T158,Trevor Dodds,72.0,1008,14
158,T158,T158,Bradley Hughes,72.0,864,12
159,T158,T158,Omar Uresti,72.0,936,13
160,161,161,John Maginnes,72.06,1153,16
161,162,162,Shaun Micheel,72.07,1009,14
162,163,163,Craig Stadler,72.08,865,12
163,164,164,Woody Austin,72.17,1299,18
164,165,165,Gary Nicklaus,72.18,794,11
165,166,166,Dennis Paulson,72.21,1011,14
166,167,167,Brian Watts,72.24,1228,17
167,168,168,Chip Beck,72.25,289,4
168,169,169,Steve Elkington,72.31,940,13
169,170,170,Casey Martin,72.36,1013,14
170,171,171,Aaron Bengoechea,72.38,579,8
171,172,172,Stephen Ames,72.41,1231,17
172,173,173,Matt Gogel,72.42,869,12
173,174,174,Corey Pavin,72.45,797,11
174,175,175,Joey Sindelar,72.46,942,13
175,T176,T176,Mark Brooks,72.47,1087,15
176,T176,T176,Scott Gump,72.47,1232,17
177,178,178,Emlyn Aubrey,72.5,435,6
178,179,179,J.P. Hayes,72.56,1306,18
179,180,180,Eric Booker,72.58,871,12
180,181,181,John Rollins,72.63,581,8
181,182,182,Ben Bates,72.65,1235,17
182,183,183,Jason Caron,72.67,654,9
183,184,184,Frank Nobilo,72.68,1381,19
184,185,185,Dicky Pride,72.69,945,13
185,186,186,Nolan Henke,72.71,509,7
186,187,187,Craig Bowden,72.75,291,4
187,188,188,Jay Delsing,72.77,946,13
188,189,189,Fulton Allem,72.83,874,12
189,190,190,Robin Freeman,72.94,1240,17
190,191,191,Mark Wiebe,73.17,1317,18
191,T192,T192,John Daly,73.5,735,10
192,T192,T192,Ted Tryba,73.5,1323,18
193,194,194,David Frost,73.75,590,8
194,195,195,Mike Hulbert,74.2,371,5
