,Scoring_Average_RANK THIS WEEK,Scoring_Average_RANK LAST WEEK,Scoring_Average_PLAYER NAME,Scoring_Average_ROUNDS,Scoring_Average_AVG,Scoring_Average_TOTAL STROKES,Scoring_Average_TOTAL ADJUSTMENT,Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,82,67.794,5181,- 28.658,76
1,2,2,Phil Mickelson,85,69.25399999999999,5548,- 7.651,80
2,3,3,Ernie Els,74,69.314,4753,- 39.650,68
3,4,4,David Duval,73,69.41199999999999,4683,- 32.401,67
4,5,5,Paul Azinger,73,69.676,5044,- 27.357,72
5,6,6,Nick Price,63,69.74600000000001,4353,- 28.769,62
6,7,7,Stewart Cink,98,69.794,6650,- 19.617,95
7,8,8,Steve Flesch,123,69.797,8427,18.484,121
8,9,9,Tom Lehman,71,69.835,4873,- 54.361,69
9,10,10,Loren Roberts,87,69.887,6051,- 40.743,86
10,11,11,Davis Love III,98,69.9,6430,.835,92
11,12,12,Jesper Parnevik,71,69.943,4783,- 26.876,68
12,13,13,Vijay Singh,97,70.01,6469,- 28.088,92
13,14,14,Fred Couples,71,70.043,4926,- 22.994,70
14,15,15,Jim Furyk,98,70.059,6684,- 28.405,95
15,16,16,John Huston,81,70.061,5632,- 27.093,80
16,17,17,Hal Sutton,93,70.117,6251,- 10.606,89
17,18,18,Justin Leonard,98,70.14,6550,- 27.026,93
18,19,19,David Toms,113,70.17399999999999,7671,- 22.081,109
19,20,20,Kirk Triplett,101,70.21300000000001,6811,- .328,97
20,21,21,Sergio Garcia,59,70.22800000000001,3698,- 46.168,52
21,22,22,Chris Perry,109,70.245,7392,- 16.237,105
22,23,23,Stuart Appleby,86,70.28,5696,- 3.349,81
23,24,24,Steve Lowery,107,70.288,7295,14.933,104
24,25,25,Kenny Perry,76,70.29899999999999,5317,25.707,76
25,26,26,Scott Verplank,106,70.316,7442,11.507,106
26,27,27,Bob May,95,70.318,6399,- .100,91
27,28,28,Mike Weir,102,70.363,6760,- 5.165,96
28,29,29,Scott Hoch,108,70.413,7322,.985,104
29,30,30,Kevin Sutherland,98,70.414,6610,8.940,94
30,31,31,Scott Dunlap,106,70.415,7475,- 11.027,106
31,32,32,Mark Calcavecchia,99,70.458,6471,11.147,92
32,33,33,Grant Waite,85,70.49,5972,19.692,85
33,34,34,Greg Chalmers,96,70.49600000000001,6450,35.607,92
34,35,35,Robert Allenby,98,70.539,6616,14.623,94
35,36,36,Duffy Waldorf,80,70.556,5317,- 25.325,75
36,37,37,Lee Janzen,92,70.59100000000001,6441,- 17.211,91
37,38,38,Jeff Sluman,113,70.618,7835,3.550,111
38,39,39,Craig Parry,73,70.62100000000001,4901,- 28.161,69
39,40,40,Chris DiMarco,118,70.63,8027,24.802,114
40,41,41,Tim Herron,96,70.635,6658,- 18.290,94
41,42,42,Jonathan Kaye,115,70.653,7892,21.180,112
42,43,43,Rocco Mediate,79,70.671,5397,- 25.999,76
43,44,44,Dudley Hart,74,70.684,5173,- 13.056,73
44,45,45,Chris Riley,98,70.721,6638,9.778,94
45,46,46,Frank Lickliter II,107,70.72399999999999,7424,2.047,105
46,47,47,Notah Begay III,82,70.735,5561,- 43.709,78
47,48,48,Paul Stankowski,77,70.737,5144,19.785,73
48,49,49,Jerry Kelly,111,70.762,7847,7.561,111
49,50,50,Shigeki Maruyama,88,70.768,6044,- 28.755,85
50,51,51,Tom Byrum,91,70.773,6280,18.768,89
51,52,52,Fred Funk,110,70.79,7701,15.101,109
52,53,53,Bob Estes,68,70.836,4490,- 27.345,63
53,54,54,Stephen Ames,99,70.848,6710,20.520,95
54,55,55,Skip Kendall,114,70.84899999999999,7910,25.076,112
55,56,56,Joel Edwards,99,70.85,6975,39.153,99
56,57,57,Jean Van de Velde,70,70.85600000000001,4760,- 12.668,67
57,58,58,Carlos Franco,85,70.862,5976,- 23.574,84
58,59,59,Len Mattiace,107,70.865,7562,20.606,107
59,60,60,David Peoples,99,70.866,6966,49.740,99
60,61,61,Joe Durant,94,70.881,6625,37.803,94
61,62,62,Larry Mize,71,70.883,4898,- 7.060,69
62,63,63,Blaine McCallister,104,70.889,7323,49.477,104
63,64,64,Franklin Langham,95,70.898,6421,30.694,91
64,65,65,Brent Geiberger,79,70.906,5314,3.942,75
65,66,66,Brett Quigley,63,70.908,4478,- 10.818,63
66,67,67,John Cook,90,70.917,6224,16.658,88
67,68,68,Greg Kraft,106,70.936,7485,34.187,106
68,69,69,Harrison Frazar,72,70.964,4969,- 1.536,70
69,70,70,Brad Faxon,98,70.969,6796,16.982,96
70,71,71,Brandel Chamblee,72,70.97800000000001,4959,9.489,70
71,T72,T72,Paul Goydos,99,70.98,6879,6.074,97
72,T72,T72,Jeff Maggert,86,70.98,5837,- 16.625,82
73,T74,T74,Bill Glasson,93,70.99,6559,43.024,93
74,T74,T74,Steve Pate,97,70.99,6550,- 18.952,92
75,76,76,Andrew Magee,78,70.992,5192,- 9.561,73
76,77,77,Carl Paulson,105,71.01899999999999,7278,36.963,103
77,78,78,Tom Scherrer,104,71.025,7165,8.493,101
78,79,79,Mike Reid,76,71.064,5112,4.628,72
79,80,80,Glen Day,93,71.087,6518,22.016,92
80,81,81,Steve Jones,75,71.105,5083,- 34.563,71
81,82,82,Russ Cochran,71,71.11399999999999,5026,23.097,71
82,83,83,Craig Barlow,98,71.126,6812,16.134,96
83,84,84,Brian Gay,101,71.135,7022,20.389,99
84,85,85,Olin Browne,103,71.149,7027,16.723,99
85,86,86,Esteban Toledo,113,71.16199999999999,7864,34.935,111
86,87,87,Doug Barron,85,71.171,5820,16.052,82
87,88,88,Jim McGovern,55,71.17399999999999,3771,1.204,53
88,89,89,J.P. Hayes,91,71.188,6329,6.693,89
89,90,90,Jay Don Blake,95,71.19800000000001,6606,15.447,93
90,T91,T91,Nick Faldo,51,71.21600000000001,3532,- 42.401,49
91,T91,T91,Joe Ogilvie,95,71.21600000000001,6462,18.627,91
92,93,93,Mark O'Meara,61,71.219,3955,- 37.931,55
93,94,94,Mike Sposa,73,71.229,5196,3.695,73
94,95,95,Robert Damron,93,71.23100000000001,6473,9.039,91
95,T96,T96,J.L. Lewis,104,71.233,7230,35.800,102
96,T96,T96,Scott McCarron,100,71.233,6956,24.790,98
97,98,98,Bob Tway,91,71.241,6320,20.460,89
98,99,99,Jay Williamson,105,71.251,7222,45.558,102
99,100,100,Dan Forsman,88,71.256,6241,29.553,88
100,101,101,Mark Brooks,91,71.271,6271,.870,88
101,102,102,Billy Andrade,89,71.275,6116,13.683,86
102,103,103,Jerry Smith,104,71.281,7175,24.383,101
103,104,104,Cameron Beckman,81,71.298,5758,17.107,81
104,105,105,Jim Carter,96,71.29899999999999,6699,3.095,94
105,106,106,Robin Freeman,98,71.304,6986,1.800,98
106,107,107,Joe Ozaki,55,71.308,3806,- 26.663,53
107,108,108,Pete Jordan,102,71.329,7243,32.600,102
108,109,109,Rick Fehr,73,71.335,5048,16.778,71
109,110,110,Woody Austin,104,71.372,7198,10.595,101
