,Round_4_Scoring_Average_RANK THIS WEEK,Round_4_Scoring_Average_RANK LAST WEEK,Round_4_Scoring_Average_PLAYER NAME,Round_4_Scoring_Average_AVG,Round_4_Scoring_Average_TOTAL STROKES,Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Perry Moss,68.33,410,6
1,2,2,Tiger Woods,68.42,1300,19
2,3,3,Kirk Triplett,69.0,1380,20
3,4,4,Nick Price,69.14,968,14
4,5,5,Greg Chalmers,69.22,1246,18
5,6,6,Stewart Cink,69.24,1454,21
6,T7,T7,Jay Don Blake,69.29,1178,17
7,T7,T7,Franklin Langham,69.29,1178,17
8,9,9,Brett Quigley,69.4,694,10
9,10,10,Paul Azinger,69.44,1111,16
10,11,11,Scott Verplank,69.54,1669,24
11,T12,T12,Billy Andrade,69.58,835,12
12,T12,T12,Michael Clark II,69.58,835,12
13,14,14,Tom Purtzer,69.63,557,8
14,15,15,Carl Paulson,69.68,1324,19
15,16,16,Chris DiMarco,69.71,1673,24
16,17,17,Justin Leonard,69.74,1325,19
17,18,18,Esteban Toledo,69.75,1395,20
18,19,19,Chris Perry,69.77,1535,22
19,20,20,Russ Cochran,69.91,769,11
20,T21,T21,Stuart Appleby,69.94,1259,18
21,T21,T21,John Cook,69.94,1119,16
22,23,23,Jeff Maggert,70.0,1050,15
23,24,24,Kevin Sutherland,70.05,1331,19
24,T25,T25,David Duval,70.07,1051,15
25,T25,T25,Dudley Hart,70.07,981,14
26,27,27,Mark Calcavecchia,70.11,1332,19
27,28,28,Phil Mickelson,70.12,1192,17
28,29,29,Tom Lehman,70.13,1122,16
29,30,30,Hal Sutton,70.16,1333,19
30,31,31,Ernie Els,70.18,1193,17
31,T32,T32,Bob May,70.2,1404,20
32,T32,T32,Jesper Parnevik,70.2,1053,15
33,34,34,Jim McGovern,70.22,632,9
34,T35,T35,Sergio Garcia,70.25,843,12
35,T35,T35,Mathew Goggin,70.25,843,12
36,T35,T35,Andrew Magee,70.25,843,12
37,T35,T35,David Peoples,70.25,1405,20
38,39,39,Davis Love III,70.29,1476,21
39,40,40,Loren Roberts,70.3,1406,20
40,T41,T41,Brian Gay,70.31,1125,16
41,T41,T41,Mike Reid,70.31,914,13
42,43,43,Rick Fehr,70.33,844,12
43,44,44,Pete Jordan,70.37,1337,19
44,45,45,Edward Fryatt,70.38,1126,16
45,46,46,Doug Barron,70.4,1056,15
46,47,47,Steve Flesch,70.43,1972,28
47,T48,T48,Jim Carter,70.44,1268,18
48,T48,T48,Glen Day,70.44,1268,18
49,T50,T50,Jason Buha,70.45,775,11
50,T50,T50,Joel Edwards,70.45,1409,20
51,T50,T50,Robert Gamez,70.45,775,11
52,53,53,Brad Faxon,70.47,1339,19
53,T54,T54,Fred Couples,70.5,1128,16
54,T54,T54,Bob Estes,70.5,846,12
55,T54,T54,Jeff Gove,70.5,705,10
56,T54,T54,Vijay Singh,70.5,1551,22
57,58,58,Steve Lowery,70.55,1552,22
58,T59,T59,Grant Waite,70.56,1270,18
59,T59,T59,Duffy Waldorf,70.56,1129,16
60,61,61,P.H. Horgan III,70.57,494,7
61,T62,T62,Scott Hoch,70.58,1694,24
62,T62,T62,Lee Janzen,70.58,1341,19
63,T62,T62,David Morland IV,70.58,847,12
64,T62,T62,Mike Springer,70.58,847,12
65,T62,T62,David Toms,70.58,1694,24
66,67,67,Kenny Perry,70.59,1200,17
67,68,68,Doug Dunakey,70.62,918,13
68,69,69,Chris Riley,70.63,1342,19
69,70,70,Bob Tway,70.64,989,14
70,T71,T71,Craig Barlow,70.65,1201,17
71,T71,T71,Robert Damron,70.65,1201,17
72,T73,T73,Glen Hnatiuk,70.67,1060,15
73,T73,T73,Sean Murphy,70.67,1060,15
74,75,75,Jonathan Kaye,70.68,1555,22
75,T76,T76,John Huston,70.71,1202,17
76,T76,T76,Paul Stankowski,70.71,990,14
77,78,78,Gabriel Hjertstedt,70.77,920,13
78,79,79,Michael Bradley,70.8,708,10
79,T80,T80,Dan Forsman,70.81,1133,16
80,T80,T80,Joe Ogilvie,70.81,1133,16
81,T82,T82,Barry Cheesman,70.82,779,11
82,T82,T82,Mike Weir,70.82,1558,22
83,T84,T84,Scott Dunlap,70.83,1629,23
84,T84,T84,Scott McCarron,70.83,1275,18
85,T84,T84,Tom Scherrer,70.83,1275,18
86,87,87,Bill Glasson,70.84,1346,19
87,T88,T88,Robert Allenby,70.86,1488,21
88,T88,T88,Brent Geiberger,70.86,992,14
89,T88,T88,Frank Lickliter II,70.86,1488,21
90,T88,T88,Blaine McCallister,70.86,1488,21
91,92,92,Jim Furyk,70.87,1630,23
92,T93,T93,Bob Heintz,70.88,567,8
93,T93,T93,Skip Kendall,70.88,1701,24
94,T95,T95,Joe Durant,70.89,1276,18
95,T95,T95,Carlos Franco,70.89,1347,19
96,T97,T97,Joe Ozaki,70.9,709,10
97,T97,T97,Jay Williamson,70.9,1418,20
98,T99,T99,Jerry Kelly,70.91,1560,22
99,T99,T99,Len Mattiace,70.91,1560,22
100,T99,T99,Mike Sposa,70.91,780,11
101,102,102,Mike Brisky,70.92,851,12
102,103,103,Bob Burns,70.93,1064,15
103,104,104,Tom Byrum,70.94,1277,18
104,T105,T105,Paul Goydos,70.95,1348,19
105,T105,T105,Tim Herron,70.95,1348,19
106,107,107,Fred Funk,70.96,1632,23
107,T108,T108,Brandel Chamblee,71.0,994,14
108,T108,T108,K.J. Choi,71.0,994,14
109,T108,T108,Brad Elder,71.0,1420,20
110,T108,T108,Bob Friend,71.0,994,14
111,T108,T108,Peter Jacobsen,71.0,710,10
112,113,113,Rory Sabbatini,71.06,1137,16
113,114,114,Craig Parry,71.07,995,14
114,115,115,Brandt Jobe,71.08,924,13
115,T116,T116,Greg Kraft,71.13,1636,23
116,T116,T116,Rocco Mediate,71.13,1138,16
117,T118,T118,Neal Lancaster,71.17,1281,18
118,T118,T118,Shigeki Maruyama,71.17,1281,18
119,120,120,Harrison Frazar,71.18,783,11
120,121,121,J.L. Lewis,71.19,1495,21
121,T122,T122,Tom Pernice Jr.,71.2,1068,15
122,T122,T122,Steve Stricker,71.2,712,10
123,124,124,Bobby Cochran,71.22,641,9
124,125,125,Billy Mayfair,71.25,1140,16
125,126,126,Tommy Armour III,71.29,998,14
126,T127,T127,Steve Gotsche,71.31,927,13
127,T127,T127,Jay Haas,71.31,927,13
128,129,129,Olin Browne,71.37,1356,19
129,130,130,Jerry Smith,71.39,1285,18
130,T131,T131,Brian Henninger,71.4,1071,15
131,T131,T131,Keith Nolan,71.4,357,5
132,T131,T131,Steve Pate,71.4,1428,20
133,134,134,"Dave Stockton, Jr.",71.42,857,12
134,135,135,Cameron Beckman,71.43,1000,14
135,136,136,Notah Begay III,71.44,1143,16
136,137,137,Ryan Howison,71.45,786,11
137,138,138,Shaun Micheel,71.47,1072,15
138,139,139,David Sutherland,71.48,1501,21
139,T140,T140,Woody Austin,71.5,1287,18
140,T140,T140,Rich Beem,71.5,715,10
141,T140,T140,Tommy Tolles,71.5,715,10
142,143,143,Jimmy Green,71.53,1073,15
143,144,144,Brad Fabel,71.54,930,13
144,T145,T145,Bart Bryant,71.55,787,11
145,T145,T145,Kelly Gibson,71.55,787,11
146,T145,T145,Jean Van de Velde,71.55,787,11
147,148,148,Paul Curry,71.57,501,7
148,149,149,Nick Faldo,71.6,716,10
149,T150,T150,Jeff Sluman,71.67,1720,24
150,T150,T150,Craig Spence,71.67,860,12
151,T152,T152,Craig Stadler,71.69,932,13
152,T152,T152,Omar Uresti,71.69,932,13
153,154,154,Dennis Paulson,71.71,1004,14
154,155,155,Ronnie Black,71.75,861,12
155,156,156,Larry Mize,71.79,1005,14
156,T157,T157,Steve Jones,71.8,1077,15
157,T157,T157,Mark O'Meara,71.8,718,10
158,159,159,Charles Raulerson,71.81,1149,16
159,160,160,Craig Perks,71.83,862,12
160,161,161,Steve Hart,71.86,503,7
161,162,162,Bradley Hughes,71.92,863,12
162,163,163,Stephen Ames,71.94,1295,18
163,T164,T164,Mark Brooks,72.0,1080,15
164,T164,T164,Corey Pavin,72.0,792,11
165,166,166,Casey Martin,72.07,1081,15
166,167,167,Kevin Wentworth,72.11,649,9
167,168,168,John Maginnes,72.13,1154,16
168,169,169,Steve Elkington,72.17,866,12
169,170,170,Eric Booker,72.18,794,11
170,171,171,Chip Beck,72.25,289,4
171,T172,T172,Matt Gogel,72.33,868,12
172,T172,T172,Joey Sindelar,72.33,868,12
173,174,174,Aaron Bengoechea,72.38,579,8
174,175,175,J.P. Hayes,72.39,1303,18
175,176,176,Ben Bates,72.41,1231,17
176,T177,T177,Emlyn Aubrey,72.5,435,6
177,T177,T177,Scott Gump,72.5,1160,16
178,T177,T177,Brian Watts,72.5,1160,16
179,180,180,Gary Nicklaus,72.55,798,11
180,181,181,Nolan Henke,72.57,508,7
181,T182,T182,Fulton Allem,72.62,944,13
182,T182,T182,Jay Delsing,72.62,944,13
183,184,184,John Rollins,72.63,581,8
184,185,185,Jason Caron,72.67,654,9
185,186,186,Frank Nobilo,72.7,1454,20
186,187,187,Craig Bowden,72.75,291,4
187,188,188,Trevor Dodds,72.92,948,13
188,189,189,Mark Wiebe,72.94,1313,18
189,190,190,John Daly,73.0,803,11
190,191,191,Dicky Pride,73.08,877,12
191,192,192,Robin Freeman,73.19,1171,16
192,193,193,Ted Tryba,73.21,1391,19
193,194,194,Mike Hulbert,73.67,442,6
194,195,195,David Frost,73.86,517,7
