,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
0,1,1,Tiger Woods,82,68.17,5181,76
1,2,2,Phil Mickelson,85,69.35,5548,80
2,3,3,Steve Flesch,123,69.64,8427,121
3,4,4,Davis Love III,98,69.89,6430,92
4,T5,T5,David Duval,73,69.9,4683,67
5,T5,T5,Ernie Els,74,69.9,4753,68
6,7,7,Kenny Perry,76,69.96,5317,76
7,8,8,Stewart Cink,98,70.0,6650,95
8,9,9,Paul Azinger,73,70.06,5044,72
9,10,10,Greg Chalmers,96,70.11,6450,92
10,11,11,Steve Lowery,107,70.14,7295,104
11,T12,T12,Nick Price,63,70.21,4353,62
12,T12,T12,Scott Verplank,106,70.21,7442,106
13,14,14,Kirk Triplett,101,70.22,6811,97
14,15,15,Hal Sutton,93,70.24,6251,89
15,16,16,Grant Waite,85,70.26,5972,85
16,T17,T17,Stuart Appleby,86,70.32,5696,81
17,T17,T17,Bob May,95,70.32,6399,91
18,T17,T17,Vijay Singh,97,70.32,6469,92
19,T17,T17,Kevin Sutherland,98,70.32,6610,94
20,T21,T21,Mark Calcavecchia,99,70.34,6471,92
21,T21,T21,Jesper Parnevik,71,70.34,4783,68
22,T23,T23,Jim Furyk,98,70.36,6684,95
23,T23,T23,David Peoples,99,70.36,6966,99
24,T23,T23,Loren Roberts,87,70.36,6051,86
25,26,26,Fred Couples,71,70.37,4926,70
26,T27,T27,Robert Allenby,98,70.38,6616,94
27,T27,T27,David Toms,113,70.38,7671,109
28,T29,T29,Scott Hoch,108,70.4,7322,104
29,T29,T29,John Huston,81,70.4,5632,80
30,T29,T29,Chris Perry,109,70.4,7392,105
31,T32,T32,Chris DiMarco,118,70.41,8027,114
32,T32,T32,Blaine McCallister,104,70.41,7323,104
33,34,34,Mike Weir,102,70.42,6760,96
34,35,35,Justin Leonard,98,70.43,6550,93
35,36,36,Joel Edwards,99,70.45,6975,99
36,37,37,Jonathan Kaye,115,70.46,7892,112
37,38,38,Paul Stankowski,77,70.47,5144,73
38,39,39,Joe Durant,94,70.48,6625,94
39,40,40,Scott Dunlap,106,70.52,7475,106
40,41,41,Bill Glasson,93,70.53,6559,93
41,T42,T42,Tom Byrum,91,70.56,6280,89
42,T42,T42,Franklin Langham,95,70.56,6421,91
43,44,44,Jeff Sluman,113,70.59,7835,111
44,45,45,Greg Kraft,106,70.61,7485,106
45,T46,T46,Tom Lehman,71,70.62,4873,69
46,T46,T46,Chris Riley,98,70.62,6638,94
47,T48,T48,Stephen Ames,99,70.63,6710,95
48,T48,T48,Skip Kendall,114,70.63,7910,112
49,50,50,Fred Funk,110,70.65,7701,109
50,51,51,Carl Paulson,105,70.66,7278,103
51,52,52,Len Mattiace,107,70.67,7562,107
52,53,53,Jerry Kelly,111,70.69,7847,111
53,54,54,Frank Lickliter II,107,70.7,7424,105
54,55,55,John Cook,90,70.73,6224,88
55,56,56,Lee Janzen,92,70.78,6441,91
56,T57,T57,Russ Cochran,71,70.79,5026,71
57,T57,T57,Brad Faxon,98,70.79,6796,96
58,59,59,Jay Williamson,105,70.8,7222,102
59,60,60,Tim Herron,96,70.83,6658,94
60,61,61,Brandel Chamblee,72,70.84,4959,70
61,T62,T62,Glen Day,93,70.85,6518,92
62,T62,T62,Brent Geiberger,79,70.85,5314,75
63,T62,T62,Esteban Toledo,113,70.85,7864,111
64,65,65,Dudley Hart,74,70.86,5173,73
65,66,66,J.L. Lewis,104,70.88,7230,102
66,67,67,Duffy Waldorf,80,70.89,5317,75
67,T68,T68,Dan Forsman,88,70.92,6241,88
68,T68,T68,Paul Goydos,99,70.92,6879,97
69,70,70,Brian Gay,101,70.93,7022,99
70,71,71,Tom Scherrer,104,70.94,7165,101
71,72,72,Craig Barlow,98,70.96,6812,96
72,T73,T73,Doug Barron,85,70.98,5820,82
73,T73,T73,Olin Browne,103,70.98,7027,99
74,T73,T73,Scott McCarron,100,70.98,6956,98
75,T76,T76,Harrison Frazar,72,70.99,4969,70
76,T76,T76,Larry Mize,71,70.99,4898,69
77,T78,T78,Glen Hnatiuk,94,71.0,6390,90
78,T78,T78,Mike Reid,76,71.0,5112,72
79,T80,T80,Pete Jordan,102,71.01,7243,102
80,T80,T80,Rocco Mediate,79,71.01,5397,76
81,T80,T80,Joe Ogilvie,95,71.01,6462,91
82,T80,T80,Bob Tway,91,71.01,6320,89
83,T84,T84,Jay Don Blake,95,71.03,6606,93
84,T84,T84,Craig Parry,73,71.03,4901,69
85,T86,T86,Robert Gamez,76,71.04,5399,76
86,T86,T86,Jerry Smith,104,71.04,7175,101
87,T86,T86,Jean Van de Velde,70,71.04,4760,67
88,89,89,Shaun Micheel,94,71.05,6466,91
89,T90,T90,Peter Jacobsen,65,71.08,4620,65
90,T90,T90,Brett Quigley,63,71.08,4478,63
91,92,92,Cameron Beckman,81,71.09,5758,81
92,93,93,Rick Fehr,73,71.1,5048,71
93,T94,T94,Brad Elder,110,71.11,7822,110
94,T94,T94,J.P. Hayes,91,71.11,6329,89
95,T94,T94,Shigeki Maruyama,88,71.11,6044,85
96,T97,T97,Billy Andrade,89,71.12,6116,86
97,T97,T97,Sergio Garcia,59,71.12,3698,52
98,T97,T97,Andrew Magee,78,71.12,5192,73
99,T100,T100,Robert Damron,93,71.13,6473,91
100,T100,T100,Sean Murphy,102,71.13,7113,100
101,102,102,Carlos Franco,85,71.14,5976,84
102,103,103,Jim McGovern,55,71.15,3771,53
103,T104,T104,Jeff Maggert,86,71.18,5837,82
104,T104,T104,Mike Sposa,73,71.18,5196,73
105,106,106,K.J. Choi,92,71.19,6336,89
106,107,107,Steve Pate,97,71.2,6550,92
107,108,108,Tom Pernice Jr.,98,71.21,6836,96
108,T109,T109,Brian Henninger,93,71.22,6339,89
109,T109,T109,Rory Sabbatini,85,71.22,5911,83
110,111,111,Frank Nobilo,98,71.23,6767,95
111,112,112,Mark Brooks,91,71.26,6271,88
112,T113,T113,Woody Austin,104,71.27,7198,101
113,T113,T113,Jim Carter,96,71.27,6699,94
114,T113,T113,Bob Estes,68,71.27,4490,63
115,116,116,Mark Wiebe,95,71.28,6558,92
116,T117,T117,Notah Begay III,82,71.29,5561,78
117,T117,T117,Robin Freeman,98,71.29,6986,98
118,T117,T117,David Sutherland,109,71.29,7557,106
119,120,120,Edward Fryatt,101,71.33,6919,97
120,121,121,Tommy Armour III,91,71.35,6350,89
121,122,122,Brandt Jobe,91,71.36,6280,88
122,T123,T123,Michael Bradley,73,71.4,5212,73
123,T123,T123,Doug Dunakey,83,71.4,5712,80
124,T123,T123,Mathew Goggin,91,71.4,6497,91
125,T126,T126,Neal Lancaster,99,71.41,6784,95
126,T126,T126,Casey Martin,90,71.41,6284,88
127,128,128,Jimmy Green,85,71.42,5928,83
128,129,129,Billy Mayfair,93,71.43,6286,88
129,130,130,Michael Clark II,84,71.45,5716,80
130,131,131,Mike Springer,83,71.46,5788,81
131,132,132,Joey Sindelar,88,71.48,6004,84
132,133,133,Ben Bates,107,71.5,7436,104
133,134,134,Ronnie Black,82,71.51,5649,79
134,T135,T135,Bob Friend,96,71.52,6580,92
135,T135,T135,Craig Stadler,70,71.52,4720,66
136,T135,T135,"Dave Stockton, Jr.",89,71.52,6222,87
137,138,138,Bradley Hughes,93,71.54,6439,90
138,T139,T139,Steve Jones,75,71.59,5083,71
139,T139,T139,Brian Watts,89,71.59,6300,88
140,T141,T141,Steve Elkington,59,71.6,4153,58
141,T141,T141,Steve Gotsche,91,71.6,6372,89
142,143,143,Perry Moss,53,71.62,3796,53
143,144,144,Gabriel Hjertstedt,86,71.63,5945,83
144,145,145,Matt Gogel,86,71.67,6020,84
145,146,146,Craig Perks,82,71.68,5878,82
146,147,147,Jason Buha,82,71.7,5879,82
147,T148,T148,David Morland IV,88,71.71,6167,86
148,T148,T148,Tom Purtzer,58,71.71,4016,56
149,T150,T150,Bob Burns,91,71.73,6384,89
150,T150,T150,John Maginnes,99,71.73,7101,99
151,152,152,Omar Uresti,94,71.74,6744,94
152,153,153,Barry Cheesman,96,71.78,6676,93
153,154,154,Dennis Paulson,82,71.79,5815,81
154,155,155,Joe Ozaki,55,71.81,3806,53
155,156,156,Scott Gump,108,71.82,7541,105
156,T157,T157,Jay Delsing,97,71.83,6680,93
157,T157,T157,Brad Fabel,88,71.83,6321,88
158,T157,T157,Jeff Gove,86,71.83,5890,82
159,T160,T160,Mike Brisky,89,71.86,6180,86
160,T160,T160,Jay Haas,80,71.86,5533,77
161,T160,T160,Charles Raulerson,98,71.86,7042,98
162,T163,T163,Bart Bryant,73,71.88,5247,73
163,T163,T163,Paul Curry,64,71.88,4600,64
164,T163,T163,Kelly Gibson,84,71.88,5894,82
165,166,166,Tommy Tolles,60,71.9,4314,60
166,167,167,Mark O'Meara,61,71.91,3955,55
167,T168,T168,Trevor Dodds,86,71.92,6041,84
168,T168,T168,David Frost,65,71.92,4531,63
169,T168,T168,P.H. Horgan III,65,71.92,4675,65
170,171,171,Steve Stricker,63,71.93,4388,61
171,172,172,Fulton Allem,77,71.95,5396,75
172,173,173,Rich Beem,84,71.96,5829,81
173,174,174,Gary Nicklaus,84,71.99,5903,82
174,175,175,Bob Heintz,87,72.02,6122,85
175,176,176,Kevin Wentworth,83,72.05,5764,80
176,T177,T177,Emlyn Aubrey,68,72.08,4613,64
177,T177,T177,Bobby Cochran,78,72.08,5478,76
178,T177,T177,Nick Faldo,51,72.08,3532,49
179,180,180,Dicky Pride,98,72.09,6776,94
180,181,181,Chip Beck,51,72.1,3533,49
181,T182,T182,Corey Pavin,74,72.11,5336,74
182,T182,T182,Craig Spence,89,72.11,6129,85
183,184,184,Ted Tryba,112,72.15,8009,111
184,185,185,John Rollins,72,72.29,5205,72
185,186,186,Jason Caron,77,72.35,5426,75
186,187,187,Eric Booker,87,72.36,6151,85
187,188,188,Ryan Howison,83,72.37,5862,81
188,189,189,Keith Nolan,57,72.46,4130,57
189,190,190,Steve Hart,72,72.54,5078,70
190,191,191,Mike Hulbert,82,72.6,5808,80
191,192,192,Aaron Bengoechea,75,72.77,5312,73
192,193,193,John Daly,71,72.82,5170,71
193,194,194,Nolan Henke,79,72.87,5757,79
194,195,195,Craig Bowden,54,73.24,3955,54
