,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
0,1,1,Tiger Woods,82,3.84,68.17,72.01
1,2,2,Phil Mickelson,85,2.17,69.35,71.52
2,3,3,Ernie Els,74,2.09,69.9,71.99
3,4,4,David Duval,73,2.08,69.9,71.98
4,5,5,Paul Azinger,73,1.74,70.06,71.8
5,6,6,Steve Flesch,123,1.71,69.64,71.35
6,7,7,Nick Price,63,1.61,70.21,71.82
7,8,8,Fred Couples,71,1.59,70.37,71.96
8,9,9,Davis Love III,98,1.54,69.89,71.43
9,10,10,Stewart Cink,98,1.48,70.0,71.48
10,11,11,Tom Lehman,71,1.47,70.62,72.09
11,12,12,Vijay Singh,97,1.46,70.32,71.78
12,13,13,Jesper Parnevik,71,1.41,70.34,71.75
13,14,14,Chris Perry,109,1.37,70.4,71.77
14,15,15,Hal Sutton,93,1.36,70.24,71.6
15,16,16,Sergio Garcia,59,1.34,71.12,72.46
16,T17,T17,Jim Furyk,98,1.33,70.36,71.69
17,T17,T17,Kenny Perry,76,1.33,69.96,71.29
18,T17,T17,David Toms,113,1.33,70.38,71.71
19,20,20,Loren Roberts,87,1.3,70.36,71.66
20,21,21,Justin Leonard,98,1.21,70.43,71.64
21,22,22,Scott Verplank,106,1.18,70.21,71.39
22,23,23,Stuart Appleby,86,1.15,70.32,71.47
23,24,24,Mike Weir,102,1.14,70.42,71.56
24,25,25,Steve Lowery,107,1.12,70.14,71.26
25,26,26,John Huston,81,1.11,70.4,71.51
26,27,27,Scott Hoch,108,1.1,70.4,71.5
27,28,28,Kirk Triplett,101,1.08,70.22,71.3
28,29,29,Bob May,95,1.07,70.32,71.39
29,30,30,Kevin Sutherland,98,1.01,70.32,71.33
30,31,31,Rocco Mediate,79,1.0,71.01,72.01
31,32,32,Mark Calcavecchia,99,0.99,70.34,71.33
32,33,33,Grant Waite,85,0.97,70.26,71.23
33,34,34,Scott Dunlap,106,0.94,70.52,71.46
34,35,35,Jeff Sluman,113,0.93,70.59,71.52
35,36,36,Greg Chalmers,96,0.92,70.11,71.03
36,37,37,Lee Janzen,92,0.9,70.78,71.68
37,38,38,Duffy Waldorf,80,0.89,70.89,71.78
38,39,39,Paul Stankowski,77,0.87,70.47,71.34
39,T40,T40,Dudley Hart,74,0.85,70.86,71.71
40,T40,T40,Jonathan Kaye,115,0.85,70.46,71.31
41,42,42,Chris DiMarco,118,0.84,70.41,71.25
42,43,43,Jean Van de Velde,70,0.79,71.04,71.83
43,T44,T44,Robert Allenby,98,0.74,70.38,71.12
44,T44,T44,Craig Parry,73,0.74,71.03,71.77
45,46,46,Brad Faxon,98,0.72,70.79,71.51
46,47,47,Jerry Kelly,111,0.7,70.69,71.39
47,48,48,Tim Herron,96,0.68,70.83,71.51
48,49,49,Frank Lickliter II,107,0.67,70.7,71.37
49,T50,T50,Skip Kendall,114,0.65,70.63,71.28
50,T50,T50,Franklin Langham,95,0.65,70.56,71.21
51,T50,T50,Larry Mize,71,0.65,70.99,71.64
52,T53,T53,Brent Geiberger,79,0.64,70.85,71.49
53,T53,T53,Shigeki Maruyama,88,0.64,71.11,71.75
54,55,55,Fred Funk,110,0.63,70.65,71.28
55,T56,T56,Stephen Ames,99,0.62,70.63,71.25
56,T56,T56,Bill Glasson,93,0.62,70.53,71.15
57,T58,T58,Bob Estes,68,0.61,71.27,71.88
58,T58,T58,Jeff Maggert,86,0.61,71.18,71.79
59,60,60,Joel Edwards,99,0.6,70.45,71.05
60,61,61,Chris Riley,98,0.59,70.62,71.21
61,62,62,Blaine McCallister,104,0.57,70.41,70.98
62,T63,T63,Notah Begay III,82,0.55,71.29,71.84
63,T63,T63,David Peoples,99,0.55,70.36,70.91
64,65,65,Andrew Magee,78,0.54,71.12,71.66
65,66,66,Tom Byrum,91,0.51,70.56,71.07
66,T67,T67,Glen Day,93,0.5,70.85,71.35
67,T67,T67,Carlos Franco,85,0.5,71.14,71.64
68,T67,T67,Harrison Frazar,72,0.5,70.99,71.49
69,70,70,Tom Scherrer,104,0.49,70.94,71.43
70,T71,T71,Joe Durant,94,0.47,70.48,70.95
71,T71,T71,Len Mattiace,107,0.47,70.67,71.14
72,73,73,John Cook,90,0.46,70.73,71.19
73,T74,T74,Brandel Chamblee,72,0.45,70.84,71.29
74,T74,T74,Carl Paulson,105,0.45,70.66,71.11
75,76,76,Greg Kraft,106,0.44,70.61,71.05
76,77,77,J.P. Hayes,91,0.41,71.11,71.52
77,78,78,Steve Jones,75,0.4,71.59,71.99
78,79,79,Russ Cochran,71,0.38,70.79,71.17
79,80,80,Steve Pate,97,0.36,71.2,71.56
80,81,81,Joe Ozaki,55,0.35,71.81,72.16
81,T82,T82,Brian Gay,101,0.34,70.93,71.27
82,T82,T82,Paul Goydos,99,0.34,70.92,71.26
83,T82,T82,Jim McGovern,55,0.34,71.15,71.49
84,T85,T85,Olin Browne,103,0.28,70.98,71.26
85,T85,T85,Scott McCarron,100,0.28,70.98,71.26
86,T87,T87,Craig Barlow,98,0.27,70.96,71.23
87,T87,T87,Jay Don Blake,95,0.27,71.03,71.3
88,T87,T87,Brett Quigley,63,0.27,71.08,71.35
89,90,90,Joe Ogilvie,95,0.24,71.01,71.25
90,T91,T91,J.L. Lewis,104,0.23,70.88,71.11
91,T91,T91,Mark O'Meara,61,0.23,71.91,72.14
92,T93,T93,Robert Damron,93,0.22,71.13,71.35
93,T93,T93,Esteban Toledo,113,0.22,70.85,71.07
94,T93,T93,Bob Tway,91,0.22,71.01,71.23
95,96,96,Nick Faldo,51,0.21,72.08,72.29
96,97,97,Mike Reid,76,0.2,71.0,71.2
97,T98,T98,Mark Brooks,91,0.18,71.26,71.44
98,T98,T98,Dan Forsman,88,0.18,70.92,71.1
99,T98,T98,Dennis Paulson,82,0.18,71.79,71.97
100,101,101,Doug Barron,85,0.17,70.98,71.15
101,102,102,Jerry Smith,104,0.16,71.04,71.2
102,103,103,Jay Williamson,105,0.14,70.8,70.94
103,T104,T104,Billy Andrade,89,0.13,71.12,71.25
104,T104,T104,Mike Sposa,73,0.13,71.18,71.31
105,T106,T106,Woody Austin,104,0.12,71.27,71.39
106,T106,T106,Craig Stadler,70,0.12,71.52,71.64
107,T108,T108,Jim Carter,96,0.11,71.27,71.38
108,T108,T108,Brad Elder,110,0.11,71.11,71.22
109,T108,T108,Brian Henninger,93,0.11,71.22,71.33
110,T111,T111,Pete Jordan,102,0.1,71.01,71.11
111,T111,T111,Billy Mayfair,93,0.1,71.43,71.53
112,T113,T113,Rick Fehr,73,0.07,71.1,71.17
113,T113,T113,Jimmy Green,85,0.07,71.42,71.49
114,T113,T113,Shaun Micheel,94,0.07,71.05,71.12
115,T116,T116,Glen Hnatiuk,94,0.05,71.0,71.05
