,Bounce_Back_RANK THIS WEEK,Bounce_Back_RANK LAST WEEK,Bounce_Back_PLAYER NAME,Bounce_Back_ROUNDS,Bounce_Back_%
0,1,1,Tiger Woods,82,36.51
1,2,2,Greg Chalmers,96,31.44
2,3,3,Kenny Perry,76,27.44
3,4,4,Ernie Els,74,27.03
4,5,5,David Duval,73,26.88
5,6,6,Justin Leonard,98,26.24
6,7,7,Jesper Parnevik,71,26.16
7,8,8,Davis Love III,98,26.07
8,9,9,Rory Sabbatini,85,25.0
9,T10,T10,Craig Barlow,98,24.71
10,T10,T10,Steve Flesch,123,24.71
11,12,12,Stephen Ames,99,24.69
12,13,13,Brian Henninger,93,24.62
13,14,14,Brandel Chamblee,72,24.61
14,15,15,Bill Glasson,93,24.53
15,16,16,David Toms,113,24.11
16,17,17,Brad Faxon,98,24.03
17,18,18,Bob Burns,91,23.89
18,19,19,Phil Mickelson,85,23.84
19,20,20,Vijay Singh,97,23.4
20,21,21,Shigeki Maruyama,88,23.08
21,22,22,Fred Couples,71,23.03
22,23,23,Steve Gotsche,91,23.02
23,24,24,Tom Lehman,71,22.98
24,T25,T25,Jeff Sluman,113,22.81
25,T25,T25,Mike Weir,102,22.81
26,27,27,David Morland IV,88,22.78
27,28,28,Kirk Triplett,101,22.73
28,29,29,Steve Lowery,107,22.71
29,30,30,K.J. Choi,92,22.69
30,31,31,Lee Janzen,92,22.65
31,32,32,Frank Lickliter II,107,22.47
32,33,33,Gary Nicklaus,84,22.39
33,34,34,Jeff Gove,86,22.36
34,T35,T35,Steve Elkington,59,22.03
35,T35,T35,Jonathan Kaye,115,22.03
36,37,37,Mathew Goggin,91,22.01
37,38,38,Bob May,95,21.86
38,39,39,Paul Stankowski,77,21.79
39,40,40,Blaine McCallister,104,21.72
40,T41,T41,Stuart Appleby,86,21.69
41,T41,T41,Chris Riley,98,21.69
42,43,43,Carl Paulson,105,21.56
43,44,44,Kevin Wentworth,83,21.51
44,45,45,Chris Perry,109,21.43
45,46,46,Shaun Micheel,94,21.37
46,T47,T47,Russ Cochran,71,21.31
47,T47,T47,Neal Lancaster,99,21.31
48,T47,T47,Joe Ogilvie,95,21.31
49,50,50,Dudley Hart,74,21.23
50,51,51,Scott Dunlap,106,21.19
51,52,52,Joe Durant,94,21.15
52,53,53,Tim Herron,96,21.12
53,54,54,Chris DiMarco,118,20.98
54,55,55,Pete Jordan,102,20.91
55,56,56,Tom Purtzer,58,20.9
56,57,57,Scott Hoch,108,20.88
57,58,58,Joe Ozaki,55,20.83
58,59,59,Joey Sindelar,88,20.82
59,T60,T60,Mark O'Meara,61,20.71
60,T60,T60,Mike Reid,76,20.71
61,T62,T62,Hal Sutton,93,20.66
62,T62,T62,Jay Williamson,105,20.66
63,64,64,Grant Waite,85,20.63
64,65,65,Mike Brisky,89,20.62
65,66,66,David Sutherland,109,20.56
66,67,67,Mark Calcavecchia,99,20.44
67,68,68,Mike Springer,83,20.42
68,69,69,Olin Browne,103,20.31
69,70,70,Duffy Waldorf,80,20.3
70,71,71,J.L. Lewis,104,20.22
71,72,72,Sergio Garcia,59,20.13
72,73,73,Brent Geiberger,79,20.11
73,T74,T74,Robert Gamez,76,20.09
74,T74,T74,Jimmy Green,85,20.09
75,76,76,Fred Funk,110,20.07
76,T77,T77,Glen Day,93,20.0
77,T77,T77,Steve Stricker,63,20.0
78,79,79,David Peoples,99,19.92
79,80,80,Harrison Frazar,72,19.9
80,81,81,Jim McGovern,55,19.87
81,82,82,Nick Faldo,51,19.86
82,T83,T83,Ronnie Black,82,19.82
83,T83,T83,John Huston,81,19.82
84,85,85,Robert Allenby,98,19.74
85,86,86,Dan Forsman,88,19.72
86,87,87,Jerry Kelly,111,19.71
87,88,88,Franklin Langham,95,19.66
88,89,89,Robin Freeman,98,19.64
89,90,90,Joel Edwards,99,19.63
90,91,91,Rich Beem,84,19.62
91,92,92,Emlyn Aubrey,68,19.58
92,93,93,Keith Nolan,57,19.53
93,94,94,"Dave Stockton, Jr.",89,19.51
94,95,95,Woody Austin,104,19.45
95,96,96,Stewart Cink,98,19.34
96,97,97,Cameron Beckman,81,19.3
97,T98,T98,Billy Mayfair,93,19.23
98,T98,T98,Frank Nobilo,98,19.23
99,100,100,Tom Byrum,91,19.21
100,101,101,Bart Bryant,73,19.11
101,102,102,John Daly,71,19.07
102,103,103,Brad Elder,110,19.0
103,104,104,Len Mattiace,107,18.99
104,105,105,Michael Clark II,84,18.83
105,106,106,Brian Gay,101,18.73
106,107,107,Paul Azinger,73,18.71
107,108,108,Craig Stadler,70,18.66
108,109,109,Brett Quigley,63,18.54
109,110,110,Mike Sposa,73,18.5
110,111,111,Bob Friend,96,18.49
111,112,112,Skip Kendall,114,18.48
112,113,113,Casey Martin,90,18.47
113,114,114,Rocco Mediate,79,18.46
114,T115,T115,Nick Price,63,18.42
115,T115,T115,Tommy Tolles,60,18.42
116,117,117,Steve Pate,97,18.41
117,118,118,Michael Bradley,73,18.37
118,119,119,Jerry Smith,104,18.3
119,120,120,Charles Raulerson,98,18.24
120,121,121,Larry Mize,71,18.23
121,122,122,Craig Perks,82,18.22
122,123,123,Sean Murphy,102,18.15
123,124,124,Edward Fryatt,101,18.08
124,125,125,Chip Beck,51,18.01
125,126,126,Rick Fehr,73,17.99
126,127,127,Mark Wiebe,95,17.97
127,128,128,Craig Parry,73,17.93
128,129,129,Bob Heintz,87,17.88
129,130,130,Eric Booker,87,17.86
130,131,131,Doug Barron,85,17.83
131,132,132,Gabriel Hjertstedt,86,17.79
132,133,133,Jeff Maggert,86,17.78
133,134,134,J.P. Hayes,91,17.77
134,135,135,Paul Goydos,99,17.72
135,136,136,Carlos Franco,85,17.69
136,T137,T137,Jim Carter,96,17.65
137,T137,T137,Scott Verplank,106,17.65
138,139,139,Brian Watts,89,17.48
139,140,140,P.H. Horgan III,65,17.44
140,T141,T141,Jay Haas,80,17.39
141,T141,T141,Steve Jones,75,17.39
142,143,143,Billy Andrade,89,17.34
143,144,144,Loren Roberts,87,17.31
144,145,145,Craig Spence,89,17.28
145,146,146,John Rollins,72,17.21
146,T147,T147,Andrew Magee,78,17.19
147,T147,T147,Kevin Sutherland,98,17.19
148,149,149,Bob Tway,91,17.17
149,T150,T150,Barry Cheesman,96,17.14
150,T150,T150,Scott McCarron,100,17.14
151,152,152,Craig Bowden,54,17.09
152,153,153,Tom Scherrer,104,16.99
153,154,154,Perry Moss,53,16.98
154,155,155,Dicky Pride,98,16.94
155,156,156,Fulton Allem,77,16.91
156,T157,T157,Jay Don Blake,95,16.87
157,T157,T157,Jean Van de Velde,70,16.87
158,159,159,Ben Bates,107,16.83
159,160,160,Peter Jacobsen,65,16.77
