,Front_9_Par_5_Scoring_Average_RANK THIS WEEK,Front_9_Par_5_Scoring_Average_RANK LAST WEEK,Front_9_Par_5_Scoring_Average_PLAYER NAME,Front_9_Par_5_Scoring_Average_ROUNDS,Front_9_Par_5_Scoring_Average_AVG,Front_9_Par_5_Scoring_Average_TOTAL STROKES,Front_9_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Tiger Woods,82,4.36,536,123
1,2,2,Robert Allenby,98,4.49,678,151
2,T3,T3,Paul Azinger,73,4.5,531,118
3,T3,T3,David Duval,73,4.5,481,107
4,T3,T3,Phil Mickelson,85,4.5,581,129
5,T6,T6,Ernie Els,74,4.51,505,112
6,T6,T6,Nick Price,63,4.51,456,101
7,T6,T6,Kirk Triplett,101,4.51,672,149
8,T9,T9,Kenny Perry,76,4.55,628,138
9,T9,T9,Vijay Singh,97,4.55,687,151
10,T11,T11,Sergio Garcia,59,4.56,388,85
11,T11,T11,Davis Love III,98,4.56,679,149
12,T11,T11,Bob May,95,4.56,680,149
13,T14,T14,Greg Chalmers,96,4.57,709,155
14,T14,T14,Peter Jacobsen,65,4.57,516,113
15,T14,T14,Steve Lowery,107,4.57,836,183
16,T14,T14,Scott McCarron,100,4.57,799,175
17,T14,T14,Jesper Parnevik,71,4.57,471,103
18,T14,T14,Carl Paulson,105,4.57,840,184
19,T14,T14,Mike Weir,102,4.57,722,158
20,T21,T21,Fred Couples,71,4.58,559,122
21,T21,T21,Robert Gamez,76,4.58,595,130
22,T21,T21,Scott Hoch,108,4.58,857,187
23,T24,T24,Brandel Chamblee,72,4.59,528,115
24,T24,T24,Robert Damron,93,4.59,720,157
25,T24,T24,Steve Elkington,59,4.59,459,100
26,T24,T24,Carlos Franco,85,4.59,634,138
27,T24,T24,Jay Williamson,105,4.59,807,176
28,T29,T29,Woody Austin,104,4.6,818,178
29,T29,T29,Steve Flesch,123,4.6,933,203
30,T29,T29,Frank Lickliter II,107,4.6,818,178
31,T29,T29,Brett Quigley,63,4.6,488,106
32,T29,T29,Grant Waite,85,4.6,718,156
33,T34,T34,Brian Henninger,93,4.61,700,152
34,T34,T34,Jerry Kelly,111,4.61,921,200
35,T34,T34,Tom Pernice Jr.,98,4.61,770,167
36,T34,T34,Rory Sabbatini,85,4.61,659,143
37,T34,T34,Jeff Sluman,113,4.61,853,185
38,T39,T39,Joel Edwards,99,4.62,795,172
39,T39,T39,Bill Glasson,93,4.62,813,176
40,T39,T39,Skip Kendall,114,4.62,919,199
41,T39,T39,Hal Sutton,93,4.62,642,139
42,T43,T43,Stuart Appleby,86,4.63,611,132
43,T43,T43,Mike Brisky,89,4.63,695,150
44,T43,T43,Barry Cheesman,96,4.63,727,157
45,T43,T43,Brian Gay,101,4.63,829,179
46,T43,T43,J.L. Lewis,104,4.63,782,169
47,T43,T43,David Peoples,99,4.63,819,177
48,T43,T43,Chris Perry,109,4.63,865,187
49,T43,T43,Chris Riley,98,4.63,774,167
50,T43,T43,Jean Van de Velde,70,4.63,556,120
51,T52,T52,Glen Day,93,4.64,737,159
52,T52,T52,Scott Dunlap,106,4.64,821,177
53,T52,T52,Jim Furyk,98,4.64,700,151
54,T52,T52,Franklin Langham,95,4.64,742,160
55,T52,T52,Shigeki Maruyama,88,4.64,617,133
56,T52,T52,Rocco Mediate,79,4.64,585,126
57,T52,T52,Paul Stankowski,77,4.64,598,129
58,T59,T59,Doug Barron,85,4.65,665,143
59,T59,T59,Olin Browne,103,4.65,776,167
60,T59,T59,Harrison Frazar,72,4.65,539,116
61,T59,T59,Bob Friend,96,4.65,768,165
62,T59,T59,Dudley Hart,74,4.65,604,130
63,T59,T59,Steve Jones,75,4.65,530,114
64,T59,T59,Len Mattiace,107,4.65,809,174
65,T59,T59,Joe Ogilvie,95,4.65,776,167
66,T59,T59,Scott Verplank,106,4.65,800,172
67,T68,T68,Michael Bradley,73,4.66,625,134
68,T68,T68,Michael Clark II,84,4.66,718,154
69,T68,T68,Trevor Dodds,86,4.66,703,151
70,T68,T68,Brad Elder,110,4.66,908,195
71,T68,T68,Jimmy Green,85,4.66,689,148
72,T68,T68,Blaine McCallister,104,4.66,877,188
73,T68,T68,Tom Scherrer,104,4.66,821,176
74,T75,T75,Stephen Ames,99,4.67,756,162
75,T75,T75,Craig Barlow,98,4.67,775,166
76,T75,T75,Mark Calcavecchia,99,4.67,696,149
77,T75,T75,Chris DiMarco,118,4.67,896,192
78,T75,T75,Brad Faxon,98,4.67,859,184
79,T75,T75,Fred Funk,110,4.67,874,187
80,T75,T75,J.P. Hayes,91,4.67,742,159
81,T75,T75,Gabriel Hjertstedt,86,4.67,682,146
82,T75,T75,Neal Lancaster,99,4.67,761,163
83,T75,T75,Casey Martin,90,4.67,710,152
84,T75,T75,Gary Nicklaus,84,4.67,654,140
85,T75,T75,David Toms,113,4.67,864,185
86,T75,T75,Bob Tway,91,4.67,696,149
87,T75,T75,Mark Wiebe,95,4.67,728,156
