,Birdie_Average_RANK THIS WEEK,Birdie_Average_RANK LAST WEEK,Birdie_Average_PLAYER NAME,Birdie_Average_ROUNDS,Birdie_Average_AVG,Birdie_Average_# OF BIRDIES,Birdie_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,82,4.92,374,76
1,2,2,Davis Love III,98,4.26,392,92
2,3,3,David Duval,73,4.22,283,67
3,4,4,Phil Mickelson,85,4.21,337,80
4,5,5,Paul Stankowski,77,4.08,298,73
5,T6,T6,Mark Calcavecchia,99,4.07,374,92
6,T6,T6,Steve Flesch,123,4.07,493,121
7,8,8,Brad Faxon,98,4.05,389,96
8,9,9,Fred Couples,71,4.03,282,70
9,10,10,Kenny Perry,76,4.0,304,76
10,11,11,Greg Chalmers,96,3.99,367,92
11,T12,T12,Vijay Singh,97,3.98,366,92
12,T12,T12,David Toms,113,3.98,434,109
13,14,14,Jesper Parnevik,71,3.96,269,68
14,T15,T15,Nick Price,63,3.95,245,62
15,T15,T15,Grant Waite,85,3.95,336,85
16,17,17,Steve Lowery,107,3.94,410,104
17,T18,T18,Stephen Ames,99,3.92,372,95
18,T18,T18,Kirk Triplett,101,3.92,380,97
19,T20,T20,Jonathan Kaye,115,3.91,438,112
20,T20,T20,Skip Kendall,114,3.91,438,112
21,22,22,Paul Azinger,73,3.9,281,72
22,23,23,Rory Sabbatini,85,3.89,323,83
23,T24,T24,Sergio Garcia,59,3.88,202,52
24,T24,T24,Franklin Langham,95,3.88,353,91
25,T24,T24,Mike Weir,102,3.88,372,96
26,27,27,Scott McCarron,100,3.85,377,98
27,28,28,Hal Sutton,93,3.84,342,89
28,29,29,John Huston,81,3.83,306,80
29,T30,T30,Ernie Els,74,3.82,260,68
30,T30,T30,Scott Hoch,108,3.82,397,104
31,32,32,Carlos Franco,85,3.81,320,84
32,33,33,Glen Day,93,3.79,349,92
33,34,34,Scott Verplank,106,3.77,400,106
34,T35,T35,Chris DiMarco,118,3.75,427,114
35,T35,T35,Brian Henninger,93,3.75,334,89
36,T37,T37,Robert Allenby,98,3.74,352,94
37,T37,T37,Stewart Cink,98,3.74,355,95
38,T39,T39,Stuart Appleby,86,3.73,302,81
39,T39,T39,Scott Dunlap,106,3.73,395,106
40,T39,T39,J.L. Lewis,104,3.73,380,102
41,T42,T42,Brandel Chamblee,72,3.69,258,70
42,T42,T42,Frank Lickliter II,107,3.69,387,105
43,T44,T44,Bob May,95,3.68,335,91
44,T44,T44,Chris Perry,109,3.68,386,105
45,T44,T44,Jeff Sluman,113,3.68,408,111
46,47,47,David Peoples,99,3.67,363,99
47,T48,T48,Billy Andrade,89,3.66,315,86
48,T48,T48,Joe Durant,94,3.66,344,94
49,T48,T48,Blaine McCallister,104,3.66,381,104
50,T51,T51,Lee Janzen,92,3.65,332,91
51,T51,T51,Carl Paulson,105,3.65,376,103
52,T51,T51,Tommy Tolles,60,3.65,219,60
53,T51,T51,Jay Williamson,105,3.65,372,102
54,T55,T55,Brent Geiberger,79,3.64,273,75
55,T55,T55,Tim Herron,96,3.64,342,94
56,T55,T55,Loren Roberts,87,3.64,313,86
57,T58,T58,Robert Damron,93,3.63,330,91
58,T58,T58,Bill Glasson,93,3.63,338,93
59,T58,T58,Chris Riley,98,3.63,341,94
60,T61,T61,Jim Furyk,98,3.61,343,95
61,T61,T61,Duffy Waldorf,80,3.61,271,75
62,63,63,Mike Springer,83,3.6,292,81
63,64,64,Kevin Sutherland,98,3.59,337,94
64,T65,T65,Jay Don Blake,95,3.58,333,93
65,T65,T65,Barry Cheesman,96,3.58,333,93
66,T67,T67,Bob Burns,91,3.57,318,89
67,T67,T67,Gabriel Hjertstedt,86,3.57,296,83
68,T67,T67,Jeff Maggert,86,3.57,293,82
69,T67,T67,David Sutherland,109,3.57,378,106
70,T71,T71,Russ Cochran,71,3.56,253,71
71,T71,T71,Craig Stadler,70,3.56,235,66
72,T71,T71,Bob Tway,91,3.56,317,89
73,T74,T74,Woody Austin,104,3.55,359,101
74,T74,T74,Robert Gamez,76,3.55,270,76
75,T74,T74,Dudley Hart,74,3.55,259,73
76,T74,T74,Shaun Micheel,94,3.55,323,91
77,T78,T78,Brad Elder,110,3.54,389,110
78,T78,T78,Harrison Frazar,72,3.54,248,70
79,T78,T78,J.P. Hayes,91,3.54,315,89
80,T78,T78,Jerry Kelly,111,3.54,393,111
81,T78,T78,Justin Leonard,98,3.54,329,93
82,T83,T83,Paul Goydos,99,3.53,342,97
83,T83,T83,Brandt Jobe,91,3.53,311,88
84,T83,T83,Jim McGovern,55,3.53,187,53
85,T86,T86,Tom Byrum,91,3.52,313,89
86,T86,T86,Fred Funk,110,3.52,384,109
87,T86,T86,Tom Scherrer,104,3.52,356,101
88,T89,T89,Joel Edwards,99,3.51,347,99
89,T89,T89,Steve Gotsche,91,3.51,312,89
