,Par_5_Eagle_Leaders_RANK THIS WEEK,Par_5_Eagle_Leaders_RANK LAST WEEK,Par_5_Eagle_Leaders_PLAYER NAME,Par_5_Eagle_Leaders_ROUNDS,Par_5_Eagle_Leaders_TOTAL,Par_5_Eagle_Leaders_TOTAL PAR 5 HOLES,Par_5_Eagle_Leaders_TOTAL HOLE OUTS
0,1,1,Tiger Woods,82,17,265,
1,2,2,Rory Sabbatini,85,16,298,
2,T3,T3,Chris DiMarco,118,15,397,
3,T3,T3,Steve Flesch,123,15,418,
4,5,5,Phil Mickelson,85,14,268,
5,6,6,Chris Perry,109,13,384,
6,7,7,Gary Nicklaus,84,12,285,
7,T8,T8,Davis Love III,98,11,310,
8,T8,T8,Carl Paulson,105,11,364,
9,T10,T10,Paul Azinger,73,10,239,
10,T10,T10,Greg Chalmers,96,10,315,
11,T10,T10,Bill Glasson,93,10,343,
12,T10,T10,Mathew Goggin,91,10,330,
13,T14,T14,Woody Austin,104,9,363,
14,T14,T14,Brad Elder,110,9,396,
15,T14,T14,Harrison Frazar,72,9,247,
16,T14,T14,Bradley Hughes,93,9,316,
17,T14,T14,Skip Kendall,114,9,402,
18,T14,T14,David Peoples,99,9,345,
19,T14,T14,Grant Waite,85,9,303,
20,T21,T21,Robert Allenby,98,8,301,
21,T21,T21,Craig Barlow,98,8,332,
22,T21,T21,Michael Bradley,73,8,267,
23,T21,T21,Robert Damron,93,8,322,
24,T21,T21,Jay Delsing,97,8,331,
25,T21,T21,Scott Dunlap,106,8,357,
26,T21,T21,Edward Fryatt,101,8,338,
27,T21,T21,Sergio Garcia,59,8,179,
28,T21,T21,J.P. Hayes,91,8,326,
29,T21,T21,Brandt Jobe,91,8,311,
30,T21,T21,Justin Leonard,98,8,310,
31,T21,T21,Steve Lowery,107,8,359,
32,T21,T21,Bob May,95,8,305,
33,T21,T21,Scott McCarron,100,8,350,
34,T21,T21,Tom Pernice Jr.,98,8,346,
35,T21,T21,Jeff Sluman,113,8,388,
36,T37,T37,Stuart Appleby,86,7,266,
37,T37,T37,Jim Carter,96,7,321,
38,T37,T37,Brandel Chamblee,72,7,245,
39,T37,T37,Bobby Cochran,78,7,265,
40,T37,T37,David Duval,73,7,224,
41,T37,T37,Carlos Franco,85,7,278,
42,T37,T37,Fred Funk,110,7,376,
43,T37,T37,Robert Gamez,76,7,265,
44,T37,T37,Jonathan Kaye,115,7,394,
45,T37,T37,Frank Lickliter II,107,7,366,
46,T37,T37,Jeff Maggert,86,7,287,
47,T37,T37,Len Mattiace,107,7,362,
48,T37,T37,Jesper Parnevik,71,7,217,
49,T37,T37,Dennis Paulson,82,7,296,
50,T37,T37,Kenny Perry,76,7,286,
51,T37,T37,Joey Sindelar,88,7,308,
52,T37,T37,Craig Stadler,70,7,239,
53,T37,T37,David Toms,113,7,376,
54,T37,T37,Kirk Triplett,101,7,314,
55,T37,T37,Ted Tryba,112,7,383,
56,T37,T37,Mike Weir,102,7,327,
57,T58,T58,Stephen Ames,99,6,334,
58,T58,T58,Bob Burns,91,6,309,
59,T58,T58,Barry Cheesman,96,6,325,
