,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
0,1,1,Steve Flesch,123,493
1,T2,T2,Jonathan Kaye,115,438
2,T2,T2,Skip Kendall,114,438
3,4,4,David Toms,113,434
4,5,5,Chris DiMarco,118,427
5,6,6,Steve Lowery,107,410
6,7,7,Jeff Sluman,113,408
7,8,8,Scott Verplank,106,400
8,9,9,Scott Hoch,108,397
9,10,10,Scott Dunlap,106,395
10,11,11,Jerry Kelly,111,393
11,12,12,Davis Love III,98,392
12,T13,T13,Brad Elder,110,389
13,T13,T13,Brad Faxon,98,389
14,15,15,Frank Lickliter II,107,387
15,16,16,Chris Perry,109,386
16,17,17,Fred Funk,110,384
17,18,18,Blaine McCallister,104,381
18,T19,T19,J.L. Lewis,104,380
19,T19,T19,Kirk Triplett,101,380
20,21,21,David Sutherland,109,378
21,22,22,Scott McCarron,100,377
22,23,23,Carl Paulson,105,376
23,T24,T24,Mark Calcavecchia,99,374
24,T24,T24,Tiger Woods,82,374
25,T26,T26,Stephen Ames,99,372
26,T26,T26,Mike Weir,102,372
27,T26,T26,Jay Williamson,105,372
28,29,29,Greg Chalmers,96,367
29,30,30,Vijay Singh,97,366
30,31,31,David Peoples,99,363
31,32,32,Woody Austin,104,359
32,T33,T33,Greg Kraft,106,356
33,T33,T33,Tom Scherrer,104,356
34,35,35,Stewart Cink,98,355
35,36,36,Franklin Langham,95,353
36,37,37,Robert Allenby,98,352
37,38,38,Glen Day,93,349
38,T39,T39,Joel Edwards,99,347
39,T39,T39,Esteban Toledo,113,347
40,41,41,Ted Tryba,112,346
41,42,42,Brian Gay,101,345
42,T43,T43,Joe Durant,94,344
43,T43,T43,Pete Jordan,102,344
44,45,45,Jim Furyk,98,343
45,T46,T46,Paul Goydos,99,342
46,T46,T46,Tim Herron,96,342
47,T46,T46,Hal Sutton,93,342
48,49,49,Chris Riley,98,341
49,T50,T50,Olin Browne,103,338
50,T50,T50,Bill Glasson,93,338
51,T52,T52,Phil Mickelson,85,337
52,T52,T52,Charles Raulerson,98,337
53,T52,T52,Kevin Sutherland,98,337
54,T55,T55,Tom Pernice Jr.,98,336
55,T55,T55,Grant Waite,85,336
56,T57,T57,Craig Barlow,98,335
57,T57,T57,Bob May,95,335
58,59,59,Brian Henninger,93,334
59,T60,T60,Jay Don Blake,95,333
60,T60,T60,Barry Cheesman,96,333
61,T62,T62,Lee Janzen,92,332
62,T62,T62,Len Mattiace,107,332
63,T64,T64,Ben Bates,107,330
64,T64,T64,Robert Damron,93,330
65,66,66,Justin Leonard,98,329
66,67,67,Edward Fryatt,101,328
67,68,68,Sean Murphy,102,324
68,T69,T69,Robin Freeman,98,323
69,T69,T69,Shaun Micheel,94,323
70,T69,T69,Rory Sabbatini,85,323
71,72,72,Frank Nobilo,98,321
72,73,73,Carlos Franco,85,320
73,74,74,Joe Ogilvie,95,319
74,75,75,Bob Burns,91,318
75,T76,T76,Jim Carter,96,317
76,T76,T76,Bob Tway,91,317
77,T78,T78,Billy Andrade,89,315
78,T78,T78,J.P. Hayes,91,315
79,80,80,Jerry Smith,104,314
80,T81,T81,Tom Byrum,91,313
81,T81,T81,Loren Roberts,87,313
82,83,83,Steve Gotsche,91,312
83,84,84,Brandt Jobe,91,311
84,85,85,Mathew Goggin,91,310
85,86,86,Neal Lancaster,99,307
86,87,87,John Huston,81,306
87,88,88,Kenny Perry,76,304
88,T89,T89,K.J. Choi,92,303
89,T89,T89,John Maginnes,99,303
90,T89,T89,Mark Wiebe,95,303
91,92,92,Stuart Appleby,86,302
92,93,93,Glen Hnatiuk,94,301
93,94,94,Dan Forsman,88,299
94,T95,T95,Paul Stankowski,77,298
95,T95,T95,Omar Uresti,94,298
96,97,97,Gabriel Hjertstedt,86,296
97,T98,T98,Bradley Hughes,93,295
98,T98,T98,Casey Martin,90,295
99,T100,T100,Mark Brooks,91,294
100,T100,T100,Shigeki Maruyama,88,294
101,T102,T102,Jeff Maggert,86,293
102,T102,T102,Steve Pate,97,293
103,T104,T104,David Morland IV,88,292
104,T104,T104,Mike Springer,83,292
105,106,106,Dicky Pride,98,290
106,T107,T107,Brad Fabel,88,289
107,T107,T107,Bob Friend,96,289
108,109,109,Billy Mayfair,93,288
109,110,110,"Dave Stockton, Jr.",89,287
110,T111,T111,Doug Barron,85,286
111,T111,T111,Scott Gump,108,286
112,113,113,Joey Sindelar,88,285
113,114,114,Jay Delsing,97,284
114,T115,T115,Cameron Beckman,81,283
115,T115,T115,David Duval,73,283
116,T117,T117,Tommy Armour III,91,282
117,T117,T117,Rich Beem,84,282
118,T117,T117,John Cook,90,282
119,T117,T117,Fred Couples,71,282
120,T117,T117,Brian Watts,89,282
121,T122,T122,Paul Azinger,73,281
122,T122,T122,Jason Buha,82,281
123,124,124,Matt Gogel,86,277
124,125,125,Michael Clark II,84,275
125,126,126,Trevor Dodds,86,274
126,127,127,Brent Geiberger,79,273
127,128,128,Doug Dunakey,83,272
128,T129,T129,Jimmy Green,85,271
129,T129,T129,Bob Heintz,87,271
130,T129,T129,Duffy Waldorf,80,271
131,132,132,Robert Gamez,76,270
132,133,133,Jesper Parnevik,71,269
133,134,134,Craig Spence,89,266
134,135,135,Mike Brisky,89,265
135,T136,T136,Dennis Paulson,82,264
136,T136,T136,Kevin Wentworth,83,264
137,138,138,Craig Perks,82,263
138,139,139,Kelly Gibson,84,262
139,T140,T140,Ernie Els,74,260
140,T140,T140,Jeff Gove,86,260
141,T142,T142,Dudley Hart,74,259
142,T142,T142,Gary Nicklaus,84,259
143,T144,T144,Ronnie Black,82,258
144,T144,T144,Brandel Chamblee,72,258
145,T146,T146,Eric Booker,87,255
146,T146,T146,Rocco Mediate,79,255
147,148,148,Russ Cochran,71,253
148,149,149,Notah Begay III,82,249
149,T150,T150,John Daly,71,248
150,T150,T150,Harrison Frazar,72,248
151,T152,T152,Jay Haas,80,245
152,T152,T152,Nick Price,63,245
153,154,154,Andrew Magee,78,243
154,155,155,Tom Lehman,71,237
155,156,156,Larry Mize,71,236
156,T157,T157,Rick Fehr,73,235
157,T157,T157,Craig Stadler,70,235
158,T157,T157,Jean Van de Velde,70,235
159,T160,T160,Bobby Cochran,78,234
160,T160,T160,Steve Jones,75,234
161,T160,T160,Craig Parry,73,234
162,T163,T163,Michael Bradley,73,233
163,T163,T163,Ryan Howison,83,233
164,165,165,Mike Sposa,73,231
165,166,166,Corey Pavin,74,230
166,167,167,Mike Reid,76,227
167,168,168,John Rollins,72,224
168,169,169,Fulton Allem,77,223
169,170,170,Mike Hulbert,82,221
170,T171,T171,Aaron Bengoechea,75,219
171,T171,T171,Tommy Tolles,60,219
172,173,173,Bart Bryant,73,215
173,174,174,Nolan Henke,79,214
174,175,175,Peter Jacobsen,65,211
175,176,176,Jason Caron,77,210
176,177,177,Bob Estes,68,209
177,178,178,Brett Quigley,63,206
178,179,179,Sergio Garcia,59,202
179,T180,T180,Emlyn Aubrey,68,192
180,T180,T180,Steve Elkington,59,192
181,T180,T180,P.H. Horgan III,65,192
182,T183,T183,David Frost,65,190
183,T183,T183,Steve Stricker,63,190
184,185,185,Jim McGovern,55,187
185,186,186,Paul Curry,64,185
186,187,187,Steve Hart,72,184
187,188,188,Tom Purtzer,58,182
188,189,189,Mark O'Meara,61,180
189,190,190,Perry Moss,53,172
190,191,191,Joe Ozaki,55,164
191,192,192,Keith Nolan,57,158
192,193,193,Chip Beck,51,156
193,T194,T194,Craig Bowden,54,149
194,T194,T194,Nick Faldo,51,149
