,Back_9_Scoring_Average_RANK THIS WEEK,Back_9_Scoring_Average_RANK LAST WEEK,Back_9_Scoring_Average_PLAYER NAME,Back_9_Scoring_Average_ROUNDS,Back_9_Scoring_Average_AVG,Back_9_Scoring_Average_TOTAL STROKES,Back_9_Scoring_Average_TOTAL HOLES
0,1,1,Tiger Woods,82,34.28,2605,76
1,2,2,Steve Flesch,123,34.77,4207,121
2,T3,T3,Steve Lowery,107,34.89,3629,104
3,T3,T3,Phil Mickelson,85,34.89,2791,80
4,5,5,John Huston,81,34.94,2795,80
5,6,6,Ernie Els,74,34.99,2379,68
6,7,7,Grant Waite,85,35.01,2976,85
7,8,8,Kenny Perry,76,35.03,2662,76
8,T9,T9,Robert Allenby,98,35.04,3294,94
9,T9,T9,Fred Couples,71,35.04,2453,70
10,11,11,David Peoples,99,35.07,3472,99
11,12,12,Jonathan Kaye,115,35.08,3929,112
12,13,13,Davis Love III,98,35.1,3229,92
13,14,14,Paul Azinger,73,35.11,2528,72
14,T15,T15,Stewart Cink,98,35.15,3339,95
15,T15,T15,Brad Faxon,98,35.15,3374,96
16,17,17,Justin Leonard,98,35.16,3270,93
17,18,18,Greg Chalmers,96,35.2,3238,92
18,19,19,Shaun Micheel,94,35.21,3204,91
19,20,20,Doug Barron,85,35.23,2889,82
20,T21,T21,Glen Hnatiuk,94,35.24,3172,90
21,T21,T21,Loren Roberts,87,35.24,3031,86
22,23,23,Scott Verplank,106,35.25,3737,106
23,T24,T24,Jerry Kelly,111,35.26,3914,111
24,T24,T24,Franklin Langham,95,35.26,3209,91
25,T24,T24,Bob May,95,35.26,3209,91
26,T24,T24,Blaine McCallister,104,35.26,3667,104
27,T28,T28,Tom Byrum,91,35.27,3139,89
28,T28,T28,John Cook,90,35.27,3104,88
29,T28,T28,Joe Durant,94,35.27,3315,94
30,T31,T31,Jim Furyk,98,35.28,3352,95
31,T31,T31,Kevin Sutherland,98,35.28,3316,94
32,T33,T33,Lee Janzen,92,35.29,3211,91
33,T33,T33,Len Mattiace,107,35.29,3776,107
34,35,35,Stephen Ames,99,35.31,3354,95
35,36,36,Jeff Sluman,113,35.32,3921,111
36,37,37,Mike Reid,76,35.33,2544,72
37,T38,T38,Russ Cochran,71,35.34,2509,71
38,T38,T38,Bill Glasson,93,35.34,3287,93
39,T38,T38,Shigeki Maruyama,88,35.34,3004,85
40,T38,T38,Carl Paulson,105,35.34,3640,103
41,T38,T38,Paul Stankowski,77,35.34,2580,73
42,T38,T38,Jean Van de Velde,70,35.34,2368,67
43,T44,T44,Edward Fryatt,101,35.35,3429,97
44,T44,T44,Fred Funk,110,35.35,3853,109
45,46,46,David Toms,113,35.36,3854,109
46,47,47,Hal Sutton,93,35.37,3148,89
47,T48,T48,Chris DiMarco,118,35.38,4033,114
48,T48,T48,Scott Dunlap,106,35.38,3750,106
49,T48,T48,Tom Lehman,71,35.38,2441,69
50,T51,T51,David Duval,73,35.39,2371,67
51,T51,T51,Joel Edwards,99,35.39,3504,99
52,T51,T51,Chris Riley,98,35.39,3327,94
53,T54,T54,Frank Lickliter II,107,35.4,3717,105
54,T54,T54,Esteban Toledo,113,35.4,3929,111
55,T56,T56,Skip Kendall,114,35.42,3967,112
56,T56,T56,Chris Perry,109,35.42,3719,105
57,T58,T58,Glen Day,93,35.43,3260,92
58,T58,T58,Kirk Triplett,101,35.43,3437,97
59,T60,T60,K.J. Choi,92,35.44,3154,89
60,T60,T60,Dudley Hart,74,35.44,2587,73
61,T60,T60,Greg Kraft,106,35.44,3757,106
62,T63,T63,Mark Brooks,91,35.45,3120,88
63,T63,T63,Mark Calcavecchia,99,35.45,3261,92
64,65,65,Frank Nobilo,98,35.46,3369,95
65,T66,T66,Jim McGovern,55,35.47,1880,53
66,T66,T66,Vijay Singh,97,35.47,3263,92
67,T68,T68,Jay Don Blake,95,35.48,3300,93
68,T68,T68,Tim Herron,96,35.48,3335,94
69,70,70,Rory Sabbatini,85,35.49,2946,83
70,T71,T71,Sergio Garcia,59,35.5,1846,52
71,T71,T71,Pete Jordan,102,35.5,3621,102
72,73,73,Larry Mize,71,35.52,2451,69
73,T74,T74,Olin Browne,103,35.53,3517,99
74,T74,T74,Bob Tway,91,35.53,3162,89
75,76,76,Brian Henninger,93,35.55,3164,89
76,T77,T77,Robert Damron,93,35.56,3236,91
77,T77,T77,Paul Goydos,99,35.56,3449,97
78,T77,T77,David Sutherland,109,35.56,3769,106
79,T80,T80,Stuart Appleby,86,35.57,2881,81
80,T80,T80,Mike Weir,102,35.57,3415,96
81,T82,T82,Billy Andrade,89,35.58,3060,86
82,T82,T82,Scott Hoch,108,35.58,3700,104
83,T82,T82,Brandt Jobe,91,35.58,3131,88
84,T82,T82,Scott McCarron,100,35.58,3487,98
85,T86,T86,Dan Forsman,88,35.59,3132,88
86,T86,T86,Sean Murphy,102,35.59,3559,100
87,T86,T86,Joe Ogilvie,95,35.59,3239,91
88,89,89,Cameron Beckman,81,35.6,2884,81
89,T90,T90,Brent Geiberger,79,35.61,2671,75
90,T90,T90,Matt Gogel,86,35.61,2991,84
91,T90,T90,Nick Price,63,35.61,2208,62
92,T93,T93,Jason Buha,82,35.62,2921,82
93,T93,T93,Brian Gay,101,35.62,3526,99
94,T93,T93,Jesper Parnevik,71,35.62,2422,68
95,T93,T93,Craig Parry,73,35.62,2458,69
96,97,97,Rick Fehr,73,35.63,2530,71
97,98,98,Robert Gamez,76,35.64,2709,76
98,T99,T99,Tommy Armour III,91,35.66,3174,89
99,T99,T99,Craig Barlow,98,35.66,3423,96
100,T99,T99,Robin Freeman,98,35.66,3495,98
101,T99,T99,J.P. Hayes,91,35.66,3174,89
102,T99,T99,J.L. Lewis,104,35.66,3637,102
103,T99,T99,Tom Scherrer,104,35.66,3602,101
104,T105,T105,Jeff Maggert,86,35.67,2925,82
105,T105,T105,Mike Sposa,73,35.67,2604,73
106,T105,T105,Duffy Waldorf,80,35.67,2675,75
107,T108,T108,Michael Bradley,73,35.68,2605,73
108,T108,T108,Jerry Smith,104,35.68,3604,101
109,T108,T108,Craig Stadler,70,35.68,2355,66
110,111,111,Billy Mayfair,93,35.69,3141,88
111,T112,T112,Harrison Frazar,72,35.7,2499,70
112,T112,T112,Andrew Magee,78,35.7,2606,73
113,114,114,Jay Williamson,105,35.71,3642,102
114,115,115,Tommy Tolles,60,35.72,2143,60
115,116,116,Brad Fabel,88,35.73,3144,88
116,T117,T117,Ben Bates,107,35.74,3717,104
117,T117,T117,Bradley Hughes,93,35.74,3217,90
118,T117,T117,Peter Jacobsen,65,35.74,2323,65
119,T117,T117,Joey Sindelar,88,35.74,3002,84
120,T121,T121,Jay Delsing,97,35.75,3325,93
121,T121,T121,Doug Dunakey,83,35.75,2860,80
122,T121,T121,Mathew Goggin,91,35.75,3253,91
123,T121,T121,Perry Moss,53,35.75,1895,53
124,T121,T121,Steve Pate,97,35.75,3289,92
125,126,126,Casey Martin,90,35.76,3147,88
126,T127,T127,Brad Elder,110,35.77,3935,110
127,T127,T127,Omar Uresti,94,35.77,3362,94
128,T129,T129,Kelly Gibson,84,35.78,2934,82
129,T129,T129,Steve Gotsche,91,35.78,3184,89
130,131,131,Bart Bryant,73,35.79,2613,73
131,T132,T132,David Morland IV,88,35.8,3079,86
132,T132,T132,Tom Purtzer,58,35.8,2005,56
133,T134,T134,Neal Lancaster,99,35.81,3402,95
134,T134,T134,John Maginnes,99,35.81,3545,99
135,T136,T136,Jimmy Green,85,35.82,2973,83
136,T136,T136,Tom Pernice Jr.,98,35.82,3439,96
137,T138,T138,Bob Estes,68,35.83,2257,63
138,T138,T138,Scott Gump,108,35.83,3762,105
139,T138,T138,Mike Springer,83,35.83,2902,81
140,T138,T138,"Dave Stockton, Jr.",89,35.83,3117,87
141,T142,T142,Chip Beck,51,35.84,1756,49
142,T142,T142,Bob Burns,91,35.84,3190,89
143,T142,T142,Jim Carter,96,35.84,3369,94
144,T142,T142,Michael Clark II,84,35.84,2867,80
145,T142,T142,Steve Elkington,59,35.84,2079,58
146,T147,T147,Jeff Gove,86,35.85,2940,82
147,T147,T147,Craig Perks,82,35.85,2940,82
148,T149,T149,Notah Begay III,82,35.86,2797,78
149,T149,T149,Ronnie Black,82,35.86,2833,79
150,T149,T149,Rocco Mediate,79,35.86,2725,76
151,152,152,David Frost,65,35.87,2260,63
152,T153,T153,Bobby Cochran,78,35.88,2727,76
153,T153,T153,P.H. Horgan III,65,35.88,2332,65
154,155,155,Steve Jones,75,35.89,2548,71
155,T156,T156,Woody Austin,104,35.91,3627,101
156,T156,T156,Paul Curry,64,35.91,2298,64
157,T156,T156,Mark Wiebe,95,35.91,3304,92
158,159,159,Gabriel Hjertstedt,86,35.93,2982,83
159,T160,T160,Joe Ozaki,55,35.94,1905,53
160,T160,T160,Brett Quigley,63,35.94,2264,63
161,T162,T162,Bob Friend,96,35.95,3307,92
162,T162,T162,Kevin Wentworth,83,35.95,2876,80
163,T164,T164,Carlos Franco,85,35.98,3022,84
164,T164,T164,Dennis Paulson,82,35.98,2914,81
165,T166,T166,Mark O'Meara,61,36.0,1980,55
166,T166,T166,Brian Watts,89,36.0,3168,88
167,168,168,Brandel Chamblee,72,36.03,2522,70
168,T169,T169,Charles Raulerson,98,36.04,3532,98
169,T169,T169,Craig Spence,89,36.04,3063,85
170,171,171,Nick Faldo,51,36.06,1767,49
