,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
0,1,1,Len Mattiace,107,9.15,29,317
1,2,2,Tiger Woods,82,9.41,35,372
2,3,3,Rocco Mediate,79,10.2,25,245
3,4,4,Esteban Toledo,113,10.32,35,339
4,5,5,Paul Azinger,73,10.55,29,275
5,6,6,Matt Gogel,86,10.74,29,270
6,7,7,Kevin Sutherland,98,11.18,36,322
7,8,8,Stewart Cink,98,11.3,39,345
8,9,9,Scott Dunlap,106,11.38,43,378
9,10,10,Glen Hnatiuk,94,11.58,33,285
10,11,11,Doug Barron,85,11.94,32,268
11,12,12,Dan Forsman,88,12.07,35,290
12,13,13,Jerry Smith,104,12.25,37,302
13,14,14,Scott Hoch,108,12.3,47,382
14,15,15,Fred Funk,110,12.33,46,373
15,T16,T16,Bill Glasson,93,12.39,41,331
16,T16,T16,Mike Weir,102,12.39,44,355
17,18,18,Stephen Ames,99,12.43,45,362
18,19,19,Jesper Parnevik,71,12.5,32,256
19,20,20,Steve Flesch,123,12.73,62,487
20,21,21,Robert Damron,93,12.77,41,321
21,22,22,Ernie Els,74,12.8,32,250
22,23,23,Pete Jordan,102,12.92,42,325
23,24,24,Hal Sutton,93,12.95,43,332
24,25,25,Tom Byrum,91,13.01,38,292
25,T26,T26,Mark Calcavecchia,99,13.07,46,352
26,T26,T26,Omar Uresti,94,13.07,37,283
27,28,28,J.P. Hayes,91,13.13,39,297
28,T29,T29,Steve Lowery,107,13.27,52,392
29,T29,T29,Chris Riley,98,13.27,43,324
30,31,31,David Duval,73,13.33,36,270
31,32,32,Dudley Hart,74,13.36,33,247
32,T33,T33,Jerry Kelly,111,13.4,50,373
33,T33,T33,Joe Ogilvie,95,13.4,41,306
34,35,35,Tom Scherrer,104,13.45,46,342
