,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
0,1,1,Tiger Woods,82,72.0,1368,19
1,2,2,Phil Mickelson,85,80.0,1440,18
2,3,3,Rory Sabbatini,85,87.9,1494,17
3,4,4,Paul Azinger,73,108.0,1296,12
4,5,5,Sergio Garcia,59,117.0,936,8
5,6,6,Gary Nicklaus,84,123.0,1476,12
6,7,7,Harrison Frazar,72,126.0,1260,10
7,8,8,Chris DiMarco,118,128.3,2052,16
8,9,9,Craig Stadler,70,132.0,1188,9
9,10,10,Chris Perry,109,135.0,1890,14
10,11,11,Steve Flesch,123,136.1,2178,16
11,12,12,Davis Love III,98,138.0,1656,12
12,13,13,Bill Glasson,93,139.5,1674,12
13,14,14,Brett Quigley,63,141.8,1134,8
14,15,15,Michael Bradley,73,146.0,1314,9
15,16,16,Robert Gamez,76,152.0,1368,9
16,17,17,Jesper Parnevik,71,153.0,1224,8
17,18,18,Edward Fryatt,101,158.7,1746,11
18,T19,T19,Bob Burns,91,160.2,1602,10
19,T19,T19,Mathew Goggin,91,160.2,1602,10
20,T19,T19,Hal Sutton,93,160.2,1602,10
21,T22,T22,Stuart Appleby,86,162.0,1458,9
22,T22,T22,Dennis Paulson,82,162.0,1458,9
23,T22,T22,David Peoples,99,162.0,1782,11
24,25,25,Andrew Magee,78,164.3,1314,8
25,26,26,Brad Elder,110,165.0,1980,12
26,27,27,Greg Chalmers,96,165.6,1656,10
27,28,28,Carl Paulson,105,168.5,1854,11
28,29,29,Grant Waite,85,170.0,1530,9
29,T30,T30,Bobby Cochran,78,171.0,1368,8
30,T30,T30,Rocco Mediate,79,171.0,1368,8
31,32,32,David Morland IV,88,172.0,1548,9
32,33,33,David Duval,73,172.3,1206,7
33,34,34,Steve Elkington,59,174.0,1044,6
34,35,35,Ernie Els,74,174.9,1224,7
35,36,36,Brandt Jobe,91,176.0,1584,9
36,T37,T37,Brandel Chamblee,72,180.0,1260,7
37,T37,T37,Bradley Hughes,93,180.0,1620,9
38,39,39,Woody Austin,104,181.8,1818,10
39,40,40,Justin Leonard,98,186.0,1674,9
40,41,41,Steve Lowery,107,187.2,1872,10
41,42,42,Robert Allenby,98,188.0,1692,9
42,T43,T43,Carlos Franco,85,189.0,1512,8
43,T43,T43,Matt Gogel,86,189.0,1512,8
44,45,45,Jim McGovern,55,190.8,954,5
45,46,46,Tom Pernice Jr.,98,192.0,1728,9
46,47,47,Kenny Perry,76,195.4,1368,7
47,48,48,Scott McCarron,100,196.0,1764,9
48,49,49,Billy Mayfair,93,198.0,1584,8
49,50,50,J.P. Hayes,91,200.3,1602,8
50,51,51,Notah Begay III,82,200.6,1404,7
51,T52,T52,Robert Damron,93,204.8,1638,8
52,T52,T52,Bob May,95,204.8,1638,8
53,54,54,Michael Clark II,84,205.7,1440,7
54,55,55,Jay Delsing,97,209.3,1674,8
55,56,56,Jeff Maggert,86,210.9,1476,7
56,T57,T57,Jim Carter,96,211.5,1692,8
57,T57,T57,Kevin Sutherland,98,211.5,1692,8
58,T59,T59,Scott Dunlap,106,212.0,1908,9
59,T59,T59,Greg Kraft,106,212.0,1908,9
60,T61,T61,Craig Barlow,98,216.0,1728,8
61,T61,T61,Joey Sindelar,88,216.0,1512,7
62,63,63,Ted Tryba,112,222.0,1998,9
63,64,64,Nick Price,63,223.2,1116,5
64,65,65,Skip Kendall,114,224.0,2016,9
65,T66,T66,Jason Caron,77,225.0,1350,6
66,T66,T66,Brent Geiberger,79,225.0,1350,6
67,T66,T66,Sean Murphy,102,225.0,1800,8
68,T69,T69,Franklin Langham,95,234.0,1638,7
69,T69,T69,Shaun Micheel,94,234.0,1638,7
70,T69,T69,Joe Ogilvie,95,234.0,1638,7
71,72,72,Ronnie Black,82,237.0,1422,6
72,73,73,Perry Moss,53,238.5,954,4
73,74,74,Barry Cheesman,96,239.1,1674,7
74,75,75,Doug Dunakey,83,240.0,1440,6
75,76,76,Len Mattiace,107,240.8,1926,8
76,77,77,Cameron Beckman,81,243.0,1458,6
77,78,78,Stewart Cink,98,244.3,1710,7
78,79,79,Jeff Gove,86,246.0,1476,6
79,80,80,Mike Weir,102,246.9,1728,7
80,81,81,Kirk Triplett,101,249.4,1746,7
81,82,82,Jeff Sluman,113,249.8,1998,8
82,83,83,Fred Couples,71,252.0,1260,5
83,84,84,Eric Booker,87,255.0,1530,6
84,85,85,Russ Cochran,71,255.6,1278,5
85,T86,T86,Mike Sposa,73,262.8,1314,5
86,T86,T86,Paul Stankowski,77,262.8,1314,5
87,88,88,Casey Martin,90,264.0,1584,6
88,89,89,Tommy Armour III,91,267.0,1602,6
89,T90,T90,Fulton Allem,77,270.0,1350,5
90,T90,T90,Frank Lickliter II,107,270.0,1890,7
91,92,92,Steve Stricker,63,274.5,1098,4
92,93,93,Vijay Singh,97,276.0,1656,6
93,94,94,Jay Don Blake,95,279.0,1674,6
94,T95,T95,Fred Funk,110,280.3,1962,7
95,T95,T95,David Toms,113,280.3,1962,7
96,97,97,Tim Herron,96,282.0,1692,6
97,98,98,Stephen Ames,99,285.0,1710,6
98,T99,T99,Jerry Kelly,111,285.4,1998,7
99,T99,T99,Esteban Toledo,113,285.4,1998,7
100,T101,T101,Paul Curry,64,288.0,1152,4
101,T101,T101,Mike Hulbert,82,288.0,1440,5
102,T101,T101,John Huston,81,288.0,1440,5
103,T101,T101,Jonathan Kaye,115,288.0,2016,7
104,T105,T105,Olin Browne,103,297.0,1782,6
105,T105,T105,Joel Edwards,99,297.0,1782,6
106,T105,T105,John Maginnes,99,297.0,1782,6
107,108,108,Gabriel Hjertstedt,86,298.8,1494,5
108,109,109,Tom Scherrer,104,303.0,1818,6
109,110,110,Bob Heintz,87,306.0,1530,5
110,T111,T111,Billy Andrade,89,309.6,1548,5
111,T111,T111,Mike Brisky,89,309.6,1548,5
112,T113,T113,Ben Bates,107,312.0,1872,6
113,T113,T113,Scott Hoch,108,312.0,1872,6
114,T113,T113,Blaine McCallister,104,312.0,1872,6
115,T116,T116,Mark Brooks,91,316.8,1584,5
116,T116,T116,Dan Forsman,88,316.8,1584,5
117,118,118,Joe Ozaki,55,318.0,954,3
118,T119,T119,John Daly,71,319.5,1278,4
119,T119,T119,Rick Fehr,73,319.5,1278,4
120,T119,T119,Steve Jones,75,319.5,1278,4
121,T122,T122,Steve Gotsche,91,320.4,1602,5
122,T122,T122,Brian Henninger,93,320.4,1602,5
123,124,124,John Rollins,72,324.0,1296,4
124,125,125,Lee Janzen,92,327.6,1638,5
125,T126,T126,Aaron Bengoechea,75,328.5,1314,4
126,T126,T126,Bart Bryant,73,328.5,1314,4
127,128,128,Corey Pavin,74,333.0,1332,4
128,129,129,Keith Nolan,57,342.0,1026,3
129,T130,T130,Robin Freeman,98,352.8,1764,5
130,T130,T130,Charles Raulerson,98,352.8,1764,5
131,132,132,Brian Gay,101,356.4,1782,5
132,133,133,Rich Beem,84,364.5,1458,4
133,T134,T134,Doug Barron,85,369.0,1476,4
134,T134,T134,Craig Perks,82,369.0,1476,4
135,136,136,Jimmy Green,85,373.5,1494,4
136,137,137,Trevor Dodds,86,378.0,1512,4
137,T138,T138,Shigeki Maruyama,88,382.5,1530,4
138,T138,T138,Craig Spence,89,382.5,1530,4
139,140,140,"Dave Stockton, Jr.",89,391.5,1566,4
140,141,141,Brad Fabel,88,396.0,1584,4
141,142,142,Bob Tway,91,400.5,1602,4
142,T143,T143,Mark Calcavecchia,99,414.0,1656,4
143,T143,T143,Bob Friend,96,414.0,1656,4
144,T143,T143,Tom Lehman,71,414.0,1242,3
145,T143,T143,Larry Mize,71,414.0,1242,3
146,T143,T143,Steve Pate,97,414.0,1656,4
147,T148,T148,Neal Lancaster,99,427.5,1710,4
148,T148,T148,Frank Nobilo,98,427.5,1710,4
149,T150,T150,Brad Faxon,98,432.0,1728,4
150,T150,T150,Mike Reid,76,432.0,1296,3
151,T152,T152,Chip Beck,51,441.0,882,2
152,T152,T152,Nick Faldo,51,441.0,882,2
153,154,154,Duffy Waldorf,80,450.0,1350,3
154,155,155,Jay Williamson,105,459.0,1836,4
155,156,156,Nolan Henke,79,474.0,1422,3
156,157,157,Scott Verplank,106,477.0,1908,4
157,158,158,Ryan Howison,83,486.0,1458,3
158,159,159,Tom Purtzer,58,504.0,1008,2
159,160,160,Loren Roberts,87,516.0,1548,3
160,161,161,Brian Watts,89,528.0,1584,3
161,162,162,Tom Byrum,91,534.0,1602,3
162,163,163,Tommy Tolles,60,540.0,1080,2
163,T164,T164,Glen Day,93,552.0,1656,3
164,T164,T164,Mark Wiebe,95,552.0,1656,3
165,T166,T166,Joe Durant,94,564.0,1692,3
166,T166,T166,Dicky Pride,98,564.0,1692,3
167,T166,T166,Chris Riley,98,564.0,1692,3
168,169,169,Jim Furyk,98,570.0,1710,3
169,170,170,Emlyn Aubrey,68,576.0,1152,2
170,171,171,Paul Goydos,99,582.0,1746,3
171,172,172,Peter Jacobsen,65,585.0,1170,2
172,173,173,Jerry Smith,104,606.0,1818,3
173,T174,T174,Pete Jordan,102,612.0,1836,3
174,T174,T174,J.L. Lewis,104,612.0,1836,3
175,176,176,Craig Parry,73,621.0,1242,2
176,177,177,Scott Gump,108,630.0,1890,3
177,178,178,David Sutherland,109,636.0,1908,3
178,179,179,Dudley Hart,74,657.0,1314,2
179,180,180,Mike Springer,83,729.0,1458,2
180,T181,T181,Jason Buha,82,738.0,1476,2
181,T181,T181,Kelly Gibson,84,738.0,1476,2
182,183,183,John Cook,90,792.0,1584,2
183,184,184,K.J. Choi,92,801.0,1602,2
184,185,185,Glen Hnatiuk,94,810.0,1620,2
185,186,186,Mark O'Meara,61,990.0,990,1
186,T187,T187,Bob Estes,68,1134.0,1134,1
187,T187,T187,David Frost,65,1134.0,1134,1
188,189,189,P.H. Horgan III,65,1170.0,1170,1
189,190,190,Jean Van de Velde,70,1206.0,1206,1
190,191,191,Steve Hart,72,1260.0,1260,1
191,192,192,Jay Haas,80,1386.0,1386,1
192,193,193,Kevin Wentworth,83,1440.0,1440,1
193,194,194,Omar Uresti,94,1692.0,1692,1
