,Bogey_Avoidance_RANK THIS WEEK,Bogey_Avoidance_RANK LAST WEEK,Bogey_Avoidance_PLAYER NAME,Bogey_Avoidance_ROUNDS,Bogey_Avoidance_% MAKES BOGEY,Bogey_Avoidance_BOGEYS,Bogey_Avoidance_HOLES PLAYED
0,1,1,Tiger Woods,82,9.8,134,1368
1,2,2,Phil Mickelson,85,12.5,180,1440
2,3,3,Steve Flesch,123,12.58,274,2178
3,4,4,Scott Verplank,106,12.74,243,1908
4,5,5,Ernie Els,74,12.75,156,1224
5,T6,T6,Stewart Cink,98,13.16,225,1710
6,T6,T6,Kenny Perry,76,13.16,180,1368
7,8,8,Len Mattiace,107,13.19,254,1926
8,9,9,Joel Edwards,99,13.41,239,1782
9,10,10,Jim Furyk,98,13.45,230,1710
10,T11,T11,Stuart Appleby,86,13.51,197,1458
11,T11,T11,John Cook,90,13.51,214,1584
12,13,13,Greg Kraft,106,13.57,259,1908
13,14,14,Chris Perry,109,13.76,260,1890
14,15,15,Kevin Sutherland,98,13.83,234,1692
15,16,16,Esteban Toledo,113,13.91,278,1998
16,17,17,Jerry Smith,104,14.03,255,1818
17,18,18,Bill Glasson,93,14.04,235,1674
18,19,19,David Duval,73,14.1,170,1206
19,20,20,Paul Azinger,73,14.12,183,1296
20,T21,T21,Steve Lowery,107,14.16,265,1872
21,T21,T21,Blaine McCallister,104,14.16,265,1872
22,23,23,Joe Durant,94,14.18,240,1692
23,24,24,Glen Hnatiuk,94,14.2,230,1620
24,25,25,Justin Leonard,98,14.22,238,1674
25,26,26,Bob May,95,14.29,234,1638
26,27,27,Tom Lehman,71,14.33,178,1242
27,28,28,Hal Sutton,93,14.36,230,1602
28,29,29,Scott Hoch,108,14.37,269,1872
29,30,30,Dudley Hart,74,14.38,189,1314
30,31,31,Mike Weir,102,14.41,249,1728
31,32,32,Loren Roberts,87,14.47,224,1548
32,T33,T33,Jerry Kelly,111,14.51,290,1998
33,T33,T33,Mike Reid,76,14.51,188,1296
34,T35,T35,Mark Calcavecchia,99,14.55,241,1656
35,T35,T35,Kirk Triplett,101,14.55,254,1746
36,37,37,Jeff Sluman,113,14.61,292,1998
37,38,38,David Peoples,99,14.7,262,1782
38,39,39,Dan Forsman,88,14.71,233,1584
39,40,40,Paul Stankowski,77,14.76,194,1314
40,41,41,Nick Price,63,14.78,165,1116
41,42,42,Jean Van de Velde,70,14.84,179,1206
42,T43,T43,Greg Chalmers,96,14.86,246,1656
43,T43,T43,Chris DiMarco,118,14.86,305,2052
44,45,45,Fred Funk,110,14.88,292,1962
45,T46,T46,Robert Allenby,98,14.89,252,1692
46,T46,T46,Brent Geiberger,79,14.89,201,1350
47,48,48,Fred Couples,71,14.92,188,1260
48,49,49,Rocco Mediate,79,14.99,205,1368
49,50,50,Frank Lickliter II,107,15.08,285,1890
50,51,51,Vijay Singh,97,15.1,250,1656
51,T52,T52,Stephen Ames,99,15.15,259,1710
52,T52,T52,Brian Gay,101,15.15,270,1782
53,54,54,Tom Byrum,91,15.17,243,1602
54,55,55,David Toms,113,15.19,298,1962
55,T56,T56,Olin Browne,103,15.21,271,1782
56,T56,T56,Peter Jacobsen,65,15.21,178,1170
57,58,58,Grant Waite,85,15.23,233,1530
58,T59,T59,Russ Cochran,71,15.26,195,1278
59,T59,T59,Lee Janzen,92,15.26,250,1638
60,T59,T59,Franklin Langham,95,15.26,250,1638
61,62,62,Jonathan Kaye,115,15.28,308,2016
62,T63,T63,Scott Dunlap,106,15.3,292,1908
63,T63,T63,Larry Mize,71,15.3,190,1242
64,65,65,Pete Jordan,102,15.31,281,1836
65,66,66,Jesper Parnevik,71,15.36,188,1224
66,T67,T67,Davis Love III,98,15.4,255,1656
67,T67,T67,Tom Scherrer,104,15.4,280,1818
68,69,69,Shigeki Maruyama,88,15.42,236,1530
69,70,70,Steve Pate,97,15.46,256,1656
70,T71,T71,K.J. Choi,92,15.48,248,1602
71,T71,T71,Chris Riley,98,15.48,262,1692
72,T71,T71,Bob Tway,91,15.48,248,1602
73,74,74,Neal Lancaster,99,15.56,266,1710
74,75,75,Carl Paulson,105,15.59,289,1854
75,76,76,Rick Fehr,73,15.65,200,1278
76,T77,T77,Bob Estes,68,15.7,178,1134
77,T77,T77,Craig Parry,73,15.7,195,1242
78,79,79,Jay Williamson,105,15.74,289,1836
79,80,80,Tim Herron,96,15.78,267,1692
80,81,81,J.L. Lewis,104,15.8,290,1836
81,T82,T82,Andrew Magee,78,15.83,208,1314
82,T82,T82,Sean Murphy,102,15.83,285,1800
83,84,84,Duffy Waldorf,80,15.85,214,1350
84,85,85,Paul Goydos,99,15.86,277,1746
85,86,86,John Huston,81,15.9,229,1440
86,T87,T87,Craig Barlow,98,15.91,275,1728
87,T87,T87,Brad Faxon,98,15.91,275,1728
88,89,89,Glen Day,93,15.94,264,1656
89,90,90,Michael Bradley,73,15.98,210,1314
90,91,91,Joe Ogilvie,95,16.0,262,1638
91,92,92,Mike Sposa,73,16.06,211,1314
92,93,93,J.P. Hayes,91,16.1,258,1602
93,94,94,Skip Kendall,114,16.12,325,2016
94,T95,T95,Doug Barron,85,16.19,239,1476
95,T95,T95,Brandel Chamblee,72,16.19,204,1260
96,97,97,Mark Brooks,91,16.22,257,1584
97,98,98,Tommy Armour III,91,16.23,260,1602
98,99,99,Mathew Goggin,91,16.24,266,1638
99,100,100,Joe Ozaki,55,16.25,155,954
100,T101,T101,Brad Elder,110,16.26,322,1980
101,T101,T101,Frank Nobilo,98,16.26,278,1710
102,103,103,Harrison Frazar,72,16.27,205,1260
103,104,104,Shaun Micheel,94,16.3,267,1638
104,105,105,Mark Wiebe,95,16.43,272,1656
105,106,106,Tom Pernice Jr.,98,16.44,284,1728
106,107,107,David Sutherland,109,16.46,314,1908
107,108,108,Fulton Allem,77,16.52,223,1350
108,109,109,Ronnie Black,82,16.53,235,1422
109,110,110,Jeff Maggert,86,16.6,245,1476
110,T111,T111,Jay Don Blake,95,16.61,278,1674
111,T111,T111,Robin Freeman,98,16.61,293,1764
112,T113,T113,Notah Begay III,82,16.67,234,1404
113,T113,T113,Robert Damron,93,16.67,273,1638
114,T113,T113,Jim McGovern,55,16.67,159,954
115,T113,T113,"Dave Stockton, Jr.",89,16.67,261,1566
116,T113,T113,Brian Watts,89,16.67,264,1584
117,118,118,Jimmy Green,85,16.73,250,1494
118,119,119,Omar Uresti,94,16.78,284,1692
119,120,120,Michael Clark II,84,16.81,242,1440
120,121,121,Scott McCarron,100,16.84,297,1764
121,T122,T122,Cameron Beckman,81,16.87,246,1458
122,T122,T122,Craig Perks,82,16.87,249,1476
123,124,124,Robert Gamez,76,16.89,231,1368
124,125,125,Bob Friend,96,16.97,281,1656
125,126,126,John Maginnes,99,17.0,303,1782
126,127,127,Brett Quigley,63,17.02,193,1134
127,128,128,Scott Gump,108,17.04,322,1890
128,129,129,Edward Fryatt,101,17.07,298,1746
