,Par_5_Birdie_or_Better_Leaders_RANK THIS WEEK,Par_5_Birdie_or_Better_Leaders_RANK LAST WEEK,Par_5_Birdie_or_Better_Leaders_PLAYER NAME,Par_5_Birdie_or_Better_Leaders_ROUNDS,Par_5_Birdie_or_Better_Leaders_%,Par_5_Birdie_or_Better_Leaders_PAR 5 BIRDIES OR BETTER,Par_5_Birdie_or_Better_Leaders_PAR 5 HOLES
0,1,1,Tiger Woods,82,61.89,164,265
1,2,2,Phil Mickelson,85,53.73,144,268
2,3,3,Robert Allenby,98,53.49,161,301
3,T4,T4,David Duval,73,50.0,112,224
4,T4,T4,Davis Love III,98,50.0,155,310
5,T4,T4,Rory Sabbatini,85,50.0,149,298
6,7,7,Fred Couples,71,49.21,124,252
7,8,8,Vijay Singh,97,49.19,152,309
8,9,9,Sergio Garcia,59,48.04,86,179
9,10,10,Jesper Parnevik,71,47.93,104,217
10,11,11,Carl Paulson,105,47.8,174,364
11,12,12,Ernie Els,74,47.73,105,220
12,13,13,Greg Chalmers,96,47.3,149,315
13,14,14,Steve Lowery,107,47.08,169,359
14,15,15,Paul Stankowski,77,46.99,125,266
15,16,16,Scott McCarron,100,46.29,162,350
16,17,17,Grant Waite,85,45.87,139,303
17,18,18,Paul Azinger,73,45.61,109,239
18,19,19,Chris Riley,98,45.14,144,319
19,20,20,Kenny Perry,76,45.1,129,286
20,21,21,Bob May,95,44.92,137,305
21,22,22,Robert Gamez,76,44.91,119,265
22,23,23,Jerry Kelly,111,44.67,176,394
23,T24,T24,John Daly,71,44.53,110,247
24,T24,T24,Harrison Frazar,72,44.53,110,247
25,26,26,Barry Cheesman,96,44.31,144,325
26,27,27,Steve Flesch,123,44.26,185,418
27,28,28,Nick Price,63,44.12,90,204
28,29,29,Stuart Appleby,86,43.98,117,266
29,30,30,Mark Calcavecchia,99,43.95,138,314
30,31,31,Brad Faxon,98,43.94,156,355
31,32,32,Mike Weir,102,43.73,143,327
32,33,33,Stephen Ames,99,43.71,146,334
33,34,34,Shigeki Maruyama,88,43.62,123,282
34,35,35,Mathew Goggin,91,43.56,142,326
35,36,36,Carlos Franco,85,43.53,121,278
36,37,37,Hal Sutton,93,43.42,132,304
37,38,38,Brandel Chamblee,72,43.27,106,245
38,39,39,Jean Van de Velde,70,43.04,102,237
39,40,40,Skip Kendall,114,43.03,173,402
40,41,41,Doug Barron,85,42.91,121,282
41,42,42,J.L. Lewis,104,42.82,152,355
42,43,43,Kirk Triplett,101,42.68,134,314
43,44,44,David Peoples,99,42.61,147,345
44,45,45,Dennis Paulson,82,42.57,126,296
45,46,46,Tom Pernice Jr.,98,42.49,147,346
46,47,47,Glen Day,93,42.42,140,330
47,48,48,John Huston,81,42.35,108,255
48,49,49,Jimmy Green,85,42.32,124,293
49,50,50,Gabriel Hjertstedt,86,42.18,124,294
50,51,51,Jonathan Kaye,115,42.13,166,394
51,52,52,Peter Jacobsen,65,42.04,95,226
52,53,53,David Toms,113,42.02,158,376
53,54,54,Brandt Jobe,91,41.8,130,311
