,Par_4_Performance_RANK THIS WEEK,Par_4_Performance_RANK LAST WEEK,Par_4_Performance_PLAYER NAME,Par_4_Performance_ROUNDS,Par_4_Performance_STATUS,Par_4_Performance_PAR 4 AVG,Par_4_Performance_TOTAL PAR
0,1,1,Tiger Woods,82,-71,3.91,3240
1,2,2,Steve Flesch,123,-70,3.95,5128
2,3,3,Phil Mickelson,85,-35,3.96,3432
3,4,4,Davis Love III,98,-27,3.97,3936
4,5,5,Loren Roberts,87,-20,3.98,3784
5,6,6,Ernie Els,74,-19,3.97,2976
6,7,7,Scott Verplank,106,-18,3.98,4476
7,T8,T8,Mark Calcavecchia,99,-17,3.98,3912
8,T8,T8,David Toms,113,-17,3.99,4624
9,10,10,Justin Leonard,98,-16,3.98,3976
10,11,11,Joe Durant,94,-15,3.98,3932
11,12,12,Chris Perry,109,-13,3.99,4328
12,13,13,David Peoples,99,-12,3.99,4136
13,14,14,Chris DiMarco,118,-11,3.99,4788
14,T15,T15,David Duval,73,-9,3.99,2896
15,T15,T15,Kenny Perry,76,-9,3.99,3072
16,T17,T17,Paul Azinger,73,-8,3.99,3104
17,T17,T17,Kevin Sutherland,98,-8,3.99,3960
18,19,19,Steve Lowery,107,-7,3.99,4368
19,20,20,Scott Dunlap,106,-6,3.99,4504
20,21,21,Stuart Appleby,86,-5,3.99,3520
21,T22,T22,Greg Chalmers,96,-4,4.0,3888
22,T22,T22,Blaine McCallister,104,-4,4.0,4332
23,T22,T22,Vijay Singh,97,-4,4.0,3960
24,T25,T25,Stewart Cink,98,-2,4.0,4124
25,T25,T25,Nick Price,63,-2,4.0,2672
26,27,27,Grant Waite,85,-1,4.0,3512
27,T28,T28,Paul Stankowski,77,E,4.0,3016
28,T28,T28,Kirk Triplett,101,E,4.0,4200
29,30,30,Larry Mize,71,+1,4.0,2856
30,31,31,Mike Weir,102,+2,4.0,4108
31,32,32,Greg Kraft,106,+4,4.0,4424
32,33,33,Dudley Hart,74,+5,4.01,3048
33,T34,T34,Russ Cochran,71,+7,4.01,2912
34,T34,T34,John Huston,81,+7,4.01,3456
35,T36,T36,John Cook,90,+8,4.01,3692
36,T36,T36,Joel Edwards,99,+8,4.01,4148
37,T38,T38,Brent Geiberger,79,+9,4.01,3160
38,T38,T38,Bill Glasson,93,+9,4.01,3808
39,40,40,Hal Sutton,93,+11,4.01,3792
40,41,41,Scott Hoch,108,+12,4.01,4308
41,T42,T42,Franklin Langham,95,+13,4.01,3756
42,T42,T42,Bob May,95,+13,4.01,3888
43,T44,T44,Tom Byrum,91,+14,4.01,3784
44,T44,T44,Bob Estes,68,+14,4.02,2716
45,T44,T44,Jim Furyk,98,+14,4.01,4120
46,T44,T44,Sean Murphy,102,+14,4.01,4164
47,T48,T48,Paul Goydos,99,+17,4.02,4112
48,T48,T48,Andrew Magee,78,+17,4.02,2992
49,T48,T48,Jeff Maggert,86,+17,4.02,3472
50,51,51,Jonathan Kaye,115,+18,4.02,4688
51,T52,T52,Fred Couples,71,+21,4.03,2920
52,T52,T52,Jean Van de Velde,70,+21,4.03,2832
53,54,54,Tom Lehman,71,+22,4.03,3008
54,T55,T55,Billy Andrade,89,+23,4.03,3580
55,T55,T55,Lee Janzen,92,+23,4.02,3816
56,T57,T57,Brandel Chamblee,72,+24,4.03,2920
57,T57,T57,Jim McGovern,55,+24,4.04,2200
58,59,59,Len Mattiace,107,+25,4.02,4524
59,T60,T60,Tim Herron,96,+26,4.03,4040
60,T60,T60,Rocco Mediate,79,+26,4.03,3220
61,T60,T60,Duffy Waldorf,80,+26,4.03,3200
62,T63,T63,Brian Gay,101,+29,4.03,4096
63,T63,T63,Jesper Parnevik,71,+29,4.04,2984
64,T65,T65,Chris Riley,98,+30,4.03,3960
65,T65,T65,Jeff Sluman,113,+30,4.03,4688
66,67,67,Frank Lickliter II,107,+31,4.03,4376
67,T68,T68,Harrison Frazar,72,+32,4.04,2916
68,T68,T68,Skip Kendall,114,+32,4.03,4624
69,T68,T68,Craig Parry,73,+32,4.04,2968
70,71,71,J.P. Hayes,91,+33,4.04,3656
71,72,72,Pete Jordan,102,+34,4.03,4256
72,T73,T73,Glen Day,93,+35,4.04,3832
73,T73,T73,Rick Fehr,73,+35,4.05,2968
74,75,75,Dan Forsman,88,+36,4.04,3648
75,T76,T76,Tommy Armour III,91,+37,4.04,3720
76,T76,T76,Brad Faxon,98,+37,4.04,3952
77,T76,T76,Edward Fryatt,101,+37,4.04,4072
78,T76,T76,Peter Jacobsen,65,+37,4.05,2704
79,T76,T76,Mike Reid,76,+37,4.05,3076
80,T81,T81,Doug Barron,85,+38,4.04,3432
81,T81,T81,Glen Hnatiuk,94,+38,4.04,3752
