,Official_Money_RANK THIS WEEK,Official_Money_RANK LAST WEEK,Official_Money_PLAYER NAME,Official_Money_EVENTS,Official_Money_MONEY,Official_Money_YTD VICTORIES
0,1,1,Luke Donald,19,"$6,683,214",2.0
1,2,2,Webb Simpson,26,"$6,347,353",2.0
2,3,3,Nick Watney,22,"$5,290,673",2.0
3,4,4,K.J. Choi,22,"$4,434,691",1.0
4,5,5,Dustin Johnson,21,"$4,309,961",1.0
5,6,6,Matt Kuchar,24,"$4,233,920",
6,7,7,Bill Haas,26,"$4,088,637",1.0
7,8,8,Steve Stricker,19,"$3,992,785",2.0
8,9,9,Jason Day,21,"$3,962,647",
9,10,10,David Toms,23,"$3,858,090",1.0
10,11,11,Adam Scott,18,"$3,764,797",1.0
11,12,12,Phil Mickelson,21,"$3,763,488",1.0
12,13,13,Keegan Bradley,28,"$3,758,600",2.0
13,14,14,Brandt Snedeker,26,"$3,587,206",1.0
14,15,15,Hunter Mahan,25,"$3,503,540",
15,16,16,Bubba Watson,22,"$3,477,811",2.0
16,17,17,Gary Woodland,25,"$3,448,591",1.0
17,18,18,Justin Rose,23,"$3,401,420",1.0
18,19,19,Mark Wilson,26,"$3,158,477",2.0
19,20,20,Aaron Baddeley,22,"$3,094,693",1.0
20,21,21,Jason Dufner,23,"$3,057,860",
21,22,22,Jonathan Byrd,26,"$2,938,920",1.0
22,23,23,Martin Laird,23,"$2,676,509",1.0
23,24,24,Charl Schwartzel,15,"$2,604,558",1.0
24,25,25,Charles Howell III,30,"$2,509,223",
25,26,26,Freddie Jacobson,25,"$2,488,325",1.0
26,27,27,Rory Sabbatini,24,"$2,420,655",1.0
27,28,28,Vijay Singh,25,"$2,371,050",
28,29,29,Bo Van Pelt,27,"$2,344,546",
29,30,30,Kevin Na,26,"$2,336,965",1.0
30,31,31,Spencer Levin,31,"$2,320,038",
31,32,32,Y.E. Yang,18,"$2,314,865",
32,33,33,John Senden,26,"$2,294,811",
33,34,34,Chez Reavie,27,"$2,285,067",
34,35,35,Tommy Gainey,34,"$2,174,191",
35,36,36,Rickie Fowler,24,"$2,084,681",
36,37,37,D.A. Points,26,"$2,034,156",1.0
37,38,38,Brendan Steele,27,"$1,976,310",1.0
38,39,39,Steve Marino,23,"$1,975,076",
39,40,40,Bryce Molder,27,"$1,957,944",1.0
40,41,41,Scott Stallings,28,"$1,957,162",1.0
41,42,42,Ryan Moore,22,"$1,942,906",
42,43,43,Geoff Ogilvy,21,"$1,916,994",
43,44,44,Zach Johnson,23,"$1,880,406",
44,45,45,Chris Kirk,28,"$1,877,627",1.0
45,46,46,Jhonattan Vegas,25,"$1,854,414",1.0
46,47,47,Ryan Palmer,24,"$1,850,530",
47,48,48,Lucas Glover,23,"$1,823,327",1.0
48,49,49,Robert Karlsson,18,"$1,779,815",
49,50,50,Ben Crane,23,"$1,679,595",1.0
50,51,51,Brandt Jobe,28,"$1,629,764",
51,52,52,Carl Pettersson,27,"$1,540,723",
52,53,53,Jim Furyk,26,"$1,529,690",
53,54,54,Sergio Garcia,16,"$1,524,091",
54,55,55,Kyle Stanley,28,"$1,523,657",
55,56,56,Robert Garrigus,26,"$1,503,923",
56,57,57,Sean O'Hair,24,"$1,483,948",1.0
