,Money_per_Event_Leaders_RANK THIS WEEK,Money_per_Event_Leaders_RANK LAST WEEK,Money_per_Event_Leaders_PLAYER NAME,Money_per_Event_Leaders_EVENTS,Money_per_Event_Leaders_MONEY PER EVENT,Money_per_Event_Leaders_TOTAL MONEY
0,1,1,Darren Clarke,3,"$484,026","$1,452,078"
1,2,2,Luke Donald,19,"$351,748","$6,683,214"
2,3,3,John Cook,1,"$251,600","$251,600"
3,4,4,Webb Simpson,26,"$244,128","$6,347,353"
4,5,5,Nick Watney,22,"$240,485","$5,290,673"
5,6,6,Steve Stricker,19,"$210,146","$3,992,784"
6,7,7,Adam Scott,18,"$209,155","$3,764,796"
7,8,8,Dustin Johnson,21,"$205,236","$4,309,961"
8,9,9,K.J. Choi,22,"$201,576","$4,434,690"
9,10,10,Rory McIlroy,10,"$190,560","$1,905,609"
10,11,11,Jason Day,21,"$188,697","$3,962,646"
11,12,12,Phil Mickelson,21,"$179,213","$3,763,488"
12,13,13,Matt Kuchar,24,"$176,413","$4,233,919"
13,14,14,Charl Schwartzel,15,"$173,637","$2,604,558"
14,15,15,David Toms,23,"$167,743","$3,858,089"
15,16,16,Bubba Watson,22,"$158,082","$3,477,810"
16,17,17,Bill Haas,26,"$157,255","$4,088,636"
17,18,18,Justin Rose,23,"$147,887","$3,401,419"
18,19,19,Tim Clark,4,"$142,750","$571,000"
19,20,20,Aaron Baddeley,22,"$140,667","$3,094,692"
20,21,21,Hunter Mahan,25,"$140,141","$3,503,539"
21,22,22,Brandt Snedeker,26,"$137,969","$3,587,205"
22,23,23,Gary Woodland,25,"$137,943","$3,448,590"
23,24,24,Keegan Bradley,28,"$134,235","$3,758,599"
24,25,25,Jason Dufner,23,"$132,950","$3,057,859"
25,26,26,Y.E. Yang,18,"$128,603","$2,314,864"
26,27,27,Mark Wilson,26,"$121,479","$3,158,476"
27,28,28,Martin Laird,23,"$116,369","$2,676,508"
28,29,29,Jonathan Byrd,26,"$113,035","$2,938,920"
29,30,30,George Coetzee,1,"$109,712","$109,712"
30,31,31,Raphael Jacquelin,2,"$104,872","$209,744"
31,32,32,Rory Sabbatini,24,"$100,860","$2,420,655"
32,33,33,Freddie Jacobson,25,"$99,532","$2,488,324"
33,34,34,Robert Karlsson,18,"$98,878","$1,779,815"
34,35,35,Lee Westwood,10,"$97,044","$970,445"
35,36,36,Sergio Garcia,16,"$95,255","$1,524,091"
36,37,37,Vijay Singh,25,"$94,841","$2,371,049"
37,38,38,Bud Cauley,8,"$91,893","$735,149"
38,39,39,Geoff Ogilvy,21,"$91,285","$1,916,994"
39,40,40,Kevin Na,26,"$89,883","$2,336,965"
40,41,41,Shigeki Maruyama,2,"$88,687","$177,375"
41,42,42,Ryan Moore,22,"$88,313","$1,942,906"
