,Total_Money_Official_and_Unofficial_RANK THIS WEEK,Total_Money_Official_and_Unofficial_RANK LAST WEEK,Total_Money_Official_and_Unofficial_PLAYER NAME,Total_Money_Official_and_Unofficial_EVENTS,Total_Money_Official_and_Unofficial_MONEY
0,1,1,Luke Donald,19,"$6,683,214"
1,2,2,Webb Simpson,29,"$6,579,853"
2,3,3,Matt Kuchar,28,"$5,846,420"
3,4,4,Nick Watney,25,"$5,482,673"
4,5,5,Gary Woodland,29,"$4,967,757"
5,6,6,Keegan Bradley,32,"$4,957,933"
6,7,7,K.J. Choi,25,"$4,684,024"
7,8,8,Bill Haas,30,"$4,347,137"
8,9,9,Dustin Johnson,22,"$4,309,961"
9,10,10,Steve Stricker,22,"$4,245,285"
10,11,11,Justin Rose,26,"$4,148,920"
11,12,12,Jason Day,23,"$4,117,647"
12,13,13,Bo Van Pelt,31,"$4,013,921"
13,14,14,Adam Scott,21,"$3,984,797"
14,15,15,David Toms,26,"$3,972,090"
15,16,16,Hunter Mahan,28,"$3,921,040"
16,17,17,Phil Mickelson,22,"$3,763,488"
17,18,18,Brandt Snedeker,28,"$3,732,206"
18,19,19,Bubba Watson,24,"$3,674,061"
19,20,20,Freddie Jacobson,27,"$3,583,325"
20,21,21,Mark Wilson,28,"$3,458,977"
21,22,22,Jason Dufner,25,"$3,239,526"
22,23,23,Charl Schwartzel,19,"$3,210,892"
23,24,24,Aaron Baddeley,24,"$3,157,193"
24,25,25,Jonathan Byrd,29,"$3,152,087"
25,26,26,Martin Kaymer,12,"$3,052,459"
26,27,27,Martin Laird,25,"$3,039,009"
27,28,28,Rory McIlroy,13,"$3,019,193"
28,29,29,Zach Johnson,26,"$2,823,406"
29,30,30,Rory Sabbatini,27,"$2,723,655"
30,31,31,Charles Howell III,31,"$2,611,723"
31,32,32,Vijay Singh,26,"$2,546,050"
32,33,33,John Senden,28,"$2,544,811"
33,34,34,Brendan Steele,29,"$2,396,810"
34,35,35,Spencer Levin,32,"$2,388,038"
35,36,36,Chez Reavie,29,"$2,370,567"
36,37,37,Rickie Fowler,26,"$2,362,806"
37,38,38,Kevin Na,26,"$2,336,965"
38,39,39,Y.E. Yang,19,"$2,314,865"
39,40,40,Jhonattan Vegas,29,"$2,284,914"
40,41,41,Tommy Gainey,35,"$2,242,191"
41,42,42,Scott Stallings,31,"$2,138,037"
42,43,43,D.A. Points,28,"$2,117,406"
43,44,44,Ryan Palmer,25,"$2,025,530"
44,45,45,Steve Marino,23,"$1,975,076"
45,46,46,Chris Kirk,29,"$1,962,627"
46,47,47,Bryce Molder,27,"$1,957,944"
47,48,48,Geoff Ogilvy,23,"$1,952,494"
48,49,49,Lucas Glover,25,"$1,943,827"
49,50,50,Ryan Moore,23,"$1,942,906"
50,51,51,Tiger Woods,12,"$1,940,238"
51,52,52,Robert Karlsson,20,"$1,843,315"
52,53,53,Jeff Overton,27,"$1,840,962"
53,54,54,Jerry Kelly,29,"$1,803,964"
54,55,55,Darren Clarke,6,"$1,798,828"
55,56,56,Ben Crane,25,"$1,794,095"
56,57,57,Graeme McDowell,19,"$1,785,148"
57,58,58,Jim Furyk,29,"$1,758,440"
58,59,59,Robert Allenby,28,"$1,697,567"
59,60,60,Camilo Villegas,29,"$1,688,293"
60,61,61,Brandt Jobe,28,"$1,629,764"
61,62,62,Sean O'Hair,26,"$1,618,948"
