,Money_Leaders_-_Fall_Series_RANK THIS WEEK,Money_Leaders_-_Fall_Series_RANK LAST WEEK,Money_Leaders_-_Fall_Series_PLAYER NAME,Money_Leaders_-_Fall_Series_EVENTS,Money_Leaders_-_Fall_Series_MONEY
0,1,1,Bryce Molder,27,"$1,085,533"
1,2,2,Kevin Na,26,"$869,500"
2,3,3,Luke Donald,19,"$846,000"
3,4,4,Ben Crane,23,"$817,533"
4,5,5,Webb Simpson,26,"$579,110"
5,6,6,Briny Baird,19,"$575,629"
6,7,7,Justin Leonard,26,"$518,400"
7,8,8,Nick Watney,22,"$475,200"
8,9,9,Bud Cauley,8,"$404,000"
9,10,10,Trevor Immelman,25,"$385,330"
10,11,11,David Hearn,26,"$339,683"
11,12,12,John Rollins,27,"$327,110"
12,13,13,Sung Kang,21,"$321,900"
13,14,14,Spencer Levin,31,"$319,149"
14,15,15,Nick O'Hern,29,"$310,370"
15,16,16,Michael Thompson,25,"$303,401"
16,17,17,Kris Blanks,29,"$303,033"
17,18,18,Paul Goydos,25,"$274,212"
18,19,19,Tom Pernice Jr.,12,"$267,441"
19,20,20,Kevin Chappell,26,"$259,819"
20,21,21,Tommy Gainey,34,"$255,200"
21,22,22,Billy Mayfair,29,"$242,085"
22,23,23,Billy Horschel,25,"$235,371"
23,24,24,Shane Bertsch,20,"$230,053"
24,25,25,Ernie Els,21,"$220,000"
25,26,26,Louis Oosthuizen,15,"$202,800"
26,27,27,Carl Pettersson,27,"$192,493"
27,28,28,Brendan Steele,27,"$192,038"
28,29,29,Tim Herron,28,"$187,136"
29,30,30,Kevin Streelman,26,"$186,925"
30,31,31,Josh Teater,31,"$159,503"
31,32,32,Matt McQuillan,21,"$159,312"
32,33,33,Kevin Kisner,24,"$152,775"
33,34,34,David Mathis,25,"$151,652"
34,35,35,Jhonattan Vegas,25,"$149,160"
35,36,36,Jeff Overton,26,"$145,410"
36,37,37,Derek Lamely,26,"$138,574"
37,38,38,Adam Hadwin,5,"$138,312"
38,39,39,Ángel Cabrera,17,"$137,375"
39,40,40,Scott McCarron,22,"$134,088"
40,41,41,Charlie Wi,25,"$131,522"
41,42,42,Paul Casey,15,"$130,312"
42,43,43,Heath Slocum,29,"$127,498"
43,44,44,Steven Bowditch,28,"$122,260"
44,45,45,Scott Piercy,23,"$117,133"
45,46,46,Henrik Stenson,15,"$114,641"
46,47,47,Hunter Haas,30,"$113,620"
47,48,48,Roland Thatcher,22,"$111,567"
48,49,49,Garrett Willis,24,"$109,120"
49,50,50,Kyle Stanley,28,"$106,613"
50,51,51,James Driscoll,24,"$104,975"
51,52,52,William McGirt,32,"$104,972"
52,53,53,Michael Bradley,24,"$101,005"
53,54,54,D.J. Trahan,30,"$100,569"
54,55,55,Greg Chalmers,28,"$95,285"
55,56,56,Gary Woodland,25,"$95,175"
56,57,57,Paul Stankowski,24,"$94,913"
57,58,58,Andres Gonzales,21,"$91,330"
58,59,59,Jim Furyk,26,"$88,000"
59,60,60,Nathan Green,26,"$81,891"
60,T61,T61,Will MacKenzie,14,"$77,500"
61,T61,T61,Chris Stroud,28,"$77,500"
62,63,63,Alexandre Rocha,22,"$76,411"
63,64,64,Robert Garrigus,26,"$69,805"
64,65,65,Bobby Gates,29,"$68,488"
65,66,66,Ben Martin,25,"$66,921"
66,67,67,Cameron Tringale,32,"$66,902"
67,T68,T68,Lucas Glover,23,"$64,000"
68,T68,T68,Sean O'Hair,24,"$64,000"
69,70,70,Rod Pampling,21,"$62,720"
70,71,71,Arjun Atwal,29,"$59,848"
71,72,72,Scott Gutschewski,23,"$57,611"
72,73,73,Stephen Ames,22,"$57,526"
73,74,74,Bio Kim,25,"$57,464"
74,75,75,Jerry Kelly,26,"$54,112"
75,76,76,Blake Adams,34,"$50,769"
76,77,77,Cameron Percy,12,"$50,760"
77,78,78,Chad Campbell,29,"$50,235"
