,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
0,1,1,John Cook,1,37.78,"$251,600","$666,000"
1,2,2,Darren Clarke,3,34.71,"$1,491,328","$4,297,078"
2,3,3,Luke Donald,19,27.04,"$6,683,214","$24,719,078"
3,4,4,Webb Simpson,26,20.99,"$6,347,353","$30,239,078"
4,5,5,Nick Watney,22,18.77,"$5,290,673","$28,193,078"
5,6,6,Rory McIlroy,10,17.64,"$2,344,609","$13,289,078"
6,7,7,Steve Stricker,19,16.06,"$3,992,784","$24,867,078"
7,8,8,Adam Scott,18,15.73,"$3,764,796","$23,931,078"
8,9,9,Dustin Johnson,21,15.64,"$4,309,961","$27,549,078"
9,10,10,K.J. Choi,22,15.61,"$4,434,690","$28,409,078"
10,11,11,Jason Day,21,14.73,"$3,962,646","$26,901,078"
11,12,12,David Toms,23,14.26,"$3,858,089","$27,055,000"
12,13,13,Matt Kuchar,24,14.21,"$4,233,919","$29,799,078"
13,14,14,Phil Mickelson,21,13.73,"$3,763,488","$27,401,078"
14,15,15,Charl Schwartzel,15,13.16,"$2,604,558","$19,787,078"
15,16,16,Bill Haas,26,12.62,"$4,088,636","$32,409,078"
16,17,17,Bubba Watson,22,12.44,"$3,477,810","$27,967,078"
17,18,18,Anders Hansen,7,12.39,"$1,195,566","$9,653,078"
18,T19,T19,Keegan Bradley,28,11.63,"$3,758,599","$32,311,000"
19,T19,T19,Justin Rose,23,11.63,"$3,401,419","$29,241,078"
20,21,21,Brandt Snedeker,26,11.48,"$3,587,205","$31,243,078"
21,22,22,Gary Woodland,25,11.32,"$3,448,590","$30,469,078"
22,23,23,Aaron Baddeley,22,11.25,"$3,094,692","$27,513,078"
23,24,24,Jason Dufner,23,11.11,"$3,057,859","$27,521,078"
24,25,25,Hunter Mahan,25,11.06,"$3,503,539","$31,689,078"
25,26,26,Tim Clark,4,10.86,"$571,000","$5,260,000"
26,27,27,Bud Cauley,8,10.21,"$735,149","$7,200,000"
27,28,28,Lee Westwood,10,10.0,"$1,306,945","$13,073,078"
28,29,29,Mark Wilson,26,9.91,"$3,158,476","$31,883,078"
29,30,30,Y.E. Yang,18,9.7,"$2,314,864","$23,855,078"
30,31,31,Martin Kaymer,10,9.68,"$1,339,958","$13,847,078"
31,32,32,Martin Laird,23,9.33,"$2,676,508","$28,679,078"
32,33,33,Jonathan Byrd,26,9.28,"$2,938,920","$31,671,078"
33,34,34,Thomas Bjørn,5,8.83,"$626,739","$7,097,078"
34,35,35,Shigeki Maruyama,2,8.72,"$177,375","$2,034,000"
35,36,36,Adam Hadwin,5,8.68,"$440,752","$5,076,000"
36,37,37,Freddie Jacobson,25,8.47,"$2,488,324","$29,389,078"
37,38,38,Rory Sabbatini,24,8.31,"$2,420,655","$29,133,078"
38,39,39,Vijay Singh,25,7.94,"$2,371,049","$29,863,000"
39,T40,T40,Kevin Na,26,7.8,"$2,336,965","$29,965,078"
40,T40,T40,Chez Reavie,27,7.8,"$2,285,066","$29,304,000"
41,42,42,Mathias Grönberg,1,7.78,"$42,000","$540,000"
42,43,43,John Senden,26,7.61,"$2,294,811","$30,137,000"
43,44,44,George Coetzee,1,7.56,"$109,712","$1,452,078"
44,45,45,Robert Karlsson,18,7.52,"$1,779,815","$23,675,078"
45,46,46,Charles Howell III,30,7.45,"$2,509,223","$33,659,078"
46,47,47,Sergio Garcia,16,7.32,"$1,524,091","$20,821,078"
47,48,48,Steve Marino,23,7.3,"$1,975,076","$27,071,078"
