,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
0,1,1,John Cook,1,6.8,"$251,600","$3,700,000"
1,2,2,Darren Clarke,3,6.27,"$1,491,328","$23,800,000"
2,3,3,Luke Donald,19,4.85,"$6,683,213","$137,700,000"
3,4,4,Webb Simpson,26,3.81,"$6,347,351","$166,700,000"
4,5,5,Nick Watney,22,3.37,"$5,290,672","$157,000,000"
5,6,6,Rory McIlroy,10,3.16,"$2,344,609","$74,200,000"
6,7,7,Steve Stricker,19,2.9,"$3,992,783","$137,900,000"
7,8,8,Adam Scott,18,2.84,"$3,764,796","$132,700,000"
8,9,9,Dustin Johnson,21,2.82,"$4,309,960","$152,800,000"
9,10,10,K.J. Choi,22,2.8,"$4,434,689","$158,200,000"
10,11,11,Jason Day,21,2.66,"$3,962,645","$149,200,000"
11,12,12,David Toms,23,2.57,"$3,858,088","$150,000,000"
12,13,13,Matt Kuchar,24,2.56,"$4,233,917","$165,300,000"
13,14,14,Phil Mickelson,21,2.47,"$3,763,485","$152,600,000"
14,15,15,Charl Schwartzel,15,2.36,"$2,604,556","$110,300,000"
15,16,16,Bill Haas,26,2.27,"$4,088,634","$179,800,000"
16,17,17,Bubba Watson,22,2.25,"$3,477,808","$154,400,000"
17,18,18,Anders Hansen,7,2.19,"$1,195,566","$54,500,000"
18,19,19,Justin Rose,23,2.1,"$3,401,419","$162,200,000"
19,20,20,Keegan Bradley,28,2.09,"$3,758,598","$180,200,000"
20,21,21,Brandt Snedeker,26,2.08,"$3,587,204","$172,500,000"
21,22,22,Gary Woodland,25,2.05,"$3,448,587","$168,200,000"
22,T23,T23,Aaron Baddeley,22,2.03,"$3,094,691","$152,500,000"
23,T23,T23,Tim Clark,4,2.03,"$571,000","$28,100,000"
24,25,25,Jason Dufner,23,2.02,"$3,057,858","$151,600,000"
25,26,26,Hunter Mahan,25,1.99,"$3,503,538","$175,800,000"
