,Top_10_Finishes_RANK THIS WEEK,Top_10_Finishes_RANK LAST WEEK,Top_10_Finishes_PLAYER NAME,Top_10_Finishes_EVENTS,Top_10_Finishes_TOP 10,Top_10_Finishes_1ST,Top_10_Finishes_2ND,Top_10_Finishes_3RD
0,1,1,Luke Donald,19,14,2.0,2.0,2.0
1,2,2,Webb Simpson,26,12,2.0,3.0,
2,T3,T3,Jason Day,21,10,,2.0,1.0
3,T3,T3,Nick Watney,22,10,2.0,1.0,
4,T5,T5,Matt Kuchar,24,9,,2.0,1.0
5,T5,T5,Hunter Mahan,25,9,,2.0,
6,7,7,K.J. Choi,22,8,1.0,1.0,2.0
7,T8,T8,Tommy Gainey,34,7,,,4.0
8,T8,T8,Bill Haas,26,7,1.0,2.0,
9,T8,T8,Charles Howell III,30,7,,,2.0
10,T8,T8,Phil Mickelson,21,7,1.0,2.0,
11,T8,T8,Adam Scott,18,7,1.0,1.0,1.0
12,T8,T8,Brandt Snedeker,26,7,1.0,,2.0
13,T8,T8,David Toms,23,7,1.0,1.0,1.0
14,T15,T15,Jason Dufner,23,6,,2.0,1.0
15,T15,T15,Dustin Johnson,21,6,1.0,2.0,1.0
16,T15,T15,Martin Laird,23,6,1.0,,1.0
17,T15,T15,Spencer Levin,31,6,,1.0,
18,T15,T15,Bryce Molder,27,6,1.0,,
19,T15,T15,Kevin Na,26,6,1.0,,1.0
20,T15,T15,Gary Woodland,25,6,1.0,1.0,
21,T22,T22,Aaron Baddeley,22,5,1.0,,1.0
22,T22,T22,Jonathan Byrd,26,5,1.0,1.0,
23,T22,T22,Carl Pettersson,27,5,,,
24,T22,T22,Chez Reavie,27,5,,1.0,
25,T22,T22,Justin Rose,23,5,1.0,,1.0
26,T22,T22,Vijay Singh,25,5,,1.0,2.0
27,T22,T22,Steve Stricker,19,5,2.0,,
28,T22,T22,Bo Van Pelt,27,5,,,1.0
29,T22,T22,Y.E. Yang,18,5,,1.0,1.0
30,T31,T31,Blake Adams,34,4,,,1.0
31,T31,T31,Keegan Bradley,28,4,2.0,,
32,T31,T31,Ben Crane,23,4,1.0,,
33,T31,T31,Rickie Fowler,24,4,,1.0,
34,T31,T31,Jim Furyk,26,4,,,
35,T31,T31,Paul Goydos,25,4,,,2.0
36,T31,T31,Hunter Haas,30,4,,,1.0
37,T31,T31,J.B. Holmes,16,4,,,
38,T31,T31,Brandt Jobe,28,4,,1.0,
39,T31,T31,Zach Johnson,23,4,,,1.0
40,T31,T31,Jerry Kelly,26,4,,,1.0
41,T31,T31,Chris Kirk,28,4,1.0,1.0,
42,T31,T31,Rory McIlroy,10,4,1.0,,
43,T31,T31,George McNeill,21,4,,2.0,
44,T31,T31,Ryan Moore,22,4,,1.0,
45,T31,T31,Nick O'Hern,29,4,,,
46,T31,T31,Geoff Ogilvy,21,4,,,1.0
47,T31,T31,Jeff Overton,26,4,,,1.0
48,T31,T31,Pat Perez,24,4,,1.0,
49,T31,T31,John Rollins,27,4,,1.0,
50,T31,T31,Andres Romero,22,4,,,1.0
51,T31,T31,Kyle Stanley,28,4,,1.0,
52,T31,T31,Kevin Streelman,26,4,,,
53,T31,T31,Cameron Tringale,32,4,,,
54,T31,T31,Camilo Villegas,25,4,,,1.0
55,T31,T31,Jimmy Walker,24,4,,,
56,T31,T31,Mark Wilson,26,4,2.0,,
57,T58,T58,Robert Allenby,25,3,,,
58,T58,T58,Briny Baird,19,3,,1.0,
59,T58,T58,Kris Blanks,29,3,,1.0,
60,T58,T58,Ángel Cabrera,17,3,,,
61,T58,T58,Kevin Chappell,26,3,,1.0,2.0
62,T58,T58,Chris Couch,21,3,,,
63,T58,T58,Brendon de Jonge,30,3,,,
64,T58,T58,Sergio Garcia,16,3,,,
65,T58,T58,Robert Garrigus,26,3,,1.0,1.0
66,T58,T58,Bobby Gates,29,3,,,
67,T58,T58,Brian Gay,26,3,,,
68,T58,T58,Padraig Harrington,18,3,,,
69,T58,T58,David Hearn,26,3,,,
70,T58,T58,Tim Herron,28,3,,,1.0
71,T58,T58,Freddie Jacobson,25,3,1.0,,
