,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
0,1,1,Bubba Watson,68,309.2,222007,718
1,2,2,Dustin Johnson,70,301.8,223605,741
2,3,3,J.B. Holmes,90,300.6,328211,1092
3,4,4,Rory McIlroy,60,298.6,167224,560
4,5,5,Charlie Beljan,61,296.8,178085,600
5,6,6,Robert Garrigus,89,296.7,305583,1030
6,T7,T7,John Daly,50,295.9,156220,528
7,T7,T7,Gary Woodland,70,295.9,219592,742
8,9,9,Adam Scott,59,295.3,169504,574
9,10,10,Scott Piercy,95,295.0,354865,1203
10,11,11,Kyle Stanley,86,294.5,288320,979
11,12,12,Keegan Bradley,90,294.3,293671,998
12,13,13,Martin Laird,77,293.5,221853,756
13,14,14,Ryan Palmer,81,293.3,291204,993
14,15,15,Scott Stallings,78,293.1,279605,954
15,16,16,Jason Day,57,292.7,191419,654
16,17,17,Josh Teater,97,292.4,338649,1158
17,18,18,Harrison Frazar,56,292.1,197135,675
18,19,19,Jhonattan Vegas,77,291.7,282058,967
19,20,20,Louis Oosthuizen,65,291.3,198695,682
20,21,21,Troy Matteson,100,291.0,336723,1157
21,22,22,Edward Loar,59,290.8,175064,602
22,23,23,Sean O'Hair,84,290.7,309859,1066
23,24,24,Seung-Yul Noh,105,290.0,344220,1187
24,T25,T25,Graham DeLaet,79,289.7,287382,992
25,T25,T25,Troy Kelly,68,289.7,206278,712
26,27,27,Ángel Cabrera,54,289.4,149309,516
27,T28,T28,Jason Kokrak,79,289.2,278538,963
28,T28,T28,Lee Westwood,60,289.2,161974,560
29,T30,T30,Aaron Baddeley,73,288.7,223442,774
30,T30,T30,Bill Haas,79,288.7,247167,856
31,T32,T32,Martin Flores,95,288.6,330767,1146
32,T32,T32,Nick Watney,97,288.6,307048,1064
33,T34,T34,Harris English,98,288.5,350276,1214
34,T34,T34,Phil Mickelson,79,288.5,241793,838
35,36,36,Carl Pettersson,92,288.2,321593,1116
36,T37,T37,Bobby Gates,87,287.8,305026,1060
37,T37,T37,Bo Van Pelt,84,287.8,260134,904
38,T37,T37,Tiger Woods,69,287.8,193376,672
39,40,40,Boo Weekley,74,287.7,233067,810
40,41,41,Charles Howell III,98,287.6,309424,1076
41,42,42,Charley Hoffman,88,287.5,304440,1059
42,43,43,Vijay Singh,99,287.4,324802,1130
43,44,44,Rickie Fowler,84,287.3,265482,924
44,45,45,Erik Compton,81,287.0,256580,894
45,46,46,Tommy Gainey,98,286.9,360666,1257
46,47,47,Davis Love III,64,286.8,208761,728
47,T48,T48,Daniel Chopra,55,286.7,172616,602
48,T48,T48,John Rollins,81,286.7,283786,990
49,50,50,Jeff Overton,101,286.6,367458,1282
50,51,51,Mark Anderson,75,286.3,244519,854
51,T52,T52,Chris Couch,61,286.1,214893,751
52,T52,T52,Jason Dufner,83,286.1,254602,890
53,T54,T54,Robert Karlsson,54,286.0,164142,574
54,T54,T54,John Senden,81,286.0,246524,862
55,56,56,Kevin Chappell,91,285.9,286498,1002
56,57,57,Webb Simpson,77,285.8,264050,924
57,58,58,Ernie Els,80,285.7,258803,906
58,T59,T59,Andres Romero,68,285.5,214672,752
59,T59,T59,Charl Schwartzel,56,285.5,159318,558
60,T61,T61,Jonathan Byrd,69,285.4,223755,784
61,T61,T61,Bud Cauley,99,285.4,361867,1268
62,63,63,Sergio Garcia,57,285.3,174611,612
63,64,64,Greg Owen,90,285.2,306257,1074
64,T65,T65,Matt Jones,53,285.1,175042,614
65,T65,T65,Bill Lunde,83,285.1,266022,933
66,T65,T65,Garth Mulroy,59,285.1,183615,644
67,T65,T65,Steve Stricker,73,285.1,216658,760
68,T69,T69,Scott Brown,65,284.9,202571,711
69,T69,T69,Rory Sabbatini,84,284.9,286586,1006
70,71,71,Hunter Mahan,88,284.8,255152,896
71,T72,T72,Ryo Ishikawa,54,284.7,146918,516
72,T72,T72,Jimmy Walker,101,284.7,360999,1268
73,74,74,Brian Harman,101,284.6,349522,1228
74,75,75,Billy Horschel,63,284.1,190889,672
75,76,76,Chris Kirk,93,284.0,338544,1192
76,T77,T77,Roberto Castro,92,283.7,297311,1048
77,T77,T77,John Merrick,83,283.7,285085,1005
78,T77,T77,D.J. Trahan,73,283.7,245363,865
79,T77,T77,Camilo Villegas,79,283.7,288767,1018
80,T81,T81,Kevin Kisner,69,283.6,209870,740
81,T81,T81,Kevin Stadler,85,283.6,277936,980
82,T81,T81,Kevin Streelman,89,283.6,304342,1073
83,84,84,Will Claxton,99,283.5,340229,1200
84,85,85,Danny Lee,74,283.4,233548,824
85,86,86,Justin Rose,69,283.3,209085,738
86,T87,T87,Freddie Jacobson,61,283.2,174448,616
87,T87,T87,Pat Perez,81,283.2,271850,960
88,T89,T89,Stephen Gangluff,57,283.1,170156,601
89,T89,T89,Mathew Goggin,65,283.1,217705,769
90,T91,T91,Ben Crane,73,283.0,246231,870
91,T91,T91,J.J. Killeen,101,283.0,331924,1173
92,T91,T91,Geoff Ogilvy,73,283.0,216740,766
93,T91,T91,Daniel Summerhays,81,283.0,269408,952
94,T91,T91,Roland Thatcher,55,283.0,174322,616
95,T91,T91,Cameron Tringale,88,283.0,303373,1072
96,97,97,Sangmoon Bae,81,282.7,223915,792
97,T98,T98,Miguel Angel Carballo,73,282.6,224930,796
98,T98,T98,Brandt Jobe,57,282.6,177782,629
99,T98,T98,Brendan Steele,77,282.6,253788,898
100,101,101,Marc Leishman,84,282.2,299104,1060
101,102,102,Kyle Reifers,86,281.7,290184,1030
102,103,103,Tim Herron,88,281.6,298821,1061
103,T104,T104,Stewart Cink,71,281.5,211685,752
104,T104,T104,Henrik Stenson,51,281.5,165535,588
105,106,106,Tom Gillis,75,281.4,270409,961
106,T107,T107,Jonas Blixt,72,281.3,251722,895
107,T107,T107,Steve Wheatcroft,56,281.3,165422,588
108,T109,T109,James Driscoll,83,281.2,273656,973
109,T109,T109,Padraig Harrington,67,281.2,176046,626
110,T111,T111,Tommy Biershenk,74,281.0,227632,810
111,T111,T111,Chad Campbell,84,281.0,286374,1019
112,T111,T111,Matt Every,80,281.0,251247,894
113,T111,T111,John Huh,99,281.0,333835,1188
114,T115,T115,Jeff Maggert,83,280.9,305590,1088
115,T115,T115,Rod Pampling,88,280.9,270493,963
116,T115,T115,Ian Poulter,57,280.9,149425,532
117,T118,T118,Brandt Snedeker,81,280.8,253863,904
118,T118,T118,Johnson Wagner,88,280.8,299316,1066
119,120,120,Derek Lamely,64,280.6,219158,781
120,121,121,Blake Adams,107,280.5,344485,1228
121,T122,T122,Billy Mayfair,90,280.4,305354,1089
122,T122,T122,D.A. Points,88,280.4,314039,1120
123,124,124,K.J. Choi,71,280.2,219697,784
124,125,125,Brendon de Jonge,115,280.1,398913,1424
125,T126,T126,Matt Bettencourt,80,280.0,234328,837
126,T126,T126,Hunter Haas,69,280.0,203544,727
127,T126,T126,Matt Kuchar,86,280.0,257023,918
128,T126,T126,Graeme McDowell,55,280.0,148963,532
129,T126,T126,Ryan Moore,89,280.0,316389,1130
130,131,131,Robert Allenby,76,279.9,257503,920
131,132,132,Ricky Barnes,92,279.7,320564,1146
132,T133,T133,Marco Dawson,60,279.6,179534,642
133,T133,T133,Trevor Immelman,76,279.6,222855,797
134,T135,T135,Spencer Levin,81,279.4,257606,922
135,T135,T135,Vaughn Taylor,81,279.4,250087,895
136,137,137,George McNeill,85,279.2,275819,988
137,138,138,J.J. Henry,93,279.1,276030,989
138,139,139,David Hearn,95,279.0,342883,1229
139,140,140,Y.E. Yang,64,278.8,187387,672
140,T141,T141,Richard Lee,71,278.6,222053,797
141,T141,T141,William McGirt,96,278.6,306440,1100
142,143,143,"Ted Potter, Jr.",77,278.5,237268,852
143,144,144,Cameron Beckman,81,278.2,267868,963
144,145,145,Chris Stroud,86,277.9,291483,1049
145,T146,T146,Arjun Atwal,79,277.7,255204,919
146,T146,T146,Kris Blanks,65,277.7,231899,835
147,148,148,Chez Reavie,83,277.4,254644,918
148,T149,T149,Russell Knox,72,277.3,217131,783
149,T149,T149,Kevin Na,80,277.3,251769,908
150,151,151,Alexandre Rocha,62,277.1,193985,700
151,T152,T152,Kyle Thompson,51,277.0,143204,517
152,T152,T152,Charlie Wi,86,277.0,281394,1016
153,154,154,Stuart Appleby,75,276.6,250903,907
154,155,155,Zach Johnson,95,276.4,284701,1030
155,T156,T156,Sung Kang,75,276.2,238357,863
156,T156,T156,Brendon Todd,78,276.2,242491,878
157,T158,T158,Scott Dunlap,57,276.0,177773,644
158,T158,T158,Michael Thompson,80,276.0,249479,904
159,160,160,Jim Furyk,85,275.9,249971,906
160,161,161,Dicky Pride,62,275.6,189076,686
161,162,162,Rocco Mediate,70,275.5,222846,809
162,163,163,Gary Christian,91,275.3,287940,1046
163,164,164,Tim Clark,60,275.2,192055,698
164,T165,T165,Ken Duke,104,275.1,344974,1254
165,T165,T165,Bob Estes,78,275.1,249221,906
166,167,167,Nathan Green,73,275.0,219465,798
167,T168,T168,Stephen Ames,54,274.9,148982,542
168,T168,T168,Michael Bradley,63,274.9,211413,769
169,T168,T168,David Toms,60,274.9,168809,614
170,T171,T171,Ben Curtis,62,274.8,184694,672
171,T171,T171,Heath Slocum,93,274.8,287995,1048
172,T173,T173,Luke Donald,63,274.7,183476,668
173,T173,T173,Patrick Sheehan,58,274.7,169238,616
174,175,175,Greg Chalmers,88,274.6,286972,1045
175,176,176,Jason Bohn,81,274.4,251893,918
176,177,177,Brian Davis,91,274.1,301755,1101
177,178,178,David Mathis,83,274.0,263830,963
178,179,179,Justin Leonard,79,273.3,258578,946
179,T180,T180,Bryce Molder,83,273.0,271046,993
180,T180,T180,Mark Wilson,84,273.0,259329,950
181,182,182,Brian Gay,91,272.7,296201,1086
182,183,183,John Mallinger,74,272.3,238537,876
