,Fairway_Bunker_Tendency_RANK THIS WEEK,Fairway_Bunker_Tendency_RANK LAST WEEK,Fairway_Bunker_Tendency_PLAYER NAME,Fairway_Bunker_Tendency_ROUNDS,Fairway_Bunker_Tendency_%,Fairway_Bunker_Tendency_TOTAL FAIRWAY BUNKERS,Fairway_Bunker_Tendency_POSSIBLE FWYS,Fairway_Bunker_Tendency_RELATIVE TO PAR
158,T157,T157,Trevor Immelman,76,7.4,59,793,+0.322
159,T157,T157,Matt Jones,53,7.4,45,605,+0.178
160,T157,T157,Chris Stroud,86,7.4,77,1041,+0.143
161,T162,T162,Aaron Baddeley,73,7.5,57,759,+0.140
162,T162,T162,J.J. Killeen,101,7.5,87,1157,+0.264
163,T162,T162,Derek Lamely,64,7.5,57,765,+0.193
164,T165,T165,Chad Campbell,84,7.6,77,1007,+0.182
165,T165,T165,Martin Laird,77,7.6,57,753,+0.439
166,T165,T165,Kyle Reifers,86,7.6,78,1023,+0.205
167,T165,T165,Brandt Snedeker,81,7.6,68,900,+0.118
168,T169,T169,Mark Anderson,75,7.7,64,833,+0.297
169,T169,T169,Marco Dawson,60,7.7,49,633,+0.306
170,T171,T171,Bud Cauley,99,7.8,98,1252,+0.041
171,T171,T171,Brian Gay,91,7.8,84,1077,+0.179
172,T171,T171,Danny Lee,74,7.8,63,804,+0.048
173,T174,T174,Tommy Gainey,98,7.9,98,1246,+0.184
174,T174,T174,Louis Oosthuizen,65,7.9,53,670,+0.283
175,176,176,Charles Howell III,98,8.0,85,1058,+0.247
176,T177,T177,Spencer Levin,81,8.1,74,919,+0.378
177,T177,T177,William McGirt,96,8.1,88,1092,+0.091
178,179,179,Sung Kang,75,8.2,70,850,+0.357
179,180,180,Carl Pettersson,92,8.3,92,1110,+0.185
180,181,181,Robert Allenby,76,8.4,76,909,+0.211
181,T182,T182,John Senden,81,8.5,73,855,+0.151
182,T182,T182,Y.E. Yang,64,8.5,57,668,+0.088
183,T184,T184,Rod Pampling,88,8.6,82,958,+0.268
184,T184,T184,Jimmy Walker,101,8.6,108,1249,+0.111
185,T186,T186,Miguel Angel Carballo,73,8.7,69,791,+0.203
186,T186,T186,Phil Mickelson,79,8.7,71,820,+0.211
187,188,188,Troy Kelly,68,8.9,62,697,+0.177
188,189,189,James Driscoll,83,9.2,88,952,+0.034
189,190,190,Andres Romero,68,9.3,69,741,+0.304
190,191,191,Freddie Jacobson,61,9.8,60,611,+0.283
