,Distance_from_Center_of_Fairway_RANK THIS WEEK,Distance_from_Center_of_Fairway_RANK LAST WEEK,Distance_from_Center_of_Fairway_PLAYER NAME,Distance_from_Center_of_Fairway_EVENTS,Distance_from_Center_of_Fairway_AVG,Distance_from_Center_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Center_of_Fairway_TOTAL STROKES
0,1,1,Lee Westwood,15,"22' 0""",7417.6669999999995,337
1,2,2,Adam Scott,16,"22' 9""",7675.1669999999995,337
2,T3,T3,Graeme McDowell,16,"22' 10""",8600.75,377
3,T3,T3,Bo Van Pelt,24,"22' 10""",12883.25,564
4,T5,T5,Ben Curtis,19,"22' 11""",10453.5,456
5,T5,T5,Jeff Overton,29,"22' 11""",17780.25,776
6,7,7,Boo Weekley,25,"23' 0""",12267.167,533
7,8,8,Tommy Biershenk,27,"23' 1""",10760.083,466
8,T9,T9,Stephen Ames,20,"23' 3""",7774.0830000000005,334
9,T9,T9,Sergio Garcia,16,"23' 3""",8665.417,373
10,11,11,Miguel Angel Carballo,25,"23' 5""",10427.667,446
11,T12,T12,Gary Christian,28,"23' 6""",16879.167,717
12,T12,T12,Tom Gillis,23,"23' 6""",14471.583,616
13,T12,T12,John Huh,28,"23' 6""",18694.917,796
14,T12,T12,Phil Mickelson,22,"23' 6""",10574.75,450
15,T12,T12,John Senden,22,"23' 6""",12875.917,548
16,T12,T12,Heath Slocum,29,"23' 6""",17687.333,752
17,T18,T18,Will Claxton,28,"23' 7""",18366.417,778
18,T18,T18,Charley Hoffman,27,"23' 7""",14985.083,635
19,T18,T18,Brandt Snedeker,22,"23' 7""",12822.083,543
20,T21,T21,Carl Pettersson,26,"23' 8""",14791.167,626
21,T21,T21,Andres Romero,22,"23' 8""",9598.5,405
22,T21,T21,Vijay Singh,27,"23' 8""",16325.583,690
23,T24,T24,Robert Allenby,27,"23' 9""",12589.583,530
24,T24,T24,Kevin Chappell,29,"23' 9""",13138.083,553
25,T24,T24,Brian Harman,30,"23' 9""",19008.083,800
26,T24,T24,Rod Pampling,26,"23' 9""",14475.083,610
27,T28,T28,Sangmoon Bae,25,"23' 10""",10635.167,446
28,T28,T28,Roberto Castro,27,"23' 10""",15930.0,669
29,T28,T28,Kevin Kisner,24,"23' 10""",10646.083,446
30,T31,T31,Hunter Mahan,23,"23' 11""",14067.5,588
31,T31,T31,Kyle Stanley,27,"23' 11""",13508.833,564
32,T31,T31,Y.E. Yang,20,"23' 11""",9482.417,397
33,T34,T34,Jonas Blixt,21,"24' 0""",12299.917,512
34,T34,T34,John Merrick,26,"24' 0""",15156.333,632
35,T34,T34,Geoff Ogilvy,20,"24' 0""",11055.0,461
36,T37,T37,Tim Herron,27,"24' 1""",15016.167,624
37,T37,T37,Russell Knox,23,"24' 1""",12433.167,516
38,T37,T37,Nick Watney,26,"24' 1""",14850.75,616
39,T40,T40,Arjun Atwal,27,"24' 2""",13725.75,568
40,T40,T40,Harris English,27,"24' 2""",17144.667,709
41,T40,T40,Billy Horschel,17,"24' 2""",10820.083,447
42,T40,T40,Rory McIlroy,16,"24' 2""",7520.9169999999995,311
43,T40,T40,Daniel Summerhays,26,"24' 2""",14030.417,581
44,T45,T45,Luke Donald,17,"24' 3""",10025.167,414
45,T45,T45,William McGirt,30,"24' 3""",16006.167,659
46,T45,T45,Charl Schwartzel,16,"24' 3""",8386.583,346
47,T48,T48,Tommy Gainey,32,"24' 4""",16608.5,682
48,T48,T48,David Mathis,29,"24' 4""",14619.667,600
49,T48,T48,Cameron Tringale,26,"24' 4""",16437.083,675
50,T48,T48,Steve Wheatcroft,22,"24' 4""",8829.583,363
51,T52,T52,Jason Dufner,22,"24' 5""",14208.75,582
52,T52,T52,Charles Howell III,29,"24' 5""",13889.333,568
53,T52,T52,Zach Johnson,25,"24' 5""",17094.833,699
54,T52,T52,Matt Kuchar,22,"24' 5""",13977.167,573
55,T52,T52,Jeff Maggert,27,"24' 5""",17361.167,710
56,T52,T52,Kevin Streelman,26,"24' 5""",15970.417,654
57,T58,T58,Mathew Goggin,23,"24' 6""",10749.167,438
58,T58,T58,Bill Lunde,25,"24' 6""",13266.5,542
59,T60,T60,Robert Karlsson,17,"24' 7""",7559.75,308
60,T60,T60,Dicky Pride,19,"24' 7""",10322.5,420
61,T60,T60,Chez Reavie,26,"24' 7""",15102.0,614
62,T60,T60,Chris Stroud,28,"24' 7""",15606.75,634
