,SG_Tee-to-Green_RANK THIS WEEK,SG_Tee-to-Green_RANK LAST WEEK,SG_Tee-to-Green_PLAYER NAME,SG_Tee-to-Green_ROUNDS,SG_Tee-to-Green_AVERAGE,SG_Tee-to-Green_SG:OTT,SG_Tee-to-Green_SG:APR,SG_Tee-to-Green_SG:ARG,SG_Tee-to-Green_MEASURED ROUNDS
0,1,1,Rory McIlroy,60,2.347,1.072,1.002,0.273,40
1,2,2,Tiger Woods,69,1.9709999999999999,0.5529999999999999,1.224,0.19399999999999998,48
2,3,3,Bubba Watson,68,1.8090000000000002,1.485,0.265,0.059000000000000004,51
3,4,4,Justin Rose,69,1.7619999999999998,0.355,0.84,0.5670000000000001,53
4,5,5,Jim Furyk,85,1.329,0.225,0.83,0.275,65
5,6,6,Dustin Johnson,70,1.324,0.72,0.638,-0.035,53
6,7,7,Adam Scott,59,1.3019999999999998,0.605,0.494,0.203,41
7,8,8,Jason Dufner,83,1.2930000000000001,0.5529999999999999,0.519,0.222,64
8,9,9,Robert Garrigus,89,1.212,0.797,0.68,-0.264,74
9,10,10,Kyle Stanley,86,1.181,0.7859999999999999,0.439,-0.043,70
10,11,11,Vijay Singh,99,1.167,0.435,0.52,0.212,81
11,12,12,Steve Stricker,73,1.161,0.11599999999999999,0.898,0.147,54
12,13,13,Lee Westwood,60,1.143,0.628,0.6809999999999999,-0.166,40
13,14,14,Louis Oosthuizen,65,0.98,0.496,0.478,0.006,49
14,15,15,Boo Weekley,74,0.973,0.6679999999999999,0.466,-0.162,58
15,16,16,John Senden,81,0.96,0.503,0.473,-0.016,62
16,17,17,Brendon de Jonge,115,0.9390000000000001,0.185,0.754,0.0,102
17,18,18,Webb Simpson,77,0.912,0.222,0.319,0.371,66
18,19,19,Matt Kuchar,86,0.91,0.11,0.49,0.309,66
19,20,20,Padraig Harrington,67,0.9079999999999999,0.193,0.331,0.384,45
20,21,21,Bo Van Pelt,84,0.895,0.45,0.665,-0.22,65
21,22,22,Phil Mickelson,79,0.86,-0.10300000000000001,0.5660000000000001,0.39799999999999996,60
22,23,23,Charl Schwartzel,56,0.84,0.35600000000000004,0.445,0.039,40
23,24,24,Luke Donald,63,0.8240000000000001,-0.188,0.5820000000000001,0.43,48
24,25,25,Henrik Stenson,51,0.809,0.34299999999999997,0.297,0.16899999999999998,42
25,26,26,Davis Love III,64,0.8029999999999999,0.20600000000000002,0.635,-0.038,52
26,27,27,Keegan Bradley,90,0.7909999999999999,0.68,0.23800000000000002,-0.127,71
27,28,28,Ernie Els,80,0.727,0.272,0.462,-0.006,65
28,29,29,Rickie Fowler,84,0.72,0.45799999999999996,0.228,0.034,66
29,30,30,Greg Owen,90,0.7140000000000001,0.336,0.36700000000000005,0.012,77
30,31,31,Chad Campbell,84,0.708,-0.04,0.7509999999999999,-0.004,73
31,32,32,Sergio Garcia,57,0.7040000000000001,0.34600000000000003,0.075,0.28300000000000003,44
32,33,33,Kevin Stadler,85,0.7020000000000001,0.35100000000000003,0.711,-0.359,70
33,34,34,Will Claxton,99,0.679,0.524,0.318,-0.163,86
34,35,35,Bud Cauley,99,0.655,0.065,0.201,0.38799999999999996,91
35,T36,T36,Graeme McDowell,55,0.654,0.49,0.6409999999999999,-0.478,38
36,T36,T36,Sean O'Hair,84,0.654,0.255,0.25,0.149,76
37,38,38,Hunter Mahan,88,0.65,0.4,0.37200000000000005,-0.122,64
38,39,39,Scott Piercy,95,0.635,0.47600000000000003,0.20199999999999999,-0.042,86
39,40,40,Zach Johnson,95,0.629,0.11199999999999999,0.342,0.17600000000000002,74
40,41,41,Charles Howell III,98,0.625,0.098,0.257,0.27,77
41,42,42,Pat Perez,81,0.603,0.099,0.272,0.23199999999999998,69
42,43,43,Graham DeLaet,79,0.6,0.5,0.33399999999999996,-0.23399999999999999,71
43,44,44,K.J. Choi,71,0.599,0.064,0.153,0.382,56
44,45,45,Jeff Overton,101,0.59,0.434,0.23600000000000002,-0.08,92
45,46,46,Seung-Yul Noh,105,0.579,0.355,0.102,0.122,85
46,47,47,Charley Hoffman,88,0.5670000000000001,0.33399999999999996,0.35600000000000004,-0.12300000000000001,76
47,48,48,Bill Haas,79,0.564,0.47200000000000003,-0.18,0.273,61
48,49,49,Nick Watney,97,0.563,-0.016,0.586,-0.006999999999999999,76
49,50,50,J.B. Holmes,90,0.5529999999999999,0.585,-0.21899999999999997,0.18600000000000003,78
50,51,51,Ryan Palmer,81,0.55,0.485,0.258,-0.193,71
51,52,52,Kris Blanks,65,0.547,0.192,0.5579999999999999,-0.203,60
