,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
0,1,1,Boo Weekley,25,74,36,38
1,2,2,Hunter Mahan,23,78,61,17
2,3,3,Bo Van Pelt,24,84,40,44
3,T4,T4,Chris Couch,21,85,54,31
4,T4,T4,Jason Dufner,22,85,64,21
5,6,6,Tiger Woods,19,87,32,55
6,7,7,Louis Oosthuizen,19,90,23,67
7,8,8,Brandt Jobe,18,91,25,66
8,9,9,John Rollins,26,98,47,51
9,10,10,Kevin Stadler,25,102,62,40
10,T11,T11,Keegan Bradley,25,103,16,87
11,T11,T11,John Senden,22,103,79,24
12,T13,T13,John Merrick,26,105,58,47
13,T13,T13,Lee Westwood,15,105,29,76
14,T15,T15,Rickie Fowler,23,108,60,48
15,T15,T15,Justin Rose,19,108,80,28
16,17,17,Billy Horschel,17,111,89,22
17,18,18,Roberto Castro,27,117,83,34
18,T19,T19,Will Claxton,28,119,85,34
19,T19,T19,Charley Hoffman,27,119,46,73
20,21,21,Brian Harman,30,120,87,33
21,22,22,Bill Haas,23,122,66,56
22,T23,T23,Graham DeLaet,23,123,13,110
23,T23,T23,Josh Teater,30,123,27,96
24,25,25,John Huh,28,124,113,11
25,26,26,Tom Gillis,23,126,103,23
26,27,27,Kyle Stanley,27,132,8,124
27,28,28,Adam Scott,16,133,10,123
28,29,29,Cameron Tringale,26,134,85,49
29,30,30,Charl Schwartzel,16,135,42,93
30,31,31,Bubba Watson,19,136,1,135
31,32,32,Vijay Singh,27,137,47,90
32,33,33,Blake Adams,32,139,112,27
33,T34,T34,Charlie Beljan,22,141,2,139
34,T34,T34,Graeme McDowell,16,141,136,5
35,T36,T36,Richard Lee,24,144,134,10
36,T36,T36,Pat Perez,23,144,75,69
37,38,38,Harris English,27,145,20,125
38,T39,T39,Ryan Moore,24,146,117,29
39,T39,T39,Seung-Yul Noh,28,146,19,127
40,T41,T41,Sean O'Hair,24,149,31,118
41,T41,T41,Henrik Stenson,15,149,96,53
42,43,43,Jeff Overton,29,150,68,82
43,T44,T44,Russell Knox,23,152,132,20
44,T44,T44,Kevin Streelman,26,152,63,89
45,46,46,Greg Owen,27,156,41,115
46,T47,T47,Martin Laird,22,157,28,129
47,T47,T47,Scott Stallings,27,157,17,140
48,T49,T49,Bobby Gates,29,158,21,137
49,T49,T49,Billy Mayfair,28,158,122,36
50,51,51,Ryan Palmer,24,159,15,144
51,T52,T52,Robert Garrigus,26,160,3,157
52,T52,T52,Jeff Maggert,27,160,141,19
53,T54,T54,Rory McIlroy,16,161,5,156
54,T54,T54,D.J. Trahan,27,161,66,95
55,T56,T56,Sergio Garcia,16,162,64,98
56,T56,T56,Dustin Johnson,19,162,4,158
57,58,58,Brendan Steele,24,163,105,58
58,59,59,Brendon de Jonge,31,164,105,59
