,Driving_Accuracy_Percentage_RANK THIS WEEK,Driving_Accuracy_Percentage_RANK LAST WEEK,Driving_Accuracy_Percentage_PLAYER NAME,Driving_Accuracy_Percentage_ROUNDS,Driving_Accuracy_Percentage_%,Driving_Accuracy_Percentage_FAIRWAYS HIT,Driving_Accuracy_Percentage_POSSIBLE FAIRWAYS
0,1,1,Jerry Kelly,84,73.0,814,1115
1,2,2,Heath Slocum,93,71.69,851,1187
2,3,3,Tim Clark,60,71.6,600,838
3,4,4,Jim Furyk,85,70.71,828,1171
4,5,5,Graeme McDowell,55,70.11,530,756
5,6,6,David Toms,60,69.75,565,810
6,7,7,Ben Curtis,62,69.7,566,812
7,8,8,Chris DiMarco,83,69.24,761,1099
8,9,9,Gary Christian,91,68.95,817,1185
9,10,10,Richard Lee,71,68.72,624,908
10,11,11,John Huh,99,68.69,950,1383
11,12,12,Mark Wilson,84,68.62,748,1090
12,13,13,Chez Reavie,83,68.57,792,1155
13,14,14,Zach Johnson,95,68.53,897,1309
14,15,15,Colt Knost,79,68.0,731,1075
15,16,16,John Mallinger,74,67.93,661,973
16,17,17,Hunter Mahan,88,67.74,777,1147
17,18,18,Brian Davis,91,67.24,815,1212
18,19,19,Jeff Maggert,83,67.16,777,1157
19,20,20,Russell Knox,72,67.03,618,922
20,21,21,Jason Dufner,83,66.9,764,1142
21,22,22,Billy Horschel,63,66.58,512,769
22,23,23,Tom Gillis,75,66.09,690,1044
23,24,24,John Senden,81,65.93,716,1086
24,25,25,Kevin Na,80,65.91,727,1103
25,26,26,Kris Blanks,65,65.84,586,890
26,27,27,Blake Adams,107,65.83,946,1437
27,28,28,Justin Rose,69,65.82,624,948
28,29,29,Ryan Moore,89,65.75,816,1241
29,30,30,Ken Duke,104,65.69,915,1393
30,31,31,Chris Couch,61,65.49,537,820
31,32,32,Stuart Appleby,75,65.45,648,990
32,33,33,Brian Harman,101,65.44,922,1409
33,T34,T34,Roberto Castro,92,65.36,785,1201
34,T34,T34,Will Claxton,99,65.36,866,1325
35,36,36,Billy Mayfair,90,65.2,783,1201
36,37,37,Luke Donald,63,65.16,563,864
37,38,38,Boo Weekley,74,65.15,600,921
38,39,39,Ian Poulter,57,65.13,510,783
39,40,40,Kevin Stadler,85,65.09,701,1077
40,41,41,Gavin Coles,72,65.08,600,922
41,42,42,Matt Kuchar,86,65.06,743,1142
42,43,43,Jason Bohn,81,65.0,678,1043
43,44,44,Bo Van Pelt,84,64.79,749,1156
44,T45,T45,Scott Dunlap,57,64.66,461,713
45,T45,T45,D.A. Points,88,64.66,796,1231
46,47,47,John Merrick,83,64.46,711,1103
47,48,48,Rickie Fowler,84,64.43,748,1161
48,49,49,Cameron Tringale,88,64.41,789,1225
49,50,50,Ben Crane,73,64.36,650,1010
50,51,51,John Rollins,81,64.25,690,1074
51,52,52,"Ted Potter, Jr.",77,64.18,654,1019
52,53,53,Henrik Stenson,51,64.13,422,658
53,54,54,K.J. Choi,71,64.08,628,980
54,55,55,Tiger Woods,69,63.93,599,937
55,56,56,Bill Haas,79,63.62,696,1094
56,57,57,Alexandre Rocha,62,63.47,497,783
57,58,58,Brendan Steele,77,63.44,649,1023
58,59,59,Brendon de Jonge,115,63.42,983,1550
59,60,60,Nick O'Hern,78,63.34,653,1031
60,61,61,Steve Stricker,73,63.31,623,984
61,62,62,David Mathis,83,63.22,679,1074
62,63,63,J.J. Henry,93,63.18,748,1184
63,64,64,Rod Pampling,88,62.72,700,1116
64,65,65,Kyle Thompson,51,62.65,411,656
65,66,66,Brandt Jobe,57,62.48,463,741
66,67,67,Louis Oosthuizen,65,62.41,548,878
67,68,68,Steve Wheatcroft,56,62.37,436,699
68,69,69,Pat Perez,81,62.33,685,1099
69,70,70,Johnson Wagner,88,62.32,769,1234
70,71,71,Chris Stroud,86,62.31,749,1202
71,72,72,David Hearn,95,62.25,826,1327
72,73,73,Charley Hoffman,88,62.23,763,1226
73,74,74,Rocco Mediate,70,62.22,555,892
74,75,75,Roland Thatcher,55,62.19,426,685
75,76,76,Lee Westwood,60,62.17,470,756
76,77,77,Brian Gay,91,62.1,752,1211
77,T78,T78,Geoff Ogilvy,73,62.01,622,1003
78,T78,T78,Camilo Villegas,79,62.01,666,1074
79,80,80,Greg Chalmers,88,62.0,752,1213
80,81,81,Daniel Summerhays,81,61.93,667,1077
81,82,82,Jeff Overton,101,61.91,837,1352
82,83,83,Stephen Ames,54,61.88,448,724
83,84,84,Hunter Haas,69,61.82,544,880
84,85,85,Kyle Reifers,86,61.7,704,1141
85,86,86,Cameron Beckman,81,61.67,663,1075
86,T87,T87,Keegan Bradley,90,61.65,762,1236
87,T87,T87,Charlie Wi,86,61.65,738,1197
88,89,89,Kevin Streelman,89,61.63,747,1212
89,90,90,Vijay Singh,99,61.62,851,1381
90,91,91,Bryce Molder,83,61.59,680,1104
91,92,92,Webb Simpson,77,61.47,654,1064
92,93,93,Charl Schwartzel,56,61.41,463,754
93,94,94,Dicky Pride,62,61.38,464,756
94,95,95,D.J. Trahan,73,61.33,590,962
95,96,96,Josh Teater,97,61.3,795,1297
96,97,97,Tom Pernice Jr.,62,61.26,495,808
97,98,98,Sergio Garcia,57,61.15,477,780
