,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
0,1,1,Ben Crane,73,5,3,2
1,2,2,David Toms,60,6,5,1
2,3,3,John Daly,50,12,1,11
3,4,4,Keegan Bradley,90,17,12,5
4,5,5,Tommy Gainey,98,19,4,15
5,6,6,Bo Van Pelt,84,21,14,7
6,7,7,Jeff Maggert,83,22,18,4
7,8,8,Rickie Fowler,84,25,7,18
8,9,9,Vaughn Taylor,81,28,8,20
9,10,10,Ernie Els,80,30,16,14
10,11,11,Scott Piercy,95,31,16,15
11,T12,T12,Martin Laird,77,35,32,3
12,T12,T12,Hunter Mahan,88,35,26,9
13,14,14,Kyle Stanley,86,38,11,27
14,15,15,Harrison Frazar,56,42,9,33
15,16,16,Ryan Palmer,81,43,6,37
16,T17,T17,Brian Gay,91,50,42,8
17,T17,T17,Brendan Steele,77,50,28,22
18,19,19,Sean O'Hair,84,53,23,30
19,20,20,J.B. Holmes,90,56,2,54
20,T21,T21,Scott Stallings,78,59,20,39
21,T21,T21,Steve Stricker,73,59,48,11
22,23,23,Bubba Watson,68,60,37,23
23,24,24,Sung Kang,75,64,34,30
24,25,25,Heath Slocum,93,68,51,17
25,T26,T26,Zach Johnson,95,76,70,6
26,T26,T26,Brandt Snedeker,81,76,22,54
27,28,28,Billy Mayfair,90,77,26,51
28,29,29,David Hearn,95,79,12,67
29,30,30,Chez Reavie,83,81,37,44
30,31,31,Chris Kirk,93,82,14,68
31,32,32,Mark Wilson,84,84,51,33
32,33,33,Michael Bradley,63,85,55,30
33,T34,T34,Davis Love III,64,86,23,63
34,T34,T34,Josh Teater,97,86,9,77
35,36,36,Tommy Biershenk,74,89,40,49
36,37,37,John Huh,99,90,61,29
37,38,38,Louis Oosthuizen,65,92,41,51
38,T39,T39,Rory McIlroy,60,95,50,45
39,T39,T39,Carl Pettersson,92,95,75,20
40,41,41,Rory Sabbatini,84,97,64,33
41,42,42,Brian Harman,101,99,75,24
42,T43,T43,Matt Kuchar,86,102,91,11
43,T43,T43,Jeff Overton,101,102,48,54
44,45,45,Roland Thatcher,55,105,34,71
45,46,46,Brian Davis,91,109,67,42
46,T47,T47,Bud Cauley,99,110,42,68
47,T47,T47,Robert Garrigus,89,110,47,63
48,T47,T47,Dustin Johnson,70,110,25,85
