,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
0,1,1,Boo Weekley,74,6,1,5
1,2,2,Jason Dufner,83,12,4,8
2,3,3,Hunter Mahan,88,14,2,12
3,T4,T4,Justin Rose,69,16,15,1
4,T4,T4,Lee Westwood,60,16,13,3
5,6,6,Louis Oosthuizen,65,22,7,15
6,7,7,John Merrick,83,23,13,10
7,8,8,John Senden,81,27,11,16
8,9,9,Will Claxton,99,30,19,11
9,10,10,Billy Horschel,63,31,17,14
10,11,11,Bubba Watson,68,33,31,2
11,12,12,Tiger Woods,69,35,6,29
12,T13,T13,Roberto Castro,92,36,18,18
13,T13,T13,Kevin Stadler,85,36,10,26
14,15,15,Bo Van Pelt,84,43,3,40
15,16,16,Russell Knox,72,50,44,6
16,17,17,Josh Teater,97,54,23,31
17,18,18,Richard Lee,71,56,36,20
18,19,19,Robert Garrigus,89,59,52,7
19,20,20,Sean O'Hair,84,62,41,21
20,T21,T21,Keegan Bradley,90,63,11,52
21,T21,T21,Greg Owen,90,63,46,17
22,23,23,Camilo Villegas,79,64,60,4
23,24,24,Harris English,98,65,38,27
24,25,25,Brendon de Jonge,115,67,59,8
25,26,26,Kyle Stanley,86,68,27,41
26,27,27,Graham DeLaet,79,69,23,46
27,28,28,Seung-Yul Noh,105,72,39,33
28,29,29,Cameron Tringale,88,77,29,48
29,30,30,Adam Scott,59,78,28,50
30,31,31,Charley Hoffman,88,80,19,61
31,32,32,John Rollins,81,81,9,72
32,33,33,John Huh,99,82,25,57
33,34,34,Charlie Beljan,61,90,34,56
34,35,35,Jim Furyk,85,97,74,23
35,T36,T36,Ryan Moore,89,100,39,61
36,T36,T36,Heath Slocum,93,100,76,24
37,T38,T38,J.J. Henry,93,101,79,22
38,T38,T38,Graeme McDowell,55,101,34,67
39,T38,T38,Vijay Singh,99,101,32,69
40,41,41,Roland Thatcher,55,105,80,25
41,T42,T42,Jeff Overton,101,106,43,63
42,T42,T42,Scott Stallings,78,106,47,59
43,44,44,Kyle Reifers,86,109,76,33
44,45,45,Daniel Summerhays,81,110,82,28
45,T46,T46,Blake Adams,107,111,33,78
46,T46,T46,Gary Christian,91,111,69,42
47,T48,T48,Ben Curtis,62,113,100,13
48,T48,T48,Rickie Fowler,84,113,15,98
49,T48,T48,Kevin Streelman,89,113,44,69
50,51,51,Rory McIlroy,60,114,54,60
51,52,52,Bill Haas,79,115,22,93
52,53,53,Kris Blanks,65,117,72,45
53,54,54,Brandt Jobe,57,118,8,110
54,55,55,Nick Watney,97,122,64,58
55,T56,T56,Henrik Stenson,51,128,41,87
56,T56,T56,Steve Stricker,73,128,109,19
57,58,58,D.J. Trahan,73,131,54,77
58,59,59,Pat Perez,81,132,36,96
59,60,60,Bobby Gates,87,134,49,85
60,61,61,Jeff Maggert,83,135,52,83
61,T62,T62,Martin Laird,77,136,47,89
62,T62,T62,John Mallinger,74,136,82,54
63,64,64,Dustin Johnson,70,137,56,81
64,65,65,Chris Couch,61,138,4,134
65,66,66,Bud Cauley,99,140,89,51
66,T67,T67,Ryan Palmer,81,145,51,94
67,T67,T67,Chez Reavie,83,145,72,73
68,69,69,Webb Simpson,77,146,114,32
69,70,70,Brendan Steele,77,147,58,89
70,71,71,Brian Harman,101,148,21,127
71,72,72,Chris Kirk,93,149,101,48
72,73,73,Matt Kuchar,86,150,64,86
73,74,74,Scott Piercy,95,151,69,82
74,75,75,Chad Campbell,84,154,115,39
75,T76,T76,Sergio Garcia,57,155,56,99
76,T76,T76,Tom Gillis,75,155,26,129
77,78,78,Bill Lunde,83,157,127,30
78,79,79,Ricky Barnes,92,158,123,35
79,T80,T80,Davis Love III,64,159,62,97
80,T80,T80,Alexandre Rocha,62,159,115,44
81,T80,T80,Steve Wheatcroft,56,159,90,69
82,83,83,D.A. Points,88,160,105,55
83,84,84,Garth Mulroy,59,162,67,95
84,85,85,Scott Dunlap,57,163,125,38
85,86,86,Rod Pampling,88,164,62,102
86,87,87,David Toms,60,165,91,74
87,T88,T88,David Hearn,95,166,103,63
88,T88,T88,Jhonattan Vegas,77,166,91,75
89,90,90,Jason Kokrak,79,167,91,76
90,91,91,Tim Herron,88,168,133,35
91,92,92,Jerry Kelly,84,169,85,84
92,T93,T93,Ben Crane,73,172,67,105
93,T93,T93,Ernie Els,80,172,119,53
94,T93,T93,Billy Mayfair,90,172,49,123
95,T96,T96,Mathew Goggin,65,183,146,37
96,T96,T96,Zach Johnson,95,183,82,101
97,T96,T96,Charl Schwartzel,56,183,30,153
98,99,99,Charles Howell III,98,185,138,47
99,T100,T100,J.B. Holmes,90,194,80,114
100,T100,T100,Geoff Ogilvy,73,194,61,133
101,T102,T102,Tim Clark,60,202,85,117
102,T102,T102,Ken Duke,104,202,91,111
103,104,104,Stuart Appleby,75,204,98,106
104,105,105,Scott Brown,65,205,91,114
105,106,106,Carl Pettersson,92,213,85,128
106,107,107,Vaughn Taylor,81,214,149,65
107,T108,T108,Ángel Cabrera,54,215,74,141
108,T108,T108,Gary Woodland,70,215,91,124
109,110,110,Johnson Wagner,88,216,138,78
110,111,111,Erik Compton,81,220,66,154
111,112,112,Luke Donald,63,221,121,100
112,113,113,Matt Every,80,223,155,68
113,T114,T114,Nathan Green,73,224,181,43
114,T114,T114,Mark Wilson,84,224,102,122
115,116,116,William McGirt,96,227,162,65
116,117,117,Danny Lee,74,230,138,92
117,118,118,John Daly,50,232,69,163
118,119,119,Cameron Beckman,81,234,145,89
119,120,120,Kyle Thompson,51,236,128,108
120,121,121,Padraig Harrington,67,237,76,161
121,122,122,Jason Bohn,81,242,130,112
122,123,123,Brian Davis,91,243,105,138
123,T124,T124,Robert Allenby,76,245,165,80
124,T124,T124,Matt Jones,53,245,136,109
125,T124,T124,Chris Stroud,86,245,105,140
126,T127,T127,Kevin Chappell,91,247,126,121
127,T127,T127,Troy Matteson,100,247,123,124
128,129,129,Jimmy Walker,101,250,134,116
129,130,130,Trevor Immelman,76,251,112,139
