,Carry_Distance_RANK THIS WEEK,Carry_Distance_RANK LAST WEEK,Carry_Distance_PLAYER NAME,Carry_Distance_ROUNDS,Carry_Distance_AVG.,Carry_Distance_TOTAL DIST. TO IMPACT,Carry_Distance_TOTAL ATTEMPTS,Carry_Distance_LONGEST CARRY DISTANCE,Carry_Distance_SHORTEST CARRY DISTANCE
0,1,1,Bubba Watson,68,307.7,12616.4,41,350.1,264.6
1,2,2,J.B. Holmes,90,305.2,18619.9,61,332.7,271.6
2,3,3,Dustin Johnson,70,302.8,11205.1,37,337.5,258.4
3,4,4,John Daly,50,301.7,7843.1,26,324.0,275.2
4,5,5,Robert Garrigus,89,299.4,16468.6,55,335.8,254.3
5,6,6,Kyle Stanley,86,298.6,13138.5,44,340.4,268.0
6,7,7,Tiger Woods,69,296.7,9493.3,32,339.2,268.8
7,8,8,Rory McIlroy,60,296.0,10655.9,36,340.2,243.0
8,9,9,Scott Stallings,78,295.5,15072.7,51,334.4,261.9
9,10,10,Charlie Beljan,61,293.7,7928.6,27,316.9,261.2
10,11,11,Scott Piercy,95,293.3,17014.1,58,333.7,240.5
11,12,12,Graham DeLaet,79,293.1,14949.8,51,332.7,252.9
12,13,13,Jhonattan Vegas,77,292.7,13172.0,45,345.2,264.7
13,T14,T14,Jason Day,57,292.0,10511.9,36,338.1,241.2
14,T14,T14,Gary Woodland,70,292.0,8174.7,28,337.2,237.6
15,T16,T16,Keegan Bradley,90,291.8,15465.0,53,331.0,253.0
16,T16,T16,Edward Loar,59,291.8,8752.6,30,315.8,252.4
17,18,18,Martin Laird,77,291.4,11949.4,41,331.4,251.9
18,19,19,Ryan Palmer,81,291.3,17185.9,59,324.6,260.8
19,20,20,Ángel Cabrera,54,290.8,7561.4,26,327.1,262.2
20,T21,T21,Josh Teater,97,289.9,19131.7,66,316.1,264.4
21,T21,T21,Nick Watney,97,289.9,18263.9,63,329.8,252.4
22,23,23,Robert Karlsson,54,289.7,8690.4,30,318.8,264.6
23,24,24,Rickie Fowler,84,289.6,13902.8,48,325.2,263.2
24,25,25,Seung-Yul Noh,105,289.4,19102.4,66,321.4,260.7
25,26,26,Sean O'Hair,84,289.1,16187.5,56,327.2,257.6
26,27,27,Aaron Baddeley,73,288.8,11262.4,39,333.5,248.0
27,28,28,Troy Matteson,100,288.7,17035.6,59,317.1,252.5
28,29,29,Louis Oosthuizen,65,288.4,13555.6,47,343.6,246.2
29,T30,T30,Mark Anderson,75,288.2,10375.2,36,315.5,246.8
30,T30,T30,Adam Scott,59,288.2,10664.6,37,326.6,259.9
31,T32,T32,Harrison Frazar,56,286.5,9742.3,34,334.6,253.1
32,T32,T32,Jason Kokrak,79,286.5,12032.0,42,309.8,246.1
33,34,34,Harris English,98,286.3,18321.7,64,321.7,253.1
34,35,35,Davis Love III,64,286.2,10017.1,35,313.5,261.9
35,36,36,Bobby Gates,87,286.1,16022.4,56,319.0,246.3
36,T37,T37,Martin Flores,95,284.9,15953.3,56,317.6,239.2
37,T37,T37,Greg Owen,90,284.9,14813.0,52,319.4,230.1
38,39,39,Bo Van Pelt,84,284.8,15661.9,55,316.7,264.6
39,40,40,Henrik Stenson,51,284.6,3415.6,12,310.8,265.7
40,41,41,Erik Compton,81,284.5,13088.1,46,311.0,233.6
41,42,42,Garth Mulroy,59,284.0,10223.6,36,312.4,259.7
42,43,43,Jimmy Walker,101,283.7,16738.7,59,315.4,227.3
43,T44,T44,Tommy Gainey,98,283.6,19854.9,70,315.9,253.7
44,T44,T44,Bill Haas,79,283.6,16451.6,58,322.6,240.3
45,T46,T46,Daniel Chopra,55,283.5,8503.8,30,311.4,242.1
46,T46,T46,Andres Romero,68,283.5,12190.0,43,314.4,253.3
47,T46,T46,Lee Westwood,60,283.5,10491.0,37,312.8,254.0
48,T49,T49,Charley Hoffman,88,283.0,19526.9,69,316.3,241.7
49,T49,T49,Brandt Jobe,57,283.0,9054.5,32,311.2,240.0
50,51,51,Ernie Els,80,282.5,15538.3,55,314.1,238.0
51,T52,T52,Kevin Chappell,91,282.1,14950.2,53,309.2,246.2
52,T52,T52,Phil Mickelson,79,282.1,13257.0,47,304.6,228.7
53,T54,T54,Stewart Cink,71,282.0,9589.4,34,302.0,244.9
54,T54,T54,Marc Leishman,84,282.0,16918.8,60,331.2,240.8
55,T56,T56,Chris Kirk,93,281.5,18857.3,67,315.1,238.9
56,T56,T56,Geoff Ogilvy,73,281.5,11542.5,41,304.3,255.9
57,T58,T58,Chris Couch,61,281.2,9278.7,33,323.6,243.2
58,T58,T58,George McNeill,85,281.2,14620.2,52,307.3,245.3
59,T58,T58,Kevin Streelman,89,281.2,17995.8,64,307.9,247.0
60,61,61,Michael Bradley,63,281.1,7308.8,26,320.0,242.5
61,62,62,Cameron Tringale,88,280.6,17396.4,62,312.0,244.0
62,63,63,James Driscoll,83,280.4,13179.0,47,303.9,243.4
63,T64,T64,Charles Howell III,98,280.2,15972.5,57,301.0,242.1
64,T64,T64,John Senden,81,280.2,15690.0,56,304.6,253.9
65,T64,T64,Kevin Stadler,85,280.2,14288.5,51,303.7,233.2
66,67,67,Justin Rose,69,280.1,12605.6,45,304.3,259.6
67,68,68,Derek Lamely,64,280.0,11478.1,41,326.6,232.5
68,T69,T69,Jonathan Byrd,69,279.8,11190.8,40,313.3,244.6
69,T69,T69,Sergio Garcia,57,279.8,10071.9,36,332.3,242.9
70,71,71,Troy Kelly,68,279.4,10896.6,39,305.7,232.7
71,72,72,Pat Perez,81,279.3,14241.9,51,308.1,255.2
72,73,73,Padraig Harrington,67,278.8,8920.3,32,314.7,242.2
73,74,74,Matt Bettencourt,80,278.6,10030.1,36,309.1,246.1
74,T75,T75,Carl Pettersson,92,278.5,17825.9,64,303.8,246.9
75,T75,T75,Vijay Singh,99,278.5,15596.9,56,305.6,237.8
76,77,77,Charl Schwartzel,56,278.2,8625.2,31,306.8,254.4
77,T78,T78,Hunter Mahan,88,277.9,15561.4,56,307.9,252.4
78,T78,T78,Camilo Villegas,79,277.9,15842.2,57,307.7,230.4
79,80,80,Webb Simpson,77,277.8,14165.5,51,294.2,258.4
