,Hang_Time_RANK THIS WEEK,Hang_Time_RANK LAST WEEK,Hang_Time_PLAYER NAME,Hang_Time_ROUNDS,Hang_Time_AVG.,Hang_Time_TOTAL ACTUAL HANG TIME,Hang_Time_TOTAL ATTEMPTS,Hang_Time_LONGEST ACT. HANG TIME,Hang_Time_SHORTEST ACT. HANG TIME
0,T1,T1,Chris Couch,61,6.8,211.5,31,7.7,4.2
1,T1,T1,Bill Haas,79,6.8,394.3,58,7.6,5.2
2,T1,T1,J.B. Holmes,90,6.8,428.0,63,8.0,4.7
3,T1,T1,Kyle Stanley,86,6.8,321.9,47,7.7,3.7
4,T5,T5,Rickie Fowler,84,6.7,344.0,51,7.7,4.2
5,T5,T5,Charley Hoffman,88,6.7,485.5,73,7.5,3.5
6,T5,T5,Robert Karlsson,54,6.7,247.6,37,7.8,5.1
7,T5,T5,Ryan Palmer,81,6.7,431.9,64,7.9,4.5
8,T5,T5,Josh Teater,97,6.7,493.4,74,7.9,2.6
9,T10,T10,Keegan Bradley,90,6.6,371.6,56,7.5,5.2
10,T10,T10,Ángel Cabrera,54,6.6,183.5,28,7.8,3.3
11,T10,T10,Graham DeLaet,79,6.6,411.2,62,8.1,0.2
12,T10,T10,Troy Matteson,100,6.6,414.2,63,7.8,4.4
13,T10,T10,Billy Mayfair,90,6.6,432.6,66,7.4,5.0
14,T10,T10,George McNeill,85,6.6,349.1,53,7.9,3.1
15,T10,T10,Louis Oosthuizen,65,6.6,322.4,49,7.4,5.0
16,T10,T10,John Senden,81,6.6,380.3,58,7.8,4.7
17,T10,T10,Mark Wilson,84,6.6,412.9,63,7.4,3.4
18,T19,T19,Jonathan Byrd,69,6.5,277.9,43,7.5,2.6
19,T19,T19,Harrison Frazar,56,6.5,248.7,38,7.4,4.2
20,T19,T19,Billy Horschel,63,6.5,266.8,41,7.5,3.6
21,T19,T19,Marc Leishman,84,6.5,379.3,58,7.8,4.9
22,T19,T19,Edward Loar,59,6.5,219.6,34,7.5,4.7
23,T19,T19,Davis Love III,64,6.5,219.5,34,7.5,4.1
24,T19,T19,Garth Mulroy,59,6.5,245.9,38,7.4,4.3
25,T19,T19,Seung-Yul Noh,105,6.5,453.4,70,7.6,2.8
26,T19,T19,Brandt Snedeker,81,6.5,390.1,60,7.5,4.1
27,T19,T19,Brendan Steele,77,6.5,364.9,56,7.5,1.0
28,T19,T19,Bubba Watson,68,6.5,313.1,48,7.8,4.9
29,T30,T30,Charlie Beljan,61,6.4,223.7,35,7.5,4.5
30,T30,T30,Roberto Castro,92,6.4,408.4,64,7.6,4.4
31,T30,T30,Bud Cauley,99,6.4,542.4,85,7.6,3.6
32,T30,T30,Ben Curtis,62,6.4,315.1,49,7.5,4.2
33,T30,T30,Robert Garrigus,89,6.4,378.1,59,7.5,4.2
34,T30,T30,David Hearn,95,6.4,449.1,70,7.4,3.6
35,T30,T30,Martin Laird,77,6.4,270.5,42,7.7,4.8
36,T30,T30,Rory McIlroy,60,6.4,211.0,33,7.6,4.8
37,T30,T30,Kevin Na,80,6.4,345.7,54,7.6,4.8
38,T30,T30,Geoff Ogilvy,73,6.4,294.0,46,7.5,2.3
39,T30,T30,Jeff Overton,101,6.4,514.9,81,7.8,3.8
40,T30,T30,Scott Piercy,95,6.4,419.7,66,7.5,3.5
41,T30,T30,Chez Reavie,83,6.4,364.3,57,7.2,2.6
42,T30,T30,Kevin Streelman,89,6.4,445.7,70,7.3,3.4
43,T30,T30,Michael Thompson,80,6.4,384.4,60,7.5,3.5
44,T30,T30,Cameron Tringale,88,6.4,433.8,68,7.5,1.2
45,T30,T30,Bo Van Pelt,84,6.4,372.7,58,7.4,3.9
46,T47,T47,Aaron Baddeley,73,6.3,278.5,44,7.5,4.2
47,T47,T47,Kris Blanks,65,6.3,296.8,47,7.5,5.2
48,T47,T47,Jonas Blixt,72,6.3,357.8,57,7.4,3.8
49,T47,T47,Ben Crane,73,6.3,370.5,59,7.0,4.5
50,T47,T47,Jason Day,57,6.3,250.9,40,7.8,4.7
51,T47,T47,Luke Donald,63,6.3,291.6,46,7.4,2.1
52,T47,T47,Ernie Els,80,6.3,351.0,56,7.2,3.9
53,T47,T47,Bobby Gates,87,6.3,366.7,58,7.5,3.4
54,T47,T47,Padraig Harrington,67,6.3,215.1,34,7.5,4.7
55,T47,T47,Charles Howell III,98,6.3,365.6,58,7.2,3.3
56,T47,T47,Chris Kirk,93,6.3,458.2,73,7.7,1.9
57,T47,T47,Kevin Kisner,69,6.3,275.6,44,7.0,3.3
58,T47,T47,Bill Lunde,83,6.3,370.3,59,7.2,3.7
59,T47,T47,Hunter Mahan,88,6.3,359.1,57,7.3,3.6
60,T47,T47,Phil Mickelson,79,6.3,341.3,54,7.8,4.2
61,T47,T47,Pat Perez,81,6.3,333.3,53,7.5,1.9
62,T47,T47,Ian Poulter,57,6.3,250.2,40,7.0,4.2
63,T47,T47,Dicky Pride,62,6.3,297.2,47,7.2,4.7
64,T47,T47,Kyle Reifers,86,6.3,363.9,58,7.5,3.7
65,T47,T47,John Rollins,81,6.3,421.9,67,7.4,1.4
66,T47,T47,Adam Scott,59,6.3,232.0,37,7.5,4.3
67,T47,T47,Webb Simpson,77,6.3,364.4,58,7.3,1.9
68,T47,T47,Kevin Stadler,85,6.3,322.6,51,7.4,0.8
69,T47,T47,Henrik Stenson,51,6.3,87.5,14,7.3,2.7
70,T47,T47,Jhonattan Vegas,77,6.3,359.3,57,7.8,3.4
71,T47,T47,Nick Watney,97,6.3,442.8,70,7.4,4.3
