,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
0,1,1,David Toms,19,"18' 4""",3404.5,186
1,T2,T2,K.J. Choi,21,"18' 8""",4930.25,264
2,T2,T2,Tim Clark,20,"18' 8""",3479.167,186
3,4,4,Zach Johnson,25,"18' 11""",5705.1669999999995,302
4,5,5,Heath Slocum,29,"19' 1""",5242.417,275
5,6,6,Graeme McDowell,16,"19' 9""",2919.25,148
6,7,7,Jim Furyk,24,"20' 1""",4996.75,249
7,8,8,Matt Kuchar,22,"20' 10""",6682.25,321
8,9,9,"Ted Potter, Jr.",25,"20' 11""",6119.5830000000005,293
9,10,10,Justin Leonard,26,"21' 4""",7434.6669999999995,349
10,11,11,Jason Dufner,22,"21' 5""",6007.8330000000005,281
11,12,12,Ryan Moore,24,"21' 6""",7860.1669999999995,366
12,T13,T13,Gary Christian,28,"21' 7""",6659.5830000000005,309
13,T13,T13,Jerry Kelly,26,"21' 7""",5433.8330000000005,252
14,15,15,Hunter Mahan,23,"21' 9""",6131.6669999999995,282
15,16,16,Ken Duke,30,"21' 10""",8890.167,407
16,17,17,John Huh,28,"22' 0""",7948.25,361
17,T18,T18,Russell Knox,23,"22' 1""",5417.75,245
18,T18,T18,Jeff Maggert,27,"22' 1""",7562.0,343
19,T20,T20,Brendan Steele,24,"22' 2""",6873.1669999999995,310
20,T20,T20,Mark Wilson,25,"22' 2""",6347.4169999999995,286
21,T22,T22,Brian Davis,29,"22' 3""",7577.0,340
22,T22,T22,Tom Gillis,23,"22' 3""",6842.9169999999995,308
23,24,24,John Rollins,26,"22' 4""",7390.9169999999995,331
24,25,25,Ian Poulter,15,"22' 6""",3559.083,158
25,26,26,Sangmoon Bae,25,"22' 7""",7517.8330000000005,333
26,T27,T27,Ben Curtis,19,"22' 8""",4653.583,205
27,T27,T27,Kyle Thompson,22,"22' 8""",4054.583,179
28,T29,T29,Richard Lee,24,"22' 9""",5483.5,241
29,T29,T29,Rory McIlroy,16,"22' 9""",5413.6669999999995,238
30,T31,T31,Scott Dunlap,20,"22' 11""",4999.083,218
31,T31,T31,David Mathis,29,"22' 11""",7712.1669999999995,336
32,T31,T31,Steve Stricker,19,"22' 11""",5974.6669999999995,261
33,T34,T34,Martin Laird,22,"23' 0""",6594.1669999999995,287
34,T34,T34,Spencer Levin,26,"23' 0""",9056.167,394
35,T34,T34,Chez Reavie,26,"23' 0""",6420.3330000000005,279
36,T34,T34,Y.E. Yang,20,"23' 0""",6050.0,263
37,T38,T38,Gavin Coles,23,"23' 1""",6297.1669999999995,273
38,T38,T38,Chris DiMarco,29,"23' 1""",6764.4169999999995,293
39,T38,T38,Boo Weekley,25,"23' 1""",6118.6669999999995,265
40,41,41,Kevin Na,25,"23' 3""",6571.5830000000005,283
41,42,42,Justin Rose,19,"23' 5""",6049.6669999999995,258
42,T43,T43,Kris Blanks,23,"23' 6""",6287.75,268
43,T43,T43,Brandt Snedeker,22,"23' 6""",7986.75,340
44,45,45,Roberto Castro,27,"23' 7""",8132.3330000000005,345
45,T46,T46,Colt Knost,29,"23' 8""",6966.5,294
46,T46,T46,Patrick Sheehan,21,"23' 8""",5580.5830000000005,236
47,T48,T48,Will Claxton,28,"23' 9""",9321.417,392
48,T48,T48,Ben Crane,23,"23' 9""",6786.6669999999995,286
49,T48,T48,Sergio Garcia,16,"23' 9""",5372.0830000000005,226
50,T48,T48,Brian Harman,30,"23' 9""",9274.417,390
51,T48,T48,Kevin Stadler,25,"23' 9""",7442.1669999999995,313
52,T48,T48,Lee Westwood,15,"23' 9""",4885.417,206
53,T54,T54,Bill Lunde,25,"23' 10""",8343.5,350
54,T54,T54,Jeff Overton,29,"23' 10""",11055.0,464
55,T54,T54,John Senden,22,"23' 10""",6972.0,293
56,T57,T57,Trevor Immelman,24,"23' 11""",7657.3330000000005,320
57,T57,T57,Johnson Wagner,27,"23' 11""",9256.583,387
58,T59,T59,Blake Adams,32,"24' 0""",9308.417,388
59,T59,T59,Stephen Ames,20,"24' 0""",4651.5,194
60,T59,T59,Rocco Mediate,23,"24' 0""",7005.0830000000005,292
61,62,62,John Mallinger,25,"24' 1""",6608.5830000000005,274
62,63,63,Billy Horschel,17,"24' 2""",4909.5,203
63,64,64,Kevin Kisner,24,"24' 4""",6373.6669999999995,262
64,T65,T65,Brendon de Jonge,31,"24' 6""",12187.5,498
65,T65,T65,Hunter Haas,24,"24' 6""",6539.0,267
66,T65,T65,J.J. Henry,28,"24' 6""",8750.75,357
67,T65,T65,Josh Teater,30,"24' 6""",10151.75,415
68,T69,T69,Bob Estes,23,"24' 7""",8371.833,340
69,T69,T69,William McGirt,30,"24' 7""",10193.0,414
70,T71,T71,Brian Gay,28,"24' 8""",9724.25,394
71,T71,T71,Freddie Jacobson,17,"24' 8""",6122.5,248
72,T71,T71,Rory Sabbatini,29,"24' 8""",8964.75,363
73,74,74,Steve Wheatcroft,22,"24' 9""",5049.0,204
74,T75,T75,Chris Couch,21,"24' 10""",5628.6669999999995,227
75,T75,T75,Luke Donald,17,"24' 10""",5942.75,239
76,T75,T75,Alexandre Rocha,21,"24' 10""",5985.5830000000005,241
77,T75,T75,Vijay Singh,27,"24' 10""",9870.917,397
78,T75,T75,Cameron Tringale,26,"24' 10""",9002.833,363
79,T80,T80,Stuart Appleby,24,"24' 11""",7382.25,296
80,T80,T80,Daniel Summerhays,26,"24' 11""",8547.75,343
81,82,82,Pat Perez,23,"25' 0""",8613.833,344
82,T83,T83,Arjun Atwal,27,"25' 1""",8097.1669999999995,323
83,T83,T83,Cameron Beckman,26,"25' 1""",8558.25,341
84,T83,T83,Charlie Wi,25,"25' 1""",9232.583,368
85,86,86,Rod Pampling,26,"25' 2""",8435.75,335
86,T87,T87,Scott Brown,24,"25' 3""",6543.5,259
87,T87,T87,Billy Mayfair,28,"25' 3""",8879.167,352
88,T89,T89,Nick O'Hern,26,"25' 4""",8348.0,330
89,T89,T89,Louis Oosthuizen,19,"25' 4""",6256.5830000000005,247
90,T89,T89,Chris Stroud,28,"25' 4""",9612.083,379
91,T92,T92,Greg Chalmers,25,"25' 5""",9838.333,387
92,T92,T92,Carl Pettersson,26,"25' 5""",11232.75,442
93,T94,T94,Charley Hoffman,27,"25' 6""",9561.667,375
94,T94,T94,D.A. Points,29,"25' 6""",9245.417,363
95,T94,T94,Bo Van Pelt,24,"25' 6""",8045.25,316
96,T97,T97,Miguel Angel Carballo,25,"25' 7""",8027.3330000000005,314
97,T97,T97,Matt Every,25,"25' 7""",8439.583,330
98,T97,T97,Webb Simpson,22,"25' 7""",8600.167,336
99,100,100,Bill Haas,23,"25' 8""",7685.6669999999995,299
100,T101,T101,Jason Bohn,28,"25' 9""",7556.0830000000005,293
101,T101,T101,Nathan Green,22,"25' 9""",8019.4169999999995,311
102,103,103,Bud Cauley,28,"25' 11""",12080.0,466
103,T104,T104,Graham DeLaet,23,"26' 0""",9295.25,358
104,T104,T104,David Hearn,28,"26' 0""",11405.667,439
105,T104,T104,Brandt Jobe,18,"26' 0""",5816.0,224
106,T104,T104,John Merrick,26,"26' 0""",8881.833,342
107,T104,T104,Bryce Molder,25,"26' 0""",9335.75,359
108,T104,T104,Kyle Reifers,27,"26' 0""",9937.5,382
109,T110,T110,George McNeill,25,"26' 1""",9666.0,370
110,T110,T110,Sean O'Hair,24,"26' 1""",10194.417,391
111,T112,T112,Jonas Blixt,21,"26' 2""",9188.25,351
112,T112,T112,Nick Watney,26,"26' 2""",10800.667,413
