,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
0,1,1,Bubba Watson,68,67.05,222001.1,331091
1,2,2,Charlie Beljan,61,65.84,178030.3,270380
2,3,3,John Daly,50,65.83,156191.4,237250
3,4,4,J.B. Holmes,90,65.75,328185.8,499138
4,5,5,Dustin Johnson,70,65.19,223598.5,342996
5,6,6,Robert Garrigus,89,64.8,305524.7,471493
6,7,7,Rory McIlroy,60,64.76,167219.5,258219
7,8,8,Scott Stallings,78,64.65,279545.1,432367
8,9,9,Gary Woodland,70,64.52,219540.6,340287
9,10,10,Kyle Stanley,86,64.46,288265.6,447231
10,11,11,Edward Loar,59,64.38,175044.5,271889
11,12,12,Harrison Frazar,56,64.33,197112.7,306397
12,13,13,Scott Piercy,95,64.24,354748.0,552218
13,14,14,Keegan Bradley,90,64.21,293618.4,457291
14,15,15,Ryan Palmer,81,64.18,291135.8,453623
15,16,16,Josh Teater,97,64.11,338584.1,528129
16,17,17,Jason Kokrak,79,64.04,278533.8,434962
17,18,18,Jhonattan Vegas,77,64.02,281978.6,440437
18,19,19,Sean O'Hair,84,63.98,309792.6,484240
19,20,20,Adam Scott,59,63.75,169488.1,265858
20,21,21,Graham DeLaet,79,63.74,287344.0,450833
21,T22,T22,Jason Day,57,63.62,191394.3,300848
22,T22,T22,Troy Matteson,100,63.62,336653.1,529180
23,24,24,Daniel Chopra,55,63.58,172581.7,271426
24,25,25,Martin Laird,77,63.56,221802.2,348985
25,T26,T26,Troy Kelly,68,63.5,206277.5,324825
