,Hit_Fairway_Percentage_RANK THIS WEEK,Hit_Fairway_Percentage_RANK LAST WEEK,Hit_Fairway_Percentage_PLAYER NAME,Hit_Fairway_Percentage_ROUNDS,Hit_Fairway_Percentage_%,Hit_Fairway_Percentage_FAIRWAYS HIT,Hit_Fairway_Percentage_POSSIBLE FAIRWAYS,Hit_Fairway_Percentage_RELATIVE TO PAR
0,1,1,Jerry Kelly,84,74.14,751,1013,-0.12
1,2,2,Heath Slocum,93,72.96,761,1043,-0.13
2,3,3,Tim Clark,60,72.52,504,695,-0.14
3,4,4,Jim Furyk,85,71.38,646,905,-0.18
4,5,5,Graeme McDowell,55,71.19,378,531,-0.16
5,6,6,David Toms,60,69.56,425,611,-0.14
6,7,7,Gary Christian,91,69.44,725,1044,-0.16
7,8,8,Mark Wilson,84,69.18,651,941,-0.11
8,9,9,Chris DiMarco,83,69.17,691,999,-0.07
9,10,10,Ben Curtis,62,68.91,461,669,-0.16
10,11,11,Zach Johnson,95,68.87,708,1028,-0.2
11,12,12,Ian Poulter,57,68.43,362,529,-0.15
12,13,13,John Huh,99,68.27,809,1185,-0.13
13,14,14,Billy Horschel,63,68.07,454,667,-0.16
14,15,15,Brian Davis,91,67.85,743,1095,-0.16
15,16,16,Chez Reavie,83,67.76,622,918,-0.14
16,17,17,John Mallinger,74,67.74,590,871,-0.13
17,18,18,Colt Knost,79,67.6,628,929,-0.09
18,19,19,Blake Adams,107,67.35,823,1222,-0.16
19,20,20,Richard Lee,71,67.3,535,795,-0.15
20,21,21,Hunter Mahan,88,67.26,600,892,-0.16
21,22,22,Jeff Maggert,83,67.25,727,1081,-0.13
22,23,23,Kevin Na,80,66.92,605,904,-0.16
23,24,24,Chris Couch,61,66.85,498,745,-0.13
24,25,25,Jason Bohn,81,66.74,610,914,-0.13
25,26,26,Russell Knox,72,66.58,518,778,-0.17
26,27,27,Ryan Moore,89,66.43,748,1126,-0.19
27,28,28,Kris Blanks,65,66.39,553,833,-0.08
28,29,29,Boo Weekley,74,66.38,535,806,-0.12
29,T30,T30,Jason Dufner,83,66.37,588,886,-0.23
30,T30,T30,Brian Harman,101,66.37,809,1219,-0.16
31,32,32,Will Claxton,99,66.11,788,1192,-0.18
32,33,33,Tom Gillis,75,66.0,631,956,-0.16
33,34,34,Billy Mayfair,90,65.95,709,1075,-0.09
34,35,35,Ken Duke,104,65.84,823,1250,-0.19
35,36,36,D.A. Points,88,65.77,734,1116,-0.14
36,37,37,Kevin Stadler,85,65.64,638,972,-0.14
37,38,38,Stuart Appleby,75,65.49,592,904,-0.13
38,39,39,Rickie Fowler,84,65.43,598,914,-0.15
39,40,40,Roberto Castro,92,65.42,683,1044,-0.15
40,41,41,Ben Crane,73,65.39,563,861,-0.13
41,42,42,Cameron Tringale,88,65.03,690,1061,-0.17
42,43,43,Scott Dunlap,57,64.9,416,641,-0.08
43,44,44,Henrik Stenson,51,64.84,378,583,-0.15
44,T45,T45,Gavin Coles,72,64.82,514,793,-0.13
45,T45,T45,John Merrick,83,64.82,645,995,-0.19
46,47,47,John Senden,81,64.8,554,855,-0.2
47,48,48,Steve Stricker,73,64.72,488,754,-0.21
48,49,49,K.J. Choi,71,64.54,506,784,-0.15
49,50,50,Alexandre Rocha,62,64.47,450,698,-0.1
50,51,51,Justin Rose,69,64.26,471,733,-0.2
51,52,52,Rod Pampling,88,64.2,615,958,-0.15
52,53,53,Nick O'Hern,78,64.17,600,935,-0.11
53,54,54,John Rollins,81,64.02,630,984,-0.16
54,55,55,Kyle Thompson,51,63.87,327,512,-0.07
55,56,56,"Ted Potter, Jr.",77,63.81,543,851,-0.1
56,57,57,David Mathis,83,63.75,612,960,-0.12
57,58,58,Matt Kuchar,86,63.71,581,912,-0.23
58,59,59,Bo Van Pelt,84,63.67,573,900,-0.23
59,60,60,Roland Thatcher,55,63.65,387,608,-0.11
60,61,61,Bill Haas,79,63.6,540,849,-0.21
61,62,62,Charl Schwartzel,56,63.59,351,552,-0.2
62,63,63,Brendon de Jonge,115,63.55,898,1413,-0.19
63,64,64,Kevin Streelman,89,63.13,673,1066,-0.16
64,65,65,Brandt Jobe,57,63.08,393,623,-0.11
65,66,66,Tiger Woods,69,63.06,420,666,-0.23
66,67,67,Brendan Steele,77,62.92,565,898,-0.13
67,68,68,Luke Donald,63,62.9,417,663,-0.19
68,69,69,Brian Gay,91,62.86,677,1077,-0.14
69,70,70,Charlie Wi,86,62.85,631,1004,-0.15
70,71,71,David Hearn,95,62.84,766,1219,-0.15
71,T72,T72,Arjun Atwal,79,62.8,574,914,-0.13
72,T72,T72,Steve Wheatcroft,56,62.8,368,586,-0.11
73,74,74,Vijay Singh,99,62.76,706,1125,-0.2
74,75,75,Dicky Pride,62,62.65,426,680,-0.15
75,76,76,J.J. Henry,93,62.58,617,986,-0.18
76,T77,T77,Stephen Ames,54,62.57,336,537,-0.11
77,T77,T77,Pat Perez,81,62.57,595,951,-0.19
78,79,79,Keegan Bradley,90,62.54,616,985,-0.21
79,80,80,Daniel Summerhays,81,62.47,591,946,-0.15
80,81,81,Louis Oosthuizen,65,62.39,418,670,-0.18
