,Driving_Pct.__240_Measured_RANK THIS WEEK,Driving_Pct.__240_Measured_RANK LAST WEEK,Driving_Pct.__240_Measured_PLAYER NAME,Driving_Pct.__240_Measured_ROUNDS,Driving_Pct.__240_Measured_%,Driving_Pct.__240_Measured_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_Measured_TOTAL DRVS - OVERALL,Driving_Pct.__240_Measured_RELATIVE TO PAR
0,1,1,Nick O'Hern,78,6.08,9.0,148,+0.44
1,2,2,Gavin Coles,72,5.3,7.0,132,E
2,3,3,Tom Pernice Jr.,62,4.31,5.0,116,+0.80
3,4,4,Stephen Gangluff,57,3.92,4.0,102,+1.25
4,5,5,Cameron Beckman,81,3.9,6.0,154,+0.67
5,6,6,Kevin Na,80,3.62,5.0,138,+0.60
6,7,7,Jimmy Walker,101,3.61,7.0,194,+0.71
7,T8,T8,Stuart Appleby,75,3.52,5.0,142,+0.40
8,T8,T8,Sung Kang,75,3.52,5.0,142,+0.40
9,10,10,Rory Sabbatini,84,3.13,5.0,160,+1.00
10,11,11,Daniel Chopra,55,3.06,3.0,98,+0.67
11,T12,T12,Steve Wheatcroft,56,3.0,3.0,100,+0.33
12,T12,T12,Y.E. Yang,64,3.0,3.0,100,+0.33
13,14,14,D.A. Points,88,2.98,5.0,168,+0.20
14,15,15,Tiger Woods,69,2.94,3.0,102,-0.33
15,16,16,Ben Curtis,62,2.88,3.0,104,+1.33
16,17,17,Matt Bettencourt,80,2.86,4.0,140,+1.50
17,18,18,Marco Dawson,60,2.78,3.0,108,+0.33
18,19,19,K.J. Choi,71,2.68,3.0,112,E
19,20,20,Aaron Baddeley,73,2.59,3.0,116,+1.67
20,21,21,Marc Leishman,84,2.56,4.0,156,E
21,T22,T22,Michael Bradley,63,2.54,3.0,118,E
22,T22,T22,Chris Couch,61,2.54,3.0,118,-0.33
23,T24,T24,Kevin Chappell,91,2.53,4.0,158,+0.25
24,T24,T24,Chris DiMarco,83,2.53,4.0,158,+0.50
25,26,26,Sean O'Hair,84,2.5,4.0,160,+0.25
26,27,27,Gary Christian,91,2.35,4.0,170,+0.25
27,28,28,Nathan Green,73,2.31,3.0,130,+1.33
28,T29,T29,Brian Gay,91,2.3,4.0,174,+0.50
29,T29,T29,Ryan Moore,89,2.3,4.0,174,+0.75
30,T31,T31,Ricky Barnes,92,2.27,4.0,176,+0.50
31,T31,T31,Billy Hurley III,70,2.27,3.0,132,E
32,T31,T31,Freddie Jacobson,61,2.27,2.0,88,E
33,34,34,David Toms,60,2.17,2.0,92,+1.00
34,T35,T35,Jonas Blixt,72,2.14,3.0,140,+1.00
35,T35,T35,Bob Estes,78,2.14,3.0,140,+0.33
36,37,37,Padraig Harrington,67,2.13,2.0,94,+1.00
37,T38,T38,Ken Duke,104,2.08,4.0,192,+0.25
38,T38,T38,Michael Thompson,80,2.08,3.0,144,+0.67
39,T40,T40,Spencer Levin,81,2.0,3.0,150,+0.67
40,T40,T40,David Mathis,83,2.0,3.0,150,+0.33
41,T40,T40,Vaughn Taylor,81,2.0,3.0,150,+0.33
42,43,43,Ryuji Imada,78,1.97,3.0,152,+0.67
43,44,44,Scott Dunlap,57,1.96,2.0,102,E
44,45,45,Harrison Frazar,56,1.92,2.0,104,+0.50
45,46,46,Jerry Kelly,84,1.88,3.0,160,E
46,T47,T47,Justin Rose,69,1.85,2.0,108,+0.50
47,T47,T47,Steve Stricker,73,1.85,2.0,108,-0.50
48,T49,T49,J.B. Holmes,90,1.83,3.0,164,+2.33
49,T49,T49,Johnson Wagner,88,1.83,3.0,164,-0.33
50,51,51,Cameron Tringale,88,1.79,3.0,168,+0.67
51,T52,T52,Brian Davis,91,1.76,3.0,170,+0.67
52,T52,T52,Heath Slocum,93,1.76,3.0,170,E
53,T54,T54,Tim Herron,88,1.74,3.0,172,E
54,T54,T54,Charles Howell III,98,1.74,3.0,172,+0.67
55,56,56,William McGirt,96,1.67,3.0,180,+1.00
56,57,57,Hunter Haas,69,1.64,2.0,122,+1.00
57,T58,T58,John Huh,99,1.61,3.0,186,+1.00
58,T58,T58,Derek Lamely,64,1.61,2.0,124,+0.50
59,60,60,Sangmoon Bae,81,1.59,2.0,126,+0.50
60,T61,T61,Kris Blanks,65,1.56,2.0,128,E
61,T61,T61,Rocco Mediate,70,1.56,2.0,128,E
62,63,63,Phil Mickelson,79,1.54,2.0,130,-0.50
63,T64,T64,Tommy Biershenk,74,1.52,2.0,132,-0.50
64,T64,T64,Russell Knox,72,1.52,2.0,132,E
65,T66,T66,Mark Anderson,75,1.45,2.0,138,+1.00
66,T66,T66,D.J. Trahan,73,1.45,2.0,138,+0.50
67,68,68,Mark Wilson,84,1.43,2.0,140,E
68,69,69,Keegan Bradley,90,1.39,2.0,144,E
69,T70,T70,Erik Compton,81,1.37,2.0,146,+1.00
70,T70,T70,Justin Leonard,79,1.37,2.0,146,+1.00
71,T72,T72,Tom Gillis,75,1.33,2.0,150,E
72,T72,T72,Colt Knost,79,1.33,2.0,150,+2.50
73,T72,T72,Pat Perez,81,1.33,2.0,150,E
74,T75,T75,Ángel Cabrera,54,1.32,1.0,76,+1.00
75,T75,T75,Ryo Ishikawa,54,1.32,1.0,76,+1.00
76,T77,T77,George McNeill,85,1.3,2.0,154,-0.50
77,T77,T77,Bryce Molder,83,1.3,2.0,154,E
78,T77,T77,Camilo Villegas,79,1.3,2.0,154,+1.00
79,80,80,John Merrick,83,1.27,2.0,158,E
80,T81,T81,Ian Poulter,57,1.25,1.0,80,E
