,Good_Drive_Percentage_RANK THIS WEEK,Good_Drive_Percentage_RANK LAST WEEK,Good_Drive_Percentage_PLAYER NAME,Good_Drive_Percentage_ROUNDS,Good_Drive_Percentage_%,Good_Drive_Percentage_# HIT,Good_Drive_Percentage_TOTAL ATTEMPTS
0,1,1,Jim Furyk,85,87.02,1019,1171
1,2,2,Justin Rose,69,86.71,822,948
2,3,3,Hunter Mahan,88,86.14,988,1147
3,4,4,Jason Dufner,83,85.55,977,1142
4,5,5,Chez Reavie,83,85.54,988,1155
5,6,6,Tim Clark,60,85.32,715,838
6,7,7,David Toms,60,85.31,691,810
7,8,8,John Huh,99,84.96,1175,1383
8,9,9,Graeme McDowell,55,84.92,642,756
9,10,10,Mark Wilson,84,84.86,925,1090
10,11,11,Zach Johnson,95,84.72,1109,1309
11,12,12,John Senden,81,84.62,919,1086
12,13,13,Camilo Villegas,79,84.54,908,1074
13,14,14,Brian Harman,101,84.39,1189,1409
14,15,15,Bubba Watson,68,84.38,783,928
15,16,16,Ben Crane,73,84.36,852,1010
16,17,17,Kris Blanks,65,83.96,759,904
17,18,18,John Merrick,83,83.95,926,1103
18,19,19,D.A. Points,88,83.92,1033,1231
19,20,20,Bo Van Pelt,84,83.91,970,1156
20,21,21,Stuart Appleby,75,83.74,829,990
21,22,22,Jeff Maggert,83,83.66,968,1157
22,23,23,Webb Simpson,77,83.65,890,1064
23,24,24,Luke Donald,63,83.45,721,864
24,25,25,Vijay Singh,99,83.35,1151,1381
25,26,26,Steve Stricker,73,83.33,820,984
26,27,27,Greg Owen,90,83.27,1045,1255
27,28,28,David Hearn,95,83.2,1104,1327
28,29,29,K.J. Choi,71,83.16,815,980
29,30,30,Billy Mayfair,90,83.1,998,1201
30,31,31,Chris Couch,61,83.05,681,820
31,32,32,John Mallinger,74,83.04,808,973
32,33,33,Charley Hoffman,88,82.95,1017,1226
33,34,34,Lee Westwood,60,82.94,627,756
34,T35,T35,Louis Oosthuizen,65,82.92,728,878
35,T35,T35,Tiger Woods,69,82.92,777,937
36,37,37,Brendan Steele,77,82.89,848,1023
37,38,38,Cameron Tringale,88,82.86,1015,1225
38,39,39,Russell Knox,72,82.84,787,950
39,40,40,Rory McIlroy,60,82.8,626,756
40,41,41,Josh Teater,97,82.73,1073,1297
41,42,42,Pat Perez,81,82.62,908,1099
42,T43,T43,Ryan Moore,89,82.59,1025,1241
43,T43,T43,Kevin Na,80,82.59,911,1103
44,45,45,Heath Slocum,93,82.54,1026,1243
45,46,46,Scott Dunlap,57,82.46,611,741
46,T47,T47,Chris Kirk,93,82.37,1028,1248
47,T47,T47,Richard Lee,71,82.37,771,936
48,49,49,Bill Haas,79,82.36,901,1094
49,50,50,Rickie Fowler,84,82.34,956,1161
50,51,51,D.J. Trahan,73,82.33,792,962
51,52,52,John Rollins,81,82.31,884,1074
52,53,53,Bud Cauley,99,82.23,1134,1379
53,54,54,Kyle Stanley,86,82.13,965,1175
54,55,55,Keegan Bradley,90,82.12,1015,1236
55,56,56,Matt Kuchar,86,81.96,936,1142
56,57,57,Tim Herron,88,81.84,1005,1228
57,T58,T58,Gary Christian,91,81.78,992,1213
58,T58,T58,Harris English,98,81.78,1118,1367
59,60,60,Nick O'Hern,78,81.77,843,1031
60,61,61,Sean O'Hair,84,81.73,962,1177
61,62,62,Garth Mulroy,59,81.56,650,797
62,63,63,Tom Gillis,75,81.42,850,1044
63,64,64,Johnson Wagner,88,81.36,1004,1234
64,65,65,Jerry Kelly,84,81.3,952,1171
65,66,66,Robert Garrigus,89,81.28,1007,1239
66,67,67,Bryce Molder,83,81.25,897,1104
67,68,68,Scott Stallings,78,81.24,888,1093
68,69,69,Will Claxton,99,81.17,1121,1381
69,70,70,Chris DiMarco,83,81.1,914,1127
70,71,71,Ricky Barnes,92,81.04,996,1229
71,72,72,Tom Pernice Jr.,62,80.94,654,808
72,73,73,Cameron Beckman,81,80.93,870,1075
73,74,74,Ian Poulter,57,80.84,633,783
74,75,75,Rory Sabbatini,84,80.82,948,1173
75,76,76,Sergio Garcia,57,80.77,630,780
76,77,77,Geoff Ogilvy,73,80.76,810,1003
77,78,78,Ken Duke,104,80.68,1169,1449
78,79,79,Ernie Els,80,80.61,877,1088
79,80,80,Davis Love III,64,80.56,721,895
80,81,81,Jonathan Byrd,69,80.46,766,952
81,82,82,Ben Curtis,62,80.41,698,868
82,83,83,Colt Knost,79,80.37,864,1075
83,84,84,Dustin Johnson,70,80.34,752,936
84,85,85,Adam Scott,59,80.3,652,812
85,86,86,Blake Adams,107,80.24,1198,1493
86,87,87,Ryan Palmer,81,80.21,908,1132
87,88,88,Trevor Immelman,76,80.13,851,1062
88,89,89,Chris Stroud,86,80.12,963,1202
89,90,90,Mathew Goggin,65,80.11,705,880
90,91,91,Scott Piercy,95,80.06,1064,1329
91,T92,T92,Brendon de Jonge,115,80.01,1285,1606
92,T92,T92,Seung-Yul Noh,105,80.01,1129,1411
93,94,94,Nick Watney,97,80.0,1052,1315
94,T95,T95,J.J. Henry,93,79.92,991,1240
95,T95,T95,Martin Laird,77,79.92,816,1021
96,97,97,Alexandre Rocha,62,79.9,648,811
97,98,98,Kevin Stadler,85,79.88,905,1133
98,99,99,Roberto Castro,92,79.87,1004,1257
99,100,100,Charl Schwartzel,56,79.84,602,754
100,101,101,Brian Gay,91,79.69,965,1211
101,102,102,Sangmoon Bae,81,79.65,853,1071
102,103,103,Brian Davis,91,79.57,1009,1268
103,104,104,Kyle Thompson,51,79.53,544,684
104,105,105,Billy Horschel,63,79.52,656,825
105,106,106,Greg Chalmers,88,79.47,964,1213
106,107,107,Jason Bohn,81,79.46,851,1071
107,108,108,Charlie Wi,86,79.45,951,1197
108,109,109,Stewart Cink,71,79.44,742,934
109,110,110,Chad Campbell,84,79.37,931,1173
110,T111,T111,Marc Leishman,84,79.35,930,1172
111,T111,T111,Daniel Summerhays,81,79.35,899,1133
