,Longest_Drives_RANK THIS WEEK,Longest_Drives_RANK LAST WEEK,Longest_Drives_PLAYER NAME,Longest_Drives_ROUNDS,Longest_Drives_DISTANCE,Longest_Drives_TOURNAMENT,Longest_Drives_ROUND,Longest_Drives_HOLE,Longest_Drives_COURSE
0,1,1,Gary Woodland,70,450,Hyundai Tournament of Champions,1,18,656
1,T2,T2,Bubba Watson,68,442,World Golf Championships-Bridgestone Invitational,3,16,36
2,T2,T2,Keegan Bradley,90,442,World Golf Championships-Bridgestone Invitational,2,16,36
3,4,4,Louis Oosthuizen,65,430,World Golf Championships-Bridgestone Invitational,3,16,36
4,5,5,Kyle Stanley,86,429,World Golf Championships-Bridgestone Invitational,3,16,36
5,T6,T2,Bubba Watson,68,427,Hyundai Tournament of Champions,1,12,656
6,T6,T6,Branden Grace,22,427,World Golf Championships-Bridgestone Invitational,1,16,36
7,8,8,Joost Luiten,12,425,World Golf Championships-Bridgestone Invitational,3,16,36
8,T9,T9,Paul Lawrie,23,422,World Golf Championships-Bridgestone Invitational,3,16,36
9,T9,T9,John Senden,81,422,World Golf Championships-Bridgestone Invitational,3,16,36
10,T9,T2,Bubba Watson,68,422,World Golf Championships-Bridgestone Invitational,2,16,36
11,T12,T12,Michael Bradley,63,421,Hyundai Tournament of Champions,2,7,656
12,T12,T2,Keegan Bradley,90,421,Hyundai Tournament of Champions,2,18,656
13,T12,T2,Keegan Bradley,90,421,World Golf Championships-Bridgestone Invitational,3,16,36
14,T15,T15,Nicolas Colsaerts,31,420,World Golf Championships-Bridgestone Invitational,1,16,36
15,T15,T15,Martin Laird,77,420,Hyundai Tournament of Champions,1,12,656
16,17,1,Gary Woodland,70,418,Hyundai Tournament of Champions,2,7,656
17,T18,T12,Michael Bradley,63,417,Hyundai Tournament of Champions,3,18,656
18,T18,1,Gary Woodland,70,417,Hyundai Tournament of Champions,2,18,656
19,T20,T20,Sean O'Hair,84,415,Hyundai Tournament of Champions,3,18,656
20,T20,T20,Jhonattan Vegas,77,415,Hyundai Tournament of Champions,2,12,656
21,T20,T20,Alvaro Quiros,21,415,World Golf Championships-Bridgestone Invitational,3,16,36
22,T20,T20,Rickie Fowler,84,415,World Golf Championships-Bridgestone Invitational,3,16,36
23,24,24,Johnson Wagner,88,414,Hyundai Tournament of Champions,4,7,656
24,25,1,Gary Woodland,70,413,Hyundai Tournament of Champions,1,7,656
25,T26,T26,Steve Stricker,73,411,Hyundai Tournament of Champions,2,7,656
26,T26,T2,Bubba Watson,68,411,World Golf Championships-Bridgestone Invitational,3,9,36
27,T26,T15,Martin Laird,77,411,Hyundai Tournament of Champions,3,7,656
28,29,8,Joost Luiten,12,410,World Golf Championships-Bridgestone Invitational,2,16,36
29,T30,T30,Aaron Baddeley,73,409,Hyundai Tournament of Champions,2,18,656
30,T30,T30,Rory McIlroy,60,409,World Golf Championships-Bridgestone Invitational,3,9,36
31,T30,T30,Webb Simpson,77,409,Hyundai Tournament of Champions,3,7,656
32,T33,T12,Michael Bradley,63,408,Hyundai Tournament of Champions,1,7,656
33,T33,T26,Steve Stricker,73,408,Hyundai Tournament of Champions,1,18,656
