,SG_Off-the-Tee_RANK THIS WEEK,SG_Off-the-Tee_RANK LAST WEEK,SG_Off-the-Tee_PLAYER NAME,SG_Off-the-Tee_ROUNDS,SG_Off-the-Tee_AVERAGE,SG_Off-the-Tee_TOTAL SG:OTT,SG_Off-the-Tee_MEASURED ROUNDS
0,1,1,Bubba Watson,68,1.485,75.741,51
1,2,2,Rory McIlroy,60,1.072,42.86,40
2,T3,T3,Charlie Beljan,61,0.797,34.259,43
3,T3,T3,Robert Garrigus,89,0.797,58.998000000000005,74
4,5,5,Kyle Stanley,86,0.7859999999999999,54.985,70
5,6,6,Dustin Johnson,70,0.72,38.176,53
6,7,7,Keegan Bradley,90,0.68,48.285,71
7,8,8,Boo Weekley,74,0.6679999999999999,38.763000000000005,58
8,9,9,Lee Westwood,60,0.628,25.136999999999997,40
9,10,10,John Rollins,81,0.627,44.522,71
10,11,11,Adam Scott,59,0.605,24.785999999999998,41
11,12,12,J.B. Holmes,90,0.585,45.663999999999994,78
12,13,13,Josh Teater,97,0.57,47.287,83
13,T14,T14,Jason Dufner,83,0.5529999999999999,35.384,64
14,T14,T14,Tiger Woods,69,0.5529999999999999,26.521,48
15,16,16,Billy Horschel,63,0.546,26.226999999999997,48
16,17,17,Will Claxton,99,0.524,45.055,86
17,18,18,John Senden,81,0.503,31.197,62
18,19,19,Graham DeLaet,79,0.5,35.465,71
19,20,20,Louis Oosthuizen,65,0.496,24.291,49
20,21,21,Graeme McDowell,55,0.49,18.636,38
21,22,22,Ryan Palmer,81,0.485,34.446,71
22,23,23,Scott Piercy,95,0.47600000000000003,40.905,86
23,24,24,Bill Haas,79,0.47200000000000003,28.79,61
24,25,25,Rickie Fowler,84,0.45799999999999996,30.215999999999998,66
25,26,26,Bo Van Pelt,84,0.45,29.258000000000003,65
26,27,27,Vijay Singh,99,0.435,35.27,81
27,28,28,Jeff Overton,101,0.434,39.94,92
28,29,29,Hunter Mahan,88,0.4,25.581999999999997,64
29,30,30,Scott Stallings,78,0.39299999999999996,26.706999999999997,68
